,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.8997885375463557,34610D,255.47546,24.550816,16.717747,214.2244151937659,71405.25018459957,0.3086657347081936,0.915478119500336,54.92868717002016,78012.83996315947,1718.68304369254,2023-11-06 13:06:00,0.0001378898058947,0.4012788685142464,0.0690719202452287,0.457739059750168,1.0,0.0176011942198197,0.0005451580223393,0.0001182328404566,3.628235539e-05,1450000000000000.0,173.5197227700937,67.94678602931495,0.0659144246040241,0.0013451923388576,0.0010985737434004,0.9668104911192468,0.0299448144673063,0.0064943747066671,0.0019929421490088,7.964659639652923e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,16.626801183787347,1.2447174223961686,0.6685772049109646,39.00641998157973,17.601194219819764,36.28235538999999,1450000000000000.0,26.0989002886642,894.045115925123,1644.47142294253,0.0137889805895,0.0289263251960784,0.476760049280786,39.006018242211,16.4818740731512,16.479601704071,7.566868507315426,1.0,5.70414044539737,622472477339953.2,15.583276501682969,17.37875851838681,1113771305429094.6
6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.9007806807271728,34610D,252.15915,26.897589,17.3692,223.79954730301247,71350.32149742956,0.3008278907875338,0.8881422732406405,53.28853639443843,80222.35641040877,2012.5316295755408,2023-11-06 13:07:00,0.0001353031988706,0.3739586563801814,0.0866921522511942,0.4440711366203203,1.0,0.0173503701223802,0.0005610891589457,0.0001216879552224,3.628235539e-05,1450000000000000.0,168.338486470031,65.91791951992035,0.0639462436733261,0.0013050253810882,0.0010657707278887,0.9245758297234392,0.0298996200670034,0.0064845730306363,0.0019334336156759,7.726837777193573e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,15.420475207970677,1.1544492009740566,0.7030383723696554,40.11117820520438,17.35037012238029,36.28235538999999,1450000000000000.0,26.7507385069193,911.33224636124,1710.51305569691,0.0135303198871,0.0305818125483287,0.509140217249137,40.1109800318968,16.6484643918518,16.646212106104763,6.948736921938457,1.0,6.8854267330983925,607611724495000.5,15.211245240805875,16.71483985076595,1072949083920384.9
7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.9017526226672576,34610D,248.83455,29.242981,16.188692,231.99805338409044,71297.03296103512,0.3122281331408071,0.8515940613458695,51.09564368075217,71078.21848977084,1776.8560429392828,2023-11-06 13:08:00,8.686120639336016e-05,0.3439455476608665,0.070912986420516,0.4257970306729347,1.0,0.0170093945781119,0.000584885831074,0.0001268489324508,3.628235539e-05,1450000000000000.0,161.4111383874961,63.205311233090434,0.0613147724169026,0.0012513218860592,0.001021912873615,0.8691059645885234,0.0298851180184817,0.0064814278537905,0.0018538703029058,7.408868333709064e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,14.704960677890424,1.1015947602173335,0.7336454075691242,35.53910924488542,17.0093945781119,36.28235539,1450000000000000.0,24.5156564505978,896.471720017896,1668.31017147428,0.00868612063934,0.0294784668676285,0.455035180642181,35.5391834988108,15.4361888182819,15.43484812875294,7.145748636759714,1.0,6.117460531289942,583156320739902.5,14.599016857143766,15.73348374972702,1015611922826376.9
8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.9027113886026308,34610D,245.39412,29.548626,15.217206,236.3699584685799,71245.93731735437,0.3134205287562809,0.8283855801072817,49.7031348064369,66950.22692672162,1563.4893453538148,2023-11-06 13:09:00,6.074283996019605e-05,0.319132970959831,0.0650758473984523,0.4141927900536408,1.0,0.0167608862927344,0.0006029563721014,0.0001307680371997,3.628235539e-05,1450000000000000.0,157.01220285353415,61.48277775556245,0.0596437617677242,0.0012172196279127,0.0009940626961287,0.8330685908831391,0.0299688218449599,0.0064995813813111,0.0018033468010442,7.20695454693335e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,14.060683665898312,1.0536971890847249,0.7526922204794227,33.475113463360806,16.760886292734416,36.28235539,1450000000000000.0,23.3240750821857,891.712116399863,1661.15582637895,0.00607428399602,0.0293472127072191,0.431913870858757,33.4747348483768,14.7173728274546,14.716478906731592,7.16605593288585,1.0,5.904423842626075,569689120687097.1,14.261872469614914,14.710816873065236,957706490720648.4
9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.903652595684088,34610D,241.83882,29.66019,14.900889,240.4482118802865,71196.23418254792,0.3163453325077472,0.8143893573255857,48.86336143953514,62900.91174869021,1348.7196373664144,2023-11-06 13:10:00,5.152577381748304e-05,0.2985023293677357,0.0746446554423852,0.4071946786627928,1.0,0.0165969674029053,0.0006151407215624,0.0001334105558582,3.628235539e-05,1450000000000000.0,154.3593587874915,60.443978100704975,0.0586360337274421,0.0011966537495396,0.0009772672287907,0.8109836170083482,0.0300578434138844,0.0065188882107524,0.0017728778452992,7.085187408732595e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,13.63718861095354,1.0220864791256412,0.7712865709223975,31.450455874345103,16.596967402905378,36.28235539,1450000000000000.0,22.1972126397429,883.95406869111,1643.88409736481,0.00515257738175,0.0289635850741387,0.407514603506291,31.4511883659978,14.0698950928612,14.069170167981326,7.269877269188446,1.0,5.552237222729958,564227979100154.5,14.125155614714213,13.887286776794726,910556479964170.8
10,11,-47.446136474609375,-23.4138669806012,9585.96,e80338,SKX5563,216.581110924,0.9045799388913336,34610D,238.63177,30.102457,14.233355,244.05034925403768,71147.37082110839,0.3160420590028336,0.8038945211827306,48.23367127096384,60511.743091773744,1266.6162308549767,2023-11-06 13:11:00,4.440916332084144e-05,0.2815518365974468,0.0854166945847658,0.4019472605913653,1.0,0.016470439121236,0.0006247971650513,0.0001355048270523,3.628235539e-05,1450000000000000.0,152.37016754497475,59.66505136218228,0.0578804055251566,0.0011812327658195,0.0009646734254192,0.7944297462621202,0.0301362610701186,0.0065358952836718,0.0017500312028175,6.993882334289757e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,12.383522491673332,0.92821424500268,0.7880839651774851,30.255871545886876,16.47043912123601,36.28235539,1450000000000000.0,21.4638680016186,879.933353795137,1651.21000281675,0.00444091633208,0.0290015570617071,0.395871278298195,30.2560007745933,13.6500008415373,13.649394683339576,6.804846843018756,1.0,5.920002703375092,567658433290834.8,14.211035261005035,13.21545510830922,871830872962163.6
11,12,-47.56718953450519,-23.376392429157875,9951.72,e80338,SKX5563,219.153333144,0.9054983892432008,34610D,235.61581,30.529034,13.772238,246.722782230954,71099.13714983744,0.3345663774749685,0.794583157291108,47.67498943746648,51465.524252502655,737.651800662641,2023-11-06 13:12:00,3.937859271418428e-05,0.2663187438419942,0.099654095564586,0.397291578645554,1.0,0.0163508800542642,0.0006340889159479,0.0001375200044069,3.628235539e-05,1450000000000000.0,150.6052916329566,58.97396193414604,0.0572099873249597,0.0011675507617338,0.0009534997887493,0.7795280338803292,0.0302301823702335,0.0065562647575435,0.0017297609099846,6.912873468432639e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,12.075256241106509,0.90516871148555,0.8017966788200379,25.732762126251327,16.350880054264245,36.28235538999999,1450000000000000.0,19.026512478439,850.552993428004,1564.69364845174,0.00393785927142,0.0268209270442039,0.33246222471063,25.7329472102043,12.3956276441412,12.39513954098958,7.306547954883821,0.8803430499567767,4.6691503043631934,627393302307914.1,11.320676749044159,12.555213654795157,834135671152646.6
12,13,-47.690901322798254,-23.33807373046875,10165.08,e80338,SKX5563,226.35555536,0.906396685624961,34610D,233.88985,30.4747,13.57262,248.0330748157768,71051.46216039997,0.336009341244355,0.788953608835028,47.33721653010168,49726.568854444384,605.327196777165,2023-11-06 13:13:00,3.694654491655083e-05,0.2577456814554064,0.1097180158065275,0.394476804417514,1.0,0.0162773034919778,0.0006398934158255,0.0001387788733584,3.628235539e-05,1450000000000000.0,149.5382670185912,58.55613684773578,0.056804659836122,0.0011592787721657,0.000946744330602,0.770522239925936,0.0302907731811217,0.0065694055779723,0.0017175057133185,6.863896396864743e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,13.267341787442726,0.9945604516189316,0.8090234823533753,24.86328442722219,16.277303491977857,36.28235539,1450000000000000.0,18.5452670523751,846.585191016901,1534.99576835083,0.00369465449166,0.0264440582979923,0.31926389591531,24.8628912183022,12.0731807621052,12.07273471626974,8.24176560521518,0.863265719046222,3.853298175392223,619405623979265.5,10.611832645827295,12.162587793680563,811828276708896.4
13,14,-47.818450927734375,-23.298324326337426,10340.34,e80338,SKX5563,231.4999998,0.9072682192941384,34610D,232.49083,30.2282,13.41305,249.1287519612579,71004.12494386986,0.2965518204869848,0.7840879722732397,47.04527833639438,60014.140478329406,1366.796412634468,2023-11-06 13:14:00,3.4911122001358606e-05,0.250871932964566,0.118213118645604,0.3920439861366198,1.0,0.0162147923204694,0.0006448866304017,0.0001398617922886,3.628235539e-05,1450000000000000.0,148.61603426466985,58.19500930211986,0.0564543340036732,0.001152129265381,0.0009409055667278,0.762829417883315,0.0303388710226721,0.0065798369468475,0.0017069135080225,6.821565358777186e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,12.562152598060017,0.9417228860125508,0.815038587570774,30.0070702391647,16.214792320469442,36.28235538999999,1450000000000000.0,21.206938536357,892.849026207831,1688.19123762475,0.00349111220014,0.0303492665472375,0.402750779132126,30.0069758912885,13.2705275926606,13.270064319826165,7.100087355562483,1.0,5.836892205962099,537739345980661.56,13.462026385584837,11.847333786305006,793875072246120.0
14,15,-47.94469197591144,-23.25866181971662,10736.58,e80338,SKX5563,226.35555536,0.9081445779381476,34610D,229.38124,29.558176,13.075179,249.2346780707437,70957.07966553347,0.2997199794244569,0.774442467260746,46.46654803564476,56048.55199622187,1023.0223115843222,2023-11-06 13:15:00,2.7453196623210887e-05,0.235877393998215,0.1251136135621747,0.387221233630373,1.0,0.0160683566709752,0.0006568804060983,0.0001424629796697,3.628235539e-05,1450000000000000.0,146.78782524460178,57.479119920092565,0.0557598576427737,0.0011379562784239,0.0009293309607128,0.7466410671057429,0.0305229649436408,0.0066197628881251,0.0016859158095757,6.73764946516849e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,11.95613814210764,0.8963821264468034,0.8208933611458854,28.024275998110934,16.06835667097522,36.28235539,1450000000000000.0,19.919421074183,880.902811771147,1662.98984370683,0.00274531966232,0.0297198159244894,0.373440143886553,28.0249324820474,12.5653585754155,12.565013625625863,7.1366980009285514,1.0,5.45609214446276,539176790176881.1,13.498012057531575,10.992964591351774,746555897936376.4
