,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
133,134,-62.65530518443958,-18.126838461580405,12352.02,,,233.00903683573333,0.9851120176374446,34610D,216.41808,4.5380297,0.41657588,235.71938214486397,66194.82189738966,0.3305935207026535,0.6013088642911706,36.07853185747024,36372.74750308496,0.0,2023-11-06 15:14:00,2.4865222427447734e-05,0.1828628725004259,0.4376480667358582,0.3006544321455853,0.7973055224925147,0.0124519632220003,0.0007028876397052,0.0001509994084668,3.628235539e-05,1450000000000000.0,113.97208213774849,44.62914390769069,0.0432942382289642,0.0008835558822237,0.0007215706371494,0.449248551792988,0.0253591541013264,0.0054478369688288,0.0013090141148021,5.231387119333185e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7992925123776597,18.18637375154248,12.451963222000368,36.28235539,1450000000000000.0,13.2894924628114,781.968998263282,1459.9571782417,0.00248652224274,0.019940256164328,0.229669468648484,18.1864356185774,11.5178795475732,11.517593160057446,0.002486522242744773,0.6186404467651211,15.780758860714416,492421925502334.25,7.004482688455507
134,135,-62.77842625012004,-18.08283109208752,12352.02,,,233.08334547764443,0.9854901770883052,34610D,216.38803,4.3885336,0.5292741,235.5423143858092,66158.7433655322,0.3310949702671903,0.5971910285556391,35.83146171333835,36205.6524597956,0.0,2023-11-06 15:15:00,2.508331142592216e-05,0.1828628725004259,0.4432316079015412,0.2985955142778195,0.7912900873533986,0.0124127359514639,0.0007025657206324,0.0001507554655084,3.628235539e-05,1450000000000000.0,113.19158755243583,44.32351813939954,0.042997754056006,0.0008775051848164,0.0007166292342667,0.4447664730026591,0.0251739567199472,0.0054017886904418,0.0013000498280265,5.195561948434061e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.798747561202557,18.1028262298978,12.412735951463953,36.28235538999999,1450000000000000.0,13.23674977473,780.590028338264,1456.90057333982,0.00250833114259,0.0198786249491442,0.228317944725031,18.1030004887328,11.4856005035127,11.4853124138446,0.002508331142592216,0.6141559449972889,15.694292506495819,489862057141676.7,6.936911660030894
135,136,-62.901469227653855,-18.038724256405093,12352.02,,,233.1576541195556,0.9858637799458768,34610D,216.3547,4.1747994,0.65918124,235.2925145148232,66122.91190381885,0.3313706563090486,0.5941198986690974,35.647193920145845,36087.72406882855,0.0,2023-11-06 15:16:00,2.5326483839987963e-05,0.1828628725004259,0.4494907977498329,0.2970599493345487,0.7865626501435098,0.0123826725594883,0.0007022086194418,0.0001505407563859,3.628235539e-05,1450000000000000.0,112.60948559374071,44.09557887922041,0.042776632704175,0.0008729925041668,0.0007129438784029,0.4414075299777484,0.0250317668296426,0.0053663555357764,0.0012933641584669,5.168843118421147e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7979619040702365,18.043862034414275,12.38267255948831,36.28235538999999,1450000000000000.0,13.1954851859429,779.528698966464,1454.63590537153,0.002532648384,0.0198341006206766,0.227293804528818,18.043962150816,11.4597484844798,11.459458256695447,0.0025326483839987965,0.610720755954885,15.627781466744477,488032588493596.2,6.886838021593784
136,137,-63.024182876917074,-17.994197932879906,12352.02,,,233.23196276146663,0.9862336604126632,34610D,216.31772,3.941931,0.7791854,235.03628268734536,66087.2647098987,0.3318656159896761,0.5895753950800475,35.374523704802854,35904.27464702193,0.0,2023-11-06 15:17:00,2.5652895619846465e-05,0.1828628725004259,0.4575007965109623,0.2947876975400237,0.7798400496014359,0.0123387271982975,0.0007018126724518,0.0001502584091332,3.628235539e-05,1450000000000000.0,111.7481203834722,43.75828582284113,0.0424494284457634,0.00086631486624,0.000707490474096,0.4364765977632736,0.0248262890179794,0.0053153196557291,0.0012834710408096,5.1293059371964136e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7971610769422821,17.952137323510964,12.338727198297583,36.28235538999999,1450000000000000.0,13.1353494669662,777.975240298998,1451.24251857953,0.00256528956198,0.0197664301364656,0.225780194547616,17.9523472766443,11.4224062204885,11.42211321021056,0.0025652895619846464,0.6057235735062,15.53096987231444,485205910038864.9,6.811383874712585
137,138,-63.14689652618029,-17.949671609354716,12352.02,,,233.30627140337776,0.986598664881284,34610D,216.30034,3.6103776,0.82645524,234.7127398180397,66051.89018619391,0.3320750379264765,0.5864802325139697,35.18881395083818,35787.58600404445,0.0,2023-11-06 15:18:00,2.601735755538442e-05,0.1828628725004259,0.465062219381442,0.2932401162569849,0.775245948569002,0.0123077780323024,0.0007016265789828,0.0001500828286313,3.628235539e-05,1450000000000000.0,111.1614632706978,43.528562857186834,0.0422265767410058,0.0008617668722654,0.0007037762790167,0.4330961113269058,0.0246894071507918,0.0052812367339249,0.0012767330535169,5.102378022871536e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7960957035487511,17.893793002022228,12.307778032302496,36.28235539,1450000000000000.0,13.0915030644758,776.938706401748,1449.07206493516,0.00260173575554,0.0197243768609486,0.224735805696987,17.8938906371715,11.3938101711052,11.39351374198436,0.0026017357555384426,0.6024021581401554,15.465339727345452,483319181571739.1,6.760939740482621
138,139,-63.26961017544351,-17.90514528582953,12352.02,,,233.38058004528887,0.9869587876864708,34610D,216.28043,3.3080013,0.8629638,234.402682751742,66016.70137224307,0.3323648057999608,0.5829182546648102,34.97509527988861,35648.36091641404,0.0,2023-11-06 15:19:00,2.6437977696344655e-05,0.1828628725004259,0.4738187142118624,0.2914591273324051,0.770019299280091,0.0122724390306914,0.0007014134928017,0.0001498820370271,3.628235539e-05,1450000000000000.0,110.48632598916812,43.26419286122222,0.0419701143358663,0.0008565329456299,0.0006995019055977,0.4292297244150586,0.0245320037413389,0.0052421385257699,0.001268978836744,5.071388815583849e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7950805962699473,17.824180458207017,12.272439030691483,36.28235539,1450000000000000.0,13.0416829909915,775.734977404673,1446.51132769074,0.00264379776963,0.0196742711816419,0.223532636592934,17.8243125297924,11.3616730464462,11.361372674728825,0.0026437977696344653,0.5985746841136542,15.38975301343321,481099309616332.0,6.701989959658782
139,140,-63.39232382470673,-17.86061896230434,12352.02,,,233.4548886872,0.9873140231995432,34610D,216.26564,2.9480817,0.8424193,234.07651104221935,65981.72627696318,0.3325224846689653,0.5801220446993456,34.807322681960734,35543.648757277304,0.0,2023-11-06 15:20:00,2.705610671637976e-05,0.1828628725004259,0.4858403420798624,0.2900610223496728,0.7658637916878891,0.0122440720786175,0.0007012552540876,0.0001497242113316,3.628235539e-05,1450000000000000.0,109.95633235231396,43.05665815758543,0.0417687872183528,0.0008524242289459,0.0006961464536392,0.4261833677816263,0.0244088179114486,0.0052114989371235,0.0012628916517213,5.047061788884306e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.794001445293046,17.77182437863865,12.244072078617538,36.28235539,1450000000000000.0,13.0022462328804,774.826771568051,1444.61384271977,0.00270561067164,0.0196376260873714,0.22260526591504,17.7711083368331,11.3356504968894,11.3353438066177,0.0027056106716379764,0.5956936293411219,15.332229859235367,479399458793209.94,6.6570866845121826
140,141,-63.51503747396995,-17.816092638779153,12352.02,,,233.5291973291111,0.9876643658284552,34610D,216.24353,2.5998552,0.8075883,233.7662725644452,65946.91895428122,0.3328339743819036,0.576383045293074,34.58298271758444,35394.554823674625,0.0,2023-11-06 15:21:00,2.764416911946127e-05,0.1828628725004259,0.4978443897366731,0.288191522646537,0.7603876904269063,0.0122068433222059,0.0007010185694873,0.0001495094365256,3.628235539e-05,1450000000000000.0,109.24764240484924,42.77914962165196,0.0414995792611013,0.000846930189002,0.0006916596543516,0.4221490516481097,0.0242433130732883,0.0051704822594826,0.0012547520694056,5.014532494049744e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.792989567434623,17.697277411837312,12.206843322205955,36.28235538999999,1450000000000000.0,12.9564026689704,773.734355273369,1442.15721943242,0.00276441691195,0.0195879119818101,0.22146911391712,17.6975550614668,11.3064176581344,11.30610511025265,0.0027644169119461267,0.5922533711288381,15.262983277822478,477167106264280.75,6.6005210197301905
141,142,-63.637751123233166,-17.771566315253963,12352.02,,,233.6035059710222,0.9880098100178512,34610D,216.22075,2.18403,0.6781209,233.42191305461265,65912.33597156363,0.3328522399566476,0.5744160427783974,34.464962566703846,35327.74189228244,0.0,2023-11-06 15:22:00,2.8148772665238048e-05,0.1828628725004259,0.5084522785712374,0.2872080213891987,0.7572191235672389,0.0121861145667291,0.0007007749885455,0.0001493620295715,3.628235539e-05,1450000000000000.0,108.87481674821744,42.63315869501266,0.0413579550800446,0.0008440398995927,0.000689299251334,0.4199939823758831,0.0241521837479035,0.0051477567580694,0.0012504700203481,4.997419572172058e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7918631455808632,17.663870946141223,12.186114566729106,36.28235539,1450000000000000.0,12.9288593936809,773.11067157583,1440.89869266861,0.00281487726652,0.019564229822553,0.220839020214383,17.6639412820482,11.2878974647807,11.287579733264849,0.0028148772665238047,0.5902988228958802,15.222702279538154,476139467484987.5,6.571643576175013
142,143,-63.76023549991693,-17.726751261391023,12352.02,,,233.67781461293333,0.988351057859052,34610D,216.20187,1.8114899,0.542714,233.1225323414968,65877.87100899694,0.3326171751453837,0.5743923892480597,34.46354335488358,35346.67394492344,0.0,2023-11-06 15:23:00,2.8495344182447643e-05,0.1828628725004259,0.5159912431762953,0.2871961946240298,0.7567016990287909,0.0121840721910701,0.0007005731089195,0.0001493033855476,3.628235539e-05,1450000000000000.0,108.87033345807724,42.63140312999099,0.0413562520258602,0.0008440051433849,0.0006892708670976,0.4199063001959766,0.0241442317125127,0.0051455237008529,0.0012504185280005,4.997213786458119e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7908820758147367,17.67333697246172,12.184072191070124,36.28235539,1450000000000000.0,12.9235235535042,773.036199239035,1440.95681858266,0.00284953441824,0.0195681793079967,0.220787677942169,17.673335314318,11.2829954420922,11.282673938415027,0.002849534418244764,0.5900654357240473,15.217094614280649,476327194072270.6,6.572474825929789
