engine_display,NOx,Contrail,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.6865603470992508,-64.43090664435476,5.448257321347998,0.0,0.0,2.752243467630318,2.752243467630318
GTF,-20.07441837375246,-37.18299583645063,-13.916914220259288,-16.148861290305703,-16.148861290305703,-16.33303604728258,-16.33303604728258
GTF2035,-12.205622136454778,-40.677890231583,-7.266334591411174,-22.764095716545867,-22.764095716545867,-10.623330586055081,-10.623330586055081
GTF2035 - 20,-12.644526358195849,-44.220995630295135,-7.281814470435839,-24.68422242059036,-37.59458489007159,-10.702495635086969,-11.783300257613782
GTF2035 - 100,-14.342721892159172,-51.04583333585521,-8.083631946377853,-32.168198974335056,-95.47735100464759,-11.937254742459622,-17.235026276243644
GTF2035WI,-93.74723396083446,-45.28269965954906,-78.18826364283849,-29.75484210197769,-29.75484210197769,-74.96821680256545,-74.96821680256545
GTF2035WI - 20,-93.77865314540524,-48.29784254836233,-77.67154462304305,-31.500431014364562,-43.24160130139271,-75.72996043893613,-76.66508283963628
GTF2035WI - 100,-93.89111624552002,-55.198445924821,-78.76780509957774,-38.25918205225381,-95.8830894584254,-78.07172055601296,-83.03406375989206
