Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,a35da8,FFT4000,37.64968096199682,-122.33503258746605,94.657777696,632.46,-0.5415611043710671,34610D,298.56863,3.5783129,-6.977167,109.5422597497982,67584.4173240272,0.2404784887268391,1.225945651696362,68.1781319841912,115.8103021176644,1981.6700106528008,0.0060335531570219,93954.21408487008,0.220443555940063,0.56815109986826,0.8942890981359441,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3162400201472612,57.90488042425356,16.463949788327348,24.438045601943173,1512207917615912.8,24.9950594906314,826.667929090033,1660.36180718679,0.603355315702,0.0255782639287168,0.612972825848181,57.9051510588322,23.9645985183535,23.82087400877484,0.60335531570219,0.9572222140369367,1000515604544611.4,,,0.0178176287351815,2.241820178063875e-05,3.16,35.8,2023-08-06 07:01:00,0.0060335531570219,0.2204435469484355,0.0,939.5421408487008,0,0.0060335531570219,3.5783129,-6.977167,0.2204435469484355,0.0,0.0,1.0962624473457103,0.0,6873.929756898064,0.6070791771393887,0.7946413484609033,5.756758570993859,245.2915047103377,0.2804431839833658,inf,0.0,235.66614003618847,0.0,0.0,0.0,0 days,0.005975806,8.129207e-06,6571.821,0.28283796,-295.7026,0.0,0.0,1.0,-1.00205390004848e-12,1.10170284e-11,8.375639e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3178023529859108e-13,1.0014974722197962e-11,1274.037273999954,6.873929756898064,1.3125692653629928e-11,0.005975806,8.129207e-06,6571.821,0.28283796,-295.7026,0.0,0.0,0.0,-1.00205390004848e-12,1.10170284e-11,8.375639e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3178023529859108e-13,1.0014974722197962e-11,1274.037273999954,6.873929756898064,0.0
1,1,2,a35da8,FFT4000,37.68706240896451,-122.27317478345788,134.784444328,1203.96,-0.5423582894585235,34610D,297.90164,1.2354372,-4.655294,127.96203945973517,67516.23919204301,0.2639591480519809,1.70444548116528,71.2221148979761,151.2934470311248,3654.2680677899625,0.0044388158652774,87673.12586169648,0.1584441982066659,0.5935176241498008,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3698298091974201,75.64649617947103,18.75265881696953,28.89801584257324,1560939066857595.8,31.7545271316008,890.933155745427,1823.84343281558,0.443881586528,0.0294986714381086,0.85222274058264,75.6467235155624,28.8902075597098,28.7625359587704,0.4438815865277399,1.0,895124426227869.8,31.821499104444577,1893602998795306.5,0.0248883347868419,2.2408977015221845e-05,3.16,35.8,2023-08-06 07:02:00,0.0044388158652774,0.1584442456365561,0.0,876.7312586169647,1,0.0044388158652774,1.2354372,-4.655294,0.1584442456365561,0.0,0.0,1.025264796512244,0.0,8343.905703079294,0.5494398083303564,0.8355333009652584,5.535689198040627,244.82075567862185,0.2003308124156547,inf,0.0,234.8654275088779,0.0,0.0,0.0,0 days,0.0042900816,2.605142e-07,12546.728,0.19605504,-296.34558,0.0,0.0,1.0,-9.67962278679895e-13,1.04239525e-11,2.310188e-16,0.0,0.0,0.0,7.48e-16,1.23906887968624e-13,9.455989935975372e-12,1273.7271818072657,8.343905703079294,2.4067845010648112e-11,0.0042900816,2.605142e-07,12546.728,0.19605504,-296.34558,0.0,0.0,0.0,-9.67962278679895e-13,1.04239525e-11,2.310188e-16,0.0,0.0,0.0,7.48e-16,1.23906887968624e-13,9.455989935975372e-12,1273.7271818072657,8.343905703079294,0.0
2,2,3,a35da8,FFT4000,37.72793527376854,-122.1945389457371,140.443333212,2255.52,-0.5431531939868467,34610D,288.702,-0.2850189,-4.629312,147.64444756298042,67445.01707714504,0.2905619186174477,1.467194713877362,69.75831511720513,124.2483893987914,3243.7532742634394,0.0039654556192897,77005.1164429154,0.2394247059400356,0.5813192926433761,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4334604047139848,62.12397189186924,18.65133769992256,31.49207378586506,1521967082192614.8,28.1417727625042,868.137891677769,1768.70334943863,0.396545561929,0.0281544991861605,0.733597356938681,62.1241946993957,26.0561323463102,25.95321602000504,0.39654556192897,1.0,875460413714564.9,29.083470067427964,1773508773837303.0,0.0221808268128497,2.191669863299221e-05,3.16,35.8,2023-08-06 07:03:00,0.0039654556192897,0.2394251420837606,0.0,770.051164429154,2,0.0039654556192897,-0.2850189,-4.629312,0.2394251420837606,0.0,0.0,0.9292064980667304,0.0,8800.317831566796,0.5458182071071531,0.8379036250013081,5.042379532822874,243.7070323344289,0.2777937172794997,inf,0.0,234.21242615638727,0.0,0.0,0.0,0 days,0.0039024472,3.5436187e-07,23500.424,0.27605584,-297.0528,0.0,0.0,1.0000000000000002,-9.055619465752001e-13,8.323316e-12,2.382529e-16,0.0,0.0,0.0,7.48e-16,9.741706063169862e-14,7.417754441463355e-12,1273.388127081014,8.800317831566796,1.4484022378853296e-11,0.0039024472,3.5436187e-07,23500.424,0.27605584,-297.0528,0.0,0.0,0.0,-9.055619465752001e-13,8.323316e-12,2.382529e-16,0.0,0.0,0.0,7.48e-16,9.741706063169862e-14,7.417754441463355e-12,1273.388127081014,8.800317831566796,0.0
3,3,4,a35da8,FFT4000,37.77085643703654,-122.11112644361413,151.246666536,3192.78,-0.5439136250227521,34610D,281.8674,2.7345486,-4.199785,162.42781476915886,67375.25876202782,0.3077290842802185,1.169851858816518,67.26698235734662,95.3719036160822,2371.0921222367365,0.0018232341759384,68406.5121293734,0.1637033552057148,0.5605581863112219,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4826087464700032,47.68591100846037,19.02521575941455,33.41164457259143,1493128295666237.8,23.50509600788,837.603395292513,1689.65219272322,0.182323417594,0.0261711889314058,0.584925929408259,47.6859518080411,22.3499945280033,22.30931941440503,0.18232341759384,1.0,826594923566169.9,26.78320201162632,1642889816644276.2,0.0196426297670727,2.0693376362380663e-05,3.16,35.8,2023-08-06 07:04:00,0.0018232341759384,0.1637036310518658,0.0,684.065121293734,3,0.0018232341759384,2.7345486,-4.199785,0.1637036310518658,0.0,0.0,0.8454638574154223,0.0,9892.240424891224,0.5446328920346316,0.8386745572115523,4.581960368088006,242.57668634171668,0.1780061716971621,inf,0.0,232.7342427282268,0.0,0.0,0.0,0 days,0.0017891879,5.1699567e-07,33210.79,0.17021221,-297.69022,0.0,0.0,1.0000000000000002,-8.502522787802417e-13,6.8510796e-12,2.5078925e-16,0.0,0.0,0.0,7.48e-16,7.900954591995947e-14,6.000827435753765e-12,1273.0300587624645,9.892240424891224,8.273568917349817e-12,0.0017891879,5.1699567e-07,33210.79,0.17021221,-297.69022,0.0,0.0,0.0,-8.502522787802417e-13,6.8510796e-12,2.5078925e-16,0.0,0.0,0.0,7.48e-16,7.900954591995947e-14,6.000827435753765e-12,1273.0300587624645,9.892240424891224,0.0
4,4,5,a35da8,FFT4000,37.81915283203125,-122.01690673828124,175.425555404,3878.58,-0.5446162007105766,34610D,277.01074,4.5458355,-3.870072,172.8608900432681,67307.99177967048,0.3204791022835924,1.289695867488942,65.31719575087054,102.8896565793494,2892.830491129807,0.000961718771095,62621.53768428498,0.1158067650457717,0.5443099645905878,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.518090541034948,51.444702107927775,19.02490467201822,34.77693743099513,1472616736748090.5,25.035183923279,856.774651621078,1746.08981088965,0.0961718771095,0.0275848756815393,0.644847933744471,51.4448282896747,23.3768656849893,23.35440531501009,0.0961718771095,1.0,809254635258867.9,25.18590124843908,1551867089504847.0,0.02178583214915,2.0259271213722e-05,3.16,35.8,2023-08-06 07:05:00,0.000961718771095,0.1158069024632809,0.0,626.2153768428498,4,0.000961718771095,4.5458355,-3.870072,0.1158069024632809,0.0,0.0,0.7875344649436528,0.0,11075.049151884848,0.2702733522962196,0.9627836283602684,4.270006539609435,241.7521329461456,0.1201939574237439,inf,0.0,231.746715766288,0.0,0.0,0.0,0 days,0.0009372547,4.0535414e-07,40309.715,0.112733044,-298.3633,0.0,0.0,1.0,-8.098007295044007e-13,5.910037e-12,2.4218355e-16,0.0,0.0,0.0,7.480000000000001e-16,6.729325880409838e-14,5.1002365584222735e-12,1272.624740437274,11.075049151884846,8.598110690231402e-12,0.0009372547,4.0535414e-07,40309.715,0.112733044,-298.3633,0.0,0.0,0.0,-8.098007295044007e-13,5.910037e-12,2.4218355e-16,0.0,0.0,0.0,7.480000000000001e-16,6.729325880409838e-14,5.1002365584222735e-12,1272.624740437274,11.075049151884846,0.0
5,5,6,a35da8,FFT4000,37.84593200683594,-121.895823377244,188.286666504,4716.780000000001,-0.545690626090344,34610D,270.44974,4.342585,-2.4956045,183.1482641427372,67242.67458391961,0.3326028791079344,1.21799810443585,63.57679395242449,95.1812159495206,2594.5580636692507,0.0004034105778618,56095.64736871224,0.0745227062244772,0.5298066162702041,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5555417821086635,47.59093462395565,18.91170825021016,36.28235539,1450000000000000.0,23.702439171296,850.718543762875,1737.34492343619,0.0403410577862,0.027432547169994,0.608999052217925,47.5906079747603,22.1998725981981,22.190920546117304,0.04034105778618,1.0,797259739188335.4,23.17588197117245,1438353518095209.5,0.0212064973645285,1.9958985194852806e-05,3.16,35.8,2023-08-06 07:06:00,0.0004034105778618,0.0745227161693792,0.0,560.9564736871223,5,0.0004034105778618,4.342585,-2.4956045,0.0745227161693792,0.0,0.0,0.7225785161127182,0.0,11555.26906799532,0.2328721522021101,0.9725073576733276,3.892632873334672,240.68013061374117,0.0725889191320508,inf,0.0,230.58959601328587,0.0,0.0,0.0,0 days,0.00038949936,3.193283e-07,48947.83,0.067302234,-299.4619,0.0,0.0,1.0,-7.606579867153338e-13,4.8329877e-12,2.355524e-16,0.0,0.0,0.0,7.48e-16,5.3923838916266304e-14,4.072329732548705e-12,1272.4000012971578,11.55526906799532,6.311167997018473e-12,0.00038949936,3.193283e-07,48947.83,0.067302234,-299.4619,0.0,0.0,0.0,-7.606579867153338e-13,4.8329877e-12,2.355524e-16,0.0,0.0,0.0,7.48e-16,5.3923838916266304e-14,4.072329732548705e-12,1272.4000012971578,11.55526906799532,0.0
6,6,7,a35da8,FFT4000,37.87001037597656,-121.76807809383313,198.06111094,5471.16,-0.5467959102822958,34610D,264.26862,4.1850038,-1.6102983,193.92286541812896,67179.09778996719,0.3445615094305117,1.160195737601424,62.175125602023535,88.7054791223398,2638.035398340907,0.000209733752733,50703.89705154055,0.059591986174291,0.5181260466835295,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5950636972237963,44.35288295420028,18.72896272964014,36.28235539,1450000000000000.0,22.6247336904472,845.090306855508,1729.22483903507,0.0209733752733,0.0273014234405995,0.580097868800712,44.3527395611699,21.2478983032825,21.243442836295475,0.0209733752733,1.0,796013794511734.1,21.618636589083497,1348705206980864.5,0.0205374849439921,1.992779361432824e-05,3.16,35.8,2023-08-06 07:07:00,0.000209733752733,0.0595919802501193,0.0,507.0389705154056,6,0.000209733752733,4.1850038,-1.6102983,0.0595919802501193,0.0,0.0,0.6684026945600453,0.0,11894.554073287172,0.2292633503819623,0.9733644313265396,3.582081613350357,239.72654076200783,0.0546492383700338,inf,0.0,229.6595796341508,0.0,0.0,0.0,0 days,0.00020013718,4.2195265e-07,56696.703,0.054211933,-300.71317,0.0,0.0,1.0,-7.165858358395743e-13,3.980015e-12,2.4346302e-16,0.0,0.0,0.0,7.48e-16,4.3416045615964896e-14,3.263429430848279e-12,1272.1979281557883,11.894554073287171,4.6655623739703345e-12,0.00020013718,4.2195265e-07,56696.703,0.054211933,-300.71317,0.0,0.0,0.0,-7.165858358395743e-13,3.980015e-12,2.4346302e-16,0.0,0.0,0.0,7.48e-16,4.3416045615964896e-14,3.263429430848279e-12,1272.1979281557883,11.894554073287171,0.0
7,7,8,a35da8,FFT4000,37.8944091796875,-121.63641747007978,204.234444268,6240.780000000001,-0.5478786267642506,34610D,258.2947,6.39023,-0.48475996,200.1910764809609,67116.92266436516,0.3522293949924926,0.98414389363453,60.66121167569882,74.5110910696026,2372.609855821482,0.0001441547335217,45643.61268941082,0.063155269942062,0.5055100972974902,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6213612602731022,37.25579258042462,18.456620882478763,36.28235539,1450000000000000.0,19.8332829139495,821.877433770933,1670.67940992435,0.0144154733522,0.0259114638775308,0.492071946817265,37.2555455348013,18.9905112711122,18.98777409359757,0.01441547335217,0.9329854319412924,819387978400375.1,19.74057140446638,1243832436026476.2,0.0182789063844775,1.7193674604134913e-05,3.16,35.8,2023-08-06 07:08:00,0.0001441547335217,0.0631553611804406,0.0,456.4361268941082,7,0.0001441547335217,6.39023,-0.48475996,0.0631553611804406,0.0,0.0,0.6156118420061124,0.0,12650.034778877194,0.2264116328710657,0.9740317102131004,3.262573400023612,238.6657937269668,0.0546184356886619,inf,0.0,228.7003755356072,0.0,0.0,0.0,0 days,0.00014242504,9.8075e-07,64585.293,0.060989268,-302.7578,0.0,0.0,0.9999999999999998,-6.717306181810322e-13,3.2753123e-12,2.8653698e-16,0.0,0.0,0.0,7.48e-16,3.4881097858203145e-14,2.6035816063335655e-12,1271.9931658281266,12.650034778877194,2.8101613465977397e-12,0.00014242504,9.8075e-07,64585.293,0.060989268,-302.7578,0.0,0.0,0.0,-6.717306181810322e-13,3.2753123e-12,2.8653698e-16,0.0,0.0,0.0,7.48e-16,3.4881097858203145e-14,2.6035816063335655e-12,1271.9931658281266,12.650034778877194,0.0
8,8,9,a35da8,FFT4000,37.9200439453125,-121.49616647273936,209.893333152,6934.200000000001,-0.548941779660159,34610D,253.42,13.104027,3.7594907,199.20801698742545,67056.26145268946,0.3540146885047766,0.900372886325546,59.17073376967322,68.852278466277,2085.647006918456,8.130285542533342e-05,41442.16772350145,0.05113093419529,0.4930894480806101,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6242284750202357,34.42645793866132,18.152474131069333,36.28235538999999,1450000000000000.2,18.2794891863719,810.832212692813,1651.3206337754,0.00813028554253,0.0255524097010589,0.450186443162773,34.4261392331385,17.6181600259845,17.616727735716335,0.0081302855425333,0.8781104417808597,851175213139892.6,17.619887804811345,1129171938978626.0,0.0172024430621138,1.5256183488510237e-05,3.16,35.8,2023-08-06 07:09:00,8.130285542533343e-05,0.0511309831323461,0.0,414.42167723501456,8,8.130285542533343e-05,13.104027,3.7594907,0.0511309831323461,0.0,0.0,0.5696971230260708,0.0,12759.689666409362,0.2255969394897871,0.9742207249349816,2.9702827624194623,237.6115880945591,0.0421447096868882,inf,0.0,227.70036884766043,0.0,0.0,0.0,0 days,7.953717e-05,1.2852653e-06,71726.336,0.046074845,-304.9995,0.0,0.0,1.0,-6.311325574332915e-13,2.791119e-12,3.1001004000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,2.9137832149140946e-14,2.159986316727608e-12,1271.778030924767,12.75968966640936,2.007311569099652e-12,7.953717e-05,1.2852653e-06,71726.336,0.046074845,-304.9995,0.0,0.0,0.0,-6.311325574332915e-13,2.791119e-12,3.1001004000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,2.9137832149140946e-14,2.159986316727608e-12,1271.778030924767,12.75968966640936,0.0
9,9,10,a35da8,FFT4000,37.94581604003906,-121.35457140334108,218.6388887,7543.8,-0.5499729275446938,34610D,249.4222,19.702961,8.975973,198.14031884669075,66997.09071891979,0.3553149697135299,0.856679866343512,57.63130412202497,66.1059645795356,1958.105886031302,4.679326524377831e-05,38012.54249929331,0.0398312013334628,0.4802608676835414,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6258388579092888,33.05318378024981,17.843587155380177,36.28235539,1450000000000000.0,17.3386441998613,806.295240793326,1649.41787083082,0.00467932652438,0.0256142437311964,0.428339933171756,33.0529822897678,16.722724186858,16.72194171260405,0.0046793265243778,0.8563315199617098,856457588987160.0,15.853447242989576,1033322958130697.6,0.0167225732761653,1.436079508699394e-05,3.16,35.8,2023-08-06 07:10:00,4.679326524377832e-05,0.0398311997208213,0.0,380.1254249929332,9,4.679326524377832e-05,19.702961,8.975973,0.0398311997208213,0.0,0.0,0.5309263279208106,0.0,13320.675217992795,0.2239060627738361,0.9746107300112796,2.7298851751421966,236.6733571350726,0.0315590516401331,inf,0.0,226.8124253529297,0.0,0.0,0.0,0 days,4.812865e-05,1.6751123e-06,78003.33,0.039089624,-306.8427,0.0,0.0,1.0,-5.954534300066063e-13,2.4634043e-12,3.4006075e-16,0.0,0.0,0.0,7.479999999999999e-16,2.5371422468423532e-14,1.8679509021939145e-12,1271.5617435129975,13.320675217992797,1.6056037551397945e-12,4.812865e-05,1.6751123e-06,78003.33,0.039089624,-306.8427,0.0,0.0,0.0,-5.954534300066063e-13,2.4634043e-12,3.4006075e-16,0.0,0.0,0.0,7.479999999999999e-16,2.5371422468423532e-14,1.8679509021939145e-12,1271.5617435129975,13.320675217992797,0.0
