,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.5745643239844552,34610D,282.31635,3.619566,-1.0806373,97.45931502301993,66707.31994714624,0.230999157926654,1.0913635355873292,59.97368054606283,111.3109578583172,1604.5432665396745,0.0081650352006261,89976.97737353944,0.9314736892646632,0.4997806712171903,0.6619002990754458,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.2893427250488316,55.65556988348672,14.27032292284585,19.19389073840994,1264682470972678.8,23.0610302051299,757.233221759853,1409.38134994144,0.816503520063,0.0191346022523539,0.532137461769485,55.6554789291586,27.8102180934554,27.58498571409108,0.8165035200626101,0.6459381419922977,1335742889268718.5,1.0913635355873292,0.014804509135641752,1.9485919397087305e-05,3.16,35.8,2023-08-06 08:02:00,0.008165035200626137,0.9314731726974753,0.0,0,899.7697737353944,0.008165035200626137,3.619566,-1.0806373,0.9314731726974753,1.200884,0.0,1.1102935527775857,759.6950987590254,6667.509382517012,0.9966805091004685,0.0814123011542548,5.455066008929829,244.6449161610219,1.0172055361559966,inf,0.0,244.6449161610219,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.008001971,7.3999786e-07,9093.215,0.9964171,-239.58539,0.0,0.0,1.0000000000000002,-9.380908575848492e-13,8.419507e-12,2.6797902e-16,0.0,0.0,0.0,7.48e-16,9.827438929663557e-14,7.481416176044796e-12,1125.9308969163997,7.25268000108967e-12,1.547780497078235e-13,0.0,0.008001971,7.3999786e-07,9093.215,0.9964171,-239.58539,0.0,0.0,0.0,-9.380908575848492e-13,8.419507e-12,2.6797902e-16,0.0,0.0,0.0,7.48e-16,9.827438929663557e-14,7.481416176044796e-12,1125.9308969163997,7.25268000108967e-12,1.547780497078235e-13,0.0
1,1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.576479640416244,34610D,279.52682,2.410394,-1.5867606,115.95477674336394,66647.34626660019,0.2804679755925295,1.23423876534207,79.28311183677951,128.4621709990078,2687.092900538061,0.0072184304215996,84781.45509278591,0.9639531207565896,0.6606925986398293,0.9006998191263516,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3459665293971873,64.23109135163588,17.174229850315914,31.26358814220061,1525399749926227.2,26.8919484913489,792.595450256685,1490.07251364973,0.72184304216,0.0207799935283248,0.653425085754574,64.2310854995039,31.4449128612049,31.219556663635263,0.72184304215996,0.7787833982015985,1651297658090621.0,1.23423876534207,0.017560369212628157,2.629419823994552e-05,3.16,35.8,2023-08-06 08:03:00,0.007218430421599606,0.963953406680069,0.0,1,847.814550927859,0.007218430421599606,2.410394,-1.5867606,0.963953406680069,1.1556927,0.0,1.0566224429515116,762.227710173186,7473.160672911053,0.9768031916927631,0.2141390312363241,5.489008486133185,244.71922401892007,1.024953476803466,inf,0.0,244.71922401892007,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0070672543,9.094386e-07,13915.836,1.0029882,-240.88863,0.0,0.0,1.0,-9.129428195870092e-13,7.72322e-12,2.8104005e-16,0.0,0.0,0.0,7.479999999999999e-16,8.956263691586201e-14,6.810276682357409e-12,1125.135601418529,8.856228890387439e-12,1.7504072909182466e-13,0.0,0.0070672543,9.094386e-07,13915.836,1.0029882,-240.88863,0.0,0.0,0.0,-9.129428195870092e-13,7.72322e-12,2.8104005e-16,0.0,0.0,0.0,7.479999999999999e-16,8.956263691586201e-14,6.810276682357409e-12,1125.135601418529,8.856228890387439e-12,1.7504072909182466e-13,0.0
2,2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.5784831540168476,34610D,274.75027,0.015264339,-0.8239493,132.60115211707543,66568.0631547634,0.3018288370131041,1.2191553429942463,80.9204516210565,119.4136348072734,2795.1004605330813,0.0056925591345071,76639.32731338663,1.0068010654966002,0.6743370968421375,0.960059517765794,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3990574647191338,59.70658671970559,18.62386237816113,36.20574086775844,1451151022857309.0,26.1370280918085,795.795250040006,1499.03194718451,0.569255913451,0.0209545115109184,0.638606123167792,59.7068174036367,30.4758296481904,30.30332617198412,0.56925591345071,0.7916882797320612,1592456971287233.5,1.2191553429942463,0.01810295526620224,2.551861097373676e-05,3.16,35.8,2023-08-06 08:04:00,0.005692561411224916,1.0068021022834475,0.0,2,766.3932731338663,0.005692561411224916,0.015264339,-0.8239493,1.0068021022834475,1.1030729,9.586632e-07,0.9717532573322654,764.8769379398927,8125.8125102326585,0.8201398934232258,0.5721630495022725,5.106984208260573,243.8582486778647,1.0224075303726559,inf,0.0,243.8582486778647,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.005556401,1.0700134e-06,22005.941,0.9946292,-242.44162,0.0,0.0,1.0,-8.709514648322453e-13,6.632023e-12,2.934177e-16,0.0,0.0,0.0,7.480000000000001e-16,7.593535068185697e-14,5.761071768393913e-12,1124.264894787767,7.628919994410171e-12,1.7290158606771845e-13,0.0,0.005556401,1.0700134e-06,22005.941,0.9946292,-242.44162,0.0,0.0,0.0,-8.709514648322453e-13,6.632023e-12,2.934177e-16,0.0,0.0,0.0,7.480000000000001e-16,7.593535068185697e-14,5.761071768393913e-12,1124.264894787767,7.628919994410171e-12,1.7290158606771845e-13,0.0
3,3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.5808642766878047,34610D,270.15344,-0.42244613,0.48845616,147.7186902273484,66487.14270314234,0.2886197872262555,1.014148796908042,60.66760107513709,85.2655843037664,1791.0848924116149,0.0042569198713174,68873.98399781724,0.9898870151678306,0.5055633422928091,0.7574849685445723,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4483192533032251,42.63292839940284,15.317455439640348,24.987186483121608,1538127507220131.8,20.8339269727031,760.453886620076,1411.4851439685,0.425691987132,0.019037297862488,0.4785538082574,42.6327921518832,25.137696101313,25.03114054173913,0.42569198713174,0.6572104441573519,1137158867905403.5,1.014148796908042,0.015580674356801334,1.6747274530286e-05,3.16,35.8,2023-08-06 08:05:00,0.004256919871317437,0.9898880669254929,0.0,3,688.7398399781724,0.004256919871317437,-0.42244613,0.48845616,0.9898880669254929,0.9947771,4.084076e-06,0.8881517015199969,768.0254458864727,9048.399248069316,0.8267242315425097,0.5626073630698827,4.49875836882914,242.3617525541887,0.9614283973461998,inf,0.0,239.58782345034743,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004161727,9.786205e-07,30386.998,0.93702745,-243.97809,0.0,0.0,0.9999999999999998,-8.27530468117079e-13,5.656214e-12,2.8637281e-16,0.0,0.0,0.0,7.48e-16,6.380726384271187e-14,4.8286839245816056e-12,1123.4697856436019,4.57791747211237e-12,1.4382739369653605e-13,0.0,0.004161727,9.786205e-07,30386.998,0.93702745,-243.97809,0.0,0.0,0.0,-8.27530468117079e-13,5.656214e-12,2.8637281e-16,0.0,0.0,0.0,7.48e-16,6.380726384271187e-14,4.8286839245816056e-12,1123.4697856436019,4.57791747211237e-12,1.4382739369653605e-13,0.0
4,4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.5832473988400856,34610D,266.63788,-0.48345196,0.501863,158.45358234641043,66426.47510206721,0.305029857039528,1.043363057508842,64.34997017083268,86.4285413073168,1992.8510803412444,0.0030521811695141,64250.40779201729,0.8937032087701654,0.5362497514236056,0.8249399279557518,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4840590374029941,43.21498211232386,16.05676772556536,29.602244315661604,1550359048271343.8,21.3540098065171,769.64049791782,1434.24301426485,0.305218116951,0.0194978685742786,0.49813230533387,43.2142706536584,25.5480389272395,25.47029896037076,0.30521811695141,0.6902847671908099,1179388700321605.5,1.043363057508842,0.016529858677056124,1.7813126296412083e-05,3.16,35.8,2023-08-06 08:06:00,0.0030521811695141056,0.8937044629083507,0.0,4,642.5040779201729,0.0030521811695141056,-0.48345196,0.501863,0.8937044629083507,0.8797306,3.9260785e-06,0.8394532011715157,771.1765988919016,9736.546908630891,0.796178705015712,0.6050615420595693,4.291401086862897,241.81035979042497,0.8387823539113698,inf,0.0,236.63948155898171,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0029793808,9.652533e-07,35749.047,0.8311343,-245.18047,0.0,0.0,1.0,-7.996816224059182e-13,5.0254857e-12,2.8534242e-16,0.0,0.0,0.0,7.48e-16,5.5968796079266816e-14,4.225804126491539e-12,1122.5707531398841,4.3728563349782736e-12,1.4797058350634998e-13,0.0,0.0029793808,9.652533e-07,35749.047,0.8311343,-245.18047,0.0,0.0,0.0,-7.996816224059182e-13,5.0254857e-12,2.8534242e-16,0.0,0.0,0.0,7.48e-16,5.5968796079266816e-14,4.225804126491539e-12,1122.5707531398841,4.3728563349782736e-12,1.4797058350634998e-13,0.0
5,5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.5856953814668218,34610D,262.64435,-0.8194131,0.3955078,168.4394689536842,66362.12513189638,0.3135599967316892,1.022507080639739,63.45104006120931,81.9076659862184,1917.1447668883263,0.0021483644676246,59404.634976163914,0.8258360894898902,0.5287586671767442,0.8364878081697585,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5184621372029851,40.9539980718008,16.190343724362332,31.46515421707715,1522371509944394.0,20.7531963193628,769.21374660426,1434.2871423667,0.214836446762,0.0194928272002248,0.484077020288574,40.9538329931092,24.8335972671522,24.7803600221856,0.21483644676246,0.6887253611381877,1137299607505627.0,1.022507080639739,0.016649256834133406,1.7158372026613096e-05,3.16,35.8,2023-08-06 08:07:00,0.0021483644676246285,0.8258358532014884,0.0,5,594.0463497616391,0.0021483644676246285,-0.8194131,0.3955078,0.8258358532014884,0.76259947,3.8743565e-06,0.7879428476979149,774.4135125227804,10422.131734241842,0.7498966969135705,0.661554944020613,4.013925427199197,241.0343620344857,0.7453831199253518,inf,0.0,234.8397565806288,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0021004498,9.636238e-07,41717.387,0.7808488,-246.21124,0.0,0.0,1.0000000000000002,-7.687388142085265e-13,4.378001e-12,2.8521685e-16,0.0,0.0,0.0,7.48e-16,4.7953625153959065e-14,3.6092621776770606e-12,1121.6367633031678,3.686641077382047e-12,1.450127721819923e-13,0.0,0.0021004498,9.636238e-07,41717.387,0.7808488,-246.21124,0.0,0.0,0.0,-7.687388142085265e-13,4.378001e-12,2.8521685e-16,0.0,0.0,0.0,7.48e-16,4.7953625153959065e-14,3.6092621776770606e-12,1121.6367633031678,3.686641077382047e-12,1.450127721819923e-13,0.0
6,6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.5882396712975582,34610D,258.88358,-1.6388189,0.73574626,177.46752190785529,66298.67409183517,0.31997982895621085,0.9981089399835112,62.04383757293414,77.4396000368492,1917.8917853186424,0.0017800221751271,55026.440867802725,0.8905873433109004,0.5170319797744511,0.841614685552361,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5502041586676053,38.71993302812157,16.101185114044494,32.86231130808135,1501381236821932.8,20.0740862545072,767.827067064622,1432.69237973429,0.178002217513,0.0194718733630507,0.468120039730368,38.7198000184246,24.0408321789243,23.998115002059382,0.17800221751271,0.6836582496883833,1094475090571334.4,0.9981089399835112,0.016523722688548508,1.645199260370329e-05,3.16,35.8,2023-08-06 08:08:00,0.0017800221751271758,0.8905866041805899,0.0,6,550.2644086780273,0.0017800221751271758,-1.6388189,0.73574626,0.8905866041805899,0.6617348,2.3089472e-06,0.7404732372073335,777.7777660875956,10810.56932148757,0.7487558998275375,0.6628458361289257,3.752005213312581,240.25698526841066,0.7746785098647035,inf,0.0,234.40832448431766,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0017408007,1.2326612e-06,47435.03,0.8524059,-247.09663,0.0,0.0,0.9999999999999999,-7.391235911769271e-13,3.8230157e-12,3.0595516e-16,0.0,0.0,0.0,7.479999999999998e-16,4.1144551420784424e-14,3.083892020987506e-12,1120.6949277017593,3.0516607859324596e-12,1.4155260835561352e-13,0.0,0.0017408007,1.2326612e-06,47435.03,0.8524059,-247.09663,0.0,0.0,0.0,-7.391235911769271e-13,3.8230157e-12,3.0595516e-16,0.0,0.0,0.0,7.479999999999998e-16,4.1144551420784424e-14,3.083892020987506e-12,1120.6949277017593,3.0516607859324596e-12,1.4155260835561352e-13,0.0
7,7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.5907818192164024,34610D,255.24811,-1.6792997,1.9294033,183.7872015687973,66236.63025426223,0.3220051147355822,0.9569668358631948,59.06504946651998,72.1482549386194,1842.171780505344,0.0012404784079828,50913.27576770084,0.8054832376302806,0.4922087455543332,0.8249997269766033,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5738405035225409,36.07358526740028,15.8624993471052,32.96349832852596,1499861047568157.5,19.0684845461402,763.300046073179,1423.83587223946,0.124047840798,0.0192987689621019,0.442274897684326,36.0741274693097,22.9172595699158,22.888866425331976,0.12404784079828,0.6673172717943717,1025053604663502.0,0.9569668358631948,0.01621540091174702,1.5219168390819109e-05,3.16,35.8,2023-08-06 08:09:00,0.001240478407982815,0.8054836339388146,0.0,7,509.1327576770084,0.001240478407982815,-1.6792997,1.9294033,0.8054836339388146,0.57953125,4.321536e-06,0.6948818276649098,781.1391890008925,11147.298906109525,0.7476758120633196,0.6640639126284876,3.480299164968097,239.39804478727117,0.6760053226615458,inf,0.0,232.6851824035137,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0012123667,1.1359454e-06,53218.66,0.7735671,-247.75813,0.0,0.0,1.0,-7.09201464894485e-13,3.3491664e-12,2.9849997e-16,0.0,0.0,0.0,7.479999999999999e-16,3.5366043720470727e-14,2.6399649039557186e-12,1119.7193260824313,2.4579553066138998e-12,1.3571780223558697e-13,0.0,0.0012123667,1.1359454e-06,53218.66,0.7735671,-247.75813,0.0,0.0,0.0,-7.09201464894485e-13,3.3491664e-12,2.9849997e-16,0.0,0.0,0.0,7.479999999999999e-16,3.5366043720470727e-14,2.6399649039557186e-12,1119.7193260824313,2.4579553066138998e-12,1.3571780223558697e-13,0.0
8,8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.593318460318814,34610D,251.43036,-0.68001634,3.3446171,187.5838090960822,66177.56520479571,0.32221292313764,0.9145467038992212,55.99433563148781,67.598168923387,1638.4696687710718,0.0009018195821032,47200.44144697906,0.7827524607848259,0.4666194635957318,0.7997023615158619,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5901245588125998,33.79899138387528,15.529480914332142,32.773028471212946,1502722582861746.2,18.0720155445047,757.299559952825,1413.10933863207,0.0901819582103,0.0191104538417339,0.416858002408129,33.7990844616935,21.8130875310656,21.79343378571637,0.09018195821032,0.6461696970526737,958114997442178.8,0.9145467038992212,0.01579797849664763,1.3979853009260663e-05,3.16,35.8,2023-08-06 08:10:00,0.0009018195821032324,0.7827533040064573,0.0,8,472.0044144697906,0.0009018195821032324,-0.68001634,3.3446171,0.7827533040064573,0.44129246,4.574241e-06,0.6539895246673376,784.4933321406866,11484.907125089065,0.7476053739662908,0.6641432110747819,3.226546928631063,238.5404825643002,0.6326277783864485,inf,0.0,231.54592259792935,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00088079117,9.101645e-07,58774.543,0.7583562,-248.0783,0.0,0.0,1.0,-6.804837783679793e-13,2.926569e-12,2.81096e-16,0.0,0.0,0.0,7.48e-16,3.0228204061658576e-14,2.2460852339731735e-12,1118.70831393858,1.947084907093551e-12,1.2970174518435068e-13,0.0,0.00088079117,9.101645e-07,58774.543,0.7583562,-248.0783,0.0,0.0,0.0,-6.804837783679793e-13,2.926569e-12,2.81096e-16,0.0,0.0,0.0,7.48e-16,3.0228204061658576e-14,2.2460852339731735e-12,1118.70831393858,1.947084907093551e-12,1.2970174518435068e-13,0.0
9,9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.5958467671993265,34610D,247.79404,0.17119993,4.477573,191.29111727473608,66121.57086916422,0.3226107863190976,0.8736190309955125,53.097713851274406,63.3997586939194,1458.3434886244884,0.0006964380856401,44081.94845354482,0.8084287858846796,0.44248094876062,0.7712094037199996,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6061869180225321,31.700027463274647,15.174666485550787,32.25165646538399,1510555446375246.8,17.1709284444409,750.653693351644,1400.57025164581,0.069643808564,0.0188849316314075,0.393370522468569,31.6998793469597,20.8298621433374,20.81536553001578,0.06964380856401,0.6232523375332736,896169152698712.0,0.8736190309955125,0.015341336730062716,1.2805156221928079e-05,3.16,35.8,2023-08-06 08:11:00,0.0006964380856401862,0.8084287027018232,0.0,9,440.8194845354482,0.0006964380856401862,0.17119993,4.477573,0.8084287027018232,0.3189926,3.4990012e-06,0.6197440626489606,787.8364570696345,11757.48582909717,0.7464831767142834,0.6654042882958839,3.0146078944799,237.77720243335693,0.6302989725912648,inf,0.0,230.81753762017033,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00068082515,6.778982e-07,63660.395,0.79362994,-248.59875,0.0,0.0,1.0,-6.5524086429812e-13,2.5769616e-12,2.6319217e-16,0.0,0.0,0.0,7.48e-16,2.599356317752953e-14,1.9217208475692947e-12,1117.6664744175985,1.5453499433921634e-12,1.2389734987100839e-13,0.0,0.00068082515,6.778982e-07,63660.395,0.79362994,-248.59875,0.0,0.0,0.0,-6.5524086429812e-13,2.5769616e-12,2.6319217e-16,0.0,0.0,0.0,7.48e-16,2.599356317752953e-14,1.9217208475692947e-12,1117.6664744175985,1.5453499433921634e-12,1.2389734987100839e-13,0.0
