,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
48,50,adbb36,NKS2975,38.53156655521716,-74.96405029296875,194.459999832,11064.24,-0.5664409057613142,34610D,226.06596,23.400385,-8.56508,202.8157064746133,65500.68433698865,0.3277987426811033,0.4917967454720452,29.50780472832272,34282.36759500652,0.0,2023-08-06 04:50:00,0.0001656662748046,0.2240359879549159,1.0625712395464793,0.2458983727360226,0.6052502846049064,0.0113339064201621,0.0006598379529165,0.0001358982610026,2.9930867495815372e-05,1545421958268929.0,93.21515513677146,36.5011544489352,0.0354093656739872,0.0007226401157956,0.0005901560945664,0.3344386974552272,0.0194703694669975,0.0040100593485837,0.0008831941934158,4.5602009367461656e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,10.560765815637472,1.5823653096138597,0.6728855407933881,17.14118379750326,11.333906420162126,29.930867495815377,1545421958268929.0,12.5555600720704,750.56977621225,1116.56358010727,0.0165666274805,0.0162626357707317,0.176882496864582,17.1413027975696,10.8766192244754,10.874817633948803,14.56729623855974,0.5229707793521072,1.1026987283461789,266057183562658.7,3.1954762727443997
49,51,adbb36,NKS2975,38.45368466134799,-75.0521240234375,191.887777612,11064.24,-0.5677042886018824,34610D,226.15549,22.957092,-8.321042,203.5741963027812,65471.17653226033,0.3284113351933334,0.4875022679890903,29.25013607934542,33919.66139337825,0.0,2023-08-06 04:51:00,0.0001668924535892,0.2240359879549159,1.0589693132750178,0.2437511339945451,0.6012545778952451,0.0112928067628376,0.0006607005951962,0.0001359380951521,2.946073873855056e-05,1552484965772701.8,92.40117987465216,36.18241833015029,0.0351001632952145,0.0007163298631676,0.0005850027215869,0.330316134530752,0.0193255823171959,0.0039762077815679,0.0008617306171006,4.541039650998944e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,10.650672649484678,1.5958233805318531,0.6752683334766935,16.959830696689124,11.2928067628376,29.46073873855056,1552484965772701.8,12.4998891560398,749.870600283787,1111.85633518968,0.0166892453589,0.0161792349580697,0.175252402089287,16.9602258458421,10.8319338054904,10.830126339132983,14.751728621267146,0.5209646542127881,1.0747145419642474,261771895656056.94,3.1330683676954934
50,52,adbb36,NKS2975,38.37668725999735,-75.13908054517663,190.34444428,11064.24,-0.5689492262951898,34610D,226.24649,22.63146,-8.051716,204.0375266889835,65441.926396180985,0.3292051983598826,0.4588795135932479,27.53277081559488,31932.635330447552,-26.11630490600389,2023-08-06 04:52:00,0.0001668264942698,0.2240359879549159,1.047034081538698,0.2294397567966239,0.567033726946544,0.0109939903968236,0.000661578391529,0.0001349037361637,2.648706297492104e-05,1597160161466955.5,86.97602300646422,34.05803749889087,0.0330393249787138,0.000674271938341,0.0005506554163118,0.3026950179445962,0.01821508623052,0.0037142736499632,0.0007292622344667,4.39742446814682e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,11.40770640246003,1.709252852702222,0.6766690546315177,15.966317665223777,10.993990396823635,26.48706297492104,1597160161466955.5,12.0846569564849,743.514477962642,1075.92931948655,0.016682649427,0.0156102246748526,0.163647493954394,15.9663135859796,10.4833528897263,10.481604280429872,16.323850969963136,0.5030817098530187,0.8747932158085211,234664717412242.5,2.7166142319214264
51,53,adbb36,NKS2975,38.29994201660156,-75.22560931266622,190.34444428,11056.62,-0.5701840948664127,34610D,226.4013,22.305794,-7.7927947,203.08911685716376,65414.39362536539,0.3286155820820647,0.4671781052730201,28.030686316381207,32603.44117956574,52.24777704129284,2023-08-06 04:53:00,0.0001673314278893,0.2243053510781405,1.0321012890859231,0.23358905263651,0.5775690817795819,0.0110788719151905,0.0006622613330999,0.0001354239010152,2.7395548549907444e-05,1583511474093458.5,88.54893807344823,34.673958973363554,0.0336368235796574,0.0006864657873399,0.0005606137263276,0.3105483833940716,0.0185636396875931,0.0037960248890984,0.0007679160278676,4.438691340870414e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,11.84630176486875,1.774963006140789,0.6732934979756188,16.30172058978287,11.078871915190543,27.39554854990744,1583511474093458.5,12.2400408344232,746.356188485271,1074.60129069184,0.0167331427889,0.015678914568606,0.165705884547049,16.3016003526827,10.5687089384901,10.566940757204776,16.81405459015845,0.5109993475118547,0.8419688299308064,238561520478916.53,2.8042116846131186
52,54,adbb36,NKS2975,38.21785102456303,-75.3079953400985,199.604444272,11071.86,-0.5714916676725221,34610D,226.37793,22.130138,-7.482836,201.5896464217076,65386.36293904901,0.3235322249842637,0.5396912056947383,32.381472341684294,37357.1830760836,26.12507527622317,2023-08-06 04:54:00,0.0001639525358635,0.2237669483036539,1.0116659337699216,0.2698456028473691,0.667674534770912,0.011807724771148,0.0006636605135,0.0001387538420633,3.5030944598337085e-05,1468800644877034.0,102.29307112738068,40.05588128666348,0.0388577668100211,0.0007930156491841,0.0006476294468336,0.3823515130951501,0.0214903045621706,0.0044930536990764,0.0011343535636141,4.756192745753373e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,11.470593227013872,1.7187083512046526,0.6683568478933593,18.6785915380418,11.80772477114802,35.03094459833709,1468800644877034.0,13.2869493646,764.631598821365,1134.14113311304,0.0163952535864,0.016830960254144,0.190697772382581,18.6779495212707,11.3301778094111,11.328320502537636,15.188179551352713,0.564205460616645,1.082545658282798,297951414072443.0,3.809285923909225
53,55,adbb36,NKS2975,38.1275396831965,-75.38143655528194,199.604444272,11079.48,-0.5729157744351312,34610D,226.42188,22.091923,-7.115385,204.78108773865583,65353.98146670732,0.3216039350845877,0.5815272049177903,34.89163229506742,39389.5485502894,26.130262489767848,2023-08-06 04:55:00,0.0001607819075146,0.2234982317359047,0.9856990923541042,0.2907636024588951,0.7228731492676955,0.0122231804280561,0.0006649000769644,0.0001407127863338,3.628235539e-05,1450000000000000.0,110.22266642011796,43.1609491489984,0.0418699587540808,0.0008544889541649,0.0006978326459013,0.4264867169719994,0.0231994489984061,0.0049096987999739,0.0012659506030668,5.059286682784775e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,10.770631597311318,1.6138630169033443,0.6788719845037466,19.6947742751447,12.223180428056136,36.28235538999999,1450000000000000.0,13.872250525729,775.81040318669,1176.30582723827,0.0160781907515,0.0174997347481671,0.206166258633865,19.6939594236879,11.7811076339577,11.77921374950203,13.717018263866024,0.5988139534516054,1.3618050462239113,330648511874792.9,4.407853965173394
54,56,adbb36,NKS2975,38.03778076171875,-75.45451062790892,197.546666496,11087.1,-0.5743240024954103,34610D,226.46782,22.070726,-6.7662964,209.95792191275996,65319.089834412254,0.3294657210445944,0.5380540246773328,32.283241480639965,36415.251381976246,0.0,2023-08-06 04:56:00,0.0001584308037224,0.2232298378636845,0.9647874170199758,0.2690270123386664,0.6733107614812309,0.0118310822051415,0.000666161376343,0.0001394559528612,3.442662121398852e-05,1477879733387152.5,101.98275983734165,39.93436971155164,0.0387398897767679,0.0007906099954442,0.0006456648296127,0.3819456838058879,0.0215058485775583,0.0045020902021337,0.0011114029260137,4.7710748312281256e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,11.170347191542822,1.6737823516480088,0.6959630714704977,18.207625690988124,11.83108220514158,34.42662121398851,1477879733387152.5,13.3141752475891,764.859017565378,1137.8037159346,0.0158430803722,0.0167578150616447,0.190926976284169,18.2084976650287,11.3933096636901,11.391504898413437,14.709093590944608,0.5648889722136967,1.1473927452042985,295250173605560.25,3.778179970832978
55,57,adbb36,NKS2975,37.95078083620233,-75.53082673445994,194.974444276,11087.1,-0.5756825299469599,34610D,226.56177,22.050768,-6.3783956,212.88496010282248,65286.806592931614,0.3335658541971766,0.4714652586374945,28.287915518249672,31861.46646189201,0.0,2023-08-06 04:57:00,0.0001559211154526,0.2232298378636845,0.9388722203763306,0.2357326293187472,0.5924983611920077,0.0111677118326468,0.0006670737490723,0.0001369416391169,2.7441550158391517e-05,1582820366176982.8,89.36152512215071,34.99215149607485,0.0339454986218996,0.0006927652779979,0.0005657583103649,0.3159112888540706,0.0188701258582013,0.0038737935182721,0.0007762642525703,4.4774688798979496e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,11.57166168784541,1.7339449867788022,0.7055193055233019,15.930733230946004,11.167711832646823,27.441550158391514,1582820366176982.8,12.3553216028139,749.375209978447,1082.80390799024,0.0155921115453,0.0156875673022189,0.167693255706811,15.9310098984098,10.6895640653661,10.687897596451018,16.23903522681771,0.5195432452299269,0.9040408189568669,239001494944117.94,2.8533980934009886
56,58,adbb36,NKS2975,37.86195373535156,-75.6041116917387,202.176666492,11087.1,-0.5770609092145897,34610D,226.63922,22.033327,-5.95332,211.6471518976157,65258.51867741336,0.3322109784085481,0.5080851542573759,30.485109255442552,34396.75834234339,26.153243993896368,2023-08-06 04:58:00,0.000152657894221,0.2232298378636845,0.9107331914372624,0.2540425771286879,0.6385901048436656,0.0115416368343563,0.0006678266818648,0.0001386766530179,3.131928173905162e-05,1524563033842830.8,96.30246013794302,37.71008014898244,0.036582131106531,0.0007465741042149,0.0006097021851088,0.3518480598819934,0.0203587693603494,0.0042275729184324,0.0009547717256169,4.6476470653507656e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,11.632934572651314,1.7431643266022243,0.7012972334084631,17.198379171171695,11.54163683435635,31.319281739051625,1524563033842830.8,12.9262814519652,758.828069274584,1109.06766002708,0.0152657894221,0.0162446163159778,0.180239427301886,17.1981572410211,11.0953329888504,11.093639457211614,15.72845291187766,0.5469325386981918,0.991910463703848,269932801836951.62,3.3684728255146714
57,59,adbb36,NKS2975,37.75595972093485,-75.65675154976225,219.153333144,11094.72,-0.5786866978692413,34610D,226.64879,22.009758,-5.52853,212.38436981328692,65228.03356815792,0.3304240955389164,0.5460896134699563,32.76537680819738,36643.12737751777,0.0,2023-08-06 04:59:00,0.0001483962767849,0.2229617662994759,0.883234201203179,0.2730448067349781,0.6877607613755874,0.0119229761966584,0.000668738824136,0.0001404510862034,3.518059090662999e-05,1466552424613857.8,103.50582533709552,40.530771111740165,0.0393184521698368,0.0008024173912211,0.0006553075361639,0.3906608077586833,0.0219114795590876,0.0046019327625756,0.0011527053173907,4.8052142801448536e+16,cruise,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,10.858480202812933,1.627160672388299,0.703725147606888,18.32156368875889,11.922976196658484,35.18059090662999,1466552424613857.8,13.4352256724481,767.576183912744,1149.86806044274,0.0148396276785,0.0169108080788979,0.194447482790239,18.3211344736447,11.4984146164416,11.49670854769784,14.168113720324163,0.573155285337085,1.2404341856162275,302174915992195.5,3.9083907383789422
