Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.485176334813361,34610D,275.8161,13.559059,12.75305,160.39296601491716,69648.93709372853,0.2951472250831294,1.1290099037685195,67.74059422611118,89604.6598764176,1757.52313059406,2023-11-06 01:00:00,0.005115519476511,0.7305820758235784,0.7910877226472297,0.5645049518842599,0.8681378445674948,0.0162191405692819,0.0003809672839441,8.262346375916231e-05,2.8190075985366795e-05,1571574843645128.8,213.9925371602852,83.79511505769955,0.0812887130713334,0.0016589533279863,0.0013548118845222,1.0986942199999878,0.0258069501950818,0.0055969625320652,0.0019096124985279,1.064594137793288e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.02187509306895,2.755974491441988,0.4817621937379387,44.8023299382088,16.21914056928197,28.1900759853668,1571574843645128.8,28.8726344733203,841.536901660895,1368.95472816298,0.511551947651,0.0239239718881135,0.45933863594484,44.8021666231576,19.1999321054653,19.10221435588329,14.93906511495662,0.8419401765621001,1.42777832586912,926281772396129.0,15.17661132185617,29.3203169439248,1736162338376010.8
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4863243899448088,34610D,272.4418,15.2548685,14.436587,173.9516170787078,69581.19649950242,0.3037227714661165,1.2635222536281665,75.81133521768999,95357.78035689775,2114.344855429817,2023-11-06 01:01:00,0.0043915516493729,0.6833994069049528,0.8370614793111633,0.6317611268140833,1.0,0.019155502618275,0.0003915800730682,8.492514538521778e-05,3.628235539e-05,1450000000000000.0,239.48800795268264,93.77862166428253,0.0909736022612279,0.0018566041277801,0.0015162267043537,1.452204230257385,0.0296862081839452,0.0064382886652098,0.0027506138069586,1.0992643606565048e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.086853148337905,2.924815519176389,0.5257131183382637,47.67889017844888,19.15550261827501,36.28235539,1450000000000000.0,30.931121175495,859.862200026913,1406.52354835086,0.439155164937,0.0250309785652723,0.5066731687527,47.6791587825921,20.2418442184139,20.153339785837037,14.951963216890212,0.9245828270364145,1.5652910533109727,873437786263547.1,17.906125322422987,28.71522300407174,1678758434887217.8
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4875045174448486,34610D,268.2026,17.123575,16.460327,187.79674627266988,69505.38516428473,0.3079105893524048,1.2237021902836716,73.4221314170203,101262.95703270118,2500.4847561947863,2023-11-06 01:02:00,0.0030681374137576,0.6299442896063308,0.7699737711730957,0.6118510951418358,1.0,0.0193380034507705,0.0004040405717542,8.762755476521007e-05,3.628235539e-05,1450000000000000.0,231.9405131463671,90.82317656285412,0.0881065577004243,0.0017980930142943,0.0014684426283404,1.419837430705266,0.0296655199571464,0.0064338018417233,0.0026639278655636,1.0646209055467942e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.062205761046275,3.094709122645213,0.5720233610421264,50.63147851635059,19.338003450770533,36.28235539,1450000000000000.0,32.9369741483387,879.826386456787,1448.15374666636,0.306813741376,0.0263223391909947,0.557363055839723,50.6313180623194,21.1745260098467,21.10975837039511,14.966901594324924,1.0,1.7549852244300883,795223027804141.4,19.907997178820917,27.798384372144582,1613856186138251.8
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4886882011196681,34610D,264.16476,19.908968,17.881569,202.12277487156868,69431.9630328677,0.3201093891020263,1.1219373320467212,67.31623992280328,76635.71578346303,1305.7193587881234,2023-11-06 01:03:00,0.0025842722891231,0.5712403748956332,0.8348481252725184,0.5609686660233606,0.9654863028570972,0.0182666990318977,0.0004246363030324,9.20943179981033e-05,3.6071302782545856e-05,1453170761471414.8,212.6520019161356,83.27018878450767,0.0807794879073639,0.0016485609777013,0.001346324798456,1.2296454946288682,0.0285849192548618,0.0061994432058872,0.0024281844724379,9.782199162801248e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.99125889967543,2.652194523130443,0.6203474786886829,38.31785789173152,18.26669903189776,36.07130278254585,1453170761471414.8,27.3817607205157,850.244500892871,1377.26940659383,0.258427228912,0.0241659575664469,0.437359066216473,38.3175367365419,18.0981475703542,18.05149758536716,14.95080668711502,0.8789703317233942,1.5087343908804416,793991706078549.2,14.268006855552596,26.520586515215715,1542118534716265.2
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.4898794348727255,34610D,262.464,21.32804,17.570606,214.61340849012325,69364.6467929449,0.3260841177312318,1.0906843067563214,65.44105840537928,71474.53144310463,1310.0559928084492,2023-11-06 01:04:00,0.00259328123267,0.5424921360051816,0.9251144053347196,0.5453421533781607,0.974418736878684,0.0181753664243919,0.0004381613947213,9.502761429439887e-05,3.620295843823952e-05,1451192824853607.2,206.72830350259312,80.95058924745418,0.0785292700864551,0.0016026381650296,0.0013088211681075,1.189415215717805,0.0286737454229442,0.0062187076571636,0.0023691599176043,9.496759440871226e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.489221714042866,2.578028786661396,0.6608139563169506,35.73726572155231,18.17536642439197,36.20295843823952,1451192824853607.2,26.5772125567694,850.768564983369,1373.42889407112,0.259328123267,0.0239903967001648,0.42205798217258,35.7373715316943,17.5927887915951,17.547283749961988,14.95122473471252,0.8813022919835584,1.4973839258943087,743012836331543.6,13.445401964802253,26.611115757019448,1496057874133572.5
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4910959983002216,34610D,260.72287,22.819613,15.357339,222.35191224656936,69299.20573453953,0.3307246937795616,1.0820150585167938,64.92090351100762,72250.39525834656,1956.41921226326,2023-11-06 01:05:00,0.0025374196660746,0.5149267974234382,1.004703240177138,0.5410075292583969,1.0,0.0184673836429859,0.0004520599545971,9.804190766446008e-05,3.628235539e-05,1450000000000000.0,205.08513419127303,80.30715764311644,0.0779050842132091,0.0015898996778205,0.0012984180702201,1.1989192315870505,0.0293481406935941,0.0063649692275195,0.0023554832934262,9.413531009096106e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.61265120679626,2.5972069934756004,0.6869237181435692,36.12519762917328,18.467383642985933,36.28235539,1450000000000000.0,26.9465206302207,859.107236556911,1390.65393203062,0.253741966607,0.0244845967963218,0.433655950967566,36.1247452273349,17.7113780788382,17.666550625848473,14.955010190838776,0.9209469462463491,1.5511330081844252,694435110070513.6,14.092499954142337,26.048197349505312,1459095034180813.5
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.492720417872883,34610D,257.1068,23.721052,14.207628,222.1857081571461,69234.28483102852,0.3314063070004183,1.0534056389626092,63.20433833775655,68968.83360675715,1519.3438694416593,2023-11-06 01:06:00,0.00223975427654,0.4759628928252322,1.142229249895895,0.5267028194813046,1.0,0.0182575207187042,0.0004677734884187,0.0001014498291499,3.628235539e-05,1450000000000000.0,199.66250480897293,78.18376652380486,0.0758452060053078,0.001547861347047,0.0012640867667551,1.153954516713586,0.0295653138274493,0.0064120693259027,0.0022932022657602,9.1646290589747e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.763861353699827,2.4770322728967,0.6912203684188937,34.48441680337857,18.25752071870429,36.28235539,1450000000000000.0,25.5762730570768,853.618664352574,1384.45684992829,0.223975427654,0.0243962616167772,0.411021332739749,34.484089179097,16.8477178674413,16.810067446987983,14.95938491193024,0.8948105649932756,1.5041851173867875,702131782402723.9,13.222565392309374,23.601258407311207,1425956264867691.5
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4949418121781694,34610D,254.02104,24.218765,14.558698,226.2376574503135,69171.08049269076,0.3313597507481223,0.8836681086178964,53.02008651707378,55821.75668432358,772.5054498205002,2023-11-06 01:07:00,0.0017726619884202,0.4473909919617161,1.1363328872024905,0.4418340543089482,0.8564513266440233,0.015172348247263,0.0004788001680352,0.0001038412745629,3.149940535856264e-05,1521856935871682.0,167.49045330743607,65.58584702162027,0.0636241038204885,0.0012984510983773,0.0010604017303414,0.8044392167370608,0.0253860263336208,0.0055056733613712,0.0016701011973473,8.068898640652538e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,14.736503810478156,2.184352731424679,0.7080880599739752,27.91087834216179,15.172348247263072,31.49940535856264,1521856935871682.0,21.9762667821433,828.15023998293,1327.72257326635,0.177266198842,0.02276150101752,0.337161352799974,27.911003951497,14.8127907970768,14.786579190207554,14.949802181141914,0.7855912628429458,1.3517628096489858,609617292553590.9,9.7400390376059,22.502442235681624,1372847461179131.2
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4972423094923607,34610D,252.53842,25.214813,15.0375805,229.3422742835852,69118.06040617368,0.3177861123712059,1.01856223943577,61.11373436614621,84901.80150003597,2679.721695854688,2023-11-06 01:08:00,0.0015756426575748,0.4334051238880015,1.1279460681837317,0.509281119717885,1.0,0.0181561017404592,0.0004851029921194,0.0001052082191255,3.628235539e-05,1450000000000000.0,193.05828686265585,75.59768941092285,0.0733364812393754,0.0014966628824362,0.0012222746873229,1.1095871788911515,0.0296464554006102,0.0064296671567716,0.0022173502294825,8.8614914830912e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.536859408333264,2.7513214448287515,0.7199090064523327,42.45090075001799,18.156101740459253,36.28235538999999,1450000000000000.0,29.4288641320552,894.106557413576,1488.24808989033,0.157564265757,0.0277296197297325,0.515883665766289,42.4514331473246,18.6040656451247,18.57479840040916,14.969684351906816,1.0,1.8348811811348928,658177142318299.0,16.477124321485693,22.07510975021933,1348057472047376.2
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4995401016172068,34610D,247.5026,28.6934,13.816006,232.9325379873014,69056.94667180754,0.3255201430029341,0.9781181033019614,58.68708619811768,73414.89569680879,2449.8846557383526,2023-11-06 01:09:00,0.0009829555492455,0.3876339764052093,1.0331216380345438,0.4890590516509807,1.0,0.0179318906789979,0.000508637331196,0.0001103123020579,3.628235539e-05,1450000000000000.0,185.39250529985367,72.59592562707158,0.0704245034377412,0.0014372347640355,0.0011737417239623,1.0523704139735763,0.0298504428994834,0.0064739075795868,0.0021293057182436,8.509627498727064e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.655192599958117,2.481907576003836,0.7385798822670377,36.70744784840439,17.931890678997963,36.28235539,1450000000000000.0,26.0535831000731,875.073625001322,1449.9136014027,0.0982955549246,0.0266486284841386,0.445142800100069,36.7074086679914,16.7041542256113,16.68775090825161,14.97092632254108,0.9973235759964119,1.6738887013051686,633644495027744.2,15.755907304769705,19.953795497660412,1231807348145891.8
