engine_display,NOx,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.3089243709188336,0.29693382558575016,0.0,0.0,0.2759806054153073,0.2759806054153073
GTF,-23.181459349215153,-22.810308287186032,-16.29733631592075,-16.29733631592075,-22.331502246863018,-22.331502246863018
GTF2035,-18.543794202392906,-18.76797030336014,-23.799057015067902,-23.799057015067902,-19.164973507750656,-19.164973507750656
GTF2035 - 20,-18.95219193832064,-19.248643925934058,-25.6935669850303,-38.429893231421104,-19.752067020389024,-20.712364872640123
GTF2035 - 100,-20.545498706828777,-21.124218898687808,-33.08736867898321,-95.53806608413932,-22.043056621050273,-26.754110719083034
GTF2035WI,-94.06942662314258,-90.97885473508738,-29.939582333012275,-29.939582333012275,-86.37270942229527,-86.37270942229527
GTF2035WI - 20,-94.05333449811762,-91.03984672534449,-31.446053343451595,-43.197181718666144,-86.5442972537891,-87.43056739350094
GTF2035WI - 100,-94.17050518963158,-91.4776627396812,-38.265669631469216,-95.88383545777924,-87.46312744165537,-91.81228090941802
