engine,saf_level,water_injection,nox_impact_sum_change,co2_impact_cons_sum_change,co2_impact_opti_sum_change,h2o_impact_sum_change,contrail_atr20_cocip_sum_change,contrail_atr20_accf_sum_change,climate_non_co2_change,climate_total_cons_sum_change,climate_total_opti_sum_change
GTF,0,0,-17.8,-15.4,-15.4,-15.4,-67.6,2.7,318.3,79.0,79.0
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.9,0.0,0.0,0.0,-73.8,0.0,379.9,111.4,111.4
GTF2035,0,0,-11.0,-22.1,-22.1,-22.1,-69.9,2.7,356.0,91.7,91.7
GTF2035,20,0,-11.4,-24.1,-37.1,-24.0,-73.6,2.7,370.9,95.1,92.2
GTF2035,100,0,-13.2,-31.6,-95.4,-31.6,-80.3,3.3,386.8,97.1,82.7
GTF2035_wi,0,15,-92.6,-28.4,-28.4,-28.4,-74.2,2.9,-87.0,-77.3,-77.3
GTF2035_wi,20,15,-93.1,-30.4,-42.3,-30.4,-77.5,3.3,-74.9,-74.6,-77.3
GTF2035_wi,100,15,-93.8,-37.5,-95.8,-37.5,-84.7,8.3,-60.2,-72.3,-85.5
