Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
10,11,a35da8,FFT4000,37.97252073126324,-121.20660533075748,223.268888696,8115.3,-0.9249357320275982,34610D,229.83421,1.1392306,-33.3357,233.59928469672496,66847.59126249843,0.3348747427757021,1.0289701141298824,61.73820684779295,63619.91780581436,1591.712493848334,2023-02-06 08:11:00,3.200306779782988e-05,0.3500959958577092,0.2053293911444428,0.5144850570649412,0.8870616468463774,0.017011656817474,0.0004419599158403,9.58514303679559e-05,3.628235539e-05,1450000000000000.0,195.0309954321779,76.37016187071988,0.0740858482173515,0.0015119560860683,0.0012347641369558,1.0502691874208785,0.0272858127025853,0.0059176954347136,0.0022400075619929,8.952039992929978e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,14.543253868983715,2.181022651607987,0.7686371424516943,31.80995890290718,17.011656817474023,36.28235539,1450000000000000.0,23.3392414663635,815.676093321837,1363.76614810892,0.00320030677978,0.0240973972052497,0.37721189678615,31.8104574415499,15.6536365140702,15.653135565711445,13.936655635599443,0.7355827744636686,1.56386755431566,814423002852075.4,12.666685353099894,17.71112437393874,1112126629438283.8
11,12,a35da8,FFT4000,37.9991455078125,-121.05612896858378,228.92777758,8610.6,-0.9249184876746572,34610D,228.16922,3.0694702,-32.49538,235.5803502455188,66785.85305565064,0.3377430850171431,0.9413522479537288,56.48113487722373,58207.51048511999,1331.1559039300637,2023-02-06 08:12:00,1.955007549514532e-05,0.3256517889669939,0.1418368082831068,0.4706761239768644,0.8511241218156579,0.0158086556893075,0.0004645421581209,0.0001007490243486,3.628235539e-05,1450000000000000.0,178.42390507714975,69.86716384312577,0.0677773618526684,0.0013832114663809,0.0011296226975444,0.8928908142153704,0.0262378682889835,0.005690419232982,0.0020492686084459,8.189764557197442e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,13.82192171830016,2.073018038131943,0.7779787155384527,29.103755242559995,15.808655689307557,36.28235539,1450000000000000.0,21.6414656023355,809.432757478912,1345.20648883606,0.00195500754951,0.0236716714937066,0.3451230686043,29.1041094747244,14.5795817036433,14.579296677292591,14.220871626213915,0.7114464708225404,1.4531960787774472,726523010037784.8,11.131947540745495,16.432847097850185,1042214946264089.6
12,13,a35da8,FFT4000,38.022471282441735,-120.90161530867866,234.586666464,9022.08,-0.9248868125012524,34610D,227.07385,6.008877,-31.498558,236.6971708329268,66729.37192077342,0.3380978365756892,0.8957524925331272,53.74514955198763,55184.4614121119,1191.2429207574703,2023-02-06 08:13:00,1.2687170215000847e-05,0.3064122174213943,0.0986352393400992,0.4478762462665636,0.8466228789950515,0.0153766789094446,0.000486524415016,0.0001054828855615,3.628235539e-05,1450000000000000.0,169.7809274347289,66.4827499958087,0.0644941794623851,0.0013162077441303,0.0010749029910397,0.8264219076009953,0.0261483274457295,0.0056691934596795,0.0019500006165339,7.793046685038206e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,13.23269871248001,1.9847369213710324,0.7835499411994379,27.59223070605595,15.376678909444625,36.28235539,1450000000000000.0,20.5610290957608,808.02097983162,1341.73305444153,0.0012687170215,0.0236286370483696,0.327373197892235,27.5919879495146,13.85493362237,13.854757844698936,14.326578070085557,0.7061058451432066,1.4079375932122369,679571943626032.0,10.376095704926547,15.357819041227453,983630881453436.8
13,14,a35da8,FFT4000,38.04689025878906,-120.74184985871008,238.702222016,9387.84,-0.9248107415796468,34610D,226.22934,7.8214245,-30.346619,237.4323021229016,66675.62677122143,0.3376999922322567,0.8629502606359984,51.77701563815991,52936.65186929619,1099.8499439082805,2023-02-06 08:14:00,9.13670806804016e-06,0.2900929964007814,0.0744045844406566,0.4314751303179992,0.8504317454923394,0.0151033464861717,0.0005081697070904,0.0001102108846266,3.628235539e-05,1450000000000000.0,163.56359240094713,64.04816834440382,0.0621324187657918,0.0012680085462406,0.0010355403127631,0.78200620720306,0.0263115108708596,0.0057063906968089,0.0018785920824173,7.507667267533187e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,12.449198468533156,1.8672660255878848,0.7874492105563946,26.468325934648096,15.103346486171707,36.28235539,1450000000000000.0,19.6821904120344,807.695284286927,1347.64339791429,0.000913670806804,0.0237357976486113,0.31493576940148,26.4683101713896,13.2683878614,13.268266633121204,14.07408597898669,0.7048737686947878,1.433573628114441,648972816365247.0,9.900767545754771,14.413017864903736,932163722547829.8
14,15,a35da8,FFT4000,38.07125802767479,-120.581578793733,242.303333124,9723.12,-0.9246960598675577,34610D,225.78773,8.527149,-27.782637,237.77584031673248,66623.84975558327,0.339908236328678,0.7961316548315374,47.76789928989224,49086.07574902307,932.3768208078328,2023-02-06 08:15:00,7.427517898316329e-06,0.2757589139622811,0.060637169220302,0.3980658274157687,0.8197535241684976,0.0145003525939147,0.0005316872968106,0.0001147071784848,3.628235539e-05,1450000000000000.0,150.89879385676957,59.08889142159671,0.0573214791478706,0.0011698261050585,0.0009553579857978,0.6926513823740469,0.0253975852477643,0.0054793209496935,0.0017331318982695,6.926345397034375e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,12.965648336395196,1.9447509478741976,0.7893593678083608,24.543037874511533,14.500352593914736,36.28235539,1450000000000000.0,18.5135711096223,804.122031962983,1310.52801837795,0.000742751789832,0.0231668972468228,0.288723473848519,24.5429981774068,12.4627597201483,12.462667153464958,15.605355503832277,0.6914668073779177,1.1621830541139506,572729897627192.4,8.65757514757673,13.540044461980251,884727521336098.4
15,16,a35da8,FFT4000,38.09619140625,-120.4156494140625,247.962222008,10005.06,-0.924538432410022,34610D,225.85239,9.115473,-23.878712,237.19505696427,66576.08185629339,0.3211744267842866,0.9299005972590496,55.79403583554298,55125.48644336831,1658.8231145520608,2023-02-06 08:16:00,6.391772794879765e-06,0.2641541479283012,0.0495972492695003,0.4649502986295248,1.0,0.017471586129962,0.0005560478268646,0.0001205946006588,3.628235539e-05,1450000000000000.0,176.25335920448026,69.01722232856667,0.0669528430026515,0.0013663845510745,0.0011158807167108,0.9748103026388804,0.0310241523783628,0.0067284594707308,0.0020243390368275,8.090135196153731e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,11.26686814781504,1.6899582069109451,0.7873185981809557,27.562743221684155,17.471586129962088,36.28235538999999,1450000000000000.0,19.6669370917528,830.416351148498,1426.34983781415,0.000639177279488,0.0257017276391558,0.334141963354623,27.5621556305877,13.0007588612669,13.000675763901238,12.999641979913978,0.7949854363392926,1.7464843775784578,702234215639799.1,11.27081681596038,12.750872639595384,842247428924209.1
16,17,a35da8,FFT4000,38.12040710449219,-120.25278294340092,242.303333124,10500.36,-0.924345859342918,34610D,226.38339,10.900073,-16.310282,233.34396771058647,66520.28782045784,0.3320962338552145,0.7531291371513168,45.187748229079006,46229.18961090681,1061.296332342428,2023-02-06 08:17:00,5.035837937921607e-06,0.2447262643199162,0.0339617857017203,0.3765645685756584,0.8782720493554724,0.0143685470506676,0.0006057845900813,0.0001313814157642,3.628235539e-05,1450000000000000.0,142.74809665566056,55.89724455937073,0.0542252978748948,0.0011066387321407,0.0009037549645815,0.6492822865432465,0.0273740415376539,0.0059368303375361,0.0016395179405212,6.552223493216456e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,10.411906440886836,1.5617335334595643,0.7736267609798839,23.114594805453404,14.368547050667674,36.28235539,1450000000000000.0,16.8377523628037,811.817669256927,1365.91409662647,0.000503583793792,0.0242272283157913,0.273728483655456,23.1153144037966,11.2983821379617,11.298325241426816,13.823202967002024,0.7205832624962782,1.4266020918178177,541813111028514.44,8.350298714398496,11.23307597758394,761414237497826.5
17,18,a35da8,FFT4000,38.14462435447563,-120.08970177691916,242.303333124,10812.78,-0.924113772556378,34610D,226.8829,12.839295,-10.900117,229.7847473869019,66475.10007222876,0.3332384209462442,0.6797660144371033,40.7859608662262,42517.99495561615,888.2447437672698,2023-02-06 08:18:00,4.156240119199953e-06,0.2330788588556542,0.0251457848258052,0.3398830072185516,0.8360828668098037,0.0133204176988822,0.0006413250412017,0.0001387787999726,3.628235539e-05,1450000000000000.0,128.84285037640856,50.45223359152181,0.0489431530394714,0.0009988398579483,0.0008157192173245,0.5432860349883971,0.0261570580329839,0.0056602267047471,0.001479810727071,5.913964325602798e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.358695252829698,1.2537695471799006,0.7609875353276279,21.25899747780808,13.32041769888222,36.28235538999999,1450000000000000.0,15.3926179327258,804.449176654222,1388.17470463424,0.00041562401192,0.0242457330525012,0.253431463916726,21.2594492207043,10.4526212248543,10.452577781431176,11.995251475960332,0.6926762991876171,1.7600483209039495,499320468861037.4,7.554323366531981,10.26618002868672,710027968277832.1
18,19,a35da8,FFT4000,38.16796875,-119.92874470162896,237.158888684,11071.86,-0.923848710770294,34610D,227.18459,15.168515,-7.100872,225.44558884688607,66434.31411136253,0.3395255195366389,0.5062968155341281,30.377808932047685,32886.3242296992,0.0,2023-02-06 08:19:00,3.650895789570057e-06,0.2237669483036539,0.0204561072696881,0.253148407767064,0.6490063009216355,0.0116263449702843,0.0006714963915455,0.000139784291338,3.018852481417292e-05,1541551028135769.5,95.96349841633864,37.57734964894299,0.0364533707184572,0.000743946341193,0.0006075561786409,0.3531828860853718,0.0203985890809311,0.0042463404939698,0.0009170612387453,4.682894259171007e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.207445031193114,1.2310867901524594,0.7461214100307697,16.443162114849603,11.626344970284356,30.18852481417292,1541551028135769.5,12.554667458172,798.50754592065,1359.76695827309,0.000365089578957,0.0248443154153414,0.208316505787622,16.4436299166865,8.38487606943621,8.384845457239235,14.682648697913972,0.6708850167668474,1.1367244461372825,415615862155915.8,6.187878156779528,6.288775195606449,514693628097988.06
19,20,a35da8,FFT4000,38.19131624900688,-119.76799342943276,239.21666646,11071.86,-0.9235447121587604,34610D,227.32982,15.4609785,-6.563808,224.31174201009856,66403.93630243049,0.3389038605673197,0.4925120614318519,29.55072368591112,32093.77745164981,-26.24124174384358,2023-02-06 08:20:00,3.681942677937563e-06,0.2237669483036539,0.0202762747286111,0.2462560307159259,0.6321199542333323,0.0114782278495792,0.0006729139807334,0.0001395154994666,2.890117062523085e-05,1560891670791647.8,93.3507361237932,36.55424519947206,0.0354608684230933,0.000723691192308,0.0005910144737182,0.3391899395868461,0.0198850951090419,0.0041227839746396,0.0008540505073455,4.612547846720412e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,8.36108068261945,1.2541313173731183,0.7421317408347955,16.046888725824907,11.47822784957925,28.901170625230847,1560891670791647.8,12.3196362190755,796.403184140373,1344.95769780618,0.000368194267794,0.0246087556458531,0.202468234969865,16.046794429458,8.22748772362178,8.227457430595136,15.243611054564193,0.6633092278171744,1.0524915903469159,399889771057398.06,5.918442458838996,6.2326679580674345,511982007444564.8
