longitude,latitude,altitude,time,icao24,callsign,groundspeed,cos_sza
24.99399119410021,60.33805847167969,518.1600000000001,2023-11-05 22:00:00,461f63,FIN43D,82.825555484,-0.7120756504217902
25.075630977235992,60.37413024902344,845.82,2023-11-05 22:01:00,461f63,FIN43D,118.32222212,-0.7116736193349423
25.124457223074774,60.429134045617054,1653.5400000000002,2023-11-05 22:02:00,461f63,FIN43D,130.668888776,-0.7110215906599651
25.02050991716056,60.486236572265625,2118.36,2023-11-05 22:03:00,461f63,FIN43D,151.76111098,-0.7103281388948554
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:04:00,461f63,FIN43D,176.454444292,-0.7098411212750366
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:05:00,461f63,FIN43D,176.454444292,-0.7098398281589561
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:06:00,461f63,FIN43D,176.454444292,-0.709829520046029
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:07:00,461f63,FIN43D,176.454444292,-0.7098101972101071
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:08:00,461f63,FIN43D,176.454444292,-0.7097818600966723
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:09:00,461f63,FIN43D,176.454444292,-0.709744509322822
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:10:00,461f63,FIN43D,176.454444292,-0.7096981456772249
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:11:00,461f63,FIN43D,176.454444292,-0.709642770120132
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:12:00,461f63,FIN43D,176.454444292,-0.7095783837833503
24.921504429408483,60.52624201370497,2430.78,2023-11-05 22:13:00,461f63,FIN43D,176.454444292,-0.7095049879702219
22.88764690530711,61.02896118164063,7688.580000000001,2023-11-05 22:14:00,461f63,FIN43D,201.147777604,-0.7036456145627548
22.680562337239586,61.07788603184586,7981.950000000001,2023-11-05 22:15:00,,,,-0.7030384104017406
22.46243068150112,61.12884521484375,8244.84,2023-11-05 22:16:00,461f63,FIN43D,215.552222036,-0.702406003909415
22.246333530970983,61.17892456054688,8595.36,2023-11-05 22:17:00,461f63,FIN43D,213.49444426,-0.7017836889466029
22.03582763671875,61.2271728515625,9083.04,2023-11-05 22:18:00,461f63,FIN43D,205.263333156,-0.7011830032135078
21.828853062220983,61.27381896972656,9334.5,2023-11-05 22:19:00,461f63,FIN43D,206.292222044,-0.7006012484769798
21.617954799107142,61.32101440429688,9532.62,2023-11-05 22:20:00,461f63,FIN43D,207.835555376,-0.7000123145934348
21.40411376953125,61.3685302734375,9646.92,2023-11-05 22:21:00,461f63,FIN43D,213.49444426,-0.6994190059573959
21.18438720703125,61.4169725321107,9799.32,2023-11-05 22:22:00,461f63,FIN43D,216.581110924,-0.6988141023139183
20.962502615792413,61.4652099609375,9883.140000000001,2023-11-05 22:23:00,461f63,FIN43D,218.124444256,-0.6982113778088739
20.736490885416668,61.51333566439354,9875.52,2023-11-05 22:24:00,461f63,FIN43D,223.268888696,-0.6976099198514325
20.506998697916668,61.56230861857786,9875.52,2023-11-05 22:25:00,461f63,FIN43D,223.78333314,-0.696997698674462
20.2740478515625,61.61114191604872,9883.140000000001,2023-11-05 22:26:00,461f63,FIN43D,224.812222028,-0.696387073763207
20.04201253255209,61.65932348219015,9875.52,2023-11-05 22:27:00,461f63,FIN43D,224.812222028,-0.6957839729085358
19.8089599609375,61.70722573490466,9860.28,2023-11-05 22:28:00,461f63,FIN43D,225.326666472,-0.6951839726796321
19.57312447684152,61.75511169433594,9867.9,2023-11-05 22:29:00,461f63,FIN43D,225.841110916,-0.6945840037153964
19.33614095052084,61.80102849410752,9860.28,2023-11-05 22:30:00,461f63,FIN43D,226.869999804,-0.6940084132359013
19.09566243489584,61.84651003045551,9867.9,2023-11-05 22:31:00,461f63,FIN43D,227.384444248,-0.6934382740543383
18.856462751116077,61.89093017578125,9860.28,2023-11-05 22:32:00,461f63,FIN43D,227.384444248,-0.6928808854218813
18.6163330078125,61.93537825244968,9867.9,2023-11-05 22:33:00,461f63,FIN43D,226.35555536,-0.6923228394657273
18.373652866908483,61.97969055175781,9860.28,2023-11-05 22:34:00,461f63,FIN43D,225.841110916,-0.6917664106268537
18.13391549246652,62.022857666015625,9860.28,2023-11-05 22:35:00,461f63,FIN43D,225.326666472,-0.6912236257672015
17.89280482700893,62.06561279296875,9852.66,2023-11-05 22:36:00,461f63,FIN43D,226.869999804,-0.6906858202950594
17.647196451822918,62.10887844279661,9867.9,2023-11-05 22:37:00,461f63,FIN43D,227.384444248,-0.6901417722711884
17.40582979642428,62.15058924788136,9867.9,2023-11-05 22:38:00,461f63,FIN43D,226.35555536,-0.6896164205655381
17.15821486253005,62.19304488877118,9852.66,2023-11-05 22:39:00,461f63,FIN43D,226.35555536,-0.68908211248327
