engine_display,NOx,Contrail,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.5741179133675927,-72.32083215197875,-34.50843755709061,0.0,0.0,-34.23673339592304,-34.23673339592304
GTF,-19.3255262464151,-57.84641788445531,-47.23780265774131,-12.82665873683112,-12.82665873683112,-46.7240137141233,-46.7240137141233
GTF2035,-8.121257717954238,-63.10234713738285,-42.626581843100695,-19.931890357183445,-19.931890357183445,-42.70025581395722,-42.70025581395722
GTF2035 - 20,-8.51958041824271,-64.19426155278445,-43.50134447543875,-21.90935960151527,-35.2953969000707,-43.61818032092859,-44.105379180005386
GTF2035 - 100,-10.28435986748842,-66.58036105097152,-45.850269547858424,-29.699613791840584,-95.31278232352948,-46.158829617544875,-48.55393785202916
GTF2035WI,-93.3187261291905,-66.4486127664235,-89.78753991389748,-28.562575854454607,-28.562575854454607,-86.74039870030649,-86.74039870030649
GTF2035WI - 20,-93.35166726879973,-67.6748850729088,-90.09416299213756,-30.34075643608019,-42.281462202500194,-87.14233199187291,-87.72369627807196
GTF2035WI - 100,-93.46259999735575,-71.2396583089151,-91.04757281360868,-37.24449995543579,-95.81573032661693,-88.43108131030145,-91.2998099629341
