engine_display,NOx,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.2410052233568409,0.22858850258086577,0.0,0.0,0.20838196921971522,0.20838196921971522
GTF,-20.442384917258654,-20.081761676321225,-13.776597506668207,-13.776597506668207,-19.541187410699788,-19.541187410699788
GTF2035,-12.266472766823847,-12.561002157907005,-20.29193112873778,-20.29193112873778,-13.267858894960543,-13.267858894960543
GTF2035 - 20,-12.576184207532485,-12.946433866677648,-22.235248268263952,-35.5643955390992,-13.792480715275115,-14.98714682887387
GTF2035 - 100,-14.310434592119242,-14.95693160117515,-30.01701004679266,-95.33337094244064,-16.320100410650948,-22.177116877737625
GTF2035WI,-93.55514580134285,-90.65608535514099,-29.003805935866385,-29.003805935866385,-85.12850334965827,-85.12850334965827
GTF2035WI - 20,-93.5016509539658,-90.68910634875955,-30.833417945124353,-42.68878543255028,-85.32147262716143,-86.38293122893762
GTF2035WI - 100,-93.71204424974229,-91.1782075862155,-37.21849781881321,-95.81267335977594,-86.3415356635056,-91.58968051499346
