engine_display,NOx,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.2552619652447126,0.24315563881448277,0.0,0.0,0.22392764102892107,0.22392764102892107
GTF,-22.833763599043383,-22.344812787961146,-13.39816280453896,-13.39816280453896,-21.61722684228808,-21.61722684228808
GTF2035,-13.550626428150633,-13.816528754498803,-20.47517041467225,-20.47517041467225,-14.361832209532544,-14.361832209532544
GTF2035 - 20,-13.93136191159717,-14.275572261823294,-22.439509293769053,-35.733367771342,-14.946189627671835,-16.05484725369338
GTF2035 - 100,-15.542577169852635,-16.187733032784426,-30.153273915104243,-95.34225882598234,-17.34131261170546,-22.781654545909923
GTF2035WI,-93.67340171085873,-90.57980522278275,-29.15663767236163,-29.15663767236163,-85.4868868762264,-85.4868868762264
GTF2035WI - 20,-93.70432589408927,-90.69359444118061,-30.93827268030669,-42.775485007166814,-85.7385184250279,-86.720355179055
GTF2035WI - 100,-93.82585906768543,-91.1349864951735,-37.73233033435422,-95.84767301195066,-86.70616996931514,-91.53060731694356
