Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,fuel_flow_corrected
131,131,131.22891739259626,32.63837770247496,9791.7,885974.0,,161.0801455803279,-0.8254213916234163,34610D,231.47432,29.45709,-4.8290963,182.3775124386184,65191.06643851656,0.3153775573481667,0.4569173994828486,27.41504396897092,34078.20035189831,0.0,2023-11-05 17:11:00,0.0002597753499445,0.2728988652896135,1.0747640632151525,0.2284586997414243,0.4955074504371136,0.011004779404237,0.0005833414224326,0.0001165214563504,2.203567248745449e-05,1398815294087082.8,86.60412389797914,33.91240938961703,0.0328980527627651,0.0006713888318931,0.0005483008793794,0.3016965112359843,0.0159923307449141,0.0031944408491762,0.0006041089301294,3.834858279186636e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5979668352248123,17.039100175949155,11.00477940423705,22.03567248745449,1398815294087082.8,12.0934755832963,719.582656164643,1316.16631274032,0.0259775349945,0.0170456730242026,0.189306956148207,17.0387012424942,11.1058657454837,11.102981464588307,0.0259775349944499,0.4415196269610607,12.788003465064785,397122605624812.7,4.10586912911335,0.427984919552688
132,132,131.15747568558675,32.57458702992585,9791.7,885974.0,,161.13918018865573,-0.8242713342729648,34610D,231.50386,30.11217,-4.8982244,183.11813049329967,65163.65139454759,0.3169763237010176,0.5095620760348916,30.573724562093496,38042.76151702247,51.56048936941463,2023-11-05 17:12:00,0.0002625038487317,0.2728988652896135,1.0823762518152134,0.2547810380174458,0.5531831625622484,0.0115560694850189,0.0005835871435614,0.0001185509813324,2.52202188077906e-05,1549126692359973.5,96.58239589165336,37.81969728330966,0.0366884694745121,0.00074874427499,0.0006114744912418,0.3533120854553824,0.0178424325852261,0.0036245450498253,0.0007710760232251,4.7362572804000776e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6003567973904338,19.021380758511235,11.55606948501893,25.2202188077906,1549126692359973.5,13.0706445228271,733.759566602001,1348.71187405635,0.0262503848732,0.0176881496945228,0.209424037353322,19.0211424886118,11.8397933627943,11.836686187113957,0.02625038487317,0.4772428218027074,13.569131799774487,458451106516781.25,5.243731977615589,0.4828508193362663
133,133,131.08426340338622,32.51297602684744,9806.94,885974.0,,161.19821479698362,-0.8231177390424966,34610D,231.41531,30.839643,-4.8871026,186.7151027096759,65133.0776699855,0.3181334129295606,0.4739219784428183,28.4353187065691,34827.00631998823,0.0,2023-11-05 17:13:00,0.0002626909958647,0.2722665727451254,1.091680338680995,0.2369609892214091,0.5164273833488292,0.0112006126741794,0.0005842315863597,0.0001174399584541,2.297242088925473e-05,1443030057491632.0,89.82717179405178,35.17448924002598,0.0341223824478829,0.0006963751519976,0.0005687063741313,0.318492991099131,0.0166128113565826,0.0033394426475308,0.0006532281094474,4.103301958793329e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6122666764060433,17.413503159994114,11.20061267417949,22.97242088925473,1443030057491632.0,12.4400331534666,724.864035796521,1325.14765381383,0.0262690995865,0.0171853059046962,0.195574660143042,17.4134990798645,11.3803420915305,11.377353363245204,0.0262690995864699,0.4546750303173578,13.091592226857642,410486819746976.0,4.421552016827146,0.4448723347515951
134,134,131.0014072212985,32.45652298369139,9806.94,885974.0,,161.25724940531148,-0.8220122449970291,34610D,231.46394,31.55135,-4.8110566,188.3488030667848,65104.642351278926,0.3186952532075218,0.4714584653707163,28.287507922242977,34406.114210199725,0.0,2023-11-05 17:14:00,0.0002662707534253,0.2722665727451254,1.100395655381586,0.2357292326853581,0.5148229418990808,0.0111804308217751,0.0005846367786383,0.0001174654715414,2.2763439492710547e-05,1433166082291465.2,89.36023752636555,34.99164729981457,0.0339450095066915,0.0006927552960549,0.0005657501584448,0.3162665254450549,0.0165379175073657,0.0033228054568185,0.0006439209749875,4.054069690670975e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6175589334211341,17.203057105099862,11.18043082177518,22.763439492710543,1433166082291465.2,12.3996077516539,724.489600394767,1323.10908753035,0.0266270753425,0.0171313787264934,0.194493870169972,17.203830904806,11.3530774886899,11.350055300913509,0.02662707534253,0.4537330620025223,13.063758536971084,406245421891790.06,4.363755320600324,0.4417792250993202
135,135,130.91855103921077,32.40006994053534,9806.94,885974.0,,161.31628401363935,-0.8208985469191374,34610D,231.54922,32.24888,-4.6138268,189.6602540555997,65076.35484335668,0.319401987625191,0.4750444723236221,28.50266833941733,34504.44240278883,0.0,2023-11-05 17:15:00,0.0002655802833562,0.2722665727451254,1.086851099803522,0.237522236161811,0.520004680552359,0.0112238398992042,0.0005853480100925,0.0001177887191867,2.2942542202013408e-05,1441619775835773.5,90.03992928421933,35.257800735859234,0.0342032020073007,0.0006980245307612,0.0005700533667883,0.3199093861417377,0.0166839801948049,0.0033572927971042,0.000653923671247,4.109001034219221e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6217443918680344,17.252221201394416,11.223839899204243,22.94254220201341,1441619775835773.8,12.4748118519231,725.831667268699,1325.18178153302,0.0265580283356,0.0171602742654578,0.195830566342324,17.2522067782856,11.4118552718306,11.408825312771272,0.02655802833562,0.4571120472481058,13.138479839836847,408577223935346.06,4.432173227647537,0.4452690570645224
136,136,130.83569485712306,32.34361689737929,9806.94,885974.0,,161.3753186219672,-0.8197766488283904,34610D,231.63719,32.93124,-4.3933268,191.10958536232644,65047.85217501727,0.319515780220421,0.4674332454717799,28.0459947283068,33706.13046981821,0.0,2023-11-05 17:16:00,0.0002646077016934,0.2722665727451254,1.0719993425927157,0.2337166227358899,0.5130048967686934,0.0111493713802358,0.0005860820733256,0.0001176921407564,2.2429799773575303e-05,1417418202481288.8,88.59729734672118,34.69289547891551,0.0336551936739681,0.0006868406872238,0.0005609198945661,0.3126952109540299,0.0164372547388475,0.0033007931592175,0.0006290660462066,3.975290343459632e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6263765911180027,16.853065234909103,11.149371380235872,22.429799773575308,1417418202481288.8,12.3302828754267,724.176156855158,1320.30320526142,0.0264607701693,0.0170516434294367,0.192733226286631,16.8539816666104,11.3029120673443,11.29992202094902,0.02646077016934,0.4529445311066227,13.030396957958718,399129455583695.9,4.277304985939956,0.4367066783388757
137,137,130.75283867503535,32.28716385422324,9806.94,885974.0,,161.43435323029507,-0.8186465548588135,34610D,231.72641,33.59336,-4.1549616,191.8672791611841,65019.80618028896,0.3197737350335815,0.4673190545760203,28.03914327456122,33591.9194501779,0.0,2023-11-05 17:17:00,0.000263456381247,0.2722665727451254,1.05647769899955,0.2336595272880101,0.5139353663588123,0.0111515484388705,0.0005868273729532,0.0001178744826944,2.2404419661519874e-05,1416220254721190.8,88.57565360433888,34.684420230632234,0.0336469719294734,0.0006866728965198,0.0005607828654912,0.312679864410701,0.0164541367876701,0.0033050995086834,0.0006282007328727,3.970960263046306e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6287389307333581,16.79595972508895,11.151548438870558,22.404419661519874,1416220254721191.0,12.3290797728905,724.473417123881,1320.40450576296,0.0263456381247,0.0170467755749852,0.192651325750718,16.7959765316279,11.301335252716,11.298358628037828,0.0263456381247,0.4536923496971856,13.04150903036649,398202479210981.7,4.27684606560743,0.4363983192275427
138,138,130.66998249294764,32.23071081106719,9806.94,885974.0,,161.49338783862297,-0.8175082692588461,34610D,231.82271,34.149315,-3.8958497,192.54538254473115,64991.7670370144,0.3199561142546219,0.4666301471417315,27.99780882850389,33443.33330555683,0.0,2023-11-05 17:18:00,0.0002638040779889,0.2722665727451254,1.0462709393833414,0.2333150735708657,0.5142594361471151,0.0111469679752505,0.000587632552152,0.0001180476017406,2.234775964446054e-05,1413545887469577.0,88.4450780892438,34.633289520859314,0.0335973705942046,0.0006856606243715,0.00055995617657,0.3120906783885193,0.0164524238565583,0.0033050741861968,0.0006256883022709,3.9576187527691096e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6308299473241559,16.721666652778413,11.146967975250524,22.34775964446054,1413545887469577.2,12.3163319529127,724.634594411332,1320.22007960686,0.0263804077989,0.0170366346102353,0.192352675167096,16.7217540429809,11.2905324066488,11.287554703687444,0.0263804077988899,0.4540978239048565,13.043458492913109,396737056575429.5,4.266207474047807,0.4354930946192496
139,139,130.58712631085993,32.17425776791114,9806.94,885974.0,,161.55242244695083,-0.8163617963913296,34610D,231.9065,34.62492,-3.6563125,193.10888954101705,64963.7692281859,0.3200953204674452,0.4659679640786184,27.958077844717103,33312.91036188406,0.0,2023-11-05 17:19:00,0.0002640029020463,0.2722665727451254,1.0370701448950392,0.2329839820393092,0.5144603707377763,0.0111422246364586,0.0005883336600816,0.0001181955093856,2.2295623208966115e-05,1411085034421189.0,88.31956791146133,34.584142293915065,0.0335496934136605,0.0006846876206869,0.0005591615568943,0.3115151837494368,0.0164486782672288,0.0033045192523009,0.0006233427692727,3.945122523786292e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6325619242270326,16.65645518094203,11.142224636458687,22.29562320896612,1411085034421189.0,12.3037871236377,724.753698762492,1320.03132350261,0.0264002902046,0.0170274919818114,0.19206899028226,16.6565314915951,11.2799342667392,11.276957117333971,0.02640029020463,0.4543974550947123,13.043918611543944,395425632886202.4,4.2558540741793,0.4346419043667199
140,140,130.5042701287722,32.11780472475509,9806.94,885974.0,,161.6114570552787,-0.8152071407334646,34610D,231.98137,35.05291,-3.4389768,193.5717166048918,64935.81115034118,0.3201202459734036,0.4642944782717614,27.857668696305684,33116.48370884893,0.0,2023-11-05 17:20:00,0.0002633083302216,0.2722665727451254,1.0255219877545607,0.2321472391358807,0.5134258163921478,0.0111264366453675,0.0005889608160227,0.0001182850681894,2.218392505038006e-05,1405812852856625.0,88.00237541162964,34.459936177330135,0.0334292024355668,0.000682228621134,0.0005571533739261,0.3099565858370841,0.0164070752878663,0.0032951462413426,0.0006179924344371,3.916266870388819e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6339756432710576,16.558241854424466,11.126436645367551,22.18392505038006,1405812852856625.0,12.2707334761526,724.565545169655,1319.24151094176,0.0263308330222,0.0170077596328965,0.191395202741417,16.5584794815936,11.2534047324622,11.250442397260322,0.0263308330221599,0.4539241165109549,13.026471797824474,393220092666913.94,4.226224501294207,0.4327122730837552
141,141,130.42141394668448,32.06135168159904,9806.94,885974.0,,161.67049166360655,-0.8140443068767946,34610D,232.01889,35.346355,-3.315208,193.87077633936315,64907.95348164487,0.3200786417608254,0.4625064436078069,27.75038661646841,32933.780897079785,0.0,2023-11-05 17:21:00,0.0002605544477972,0.2722665727451254,1.0104555463365303,0.2312532218039034,0.5118834557230745,0.0111091236519228,0.0005892751119737,0.0001182937252085,2.206661308880632e-05,1400275698359709.5,87.66347132142371,34.32722824457143,0.0333004639397621,0.0006796013048931,0.0005550077323293,0.3082824763110121,0.0163526121807335,0.0032826966088407,0.0006123570445303,3.885819199912725e+16,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6349037697901051,16.466890448539893,11.109123651922834,22.066613088806324,1400275698359709.5,12.2353196127746,724.223483323899,1318.25549062464,0.0260554447797,0.0169859943851846,0.190678402295661,16.4671290422571,11.2256249455712,11.222700820956003,0.02605544477972,0.4530635904525027,13.002989461370916,391102331234244.2,4.192766088850834,0.4306807710048856
