,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
15,15,17,3c49c8,EWG1VT,52.49025506488347,7.711225237165179,204.234444268,8961.12,-0.3398348791110823,34610D,229.44922,10.563271,8.5036125,194.35265878741748,66778.49963439448,,,42.45830660000936,,1071.0583136233888,6.142619516125656e-05,30920.29281591529,0.364059179983089,0.3538192216667447,0.6619179388135683,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6400360273851247,25.12408317373831,13.592691097740548,33.60032889132344,1490293585518316.0,,,,,,,,,,,,,12.348150642918435,840271815017330.6,,,3.16,35.8,2023-05-04 22:17:00,6.142619516125656e-05,0.36405943078603725,0.0,309.202928159153,15,6.142619516125656e-05,10.563271,8.5036125,0.36405943078603725,0.008792679,0.0,0.4694609369193078,0.0,12192.390617160147,0.9879433457186163,0.1548158443128691,,,0.23674335583579528,,,,0.0,0.0,0.0,0 days,6.929437e-05,5.843067e-08,89245.195,0.42972618,-223.1047,0.0,0.0,1.0,-5.225206615631972e-13,1.6043944e-12,2.1544153e-16,0.0,0.0,0.0,7.48e-16,1.502779965400313e-14,1.0818737018382264e-12,1089.6206903864434,,,0.0,6.929437e-05,5.843067e-08,89245.195,0.42972618,-223.1047,0.0,0.0,0.0,-5.225206615631972e-13,1.6043944e-12,2.1544153e-16,0.0,0.0,0.0,7.48e-16,1.502779965400313e-14,1.0818737018382264e-12,1089.6206903864434,,,0.0
16,16,18,3c49c8,EWG1VT,52.59853557004767,7.739161900111608,202.691110936,9288.78,-0.3389658398675679,34610D,226.5483,11.364381,8.353465,192.91113010676528,66736.04132779448,,,40.24571506381086,,869.3903244561698,6.954930816760002e-05,29444.15627541902,0.5532767519440218,0.3353809588650905,0.6276689494123429,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.639343238602581,23.975302914684583,13.219741539397164,32.64382281951953,1504663711697918.2,,,,,,,,,,,,,11.542712970470896,796052663839043.0,,,3.16,35.8,2023-05-04 22:18:00,6.954930816760002e-05,0.5532761661071579,0.0,294.4415627541903,16,6.954930816760002e-05,11.364381,8.353465,0.5532761661071579,0.0116155455,0.0,0.4527732443714505,0.0,12150.201709940322,0.9879163411701827,0.154988073247329,,,0.3496620706077847,,,,0.0,0.0,0.0,0 days,6.114711e-05,1.3210402e-07,92423.27,0.4885414,-219.13696,0.0,0.0,1.0,-5.064658334972484e-13,1.5600641e-12,2.2112052e-16,0.0,0.0,0.0,7.479999999999998e-16,1.4665899149600483e-14,1.0535983564196956e-12,1088.078636220798,,,0.0,6.114711e-05,1.3210402e-07,92423.27,0.4885414,-219.13696,0.0,0.0,0.0,-5.064658334972484e-13,1.5600641e-12,2.2112052e-16,0.0,0.0,0.0,7.479999999999998e-16,1.4665899149600483e-14,1.0535983564196956e-12,1088.078636220798,,,0.0
17,17,19,3c49c8,EWG1VT,52.706451416015625,7.7671051025390625,203.719999824,9555.48,-0.3380841188904732,34610D,224.35458,11.577669,7.470117,192.4809248260609,66695.79561273067,,,50.363075696888906,,1239.6314015679416,7.327437674243284e-05,28285.243706121,0.7302013836837679,0.4196922974740742,0.7883002953215503,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6410286583708471,28.14708109353841,14.569336875231915,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,10.950176765094763,763138128847090.5,,,3.16,35.8,2023-05-04 22:19:00,7.327437674243284e-05,0.7302019557245552,0.0,282.8524370612101,17,7.327437674243284e-05,11.577669,7.470117,0.7302019557245552,0.0146602085,5.816125e-11,0.43920516030502804,0.0,12097.137956128383,0.9876799551807144,0.15648739928256858,,,0.4516439975936912,,,,0.0,0.0,0.0,0 days,5.5974884e-05,2.920709e-07,95116.52,0.5555645,-214.83302,0.0,0.0,0.9999999999999998,-4.928808896575803e-13,1.5699983e-12,2.3345128e-16,0.0,0.0,0.0,7.48e-16,1.4983976655937903e-14,1.0771173357504042e-12,1086.5409694709535,,,0.0,5.5974884e-05,2.920709e-07,95116.52,0.5555645,-214.83302,0.0,0.0,0.0,-4.928808896575803e-13,1.5699983e-12,2.3345128e-16,0.0,0.0,0.0,7.48e-16,1.4983976655937903e-14,1.0771173357504042e-12,1086.5409694709535,,,0.0
18,18,20,3c49c8,EWG1VT,52.8138427734375,7.795257568359375,199.604444272,9936.48,-0.3371929168778201,34610D,221.51828,9.929801,5.385799,193.79451417077303,66645.43253703378,,,41.11259878240627,,792.2847155987209,5.981635512731362e-05,26693.98306230875,0.7990603876683563,0.3426049898533856,0.6511132644421563,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6495220929621462,23.97135536377996,13.267289911489746,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,10.236432875411936,722576336807510.1,,,3.16,35.8,2023-05-04 22:20:00,5.981635512731363e-05,0.7990604592834649,0.0,266.9398306230876,18,5.981635512731363e-05,9.929801,5.385799,0.7990604592834649,0.017054738,5.4832725e-08,0.4198036968616317,0.0,11917.947843938766,0.987485673045585,0.15770873637724733,,,0.48070064217500647,,,,0.0,0.0,0.0,0 days,5.018448e-05,4.950954e-07,98818.54,0.6748304,-210.87466,0.020378243851866464,0.020378243851866464,1.0000000000000002,-4.742648574799693e-13,1.5815474e-12,2.491011e-16,7.234959158939607e-15,1.0682552218688825e-15,7.234959158939607e-15,7.48e-16,1.6549367708127246e-14,1.1072825499231562e-12,1085.0054963973926,,,8.622586590926931e-14,5.018448e-05,4.950954e-07,98818.54,0.6748304,-210.87466,0.0,0.020378243851866464,0.0,-4.742648574799693e-13,1.5815474e-12,2.491011e-16,0.0,0.0,0.0,7.48e-16,1.5391774242696908e-14,1.1072825499231562e-12,1085.0054963973926,,,0.0
19,19,21,3c49c8,EWG1VT,52.91965290651483,7.823285784040179,199.604444272,10180.32,-0.3363080520807473,34610D,219.72566,8.771913,4.5843353,194.60028730486653,66604.31993825137,,,38.586756331799975,,717.4532491308746,5.092465352953304e-05,25714.19779246873,0.8218547349571623,0.3215563027649998,0.6159673391547007,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6548778521257255,22.614843108837167,12.871807061125336,35.598922847118075,1460267589684964.5,,,,,,,,,,,,,9.792968002913778,697306077421329.1,,,3.16,35.8,2023-05-04 22:21:00,5.0924653529533044e-05,0.821856040874352,0.0,257.14197792468735,19,5.0924653529533044e-05,8.771913,4.5843353,0.821856040874352,0.017985256,1.657785e-07,0.4076943109823992,0.0,11923.242398421202,0.9874734508217847,0.1577852462117931,,,0.4858395564262202,,,,0.0,0.0,0.0,0 days,4.788456e-05,6.0621693e-07,101093.92,0.77843374,-207.163,0.11083489190731731,0.11083489190731731,1.0,-4.628384355258944e-13,1.5874196e-12,2.576667e-16,3.9350099162812843e-14,5.810115577472613e-15,3.9350099162812843e-14,7.480000000000001e-16,2.1921237813959668e-14,1.124581171300344e-12,1083.4890832132794,,,4.691807707201287e-13,4.788456e-05,6.0621693e-07,101093.92,0.77843374,-207.163,0.0,0.11083489190731731,0.0,-4.628384355258944e-13,1.5874196e-12,2.576667e-16,0.0,0.0,0.0,7.480000000000001e-16,1.5625221947909612e-14,1.124581171300344e-12,1083.4890832132794,,,0.0
20,20,22,3c49c8,EWG1VT,53.0255126953125,7.851409912109375,199.089999828,10401.3,-0.3354045985008222,34610D,218.18747,8.45912,5.243391,194.1399066430545,66565.73318191957,,,36.4479054212502,,593.6299360229453,4.823341601774796e-05,24851.61635473102,0.9163612607574046,0.303732545177085,0.5862756967788418,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6556274202094695,21.509647578959303,12.518786251836362,34.02533802891966,1483908435319297.0,,,,,,,,,,,,,9.335880475505713,671780040231675.1,,,3.16,35.8,2023-05-04 22:22:00,4.823341601774796e-05,0.9163622777684455,0.0,248.51616354731024,20,4.823341601774796e-05,8.45912,5.243391,0.9163622777684455,0.018684411,3.757367e-07,0.3967959976788908,0.0,11958.658100406656,0.9872449808850642,0.1592085039099649,,,0.5336551862540769,,,,0.0,0.0,0.0,0 days,4.6908684e-05,6.7923025e-07,103137.914,0.8917384,-203.91962,0.3514226861395631,0.3514226861395631,1.0,-4.525949614928413e-13,1.6002823e-12,2.6329484e-16,1.186513956094831e-13,1.8256222066184232e-14,1.186513956094831e-13,7.48e-16,3.491545341057474e-14,1.1476873291548006e-12,1081.9698555169718,,,1.4189114732298998e-12,4.6908684e-05,6.7923025e-07,103137.914,0.8917384,-203.91962,0.0,0.3514226861395631,0.0,-4.525949614928413e-13,1.6002823e-12,2.6329484e-16,0.0,0.0,0.0,7.48e-16,1.593123011305745e-14,1.1476873291548006e-12,1081.9698555169718,,,0.0
21,21,23,3c49c8,EWG1VT,53.13166809082031,7.879943847656251,200.118888716,10584.18,-0.3344795644121995,34610D,217.03667,8.89711,6.5013466,193.504024219083,66529.28527649833,,,32.67097021289927,,272.1011475083943,4.904559339083825e-05,24155.610477000162,1.051636817518525,0.2722580851074939,0.5298501396978722,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6552102163678363,19.58650581952133,11.897011308278858,29.750763589818547,1548127760072918.2,,,,,,,,,,,,,8.951376381870183,650376554929114.4,,,3.16,35.8,2023-05-04 22:23:00,4.9045575697169985e-05,1.051635840669207,1.0,241.55610477000167,21,4.9045575697169985e-05,8.89711,6.5013466,1.051635840669207,0.019094585,5.580796e-07,0.38772816441935654,0.0,11978.172003760847,0.9876192593199988,0.15687000548293753,,,0.6056247655873079,,,,0.0,0.0,0.0,0 days,4.5763103e-05,6.7005595e-07,104947.99,0.9831997,-202.4359,0.7228071888443516,0.7228071888443516,1.0,-4.4354317994382947e-13,1.6440387e-12,2.6258765e-16,2.218114871067077e-13,3.470620172031935e-14,2.218114871067077e-13,7.48e-16,5.2106867270036113e-14,1.2004955140889685e-12,1080.4397444048013,,,2.656896144974126e-12,4.5763103e-05,6.7005595e-07,104947.99,0.9831997,-202.4359,0.0,0.7228071888443516,0.0,-4.4354317994382947e-13,1.6440387e-12,2.6258765e-16,0.0,0.0,0.0,7.48e-16,1.6617029332962882e-14,1.2004955140889685e-12,1080.4397444048013,,,0.0
22,22,24,3c49c8,EWG1VT,53.238046937069655,7.90817709530101,201.662222048,10668.0,-0.3335322069846675,34610D,216.5054,9.372873,6.7277226,194.2507980573113,66496.61430628542,,,33.687932809747515,,321.5848732438983,5.010796602375409e-05,23841.9280160665,1.136789808647592,0.2807327734145626,0.5488807787973186,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6585452714226009,20.03259973328197,12.053971002673778,31.718688356431944,1518562524637594.8,,,,,,,,,,,,,8.83186935989878,643304481415249.1,,,3.16,35.8,2023-05-04 22:24:00,5.0107969874527044e-05,1.1367900335869068,1.0,238.41928016066504,22,5.0107969874527044e-05,9.372873,6.7277226,1.1367900335869068,0.020221213,6.845011e-07,0.3836322318214781,0.0,12136.904479811194,0.9872318005993861,0.1592902127730827,,,0.6512986950302799,,,,0.0,0.0,0.0,0 days,4.555223e-05,6.5092087e-07,105757.555,1.0315133,-200.8813,0.9089884257982431,0.9089884257982431,1.0,-4.3950874497576877e-13,1.6635733e-12,2.6111265e-16,2.748237259692955e-13,3.797977836960136e-14,2.748237259692955e-13,7.480000000000001e-16,6.089374751932576e-14,1.224064516336824e-12,1078.9064125004988,,,3.335509310875146e-12,4.555223e-05,6.5092087e-07,105757.555,1.0315133,-200.8813,0.0,0.9089884257982431,0.0,-4.3950874497576877e-13,1.6635733e-12,2.6111265e-16,0.0,0.0,0.0,7.480000000000001e-16,1.692195136423848e-14,1.224064516336824e-12,1078.9064125004988,,,0.0
23,23,25,3c49c8,EWG1VT,53.345792091498936,7.937298943014706,203.20555538,10767.06,-0.3325475547515067,34610D,215.87497,10.038083,7.025868,195.05808766849853,66462.92637347567,,,34.72901128818121,,395.796553738334,4.868431071338987e-05,23475.473358295,1.1815319575071237,0.2894084274015101,0.568898985257544,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.662247041797569,20.4456513695947,12.210806892142053,33.82520879066956,1486915088900134.0,,,,,,,,,,,,,8.688274104116534,634838781505837.8,,,3.16,35.8,2023-05-04 22:25:00,4.8684298131962365e-05,1.1815311713120646,1.0,234.75473358295002,23,4.8684298131962365e-05,10.038083,7.025868,1.1815311713120646,0.02481564,1.0325786e-06,0.37883885618672636,0.0,12218.586774808038,0.9867933249697626,0.16198436281049036,,,0.6728089323874761,,,,0.0,0.0,0.0,0 days,4.4216944e-05,6.08127e-07,106704.2,1.0646054,-199.79083,0.9748483978990408,0.9748483978990408,0.9999999999999998,-4.3479931687590977e-13,1.6865301e-12,2.5781396e-16,2.8320347197295293e-13,3.554389129673166e-14,2.8320347197295293e-13,7.479999999999999e-16,6.259087044017098e-14,1.2517308439005978e-12,1077.3455174576159,,,3.4603461972284414e-12,4.4216944e-05,6.08127e-07,106704.2,1.0646054,-199.79083,0.0,0.9748483978990408,0.0,-4.3479931687590977e-13,1.6865301e-12,2.5781396e-16,0.0,0.0,0.0,7.479999999999999e-16,1.727831492449851e-14,1.2517308439005978e-12,1077.3455174576159,,,0.0
24,24,26,3c49c8,EWG1VT,53.45421225337659,7.967188218060661,205.263333156,10888.98,-0.3315361222117405,34610D,215.0839,10.813545,7.4446807,195.49009879435283,66428.1973621875,,,34.91819459596948,,395.6787639589386,4.512787223985292e-05,23030.72702383211,1.193098898087726,0.2909849549664123,0.5753766777426363,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6649332060963152,20.441213891491945,12.228202748779587,34.86237007953531,1471333234242911.0,,,,,,,,,,,,,8.485509291906856,623174192350076.5,,,3.16,35.8,2023-05-04 22:26:00,4.512787332263413e-05,1.1930989717960165,1.0,230.3072702383211,24,4.512787332263413e-05,10.813545,7.4446807,1.1930989717960165,0.025794966,1.2725059e-06,0.37302865459942086,0.0,12363.478546471168,0.9873490116247907,0.15856206748005305,,,0.6742140272967893,,,,0.0,0.0,0.0,0 days,4.1370025e-05,5.7037613e-07,107855.52,1.0850604,-198.77182,0.9977886760942248,0.9977886760942248,1.0,-4.290806727465668e-13,1.714144e-12,2.54904e-16,2.728302768952124e-13,3.1079669550219906e-14,2.728302768952124e-13,7.479999999999999e-16,6.136157108789636e-14,1.2850632916174727e-12,1075.7738555403607,,,3.373131275221747e-12,4.1370025e-05,5.7037613e-07,107855.52,1.0850604,-198.77182,0.0,0.9977886760942248,0.0,-4.290806727465668e-13,1.714144e-12,2.54904e-16,0.0,0.0,0.0,7.479999999999999e-16,1.7708726784662382e-14,1.2850632916174727e-12,1075.7738555403607,,,0.0
25,25,27,3c49c8,EWG1VT,53.56398010253906,7.996869768415179,205.7777776,11010.9,-0.3304846783128494,34610D,214.24896,11.906114,7.6606097,195.89792193419544,66393.27916759152,,,30.0452394091516,,74.13905249603786,4.1240320628882295e-05,22592.83445408237,1.195589326261616,0.2503769950762633,0.4976281538959802,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6676174429181753,17.957315576193817,11.423267229368635,28.19346770373326,1571523887961387.2,,,,,,,,,,,,,5.3357162092700055,471339013937616.5,,,3.16,35.8,2023-05-04 22:27:00,4.124036331163675e-05,1.1955925123426678,1.0,225.9283445408238,25,4.124036331163675e-05,11.906114,7.6606097,1.1955925123426678,0.023494976,1.2993074e-06,0.3673621824136592,0.0,12355.898713385564,0.9871130563632173,0.16002441675340617,,,0.6701933850376194,,,,0.0,0.0,0.0,0 days,3.7523674e-05,5.404124e-07,108987.28,1.0860491,-197.5281,1.0,1.0,1.0,-4.234727298935031e-13,1.7409433e-12,2.5259428e-16,2.5486061031766065e-13,2.4256422751021102e-14,2.5486061031766065e-13,7.48e-16,5.89054092836058e-14,1.3174705652090134e-12,1074.1774191889122,,,3.149031887116643e-12,3.7523674e-05,5.404124e-07,108987.28,1.0860491,-197.5281,0.0,1.0,0.0,-4.234727298935031e-13,1.7409433e-12,2.5259428e-16,0.0,0.0,0.0,7.48e-16,1.8127711632780108e-14,1.3174705652090134e-12,1074.1774191889122,,,0.0
26,26,28,3c49c8,EWG1VT,53.67365950244968,8.026885986328125,207.321110932,11033.76,-0.3294174695751636,34610D,214.07706,12.436332,7.2090397,196.7014456698996,66363.23392818237,,,28.33273765736306,,0.0,4.011151261878275e-05,22511.53851710997,1.1856828607781416,0.2361061471446922,0.4699030123818815,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6706249260458178,16.967297581198387,11.129210644311303,25.831183020492578,1577964358974989.8,,,,,,,,,,,,,5.346179970376801,470811841800274.3,,,3.16,35.8,2023-05-04 22:28:00,4.0111506549171596e-05,1.185682398818164,1.0,225.1153851710997,26,4.0111506549171596e-05,12.436332,7.2090397,1.185682398818164,0.024224311,1.4306381e-06,0.36633422451266834,0.0,12428.04548017963,0.9871295249339055,0.15992279701081477,,,0.6635360571056371,,,,0.0,0.0,0.0,0 days,3.6465874e-05,5.072585e-07,109184.34,1.075597,-196.17496,0.9999999999999999,0.9999999999999999,0.9999999999999999,-4.2252539620604e-13,1.7453665e-12,2.5003867e-16,2.509324639636191e-13,1.670456277711002e-14,2.509324639636191e-13,7.480000000000002e-16,5.834416784046797e-14,1.3228411481523575e-12,1072.578523407633,,,3.118600074593394e-12,3.6465874e-05,5.072585e-07,109184.34,1.075597,-196.17496,0.0,0.9999999999999999,0.0,-4.2252539620604e-13,1.7453665e-12,2.5003867e-16,0.0,0.0,0.0,7.480000000000002e-16,1.8194973606288897e-14,1.3228411481523575e-12,1072.578523407633,,,0.0
27,27,29,3c49c8,EWG1VT,53.78398132324219,8.057137625558036,207.835555376,11033.76,-0.328322612492033,34610D,214.06396,12.874152,6.6273785,196.88329838140885,66334.90119052501,,,27.786102593035203,,0.0,3.943476416005809e-05,22511.53851710997,1.167726358161184,0.23155085494196,0.4608091416944576,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6712654599160751,16.644549222544864,11.033815613476696,25.25422810959822,1550731940076529.8,,,,,,,,,,,,,5.353955973197855,471188362728024.4,,,3.16,35.8,2023-05-04 22:29:00,3.943479941840079e-05,1.1677290464013614,1.0,225.1153851710997,27,3.943479941840079e-05,12.874152,6.6273785,1.1677290464013614,0.024999196,1.5128337e-06,0.36635664294471604,0.0,12337.10210101054,0.986972447149042,0.16088936748160731,,,0.6534063008031669,,,,0.0,0.0,0.0,0 days,3.6046215e-05,4.7396733e-07,109167.83,1.0632879,-194.6503,0.9999999999999999,0.9999999999999999,0.9999999999999999,-4.226413637100077e-13,1.7447359e-12,2.4747248e-16,2.505850954459001e-13,8.195480962982316e-15,2.505850954459001e-13,7.479999999999999e-16,5.827631606559284e-14,1.3220944850139683e-12,1070.9674897143282,,,3.0914939075075405e-12,3.6046215e-05,4.7396733e-07,109167.83,1.0632879,-194.6503,0.0,0.9999999999999999,0.0,-4.226413637100077e-13,1.7447359e-12,2.4747248e-16,0.0,0.0,0.0,7.479999999999999e-16,1.818270079424879e-14,1.3220944850139683e-12,1070.9674897143282,,,0.0
28,28,30,3c49c8,EWG1VT,53.89347839355469,8.087428501674108,206.292222044,11033.76,-0.3272231512815348,34610D,214.06244,13.417784,6.118665,196.50375071761496,66307.11508793198,,,27.78603780394884,,0.0,3.8461703702175175e-05,22511.53851710997,1.1391449243820897,0.231550315032907,0.4606359422506959,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6699737779901445,16.66540696007017,11.032298151861667,25.272900567949858,1551613284871581.0,,,,,,,,,,,,,5.3382861760659255,470429610927280.94,,,3.16,35.8,2023-05-04 22:30:00,3.846173340768514e-05,1.1391471897136198,1.0,225.1153851710997,28,3.846173340768514e-05,13.417784,6.118665,1.1391471897136198,0.023502493,1.4020992e-06,0.36635924434502365,0.0,12296.075402713475,0.9869536965359685,0.1610043505436649,,,0.6374038843754843,,,,0.0,0.0,0.0,0 days,3.549439e-05,4.410035e-07,109150.234,1.0489941,-192.59642,0.9999999999999999,0.9999999999999999,0.9999999999999999,-4.227622591100976e-13,1.7441268e-12,2.4493151e-16,2.505045141751549e-13,-3.2670984429322718e-15,2.505045141751549e-13,7.480000000000002e-16,5.825139276250196e-14,1.321364536405782e-12,1069.3623173228693,,,3.0802223950178113e-12,3.549439e-05,4.410035e-07,109150.234,1.0489941,-192.59642,0.0,0.9999999999999999,0.0,-4.227622591100976e-13,1.7441268e-12,2.4493151e-16,0.0,0.0,0.0,7.480000000000002e-16,1.8170670494477187e-14,1.321364536405782e-12,1069.3623173228693,,,0.0
29,29,31,3c49c8,EWG1VT,54.00260925292969,8.117719377790179,204.748888712,11033.76,-0.3261117869972798,34610D,214.0623,13.963895,5.6106515,196.1607126774909,66279.32905012803,,,27.55098733727718,,0.0,3.746752195896045e-05,22511.53851710997,1.109721727030193,0.2295915611439765,0.4565952043379178,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6688044086126225,16.548023792299375,10.989218364841127,25.04553948446592,1540881783761651.2,,,,,,,,,,,,,5.324138011409928,469744516757740.8,,,3.16,35.8,2023-05-04 22:31:00,3.746752341348005e-05,1.1097218379534823,1.0,225.1153851710997,29,3.746752341348005e-05,13.963895,5.6106515,1.1097218379534823,0.022144336,1.3075905e-06,0.3663594839495417,0.0,12308.596033909274,0.9867775235142027,0.16208059441887912,,,0.620938242704916,,,,0.0,0.0,0.0,0 days,3.4923545e-05,4.0760025e-07,109132.58,1.0339569,-190.59093,1.0,1.0,1.0,-4.2288333697889825e-13,1.743522e-12,2.423567e-16,2.5045209843553227e-13,-1.4459670783425406e-14,2.5045209843553227e-13,7.48e-16,5.823099538144723e-14,1.320638688157039e-12,1067.7623012228933,,,3.0827137054878478e-12,3.4923545e-05,4.0760025e-07,109132.58,1.0339569,-190.59093,0.0,1.0,0.0,-4.2288333697889825e-13,1.743522e-12,2.423567e-16,0.0,0.0,0.0,7.48e-16,1.815865963176209e-14,1.320638688157039e-12,1067.7623012228933,,,0.0
30,30,32,3c49c8,EWG1VT,54.11183166503906,8.148324148995536,203.719999824,11033.76,-0.3249819730211437,34610D,214.07378,14.578215,5.0848145,195.6050375934701,66251.77806279075,,,28.10420228286445,,24.700480852223333,3.679425222069991e-05,22511.53851710997,1.0881045485372265,0.234201685690537,0.4656204200085164,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6668920170534401,16.897377096669437,11.084804072110805,25.64901285959777,1569365880933444.0,,,,,,,,,,,,,5.301077326290712,468627808700453.9,,,3.16,35.8,2023-05-04 22:32:00,3.679424139616546e-05,1.0881037243159852,1.0,225.1153851710997,30,3.679424139616546e-05,14.578215,5.0848145,1.0881037243159852,0.019066224,1.1061285e-06,0.36633983741984644,0.0,12074.955891500409,0.9866998936058166,0.16255251446308094,,,0.6089094309547095,,,,0.0,0.0,0.0,0 days,3.45511e-05,3.7763277e-07,109113.63,1.0207433,-189.1938,1.0,1.0,1.0,-4.2301061187346797e-13,1.742937e-12,2.400467e-16,2.50672607351621e-13,-2.2256952508610175e-14,2.50672607351621e-13,7.48e-16,5.825470682831911e-14,1.31992638161277e-12,1066.152273484699,,,3.0268606769782245e-12,3.45511e-05,3.7763277e-07,109113.63,1.0207433,-189.1938,0.0,1.0,0.0,-4.2301061187346797e-13,1.742937e-12,2.400467e-16,0.0,0.0,0.0,7.48e-16,1.8147089652059753e-14,1.31992638161277e-12,1066.152273484699,,,0.0
31,31,33,3c49c8,EWG1VT,54.21897241624735,8.178513470818014,202.176666492,11041.38,-0.3238671475364666,34610D,214.03496,15.233457,4.617258,195.29393188182323,66223.67386050789,,,27.748283276874613,,-24.7022310525843,3.601737901746787e-05,22484.50492966137,1.0694053543072626,0.2312356939739551,0.4598367030670445,cruise,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6658916851152069,16.709782634487667,11.019842865049077,25.325489271873305,1554095485105131.8,,,,,,,,,,,,,5.280480327409932,467286892245909.3,,,3.16,35.8,2023-05-04 22:33:00,3.60173722328423e-05,1.069404835626548,1.0,224.84504929661372,31,3.60173722328423e-05,15.233457,4.617258,1.069404835626548,0.015562353,8.781415e-07,0.3659662724433113,0.0,12013.850572719619,0.9866125380474416,0.1630818805618379,,,0.5982212075165171,,,,0.0,0.0,0.0,0 days,3.400706e-05,3.5872603e-07,109169.586,1.0062706,-188.12668,0.9938019718645488,0.9938019718645488,1.0,-4.227669062356094e-13,1.744659e-12,2.385893e-16,2.4883277683844364e-13,-2.8037683504353048e-14,2.4883277683844364e-13,7.48e-16,5.798443108769874e-14,1.3218921153415194e-12,1064.5729311317436,,,2.9894397985319492e-12,3.400706e-05,3.5872603e-07,109169.586,1.0062706,-188.12668,0.0,0.9938019718645488,0.0,-4.227669062356094e-13,1.744659e-12,2.385893e-16,0.0,0.0,0.0,7.48e-16,1.817118679354775e-14,1.3218921153415194e-12,1064.5729311317436,,,0.0
