,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,-0.5131375785550056,34610D,276.88602,-1.986956,-8.8236265,96.12523594322155,67037.38571925568,0.26004086387443365,1.073573387705436,66.73806291422866,124.9733344629462,1609.6508413381612,0.0046987304817692,93181.80291069952,0.85037694551038,0.5561505242852389,0.6605318324124678,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.2881669081805884,62.48667926754637,16.006809705067827,20.541108380803028,1328271487189167.8,31.0750996158733,787.418536738764,1462.32935707634,0.469873048177,0.0199633883201082,0.536786693852718,62.4866672314731,26.8885564537178,26.76280524493577,0.46987304817692,0.6365347784239894,1508191399906283.2,0.018945327391409895,2.1819365745528572e-05,3.16,35.8,2023-05-05 04:02:00,0.004698730481769278,0.8503761525853903,0.0,0,931.8180291069953,0.004698730481769278,-1.986956,-8.8236265,0.8503761525853903,0.14803518,1.4659762e-09,1.1723911437720247,0.0,7725.93080288237,-0.8195006120311534,-0.5730783078084224,5.853659834978,245.49280727929192,0.8815312305078484,inf,0.0,240.78340957522073,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004592342,1.3329303e-07,7115.0703,0.8655266,-231.03252,0.0,0.0,1.0,-9.802028376515443e-13,7.73798e-12,2.2121217e-16,0.0,0.0,0.0,7.479999999999999e-16,8.882032107596942e-14,6.757777608129762e-12,1219.1912110679564,8.246867139371538e-12,1.522550367030951e-13,0.0,0.004592342,1.3329303e-07,7115.0703,0.8655266,-231.03252,0.0,0.0,0.0,-9.802028376515443e-13,7.73798e-12,2.2121217e-16,0.0,0.0,0.0,7.479999999999999e-16,8.882032107596942e-14,6.757777608129762e-12,1219.1912110679564,8.246867139371538e-12,1.522550367030951e-13,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,-0.514376150529617,34610D,273.24146,-2.874162,-7.972619,125.94668769123552,66970.64765634145,0.30550329830266487,1.528923075593276,96.0,159.5865283628328,3565.592246169409,0.004329223797961,87673.12586169648,0.9910148492056516,0.8,0.9721290267339548,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.3800762121455791,79.79403372481775,20.96240597637281,36.28235539,1450000000000000.0,40.8806198625044,852.080238852043,1600.05516268327,0.432922379796,0.0227419994392157,0.764461537796638,79.7932641814164,33.6145262794449,33.46962876608186,0.4329223797961,0.861054588880089,1951705040205382.5,0.02611307673383304,3.320957114726868e-05,3.16,35.8,2023-05-05 04:03:00,0.004329223797961069,0.9910147979633032,0.0,1,876.7312586169647,0.004329223797961069,-2.874162,-7.972619,0.9910147979633032,0.121627964,8.09388e-07,1.1177954630869846,0.0,8772.56839360524,-0.9285345241436924,0.3712460605491279,5.866276537081607,245.51879919300768,0.9917967567667837,inf,0.0,244.12717002290123,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004235197,2.5292186e-07,11945.649,0.9695584,-232.08405,0.0,0.0,0.9999999999999999,-9.5385836665955e-13,6.945535e-12,2.3043357e-16,0.0,0.0,0.0,7.48e-16,7.887022557788003e-14,5.9916763092032875e-12,1219.7898097296709,1.4353019469348017e-11,2.1683309371909888e-13,0.0,0.004235197,2.5292186e-07,11945.649,0.9695584,-232.08405,0.0,0.0,0.0,-9.5385836665955e-13,6.945535e-12,2.3043357e-16,0.0,0.0,0.0,7.48e-16,7.887022557788003e-14,5.9916763092032875e-12,1219.7898097296709,1.4353019469348017e-11,2.1683309371909888e-13,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,-0.5160250977940999,34610D,267.37772,-2.774568,-6.3909993,155.0995782089076,66874.64765634145,0.34413816314289475,1.124541285793496,78.98038320639235,107.3690382225494,2404.77342371174,0.0030445967333206,76420.53006165694,0.99481868719961,0.6581698600532696,0.8584704853105043,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4731569697070497,53.68363370630521,17.931872525835878,31.69782340714613,1518875990451149.8,32.3731380800098,810.402159492036,1493.30911864449,0.304459673332,0.0203073985265243,0.562270642896748,53.6845191112747,27.687970084516,27.603927257760205,0.30445967333206,0.7151530774134847,1461865768833476.8,0.021271728168903704,2.245262785562098e-05,3.16,35.8,2023-05-05 04:04:00,0.003044596733320636,0.9948197934969077,0.0,2,764.2053006165694,0.003044596733320636,-2.774568,-6.3909993,0.9948197934969077,0.03803893,7.5669476e-07,0.9956971839517894,0.0,9611.468894653619,-0.8690383133027305,0.49474479280932826,5.408591937236752,244.54250563255366,0.9404494665872063,inf,0.0,241.08878141361294,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0029781936,7.4787255e-07,22614.965,0.93975085,-232.31107,0.0,0.0,1.0000000000000002,-8.954373910780806e-13,5.6563014e-12,2.68586e-16,0.0,0.0,0.0,7.48e-16,6.290781512452329e-14,4.76086377826379e-12,1220.5509863054936,6.833059220670927e-12,1.5948334478426226e-13,0.0,0.0029781936,7.4787255e-07,22614.965,0.93975085,-232.31107,0.0,0.0,0.0,-8.954373910780806e-13,5.6563014e-12,2.68586e-16,0.0,0.0,0.0,7.48e-16,6.290781512452329e-14,4.76086377826379e-12,1220.5509863054936,6.833059220670927e-12,1.5948334478426226e-13,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,-0.5177246524461133,34610D,263.9612,-1.8348358,-6.9312444,173.88763278875902,66795.66727313506,0.35364763753521744,0.82779143650369,58.638031256889846,72.444335645748,1305.4762294683749,0.002484394871487,69546.28509278147,0.9948075581330316,0.488650260474082,0.6751669067150023,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5338949884756242,36.22280981412247,15.713783347910862,21.863804972311943,1390703103551873.8,25.3263000783478,773.48982202664,1405.8884570736,0.248439487149,0.0184691730762949,0.413895718251845,36.222167822874,22.4100839026236,22.354546382237157,0.2484394871487,0.5914870339178775,1019585484223521.6,0.017797285129662197,1.4091366011773632e-05,3.16,35.8,2023-05-05 04:05:00,0.0024843948714870145,0.9948095749006064,0.0,3,695.4628509278148,0.0024843948714870145,-1.8348358,-6.9312444,0.9948095749006064,0.0032354533,5.848112e-08,0.9178596774880032,0.0,11080.285114414322,-0.8202005681753433,0.5720760683378078,4.992082741567136,243.58811155391325,0.9095554842478388,inf,0.0,239.47654508052145,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0024296467,7.548072e-07,29796.426,0.9406345,-232.3214,0.0,0.0,0.9999999999999999,-8.561525034084626e-13,4.9512074e-12,2.6912055e-16,0.0,0.0,0.0,7.48e-16,5.4252836441025604e-14,4.095055067630708e-12,1221.3329943485194,3.6198092397114666e-12,1.1739804375810254e-13,0.0,0.0024296467,7.548072e-07,29796.426,0.9406345,-232.3214,0.0,0.0,0.0,-8.561525034084626e-13,4.9512074e-12,2.6912055e-16,0.0,0.0,0.0,7.48e-16,5.4252836441025604e-14,4.095055067630708e-12,1221.3329943485194,3.6198092397114666e-12,1.1739804375810254e-13,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,-0.5195400737080467,34610D,262.0253,-0.8454183,-8.267437,183.40398047262252,66737.02924187816,0.373315015431337,1.06058384345623,76.2494429257838,92.8951728380592,2579.0178701338605,0.0021253987805452,66042.770723412,0.9599572197895524,0.6354120243815317,0.9052247747318404,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5651898342378954,46.44832533948568,18.6411865227332,35.00245800970032,1469228614845238.0,30.7097906308003,815.115184666559,1494.48055038561,0.212539878055,0.0201945844898021,0.530291921728115,46.4475864190296,26.259115259138,26.203422536832107,0.21253987805452,0.7314460288756214,1288612022469153.8,0.02174560721462838,1.9992450020127646e-05,3.16,35.8,2023-05-05 04:06:00,0.002125398780545253,0.9599579734776496,0.0,4,660.42770723412,0.002125398780545253,-0.8454183,-8.267437,0.9599579734776496,0.0013653607,1.7276653e-08,0.8780606342565249,0.0,12201.84212776877,-0.8219449188493326,0.5695669849787328,4.8878622903562166,243.33827478419633,0.8611947899043405,inf,0.0,238.4082715343215,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.002081865,9.629777e-07,33709.73,0.9097275,-231.93454,0.0,0.0,1.0,-8.348342483223626e-13,4.5911695e-12,2.8516704e-16,0.0,0.0,0.0,7.480000000000001e-16,4.9865522236599907e-14,3.756335016092903e-12,1222.185961480596,5.197950211196196e-12,1.5041284914603734e-13,0.0,0.002081865,9.629777e-07,33709.73,0.9097275,-231.93454,0.0,0.0,0.0,-8.348342483223626e-13,4.5911695e-12,2.8516704e-16,0.0,0.0,0.0,7.480000000000001e-16,4.9865522236599907e-14,3.756335016092903e-12,1222.185961480596,5.197950211196196e-12,1.5041284914603734e-13,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,-0.5214683167600467,34610D,259.80582,0.6809574,-9.878724,190.7510862880955,66660.77979895238,0.37314814735830737,0.804710929191158,57.75105276996501,67.738505149456,1247.4153509850807,0.0011943565598339,59583.07384093393,0.5947223428199777,0.4812587730830417,0.7400609738232219,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5903366980439335,33.86935994382623,15.916152078415577,25.09561100505764,1543245172300146.8,24.5149001869279,785.477210677578,1423.10736555596,0.119435655983,0.0186691856429087,0.402355464595579,33.869252574728,21.551848714323,21.52613882920445,0.11943565598339,0.6301445935537102,936500429078056.6,0.018744452169876486,1.346926566143523e-05,3.16,35.8,2023-05-05 04:07:00,0.0011943565598339595,0.5947223970953958,0.0,5,595.8307384093393,0.0011943565598339595,0.6809574,-9.878724,0.5947223970953958,0.0018888467,0.0,0.7989442537416916,0.0,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.405068699388568,242.11546868006835,0.5220330926990274,inf,0.0,234.09706247766806,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0011693651,8.77994e-07,41411.93,0.56755966,-231.4359,0.0,0.0,0.9999999999999999,-7.926426852718089e-13,4.0995735e-12,2.7861621e-16,0.0,0.0,0.0,7.48e-16,4.401671760650759e-14,3.30693087639138e-12,1223.1219764282039,2.9928780379610677e-12,1.141247477466334e-13,0.0,0.0011693651,8.77994e-07,41411.93,0.56755966,-231.4359,0.0,0.0,0.0,-7.926426852718089e-13,4.0995735e-12,2.7861621e-16,0.0,0.0,0.0,7.48e-16,4.401671760650759e-14,3.30693087639138e-12,1223.1219764282039,2.9928780379610677e-12,1.141247477466334e-13,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,-0.5235022525776605,34610D,257.57114,2.187118,-10.692826,198.10827505212217,66603.02874618242,0.38970986854947404,1.130482634506144,76.22163988872474,95.693870610526,2792.3233952291703,0.0008859210157648,56665.10718470681,0.5151830719999009,0.6351803324060394,1.0,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6157596812378552,47.84697632419486,20.4149758492938,36.28235539,1450000000000000.0,31.3630199287904,843.859029657853,1561.7371619647,0.0885921015765,0.0215974704072179,0.565241317253072,47.846935305263,26.1716444840766,26.148478997002872,0.08859210157648,0.8337546575950741,1301332578018789.2,0.024880020818927772,2.124988018430924e-05,3.16,35.8,2023-05-05 04:08:00,0.0008859210157648274,0.5151833079160659,0.0,6,566.6510718470681,0.0008859210157648274,2.187118,-10.692826,0.5151833079160659,0.005482508,0.0,0.7664096479907045,0.0,12932.714296879942,-0.96828920219839,-0.24983198535416845,4.301883310761516,241.83879413891935,0.44238199699707376,inf,0.0,233.36230894874402,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00086669135,5.338217e-07,45174.324,0.4854144,-231.12817,0.0,0.0,1.0,-7.721325953158324e-13,3.773134e-12,2.5208627e-16,0.0,0.0,0.0,7.48e-16,4.001310571252892e-14,3.001001496115403e-12,1224.152320042909,5.064447777463012e-12,1.6032595161176897e-13,0.0,0.00086669135,5.338217e-07,45174.324,0.4854144,-231.12817,0.0,0.0,0.0,-7.721325953158324e-13,3.773134e-12,2.5208627e-16,0.0,0.0,0.0,7.48e-16,4.001310571252892e-14,3.001001496115403e-12,1224.152320042909,5.064447777463012e-12,1.6032595161176897e-13,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,-0.5255076868906832,34610D,251.45457,2.7150571,-9.322758,207.4883564183417,66526.8071062937,0.3980618625135668,0.86918795208646,63.635289561447465,71.7549682948506,2087.214304886717,0.0005823126778361,50547.32103053465,0.5399949569401262,0.5302940796787289,0.8622744626417681,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6527113732764603,35.87683398794034,16.929728748770952,35.07213995692464,1468181743943346.8,25.7045322079097,803.84102527708,1466.48263335445,0.0582312677836,0.0195575580725045,0.43459397604323,35.8774841474253,22.2212801021522,22.208347899616456,0.05823126778361,0.6924303220994964,1013723582795976.0,0.020353113615634754,1.5334185064143296e-05,3.16,35.8,2023-05-05 04:09:00,0.0005823126778361597,0.5399959669412304,0.0,7,505.4732103053465,0.0005823126778361597,2.7150571,-9.322758,0.5399959669412304,0.007118168,0.0,0.7002950539963819,0.0,12430.578898437592,-0.7042767810084202,-0.7099255001283007,3.8896621595407534,240.67133275819256,0.43653369846364964,inf,0.0,232.2571943730464,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0005694462,3.2381806e-07,53511.684,0.52571785,-232.79523,0.0,0.0,1.0,-7.263862114512214e-13,3.02146e-12,2.3589846e-16,0.0,0.0,0.0,7.479999999999998e-16,3.0819859389445775e-14,2.295073916997053e-12,1225.3146872291402,2.4360852517965176e-12,1.232689307152634e-13,0.0,0.0005694462,3.2381806e-07,53511.684,0.52571785,-232.79523,0.0,0.0,0.0,-7.263862114512214e-13,3.02146e-12,2.3589846e-16,0.0,0.0,0.0,7.479999999999998e-16,3.0819859389445775e-14,2.295073916997053e-12,1225.3146872291402,2.4360852517965176e-12,1.232689307152634e-13,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,-0.5268981643144426,34610D,246.21408,3.0143535,-8.151666,207.2767913743356,66463.17181673224,0.3999759343984469,0.777476497248086,57.02684238481361,64.5582713027436,1929.5501263385804,0.0004358084476464,46319.52510881937,0.6233774401169674,0.4752236865401134,0.7796759761599182,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6589484487655257,32.27859376407086,15.883145162215284,32.04691239295008,1513631431193463.5,23.4173201519597,787.237964587838,1434.2676192121,0.0435808447646,0.0189668311712452,0.388738248624043,32.2791356513718,20.4956877147402,20.486759411923583,0.04358084476464,0.6359403216747986,906649824089263.2,0.01886097615485867,1.3109658243815297e-05,3.16,35.8,2023-05-05 04:10:00,0.00043580844764648096,0.6233780376108762,0.0,8,463.1952510881937,0.00043580844764648096,3.0143535,-8.151666,0.6233780376108762,0.0068721445,0.0,0.6553807213685862,0.0,12894.637238011368,-0.7060505909466769,-0.7081613961688737,3.5752479896982763,239.70474609328932,0.47848114600045605,inf,0.0,231.60833706658528,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00042645723,3.2178582e-07,59799.44,0.6025113,-236.20605,0.0,0.0,1.0000000000000002,-6.918293677061624e-13,2.513731e-12,2.3574182e-16,0.0,0.0,0.0,7.48e-16,2.4668462353733298e-14,1.8219015796604093e-12,1226.1213965572845,1.6029781337032386e-12,1.1026233882092136e-13,0.0,0.00042645723,3.2178582e-07,59799.44,0.6025113,-236.20605,0.0,0.0,0.0,-6.918293677061624e-13,2.513731e-12,2.3574182e-16,0.0,0.0,0.0,7.48e-16,2.4668462353733298e-14,1.8219015796604093e-12,1226.1213965572845,1.6029781337032386e-12,1.1026233882092136e-13,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,-0.5283243666946007,34610D,241.31236,3.151282,-7.0203147,203.91305453955985,66406.14497434742,0.4038246081014328,0.808104071558478,60.49818844162361,68.8646720702406,2192.215937007564,0.0003403078246873,42654.61853884109,0.7446786911052801,0.5041515703468634,0.8312198924505357,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6548057292366644,34.432548755681,16.22879073630806,36.28235539,1450000000000000.0,23.6878673726008,794.290261889147,1463.18439938997,0.0340307824687,0.0197103357843855,0.404052035779239,34.4323360351203,20.4995003737749,20.49252660662305,0.0340307824687299,0.6594975197772378,976557588658883.0,0.01936594938119224,1.4408935764356243e-05,3.16,35.8,2023-05-05 04:11:00,0.00034030782468735056,0.7446789257737875,0.0,9,426.54618538841095,0.00034030782468735056,3.151282,-7.0203147,0.7446789257737875,0.008221828,0.0,0.6157847710700174,0.0,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.313347573541747,238.84033922996886,0.5445064843636226,inf,0.0,231.21518009800377,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00033319413,3.3420525e-07,65611.86,0.7253589,-239.69379,0.0,0.0,0.9999999999999999,-6.598653778443422e-13,2.1230296e-12,2.3669915e-16,0.0,0.0,0.0,7.48e-16,2.0005834075296954e-14,1.463164224448663e-12,1226.960565195673,1.3738850931857704e-12,1.1460596591168058e-13,0.0,0.00033319413,3.3420525e-07,65611.86,0.7253589,-239.69379,0.0,0.0,0.0,-6.598653778443422e-13,2.1230296e-12,2.3669915e-16,0.0,0.0,0.0,7.48e-16,2.0005834075296954e-14,1.463164224448663e-12,1226.960565195673,1.3738850931857704e-12,1.1460596591168058e-13,0.0
