engine_display,H₂O,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.001127571353655177,-67.3502958718532,-20.977940427582602,0.0,0.0,-20.200064043997664,-20.200064043997664
GTF,-15.997420734829666,-11.58091937330446,-66.69902628717621,-31.878870328622362,-16.08860663851816,-16.08860663851816,-31.665554200959168,-31.665554200959168
GTF2035,-22.37748270311987,-4.1138696229379725,-67.32813736069446,-26.719587649383953,-22.456367425264233,-22.456367425264233,-26.62517544390634,-26.62517544390634
GTF2035 - 20,-21.07672915476356,-4.593315525451452,-68.72174529445643,-27.65379422035721,-24.353989063465175,-37.34694790192439,-27.571891228422295,-27.733095206576763
GTF2035 - 100,-16.122640433739143,-6.463364085864547,-69.2253863894106,-27.294711818964156,-31.908096977936935,-95.46053979852913,-27.338226313153164,-28.19394861617548
GTF2035WI,-28.8667011540473,-93.31296184430833,-69.21529453275342,-78.27519608989735,-28.94668936386372,-28.94668936386372,-77.26508159741532,-77.26508159741532
GTF2035WI - 20,-27.674019382631705,-93.34655095914026,-69.21294080636491,-78.71779253445604,-30.685096811312242,-42.59062458300126,-77.73708969487525,-77.98031078031569
GTF2035WI - 100,-23.13141765726045,-93.47736693735098,-69.34892801677326,-79.80173078256712,-37.60467897987977,-95.84031193199198,-78.9623092953979,-79.9996649546596
