engine_display,H₂O,NOx,Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.019648893335653443,0.0192928425685827,0.0,0.0,0.018279042244251635,0.018279042244251635
GTF,-16.551598746320316,-12.098524498620797,-12.22114354202713,-16.67009459714199,-16.67009459714199,-12.45875291439964,-12.45875291439964
GTF2035,-23.166014830791738,-5.155845597444672,-5.618239315907308,-23.285174673476348,-23.285174673476348,-6.465758487360142,-6.465758487360142
GTF2035 - 20,-21.878509141448024,-5.630158086420337,-6.048313149909842,-25.162547853649304,-38.0166286343065,-6.962623168130209,-7.556698092769219
GTF2035 - 100,-16.97509065841325,-7.4806942478844345,-7.729255825197103,-32.63617208867191,-95.50907813924479,-8.910892335359762,-11.81667067953609
GTF2035WI,-29.507819038975263,-93.37604023034011,-91.77530943147673,-29.638777208276164,-29.638777208276164,-88.90722565758774,-88.90722565758774
GTF2035WI - 20,-28.32552144490372,-93.40921038492418,-91.777986539201,-31.359714331720838,-43.14936979810447,-88.9893635157516,-89.53433615704812
GTF2035WI - 100,-23.824168698138507,-93.53880186569098,-91.7914082615967,-38.21236954097391,-95.88082463606492,-89.31906404844784,-91.98475755217048
