engine_display,H₂O,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0026300457101895223,-52.55861689193665,-17.84497881805504,0.0,0.0,-17.61909514502401,-17.61909514502401
GTF,-15.635831795698646,-12.187481240079864,-56.47286657873178,-26.869699049733303,-15.602020657295624,-15.602020657295624,-26.868796249560322,-26.868796249560322
GTF2035,-21.945405375072074,-4.519121860671444,-58.28861159302766,-20.851789708819283,-21.916215434622003,-21.916215434622003,-21.321409564499003,-21.321409564499003
GTF2035 - 20,-20.63716055403216,-4.995552420149281,-60.07972610512622,-21.25738928338958,-23.826828076941876,-36.91033208644633,-21.789061252898886,-22.236850752543315
GTF2035 - 100,-15.654325271976187,-6.854479639395662,-66.98213801168387,-23.97183155819384,-31.432739353861454,-95.42884929025742,-24.684760393687654,-26.875044725788932
GTF2035WI,-28.549900765673335,-93.3501542508516,-64.26772144320246,-83.40323566808564,-28.5221197437598,-28.5221197437598,-81.51303261571236,-81.51303261571236
GTF2035WI - 20,-27.351597980741403,-93.38341911316455,-66.9177262878724,-84.18844460506105,-30.270410246744138,-42.24716458276336,-82.33740279081174,-82.74729148296068
GTF2035WI - 100,-22.787836925170023,-93.51323487225545,-72.1954788199082,-85.91497174202581,-37.230871823573416,-95.81539145490488,-84.26505047228157,-86.27001972941957
