engine,saf_level,water_injection,nox_impact_sum_change,co2_impact_cons_sum_change,co2_impact_opti_sum_change,h2o_impact_sum_change,climate_non_co2_change,climate_total_cons_sum_change,climate_total_opti_sum_change
GTF,0,0,-27.5,-23.4,-23.4,-23.4,-27.3,-27.0,-27.0
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.3,0.0,0.0,0.0,0.2,0.2,0.2
GTF2035,0,0,-18.7,-28.6,-28.6,-28.7,-19.2,-19.9,-19.9
GTF2035,20,0,-19.1,-30.4,-42.3,-30.5,-19.6,-20.5,-21.5
GTF2035,100,0,-20.7,-37.3,-95.8,-37.4,-21.5,-22.8,-27.6
GTF2035_wi,0,15,-94.1,-36.4,-36.4,-36.6,-91.2,-86.7,-86.7
GTF2035_wi,20,15,-94.1,-37.9,-48.5,-38.1,-91.3,-86.9,-87.8
GTF2035_wi,100,15,-94.2,-44.2,-96.3,-44.3,-91.7,-87.8,-92.1
