engine_display,H₂O,NOx,Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0012597434578414696,0.001216828143912552,0.0,0.0,0.0011597379286225156,0.0011597379286225156
GTF,-16.22075501046562,-12.752555364849819,-12.82189649837813,-16.332397310421513,-16.332397310421513,-12.948553133607593,-12.948553133607593
GTF2035,-23.149978339943004,-5.628287520744181,-6.260017030416662,-23.19170369748786,-23.19170369748786,-7.041003228840302,-7.041003228840302
GTF2035 - 20,-21.861988151913355,-6.100628812773022,-6.6640578530129595,-25.07156969019273,-37.941276880205216,-7.516927712135921,-8.124846050753451
GTF2035 - 100,-16.956018594031345,-7.942932916780407,-8.244551395733632,-32.554629473932806,-95.50364196492886,-9.384910797399423,-12.311522652979178
GTF2035WI,-29.437181704080867,-93.41990492495185,-91.35558856982556,-29.454285964406466,-29.454285964406466,-88.32590943242842,-88.32590943242842
GTF2035WI - 20,-28.25417298825652,-93.45297164379744,-91.35568307781456,-31.18012980992709,-43.000630713774015,-88.39506334590249,-88.93570886609919
GTF2035WI - 100,-23.7483933423632,-93.58182013689871,-91.35921655754701,-38.050823275653364,-95.87005488504357,-88.6954680687946,-91.58615057873804
