engine_display,NOx,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.27756571188510737,0.26336317550058425,0.0,0.0,0.24029155103847624,0.24029155103847624
GTF,-21.464229703962665,-21.17793704762578,-17.288308969562088,-17.288308969562088,-20.83481425627258,-20.83481425627258
GTF2035,-16.447576635997343,-16.850292755411296,-24.398097990844054,-24.398097990844054,-17.580408185640863,-17.580408185640863
GTF2035 - 20,-16.866041558268147,-17.352704306479406,-26.27790148023094,-38.91430982054332,-18.211263859691282,-19.392374443165952
GTF2035 - 100,-18.496308329316786,-19.31075601218371,-33.61291877669039,-95.57324862027367,-20.67079067889481,-26.46568566421923
GTF2035WI,-93.7772040467625,-90.2108111288099,-30.98518278605409,-30.98518278605409,-84.66694379701842,-84.66694379701842
GTF2035WI - 20,-93.80846677243213,-90.33703628188542,-32.700466850759696,-44.23640553091592,-84.94167753365343,-86.0209597498358
GTF2035WI - 100,-93.92989455476102,-90.82923453104414,-39.38943099652995,-95.95867440637853,-86.01311576063799,-91.31057794665224
