engine_display,H₂O,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.002168244521952592,-69.99229277740349,-16.036793966781055,0.0,0.0,-15.794665699431798,-15.794665699431798
GTF,-15.280954486429948,-12.590008744022324,-70.4924196705838,-28.828674649542524,-15.345364564202674,-15.345364564202674,-28.678965221750573,-28.678965221750573
GTF2035,-21.950349285744945,-5.36328274238693,-71.85544734187567,-22.97472189521933,-22.011865057001494,-22.011865057001494,-23.096313385341393,-23.096313385341393
GTF2035 - 20,-20.642312879929563,-5.836486694338169,-74.19103002622325,-24.02327554110197,-23.920258679529717,-36.9877150487337,-24.2286892898366,-24.537500222299663
GTF2035 - 100,-15.660518884698293,-7.682712978302045,-80.35211823683561,-27.035163914750076,-31.517415813283705,-95.43449438755225,-27.34284601004053,-28.853367945922297
GTF2035WI,-28.542517158940168,-93.4239993907636,-77.70352658652651,-89.12732145155306,-28.60204971027286,-28.60204971027286,-87.23267255680025,-87.23267255680025
GTF2035WI - 20,-27.344542025964934,-93.45699828064298,-79.97422783535197,-89.9375855709146,-30.34879045827803,-42.312082209164195,-87.81921344870405,-88.23919179231363
GTF2035WI - 100,-22.780413568812495,-93.5855802982461,-85.09082139048716,-91.19680716031509,-37.3014114283957,-95.82009409522638,-89.2957607044181,-91.35007620352503
