engine_display,H₂O,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0017870473834052767,-68.45113076944006,-29.85983689493551,0.0,0.0,-28.992916890514266,-28.992916890514266
GTF,-16.35712169891941,-10.75604953258661,-66.92886033850148,-34.983204431662266,-16.641338635689124,-16.641338635689124,-34.45456401678171,-34.45456401678171
GTF2035,-22.74869195335264,-3.4508151234525895,-67.53179451732935,-31.2286187130689,-22.810315037915238,-22.810315037915238,-30.99963958974267,-30.99963958974267
GTF2035 - 20,-21.453393771961736,-3.9334978449874365,-68.79631899477161,-31.545791082304948,-24.699367366966605,-37.63300402801641,-31.362064595434695,-31.73498236147234
GTF2035 - 100,-16.52007941544951,-5.816570611317899,-69.35727905742745,-32.57699569602289,-32.219620318659814,-95.48130802124398,-32.58014123068368,-34.40419666094369
GTF2035WI,-29.21876251310578,-93.31300381223036,-69.32413773934324,-77.11644809989102,-29.26151512656411,-29.26151512656411,-75.83880193580454,-75.83880193580454
GTF2035WI - 20,-28.03313412486493,-93.34654713604631,-69.35727905742745,-77.1131250141547,-30.99305827982979,-42.84569058968623,-75.88217736639717,-76.20137967510475
GTF2035WI - 100,-23.51391653960827,-93.4774128321019,-69.35727905742745,-77.10205928574966,-37.88287377445404,-95.85885825163027,-76.05692672382845,-77.61830828574942
