engine_display,H₂O,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0009775361460190844,-67.01768166264625,-35.767372197634806,0.0,0.0,-34.81914186621995,-34.81914186621995
GTF,-16.077920839449096,-11.764733894265413,-66.71620462403564,-40.73503558536943,-16.05849253257415,-16.05849253257415,-40.040630623187646,-40.040630623187646
GTF2035,-22.5538861952092,-4.1138696229379725,-67.32813736069446,-37.268020177844896,-22.442852845801486,-22.442852845801486,-36.96927192977635,-36.96927192977635
GTF2035 - 20,-21.256124273784916,-4.593315525451452,-68.5356688884298,-35.4747284458945,-24.340804742488853,-37.33602811991896,-35.23466419064837,-35.487858372847626
GTF2035 - 100,-16.31357922586513,-6.463364085864547,-69.35494253510399,-37.40773201190331,-31.89636475275954,-95.45975765018396,-37.2749027068618,-38.51622516252636
GTF2035WI,-29.145785099037884,-93.34003162290725,-69.1236993996241,-76.89612925897696,-29.01135127699869,-29.01135127699869,-75.72244962509578,-75.72244962509578
GTF2035WI - 20,-27.956745301279096,-93.37335369625308,-69.33418553247608,-76.91846307539465,-30.747934981986237,-42.64266966948027,-75.78639026394558,-76.07590169689085
GTF2035WI - 100,-23.43184366211171,-93.50365494397859,-69.34947484121572,-76.8718664888302,-37.66091650455012,-95.84406110030334,-75.90925804391608,-77.32540882470414
