engine_display,H₂O,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0007358157382765053,-67.36937286740216,-0.7324429463692006,0.0,0.0,-0.7184313901781784,-0.7184313901781784
GTF,-15.919796581345768,-11.848538519428997,-64.30309434192299,-13.632022884361088,-16.05106381376525,-16.05106381376525,-13.73582459182022,-13.73582459182022
GTF2035,-22.16760871148296,-4.1722899873629755,-65.15255035916311,-6.333097703674451,-22.168947223863825,-22.168947223863825,-7.173570565344353,-7.173570565344353
GTF2035 - 20,-20.863411925181925,-4.651452859316522,-66.75723871035548,-6.67969067470026,-24.07368759261503,-37.114791011707474,-7.593657394323655,-8.21154080623572
GTF2035 - 100,-15.89632704496301,-6.520381625609903,-72.03044124246088,-8.560244267689768,-31.656197255103162,-95.44374648367355,-9.79202791343611,-13.617855802895868
GTF2035WI,-28.72413409031081,-93.30989447225214,-66.85925901545721,-86.67607186840186,-28.748560074515222,-28.748560074515222,-85.49190583223914,-85.49190583223914
GTF2035WI - 20,-27.530282129466293,-93.34339302046551,-69.27794923345473,-87.73604408470948,-30.493219754015417,-42.43170432906574,-85.78414188319135,-86.07067753570038
GTF2035WI - 100,-22.978705059326288,-93.4742386406809,-78.51458066012731,-89.39899449428921,-37.43225854144326,-95.82881723609621,-87.4174902109332,-89.65571410710815
