engine_display,H₂O,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.01452874915911619,-63.81922430093171,-8.779960434614175,0.0,0.0,-9.806510693144427,-9.806510693144427
GTF,-15.899593734272868,-11.757380975562459,-62.07583064986593,-17.58429792689039,-15.948177552504195,-15.948177552504195,-18.827656943917496,-18.827656943917496
GTF2035,-22.341997139388077,-4.28750181867668,-62.394100942586164,-12.416321081290024,-22.38252081623395,-22.38252081623395,-14.104733047171115,-14.104733047171115
GTF2035 - 20,-21.04058669384251,-4.765119172664212,-63.77619506793566,-12.870385222826815,-24.281590701947174,-37.285790747890246,-14.611485027629312,-15.092476390966223
GTF2035 - 100,-16.08398702408565,-6.628739536309286,-61.0998685350316,-14.639757021914551,-31.84168367402996,-95.4554237599914,-16.58989359598248,-18.959620732534486
GTF2035WI,-28.87744645892598,-93.31919945607437,-63.98301109193718,-81.43134895520049,-28.92212187128046,-28.92212187128046,-81.89261524678756,-81.89261524678756
GTF2035WI - 20,-27.685058299290354,-93.3526479229393,-62.343360373099046,-81.38969482373899,-30.66064954314968,-42.569439933586125,-82.09311195900007,-82.28472233741351
GTF2035WI - 100,-23.142792250499244,-93.48313674689621,-59.718089627690695,-81.3061046303921,-37.58172431668436,-95.8382585907162,-82.3387944819438,-82.86143005003123
