engine_display,H₂O,NOx,Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.005842788397083504,0.0057472129302682294,0.0,0.0,0.005501731503196401,0.005501731503196401
GTF,-16.319166658324484,-14.386958610721493,-14.42622984805598,-16.402858673469105,-16.402858673469105,-14.52946058159694,-14.52946058159694
GTF2035,-23.04884874037563,-7.815509235822739,-8.241897079443746,-23.138800534307805,-23.138800534307805,-8.902134385897295,-8.902134385897295
GTF2035 - 20,-21.7596100427845,-8.277183252016439,-8.652952556155366,-25.019986220443936,-37.89855338722049,-9.376434938761902,-9.931253849039772
GTF2035 - 100,-16.849567516353677,-10.078508641802188,-10.260260246233686,-32.50862565615699,-95.50057504374381,-11.236765390830726,-13.950509483182326
GTF2035WI,-29.28873786594894,-93.58030179590287,-91.71994459640057,-29.380638879519687,-29.380638879519687,-89.03568494949387,-89.03568494949387
GTF2035WI - 20,-28.103414767730133,-93.61252261502574,-91.71694170916359,-31.108371789234457,-42.94119785071553,-89.10723749682923,-89.61702965214668
GTF2035WI - 100,-23.588554630247774,-93.7382933000598,-91.70845554632336,-37.98659886648307,-95.86577325776554,-89.39542231945354,-91.8890261519062
