engine_display,H₂O,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.002482341093275924,-62.48943322372076,-17.410815391247976,0.0,0.0,-18.136896860288708,-18.136896860288708
GTF,-16.100752518543917,-13.661623948226312,-43.23751487781609,-25.040209977954188,-16.14894372725331,-16.14894372725331,-25.99974070433433,-25.99974070433433
GTF2035,-22.49717908227462,-6.276409481016823,-44.096261626175426,-20.532123379445384,-22.53503775088008,-22.53503775088008,-21.775107555407295,-21.775107555407295
GTF2035 - 20,-21.19836133451967,-6.7441650903378285,-45.800368760210105,-20.853662173265622,-24.430489913133403,-37.40962629255246,-22.135120545912688,-22.47111770280498
GTF2035 - 100,-16.251402449438498,-8.56914301623763,-32.58378005416989,-21.383702399315865,-31.97595669916879,-95.46467068082127,-22.85132398090974,-24.51300527495846
GTF2035WI,-28.938143179811917,-93.4183650713658,-46.830405332660064,-73.3051196502142,-28.976689318501357,-28.976689318501357,-74.158722431781,-74.158722431781
GTF2035WI - 20,-27.746438135314165,-93.45129801710877,-32.98193341993929,-73.06774766229289,-30.713720123745382,-42.61380103526183,-73.95940513426494,-74.10097832903506
GTF2035WI - 100,-23.207843077029843,-93.5798328718052,-30.975748980796414,-71.66272938300028,-37.62972301786003,-95.84168575391925,-72.70744468872346,-73.48056090207724
