engine_display,H₂O,NOx,Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.004097909492275716,0.004012813234232086,0.0,0.0,0.0037958603861931125,0.0037958603861931125
GTF,-16.036426469813055,-12.284884415660564,-12.409997715923128,-16.152206884090006,-16.152206884090006,-12.62387610011692,-12.62387610011692
GTF2035,-22.635975029343385,-5.224676480945412,-5.762377528312891,-22.75105108408793,-22.75105108408793,-6.60244151157349,-6.60244151157349
GTF2035 - 20,-21.33952538037259,-5.698649909215319,-6.182868523618484,-24.641447185673574,-37.58503221706228,-7.092394958023131,-7.7048253249039025
GTF2035 - 100,-16.402200547134274,-7.548093989625301,-7.827284977003803,-32.16709820175746,-95.47780654678384,-9.014735124169636,-12.010297980289844
GTF2035WI,-29.058145563937543,-93.37791254787048,-91.43904228736288,-29.174046320528387,-29.174046320528387,-88.49933539270549,-88.49933539270549
GTF2035WI - 20,-27.868960133035326,-93.41113516989957,-91.43538935592755,-30.906880223794975,-42.77431447655594,-88.57789898441068,-89.13938693175196
GTF2035WI - 100,-23.33870590549559,-93.5407151180354,-91.42439146265784,-37.80458780372328,-95.85363918691489,-88.89399394113889,-91.64048563764318
