engine_display,NOx,Non-CO₂ (Contrail CoCiP),CO2 Conservative,CO2 Optimistic,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.11641484346452317,0.11398901592524514,0.0,0.0,0.11073694707413413,0.11073694707413413
GTF,-23.803949555181283,-23.691904437513497,-16.81462783093654,-16.81462783093654,-23.516761651944513,-23.516761651944513
GTF2035,-16.945409280169326,-17.019392932357064,-23.167809690526173,-23.167809690526173,-17.1744657230001,-17.1744657230001
GTF2035 - 20,-17.359077984413783,-17.408161558177746,-25.04730857655838,-37.92023299622536,-17.601353309219594,-17.93021533605449
GTF2035 - 100,-18.97320519927139,-18.92691990010865,-32.52988148069699,-95.50144824849156,-19.27259239378745,-20.881244053987295
GTF2035WI,-94.18964588383231,-93.254384545585,-30.410937077506578,-30.410937077506578,-91.65555773141823,-91.65555773141823
GTF2035WI - 20,-94.13541837490098,-93.18129587484142,-31.701486448096066,-43.43146666208941,-91.61672550292165,-91.91545543185062
GTF2035WI - 100,-94.33190285356355,-93.31270257259256,-38.88748963009741,-95.92475501550118,-91.92838807166615,-93.38030524857204
