engine_display,NOx,Contrail,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.26930795056511814,-61.64533507363864,-24.15924035084041,0.0,0.0,-23.536699684605452,-23.536699684605452
GTF,-21.64976176087073,-34.68210544601276,-38.937318441133854,-11.610210423851324,-11.610210423851324,-38.03355733329041,-38.03355733329041
GTF2035,-11.670525894764525,-37.11051972789965,-33.61689250507111,-18.742545807161953,-18.742545807161953,-33.48263552272265,-33.48263552272265
GTF2035 - 20,-12.049204761320993,-41.387250820851236,-34.91912993899531,-20.767338151930684,-34.34793762402078,-34.83719604738846,-35.56764131417245
GTF2035 - 100,-13.719430553612352,-50.73659156737692,-38.38511204280578,-28.664058446264356,-95.24300802858619,-38.55125289068467,-42.135748733006025
GTF2035WI,-93.58919076048218,-45.437872422534284,-85.5035515149955,-27.483485822769055,-27.483485822769055,-81.93571583827713,-81.93571583827713
GTF2035WI - 20,-93.61994708704273,-47.74455643902983,-86.2433685175407,-29.305783370538553,-41.42300374196171,-82.75744896214147,-83.4980516604946
GTF2035WI - 100,-93.73748521925972,-50.19976798603096,-88.50000946110252,-36.19214463219754,-95.74516606894592,-85.32933575725616,-88.98824990922236
