engine_display,H₂O,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0006368010744707968,-66.27754808771394,38.09768104716794,0.0,0.0,52.0194131122511,52.0194131122511
GTF,-15.15010135664501,-11.378452451675425,-63.993021089990044,20.194154790991643,-15.12931239427388,-15.12931239427388,32.18542010190873,32.18542010190873
GTF2035,-21.57971617436889,-4.019067460604154,-62.724437859171445,27.787520572001633,-21.557753994529097,-21.557753994529097,39.741224243994736,39.741224243994736
GTF2035 - 20,-20.26557577624136,-4.4987032107766405,-64.77975435473824,27.33636520246655,-23.477356645451557,-36.6208858680288,39.11412561399603,38.15441024384734
GTF2035 - 100,-15.260528129288033,-6.370282111289116,-69.8944431723077,24.55348479171467,-31.119067803144862,-95.407937853543,35.225729859173235,30.531484719363945
GTF2035WI,-28.24786336755537,-93.32945915125457,-66.53693802757466,-86.57500211495484,-28.225432150459252,-28.225432150459252,-86.6094526681288,-86.6094526681288
GTF2035WI - 20,-27.045067037301084,-93.36291091419912,-69.55399834017871,-86.68471909880043,-29.981514417181337,-42.007889500886264,-86.46098794213572,-86.48002013283254
GTF2035WI - 100,-22.462699213976606,-93.49331355849677,-73.45345928083218,-91.0284510755366,-36.971347539633165,-95.79808983597553,-88.84272107390154,-91.4523271897197
