engine_display,NOx,Contrail (aCCF),Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.023526411340528772,-63.402794595404075,-16.743755428847983,0.0,0.0,-18.03701496464801,-18.03701496464801
GTF,-11.35699399633634,-59.229678157222764,-22.671835546002455,-16.08558845773565,-16.08558845773565,-24.18777282796868,-24.18777282796868
GTF2035,-3.4877164267603717,-57.09796082237276,-17.814279115904977,-22.480074657934313,-22.480074657934313,-19.71029202499608,-19.71029202499608
GTF2035 - 20,-3.968086845911483,-57.57394553160305,-18.501442916127147,-24.376395653721303,-37.363553078164166,-20.43314656704585,-20.81754352064022
GTF2035 - 100,-5.842510855110923,-54.75480959788916,-19.155677261155216,-31.925770099176106,-95.46058415520821,-21.29707410647347,-23.2025943716741
GTF2035WI,-93.27063556151107,-57.021228554218574,-76.61922638644253,-29.010946887983412,-29.010946887983412,-79.36837550329786,-79.36837550329786
GTF2035WI - 20,-93.3042495964548,-55.81549724836212,-76.15681014938038,-30.746972009384464,-42.64028626910195,-79.0151825618775,-78.9817686827837
GTF2035WI - 100,-93.4354382058754,-53.894471069812454,-75.2212242993672,-37.658548949135664,-95.84301225013073,-78.54169351566675,-77.2657825253083
