engine_display,NOx,Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.015485918746129852,0.015219709116680262,0.0,0.0,0.014460151990096063,0.014460151990096063
GTF,-12.856459230579901,-12.979283068760747,-16.390878775841124,-16.390878775841124,-13.169783129653664,-13.169783129653664
GTF2035,-5.742469770871665,-6.2736185611921345,-22.945831275849272,-22.945831275849272,-7.077634852176259,-7.077634852176259
GTF2035 - 20,-6.21348595208116,-6.69178659009311,-24.831311792089267,-37.74148174684618,-7.563856739741381,-8.162954531662878
GTF2035 - 100,-8.05134963844313,-8.327101691505957,-32.33734967196485,-95.48869396696882,-9.471448939721464,-12.403330273745876
GTF2035WI,-93.41365385899046,-91.49480211271292,-29.352047528865118,-29.352047528865118,-88.6131180884514,-88.6131180884514
GTF2035WI - 20,-93.44666624364811,-91.49148265644486,-31.08019842500882,-42.917241923974686,-88.69037338761679,-89.24024474327848
GTF2035WI - 100,-93.5754829480107,-91.48187795000908,-37.9601066649452,-95.86366088946811,-89.00134226298364,-91.69326171246811
