engine_display,NOx,Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0035262755012235567,0.0034551700149929327,0.0,0.0,0.0033041580888343207,0.0033041580888343207
GTF,-13.99189632631408,-14.117562314009144,-16.20655666932293,-16.20655666932293,-14.25301112813926,-14.25301112813926
GTF2035,-6.772037619543515,-7.331362287271364,-22.722383230341237,-22.722383230341237,-8.048881261016051,-8.048881261016051
GTF2035 - 20,-7.237763821349335,-7.74089466316783,-24.613362354325425,-37.5615137179588,-8.523723403974387,-9.094308625099574
GTF2035 - 100,-9.054684796156073,-9.342444840050852,-32.14117500247203,-95.47592918635816,-10.386484258393049,-13.179202219987973
GTF2035WI,-93.49213384777528,-91.434976681671,-29.098699836252035,-29.098699836252035,-88.70134086079558,-88.70134086079558
GTF2035WI - 20,-93.52476074740231,-91.42872735707537,-30.83324644399818,-42.71314430592068,-88.77209958533282,-89.29518947597668
GTF2035WI - 100,-93.65200572569033,-91.40785519492451,-37.7378791192551,-95.84908889668625,-89.05747290744573,-91.61878154688172
