engine_display,H₂O,NOx,Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0007883321655085319,0.0007663536539023468,0.0,0.0,0.000733641138455833,0.000733641138455833
GTF,-16.081275307558222,-13.614398615403003,-13.678798249261757,-16.247443738444648,-16.247443738444648,-13.799251088203984,-13.799251088203984
GTF2035,-22.602448444330253,-7.3312644403713465,-7.588027007967195,-22.92879335263739,-22.92879335263739,-8.284908560409727,-8.284908560409727
GTF2035 - 20,-21.305534685784227,-7.795343979279762,-8.024617082146857,-24.814872185017823,-37.72866973851915,-8.78386263162173,-9.358170257133406
GTF2035 - 100,-16.3649300011141,-9.606200896191455,-9.730098750228994,-32.32234776299473,-95.488156517533,-10.739017641164436,-13.59494959360733
GTF2035WI,-29.05177472368365,-93.57187049765959,-91.67229942832584,-29.358576721482233,-29.358576721482233,-88.92369651706287,-88.92369651706287
GTF2035WI - 20,-27.86269144130074,-93.60415214352217,-91.67109815677091,-31.08709721490701,-42.92357739727457,-88.99104492319512,-89.49099382664689
GTF2035WI - 100,-23.3333791938264,-93.73005644939214,-91.6693494858184,-37.967748908465545,-95.86451659389769,-89.26278966705367,-91.8723923305505
