engine_display,H₂O,NOx,Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.0018208577684383923,0.001748487498998042,0.0,0.0,0.001660194462236942,0.001660194462236942
GTF,-16.01045193391506,-10.150100760697029,-10.500882978423553,-16.409643983004806,-16.409643983004806,-10.847853276815824,-10.847853276815824
GTF2035,-22.592423130519283,-3.0199667014695732,-4.07962507002951,-23.02311461512689,-23.02311461512689,-5.1536503611433275,-5.1536503611433275
GTF2035 - 20,-21.295287896945915,-3.5048391821302225,-4.4725379313422495,-24.906856392330038,-37.80484728106892,-5.6297351019050295,-6.349247474408017
GTF2035 - 100,-16.354457666218398,-5.396160007846192,-6.0112792121133225,-32.40545156039226,-95.49369248360019,-7.500950633535392,-11.020770692747663
GTF2035WI,-29.08199578521365,-93.19815533904793,-89.88508485107826,-29.469466719300684,-29.469466719300684,-86.51837233569671,-86.51837233569671
GTF2035WI - 20,-27.89350946401548,-93.2323230590688,-89.85608122324086,-31.19529367689721,-43.013186034658155,-86.58746503850642,-87.24706679594262
GTF2035WI - 100,-23.36460684464407,-93.36537772429695,-89.74830763177769,-38.063895837859775,-95.87092417165297,-86.86962285252322,-90.09673241318858
