engine_display,H₂O,NOx,Non-CO₂ (Contrail aCCF),CO₂,CO₂,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.00035312362580223523,0.00034086927918197327,0.0,0.0,0.00032549428273856147,0.00032549428273856147
GTF,-15.984785266109375,-13.835560128350899,-13.884332862068494,-16.182326993067043,-16.182326993067043,-13.999660957362481,-13.999660957362481
GTF2035,-22.40945540040639,-7.2463044647902155,-7.741344425530068,-22.984313171216886,-22.984313171216886,-8.429827031924445,-8.429827031924445
GTF2035 - 20,-21.109407527525317,-7.7108265976670145,-8.147208847573653,-24.86894305096819,-37.773453392533895,-8.903624178599328,-9.495699624730547
GTF2035 - 100,-16.15775371484032,-9.522656244996334,-9.73421880657446,-32.37129736068942,-95.49141982404595,-10.762361675080998,-13.658352874686008
GTF2035WI,-28.74927334105879,-93.50628798164581,-91.3533605293671,-29.310287459169537,-29.310287459169537,-88.50808564261924,-88.50808564261924
GTF2035WI - 20,-27.555725144527806,-93.53893233679598,-91.34523270348214,-31.03991864291006,-42.884502216803824,-88.57968202511834,-89.12290030457493
GTF2035WI - 100,-23.00635391865611,-93.6662011719779,-91.31708430672694,-37.925161835627534,-95.8616774557085,-88.86866817667911,-91.5257521608886
