engine_display,NOx,Contrail,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.5757812729240099,-72.36108201098011,-34.505666406038905,0.0,0.0,-34.233870581286254,-34.233870581286254
GTF,-18.94371477834184,-57.675077068351385,-46.03068032515145,-15.78928592045602,-15.78928592045602,-45.74229544644125,-45.74229544644125
GTF2035,-10.480656076072489,-61.343586756062194,-42.78724585228002,-21.96641751536835,-21.96641751536835,-42.93795248034318,-42.93795248034318
GTF2035 - 20,-10.878020756175331,-62.58191756791574,-43.490587308591515,-23.877100037019865,-36.92555585741856,-43.68687668846728,-44.163198624559605
GTF2035 - 100,-12.606830803113589,-65.56544435458957,-45.83646517486022,-31.441493574716183,-95.42872936238778,-46.21824996417494,-48.559475925953166
GTF2035WI,-93.70407838543109,-64.06635580435602,-89.42181581154914,-28.78872234133431,-28.78872234133431,-86.3204607857754,-86.3204607857754
GTF2035WI - 20,-93.4372529481341,-65.11233637196538,-89.22570082112668,-30.420613513819838,-42.34730848330163,-86.30462837588624,-86.88758398311616
GTF2035WI - 100,-93.85350532129209,-68.51286775822985,-90.60972875290916,-37.44705247892261,-95.82914349498166,-87.97709114530625,-90.85806618114648
