engine_display,NOx,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2000,0.24609900629451514,0.23427762403193153,0.0,0.0,0.21476517507530857,0.21476517507530857
GTF,-22.03180454009366,-21.715247630943775,-16.87809614687272,-16.87809614687272,-21.331216562010297,-21.331216562010297
GTF2035,-17.048136904293916,-17.34438706506141,-24.057481224236284,-24.057481224236284,-17.944443936328085,-17.944443936328085
GTF2035 - 20,-17.475601970956138,-17.846277455190894,-25.953410578313395,-38.64567970374161,-18.564174381879493,-19.63940941408324
GTF2035 - 100,-19.09492745803681,-19.75790893333824,-33.321000221154485,-95.55391710781136,-20.937059173551514,-26.213461888725604
GTF2035WI,-93.94213760649946,-90.75752270934466,-30.62643888469744,-30.62643888469744,-85.66148875200813,-85.66148875200813
GTF2035WI - 20,-93.94464846019474,-90.8432907866363,-32.21404284753767,-43.833309929755785,-85.8747366253893,-86.8588390009683
GTF2035WI - 100,-94.09095154469173,-91.32187736447467,-39.07669437069796,-95.93764128837188,-86.89345038186225,-91.71555295425938
