engine,saf_level,water_injection,fuel_kg_sum_change,energy_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_mass_sum_change,ei_nvpm_num_sum_change
GTF,0,0,-24.3,-24.3,0.0,0.0,-4.4,-84.0,-83.2
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.0,0.0,0.0,0.0,0.4,-64.0,-83.8
GTF2035,0,0,-29.0,-29.0,0.0,0.0,16.5,-85.0,-84.4
GTF2035,20,0,-29.3,-28.9,-2.0,-18.8,16.8,-87.6,-86.2
GTF2035,100,0,-30.7,-28.9,-10.0,-94.0,16.8,-93.6,-92.4
GTF2035_wi,0,15,-37.6,-37.6,-0.5,-0.5,-91.1,-88.3,-88.3
GTF2035_wi,20,15,-37.9,-37.6,-2.5,-19.2,-91.1,-90.4,-90.2
GTF2035_wi,100,15,-39.1,-37.6,-10.4,-94.0,-91.1,-94.9,-94.2
