,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.8359910329243758,34610D,285.00638,13.522608,6.125644,157.16931564382554,69038.37801938549,0.2405398534686841,1.331293006341104,65.76058611846351,87.6747163025554,1817.3355848834929,0.0095007454846726,73058.20758235783,0.7168310546852961,0.5480048843205292,0.6729753472564933,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4644058314094959,43.83724990838928,14.346932717995962,101.70001801356749,1353948685756092.2,17.3408195339931,753.349345140174,1444.31143901844,0.950074548467,0.0203289580658149,0.665646503170552,43.8373581512777,32.7437589774903,32.435596629272084,0.95007454846726,0.81086205987028,2057126172419492.5,0.01954618555837786,6.17806496177916e-05,3.16,35.8,2023-08-06 01:00:00,0.00950074548467267,0.7168307307313817,0.0,730.5820758235783,0,0.00950074548467267,13.522608,6.125644,0.7168307307313817,4.4896765,0.0,0.8930111465451314,1105.2590654162564,8181.733683333497,-0.47086366415065145,-0.8822059905615143,4.490100117119405,242.3391839956679,0.803116166439854,inf,0.0,236.68982807726073,0.0,0.0,0.0,0 days,0.009282315,4.8849483e-07,26729.037,0.77812606,-203.55421,0.0,0.0,1.0,-8.7502297348435e-13,7.6377455e-12,2.485923e-16,0.0,0.0,0.0,7.48e-16,8.891197938464873e-14,6.762722082355754e-12,1228.6604127837195,8.181733683333496,1.0558651567207023e-11,0.009282315,4.8849483e-07,26729.037,0.77812606,-203.55421,0.0,0.0,0.0,-8.7502297348435e-13,7.6377455e-12,2.485923e-16,0.0,0.0,0.0,7.48e-16,8.891197938464873e-14,6.762722082355754e-12,1228.6604127837195,8.181733683333496
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.8370510566048478,34610D,281.90997,14.089136,4.747349,168.2208340664578,68972.61743326703,0.25384914464674685,1.430991908743422,66.93670576920935,92.9211421540554,2188.78155878111,0.0084584718108213,68339.94069049528,0.7562343492520546,0.5578058814100779,0.7073386383731213,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4997833308269508,46.46017564309345,15.024882822014336,105.97819488805553,1236618467611905.0,18.203854259652,769.441013244639,1482.16610383585,0.845847181082,0.021105782977997,0.715495954371711,46.4605710770277,33.9004696067244,33.61612853115468,0.84584718108213,0.8890934110560079,1506633319057730.0,0.021982920870721446,6.23120246601195e-05,3.16,35.8,2023-08-06 01:01:00,0.008458471810821376,0.7562353000294054,0.0,683.3994069049528,1,0.008458471810821376,14.089136,4.747349,0.7562353000294054,4.4327564,0.0,0.8445135283937835,1106.660746529744,9587.418296793368,-0.4794178129158185,-0.877586782409018,4.271225702648028,241.75545792455594,0.8226408596477144,inf,0.0,236.37709735037978,0.0,0.0,0.0,0 days,0.008294888,5.6996953e-07,32193.44,0.7990621,-202.50174,0.0,0.0,1.0000000000000002,-8.449070784979187e-13,6.9174423e-12,2.5487264e-16,0.0,0.0,0.0,7.480000000000001e-16,7.994583028187601e-14,6.072535202694678e-12,1229.0134763930564,9.587418296793368,1.146156353708435e-11,0.008294888,5.6996953e-07,32193.44,0.7990621,-202.50174,0.0,0.0,0.0,-8.449070784979187e-13,6.9174423e-12,2.5487264e-16,0.0,0.0,0.0,7.480000000000001e-16,7.994583028187601e-14,6.072535202694678e-12,1229.0134763930564,9.587418296793368
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.8380761001148875,34610D,277.76813,14.254452,3.2187164,178.8624795463913,68905.68072749782,0.2659301619153793,1.562108940549164,64.79193337195242,99.9404056333064,2586.8631147419337,0.0071523259471488,62994.42896063308,0.815569624981658,0.5399327780996035,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5353468187851064,49.970666994271305,15.141022212635466,100.74032759269744,1128128004839597.8,19.1693524554777,786.657529219273,1532.61561412032,0.715232594715,0.0222762212620006,0.781054470274582,49.9702028166532,35.0622514064774,34.813255654753185,0.71523259471488,0.978240488583094,1135743005916768.0,0.025071160691177558,6.520956804762504e-05,3.16,35.8,2023-08-06 01:02:00,0.0071523259471488985,0.815569178544513,0.0,629.9442896063307,2,0.0071523259471488985,14.254452,3.2187164,0.815569178544513,4.4418774,2.5372504e-08,0.7900638253017938,1108.0161811228727,9904.532106848184,-0.4803242924734069,-0.8770909725107887,3.9974525510271475,240.98681429845647,0.8526564901387469,inf,0.0,236.0495051080235,0.0,0.0,0.0,0 days,0.007005939,6.2505774e-07,38778.766,0.82562935,-201.65309,0.0,0.0,1.0000000000000002,-8.08593799257213e-13,6.075632e-12,2.5911903e-16,0.0,0.0,0.0,7.48e-16,6.947861906860538e-14,5.267038464788515e-12,1229.432977301155,9.904532106848185,1.2376661091456951e-11,0.007005939,6.2505774e-07,38778.766,0.82562935,-201.65309,0.0,0.0,0.0,-8.08593799257213e-13,6.075632e-12,2.5911903e-16,0.0,0.0,0.0,7.48e-16,6.947861906860538e-14,5.267038464788515e-12,1229.432977301155,9.904532106848185
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.8390904970515701,34610D,272.9897,14.694075,3.7558966,190.70476468893656,68840.88879412587,0.2727283940840293,1.22715962538726,62.19769314493231,75.5181440872612,1348.0745343645674,0.0054972503048191,57124.037489563314,0.8370926778229157,0.5183141095411026,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5757654885622556,37.75953465685074,15.296089429143755,94.6572076099162,1010959897704049.6,15.7690709165827,754.646144469721,1458.97320915448,0.549725030482,0.02068900697577,0.61357981269363,37.7590720436306,29.657286761623,29.49514456914956,0.5497250304819099,0.8169290875711214,1816196126162015.5,0.02063122184039764,5.611779119376333e-05,3.16,35.8,2023-08-06 01:03:00,0.00549725030481919,0.8370923274608566,0.0,571.2403748956332,3,0.00549725030481919,14.694075,3.7558966,0.8370923274608566,4.213202,4.743775e-07,0.7289791098426925,1109.3575404993849,10425.443968691361,-0.4806838213428572,-0.8768939866935046,3.653626837583906,239.95253904670147,0.8357129455496448,inf,0.0,234.8373369054489,0.0,0.0,0.0,0 days,0.005354869,8.22459e-07,46550.94,0.8097645,-201.38632,0.0,0.0,0.9999999999999999,-7.656977623366081e-13,5.182524e-12,2.743354e-16,0.0,0.0,0.0,7.479999999999999e-16,5.84410756416209e-14,4.416826173625967e-12,1229.8647045139435,10.425443968691361,6.709459955151355e-12,0.005354869,8.22459e-07,46550.94,0.8097645,-201.38632,0.0,0.0,0.0,-7.656977623366081e-13,5.182524e-12,2.743354e-16,0.0,0.0,0.0,7.479999999999999e-16,5.84410756416209e-14,4.416826173625967e-12,1229.8647045139435,10.425443968691361
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.8400880559172832,34610D,270.72195,15.20865,4.2127566,202.78803586422907,68778.69110098093,0.28137221807660096,1.180518274012128,60.40572836907205,70.4844050624294,1350.519067180577,0.0046542052818424,54249.21360051817,0.8126975709139193,0.503381069742267,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6148055882985302,35.24269864137101,15.348906961063983,91.03357692093287,974023931409896.6,15.2182826450243,752.181315268257,1453.940312474,0.465420528184,0.020574109484804,0.590259137006064,35.2422025312147,28.6894136264818,28.556505786419685,0.46542052818424,0.8054132935072764,1841983204028556.0,0.020486989760092767,5.395050285938495e-05,3.16,35.8,2023-08-06 01:04:00,0.004654205281842474,0.8126978620196392,0.0,542.4921360051817,4,0.004654205281842474,15.20865,4.2127566,0.8126978620196392,3.9304104,1.1474243e-06,0.6980916224598143,1110.676638899393,11784.876773848331,-0.4816600386620713,-0.8763581500482848,3.5089480693911757,239.491357952858,0.7937056185537311,inf,0.0,233.89381528313115,0.0,0.0,0.0,0 days,0.004531091,9.512256e-07,50570.594,0.77457243,-201.13156,0.0,0.0,1.0,-7.435468077748427e-13,4.778465e-12,2.8426113e-16,0.0,0.0,0.0,7.48e-16,5.348619752875689e-14,4.03491818366307e-12,1230.3204858506922,11.784876773848332,5.855134123079747e-12,0.004531091,9.512256e-07,50570.594,0.77457243,-201.13156,0.0,0.0,0.0,-7.435468077748427e-13,4.778465e-12,2.8426113e-16,0.0,0.0,0.0,7.48e-16,5.348619752875689e-14,4.03491818366307e-12,1230.3204858506922,11.784876773848332
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.8410490571785069,34610D,268.62436,16.612959,4.743417,210.6148322874092,68718.28537261186,0.2902119724116761,1.264721488460956,58.668797879439936,74.9898886378378,2017.8333813576248,0.0038007127605085,51492.67974234382,0.7521131947546671,0.4889066489953328,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6410227739321721,37.49502382948285,15.38663161825039,87.3946954251279,926725966967769.2,15.9016299744036,766.397997341721,1491.02202675857,0.380071276051,0.0213798391765604,0.632360744230478,37.4949443189189,29.577432225204,29.465442541741574,0.38007127605085,0.8738713771909656,1408511704963528.0,0.0226548070540588,5.541716256701118e-05,3.16,35.8,2023-08-06 01:05:00,0.0038007127605085293,0.7521142397383016,0.0,514.9267974234381,5,0.0038007127605085293,16.612959,4.743417,0.7521142397383016,3.4758654,2.6379973e-06,0.6677940552882738,1111.9474051970951,11776.905178293267,-0.6955962148912547,-0.7184329515194577,3.369657524944672,239.0311686366764,0.7197014748093781,inf,0.0,232.7183901828203,0.0,0.0,0.0,0 days,0.0037072075,9.823265e-07,54647.082,0.7054881,-200.44063,0.0,0.0,1.0,-7.210787188745117e-13,4.4184144e-12,2.866585e-16,0.0,0.0,0.0,7.48e-16,4.9100022554109654e-14,3.6973356962807335e-12,1230.8369005204484,11.776905178293267,6.356168466986953e-12,0.0037072075,9.823265e-07,54647.082,0.7054881,-200.44063,0.0,0.0,0.0,-7.210787188745117e-13,4.4184144e-12,2.866585e-16,0.0,0.0,0.0,7.48e-16,4.9100022554109654e-14,3.6973356962807335e-12,1230.8369005204484,11.776905178293267
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.8422692467658462,34610D,265.46057,19.111206,6.392988,213.13992756109863,68659.61657473243,0.29243161580663524,1.183518749616606,56.5575523132709,69.8740781706258,1571.111897741887,0.0028552389207982,47596.28928252322,0.68600712863511,0.4713129359439241,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6525623379854756,34.93744640823788,15.346422504056534,82.59783270649547,833862976830334.0,14.8888074413632,760.932293511078,1485.25713324305,0.28552389208,0.0213196926650563,0.591759374808303,34.9370390853129,27.756468355579,27.677442644113363,0.28552389207982,0.8469341022083162,1473504017088146.0,0.021999832743555,5.2888537766132175e-05,3.16,35.8,2023-08-06 01:06:00,0.002855238920798245,0.686007626140535,0.0,475.96289282523225,6,0.002855238920798245,19.111206,6.392988,0.686007626140535,2.6624827,4.5970214e-06,0.624619475980512,1113.5608438889556,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.1219105420898927,238.1693747576019,0.6364863246864629,inf,0.0,231.22902085778276,0.0,0.0,0.0,0 days,0.0027860147,9.439128e-07,60725.594,0.6380047,-202.35455,0.0,0.0,0.9999999999999999,-6.875445661603038e-13,3.922257e-12,2.8369746e-16,0.0,0.0,0.0,7.48e-16,4.308296148897518e-14,3.234712617912579e-12,1231.581150958394,12.351486589520807,5.053374384552903e-12,0.0027860147,9.439128e-07,60725.594,0.6380047,-202.35455,0.0,0.0,0.0,-6.875445661603038e-13,3.922257e-12,2.8369746e-16,0.0,0.0,0.0,7.48e-16,4.308296148897518e-14,3.234712617912579e-12,1231.581150958394,12.351486589520807
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.8439111248868759,34610D,263.0828,20.445671,7.682607,218.41021612250785,68603.05902241915,0.2985980181151774,1.31196470620521,50.00092495908388,77.1822727841918,800.4124555052767,0.0022670457156563,44739.09919617161,0.6312020212013701,0.4166743746590323,0.6461818307621731,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6717132887689478,26.73069274705168,14.130764715681105,66.85592449860664,805205824377465.2,15.886678086173,778.9329554329445,1536.69298669425,0.2466241985955,0.022527925678858,0.655982353102605,38.5911363920959,29.04929325104265,28.978331714546343,0.2466241985952549,0.9370090551772712,1142267493045051.8,0.02389298160299146,5.586925609956328e-05,3.16,35.8,2023-08-06 01:07:00,0.002267045715656343,0.6312024428334799,0.0,447.3909919617161,7,0.002267045715656343,20.445671,7.682607,0.6312024428334799,1.992767,2.1617127e-06,0.5924302541047739,1115.7317961155334,12963.734149278178,-0.9351760437679651,-0.35418323952792735,2.9588038364858544,237.56834251865575,0.5721645946171389,inf,0.0,230.21664384839818,0.0,0.0,0.0,0 days,0.002218784,7.901907e-07,65380.02,0.60039985,-210.54988,0.0,0.0,1.0,-6.619074756225021e-13,3.57024e-12,2.7184805e-16,0.0,0.0,0.0,7.48e-16,3.8828172304045886e-14,2.9083326354311994e-12,1232.6146779377589,12.963734149278178,5.470006316186325e-12,0.002218784,7.901907e-07,65380.02,0.60039985,-210.54988,0.0,0.0,0.0,-6.619074756225021e-13,3.57024e-12,2.7184805e-16,0.0,0.0,0.0,7.48e-16,3.8828172304045886e-14,2.9083326354311994e-12,1232.6146779377589,12.963734149278178
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.8455858363570392,34610D,261.77628,19.721241,7.7639923,220.4503474691645,68553.05809746006,0.3005043297973723,1.440410662793814,53.91863288944351,84.4904673977578,2781.136852034286,0.0020772450511069,43340.512388800154,0.6295976702841048,0.4493219407453626,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6796774215157366,42.24572878770476,15.194820919106489,77.09550160012412,747707012042663.4,16.8845487309828,796.933617354811,1588.12884014545,0.207724505111,0.0237361586926598,0.720205331396907,42.2452336988789,30.3421181465063,30.27922078497933,0.2077245051106899,1.0,916608728642056.4,0.028087607463802046,5.771240143301837e-05,3.16,35.8,2023-08-06 01:08:00,0.002077245051106959,0.6295979857526244,0.0,433.4051238880015,8,0.002077245051106959,19.721241,7.7639923,0.6295979857526244,1.4568703,2.1759454e-06,0.576774695242805,1117.9461581072408,12877.115418230198,-0.9398759916806336,-0.3415159150937853,2.873650655853428,237.2428216284383,0.5634448948501565,inf,0.0,229.85709168959542,0.0,0.0,0.0,0 days,0.0020356935,7.024167e-07,67870.875,0.60745245,-219.69444,0.0,0.0,1.0,-6.482414351991308e-13,3.408383e-12,2.650821e-16,0.0,0.0,0.0,7.480000000000001e-16,3.689492285198021e-14,2.7601415945344446e-12,1233.7064862388863,12.877115418230199,6.700137060563214e-12,0.0020356935,7.024167e-07,67870.875,0.60745245,-219.69444,0.0,0.0,0.0,-6.482414351991308e-13,3.408383e-12,2.650821e-16,0.0,0.0,0.0,7.480000000000001e-16,3.689492285198021e-14,2.7601415945344446e-12,1233.7064862388863,12.877115418230199
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.8472633750536012,34610D,257.189,17.54157,8.464218,222.9753491843972,68499.13946457062,0.302244656886828,1.321146127890352,51.37904963830372,77.060899566615,2547.744259744943,0.0017543967568684,38763.39764052093,0.7231189343923602,0.4281587469858643,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6935661227940072,38.53016860265484,14.869874405279834,71.66720490032871,642445587506229.0,15.4413004839567,789.091683929548,1582.24180906553,0.175439675687,0.0237482507566665,0.660573063945176,38.5304497833075,27.815651380544,27.766937156049256,0.17543967568684,0.9917785518298248,919130295036845.4,0.026375063057057162,5.585000757256946e-05,3.16,35.8,2023-08-06 01:09:00,0.0017543967568684799,0.7231183260056221,0.0,387.6339764052093,9,0.0017543967568684799,17.54157,8.464218,0.7231183260056221,1.0450008,2.7664366e-06,0.5250635798737189,1120.1642588901004,11709.442181463151,-0.9150288307110056,-0.4033884467453792,2.5758637400805275,236.03304745488236,0.6186010137949691,inf,0.0,229.10684557251915,0.0,0.0,0.0,0 days,0.0016563438,8.2615566e-07,76218.875,0.6849694,-228.12035,0.0,0.0,1.0,-6.020511177595392e-13,2.8785572e-12,2.7462034e-16,0.0,0.0,0.0,7.48e-16,3.0617198401057893e-14,2.276506005049775e-12,1234.7896665503724,11.709442181463151,4.759533779778756e-12,0.0016563438,8.2615566e-07,76218.875,0.6849694,-228.12035,0.0,0.0,0.0,-6.020511177595392e-13,2.8785572e-12,2.7462034e-16,0.0,0.0,0.0,7.48e-16,3.0617198401057893e-14,2.276506005049775e-12,1234.7896665503724,11.709442181463151
