engine_display,NOx,Non-CO2,CO2 Conservative,CO2 Optimistic,Total Climate Impact Conservative,Total Climate Impact Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.24609900629451514,0.2422098146145661,0.0,0.0,0.23518847977680676,0.23518847977680676
GTF,-22.03180454009366,-21.927020470614522,-16.87809614687272,-16.87809614687272,-21.78743324765454,-21.78743324765454
GTF2035,-17.048136904293916,-17.145577909813003,-24.057481224236287,-24.057481224236287,-17.36128006452734,-17.36128006452734
GTF2035 - 20,-17.475601970956138,-17.544827592863747,-25.92378383376947,-38.645679703741614,-17.803768984335438,-18.17903013817301
GTF2035 - 100,-19.09492745803681,-19.056630680688155,-33.32100022115449,-95.55391710781136,-19.489037171870155,-21.325181677804537
GTF2035WI,-93.94213760649946,-92.88845461551361,-30.62643888469744,-30.62643888469744,-91.04794339533852,-91.04794339533852
GTF2035WI - 20,-93.94464846019474,-92.87063133023766,-32.1869207177619,-43.833309929755785,-91.07689537654122,-91.4211223688614
GTF2035WI - 100,-94.09095154469173,-92.94199046738437,-39.076694370697965,-95.93764128837188,-91.34976002888476,-93.03121863564361
