engine,saf_level,water_injection,fuel_kg_sum,co2_conservative_sum,co2_optimistic_sum,h2o_sum,nox_sum,nvpm_num_sum
GTF,0,0,420250.9,1607459.9,1607459.9,519850.4,5700.0,2.7505086517362305e+20
GTF1990,0,0,501419.3,1917928.7,1917928.7,620255.6,6915.6,2.391962629173412e+21
GTF2000,0,0,501419.3,1917928.7,1917928.7,620255.6,6924.1,3.120386788647623e+20
GTF2035,0,0,386807.8,1479539.9,1479539.9,478481.3,6203.6,2.513934289383325e+20
GTF2035,20,0,385040.2,1443900.8,1195896.4,486690.8,6173.8,2.1794384590080285e+20
GTF2035,100,0,377479.6,1299473.6,86631.6,517147.1,6052.4,1.479185489818025e+20
GTF2035_wi,0,15,353657.2,1352738.8,1352738.8,437474.0,442.6,1.849717311487939e+20
GTF2035_wi,20,15,352001.0,1320003.8,1093280.0,444929.3,439.4,1.603582914025774e+20
GTF2035_wi,100,15,344867.1,1187204.9,79147.0,472467.9,430.2,1.0908980447225658e+20
