engine,saf_level,water_injection,fuel_kg_sum_change,energy_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_mass_sum_change,ei_nvpm_num_sum_change
GTF,0,0,-22.6,-22.6,0.0,0.0,0.6,-86.8,-85.8
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.0,0.0,0.0,0.0,0.1,-70.2,-86.6
GTF2035,0,0,-28.0,-28.0,0.0,0.0,20.7,-87.5,-85.9
GTF2035,20,0,-28.3,-28.0,-2.0,-18.8,20.7,-90.0,-88.6
GTF2035,100,0,-29.7,-28.0,-10.0,-94.0,20.7,-95.1,-94.1
GTF2035_wi,0,15,-35.8,-35.8,-0.3,-0.3,-90.6,-90.1,-89.5
GTF2035_wi,20,15,-36.1,-35.8,-2.3,-19.0,-90.6,-92.0,-91.4
GTF2035_wi,100,15,-37.4,-35.8,-10.3,-94.0,-90.6,-96.0,-95.4
