Unnamed: 0,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.0791,1.2606021,1.7037115,110.41911986560208,66646.07842391136,0.2522997294794344,1.3291428572737305,79.74857143642382,149136.75457227934,2781.242317853452,2024-06-07 09:23:00,0.0086940605178519,0.9404035659516814,0.4051960526589045,0.6645714286368651,0.7073386383731212,0.0163251474819303,0.001050384748927,0.0002334188330948,0.0001385438466712,1767556825184463.2,251.9257371676628,98.64898286685629,0.0956982857237085,0.0019530262392593,0.0015949714287284,1.3019071901728807,0.0837666831855372,0.0186148184856749,0.0110486738533428,1.4096013174116163e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.3206507460676785,74.56837728613968,16.325147481930397,138.54384667129716,1767556825184463.2,,,,,,,,,,,1.0,,,,,
1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.1539,-12.254487,3.8107622,139.5428945628349,66566.32985247493,0.2804704578064403,1.1933369608304656,71.60021764982794,103447.96368550837,2671.6419100154026,2024-06-07 09:24:00,0.0080546383807015,0.8517839178058632,0.4837089400015892,0.5966684804152328,0.6661927748757491,0.0153502992371068,0.0010991825932385,0.0002442627984974,0.0001158152435298,1645717063341382.5,226.1850875558065,88.56946923283716,0.0859202611797935,0.0017534747179549,0.0014320043529965,1.0990847663668393,0.078701712912779,0.0174892695361731,0.0082923966439058,1.1783369992527866e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4086492514735346,51.723981842754185,15.350299237106864,115.81524352986092,1645717063341382.5,19.5361453138753,759.126481380293,1449.34523799468,0.80546383807,0.0203041098584368,0.747759465378333,51.7235113547452,36.8279855946319,36.533719693796456,0.8054638380701499,0.838210997894714,21.4300557061252,2001382180149084.0,68.65584303341615,31.997061597269184,1860494484385016.5
2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.72867,-5.7371736,10.223558,145.63907830634687,66494.72963482511,0.2835861421001885,1.168961409042323,70.13768454253938,108824.79236058882,3005.4719928579057,2024-06-07 09:25:00,0.0056536427838742,0.773723179826334,0.3423094915327815,0.5844807045211615,0.7073386383731212,0.0162302029112952,0.0011928650870604,0.0002650811304578,0.0001139611017346,1408388530076958.2,221.56494546988188,86.76031577912121,0.0841652214510472,0.0017176575806336,0.0014027536908507,1.1383488518538336,0.0836647951780513,0.0185921767062336,0.0079929678035862,9.878111043586845e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4275531962324992,54.41239618029441,16.230202911295294,113.96110173466556,1408388530076958.2,18.9563550595013,765.2931647085024,1469.6766094711252,0.555446000107,0.0207469589360468,0.7361377537173865,50.484988972129045,35.5098542036461,35.31066467338742,0.5554460001070699,0.8683690892903492,20.744816037383856,1703023341405712.0,65.82923907448222,28.9908522541864,1769978257152380.0
3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.65594,-5.027167,11.661943,152.15103563929642,66424.59195028257,0.2885216717822181,1.1310464534390612,67.86278720634367,98492.0591067128,2287.210523828943,2024-06-07 09:26:00,0.0030542816214399,0.6934403928345334,0.2616115053279639,0.5655232267195306,0.7073386383731213,0.0167009520606998,0.0012435249971329,0.0002763388882517,0.0001073753849807,1213020312456347.0,214.37854478483965,83.94626777424712,0.0814353446476124,0.0016619458091349,0.0013572557441268,1.1333731558386202,0.0843890722662022,0.0187531271702671,0.0072867929021447,8.231893934119758e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4514431324406882,49.2460295533564,16.700952060699844,107.37538498070371,1213020312456347.0,18.3765648051273,771.459848036712,1490.00798094757,0.305428162144,0.0211898080136568,0.72451604205644,49.2464665895129,34.1917228126603,34.087609652978394,0.30542816214399,0.8991875799781722,24.700912804058763,1461010625474307.8,62.51064236474367,26.234537288261404,1619013540661793.0
4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.65546,-3.87753,9.268916,166.0471201986012,66356.72916307622,0.2975992970229858,1.1170340020905365,67.02204012543218,92336.5688553566,2094.6824127800937,2024-06-07 09:27:00,0.0021319589428569,0.6368273221635501,0.2686130664519654,0.5585170010452682,0.7073386383731213,0.0168602663227746,0.0012636575150964,0.0002808127811325,0.0001048245729928,1104922850191264.6,211.72262475624024,82.90626363515962,0.0804264481505186,0.0016413560847044,0.0013404408025086,1.1300094460104733,0.0846929046816004,0.0188206454848001,0.0070255567372564,7.405418360102582e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4979880645262577,46.16828442767831,16.860266322774617,104.82457299282608,1104922850191264.4,17.7251352028085,766.44358326066,1486.18909886623,0.213195894286,0.0211822312011624,0.700442680503568,46.1682894688282,33.0674646051985,32.99711610842266,0.21319589428569,0.8740984042018227,24.16443464301841,1591583196681968.0,62.66599767700496,24.961329213171403,1543934747547453.8
5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.73248,-3.3809345,8.6471,180.8822615701432,66289.70712295079,0.3012828438804102,1.093112501801174,65.58675010807045,97108.76217640184,2666.167768617944,2024-06-07 09:28:00,0.0013023387647952,0.588129611839903,0.2265838299223821,0.546556250900587,0.707338638373121,0.0169416792640466,0.0012916258076515,0.0002870279572559,0.0001013565996525,1022205626564938.6,207.1885435913945,81.13080988368316,0.0787041001296845,0.0016062061250956,0.0013117350021614,1.1111496843021036,0.0847135390795787,0.018825230906573,0.0066476499732185,6.704314498857821e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5473718088144719,48.55438108820092,16.941679264046606,101.35659965259582,1022205626564938.6,18.5931488878279,779.921969395126,1527.99641729946,0.13023387648,0.0221730538963706,0.757350706427676,48.5539845231617,34.1563552755195,34.11192998675577,0.13023387647952,0.9422738078032907,26.798418310121527,1319003908536270.0,65.78735311279804,24.05637473229162,1487925948139879.2
6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.2956,-2.7179775,9.725347,192.632960463874,66224.12037284272,0.3136165235175544,1.0546400267211855,63.27840160327113,80384.69682125101,2038.6405323978831,2024-06-07 09:29:00,0.0006416318735281,0.5304583483154943,0.1597770398778528,0.5273200133605928,0.7073386383731212,0.0168279905755411,0.0013424214295256,0.0002983158732279,9.58165372176129e-05,908003279656567.8,199.89647066473347,78.27538278324639,0.0759340819239253,0.0015496751413045,0.0012655680320654,1.0648483458151534,0.0849462823383602,0.0188769516307467,0.0060631173222908,5.74569961871956e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5888515233194277,40.19234841062551,16.827990575541133,95.8165372176129,908003279656567.8,16.2517222932697,759.439601456315,1482.61101464605,0.0641631873528,0.0212246188028831,0.644333770960251,40.1918650285417,30.3578489180086,30.338382844584217,0.06416318735281,0.8397104053454406,23.382411968944343,1725825464382234.5,59.65923783482058,22.409981326904585,1393359689731814.5
7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.36072,-1.3935978,10.899328,201.1025542287205,66160.84197123945,0.3176935267264298,1.0223359024591734,61.3401541475504,77143.72215700426,2170.201654730888,2024-06-07 09:30:00,0.0004540332073505,0.489521716698911,0.1475082932588005,0.5111679512295867,0.7073386383731212,0.0166134310542713,0.001387173252384,0.000308260722752,9.138951100629448e-05,828307984345698.8,193.7735469521117,75.87777068051984,0.0736081849770604,0.0015022078566747,0.001226803082951,1.019070421788708,0.0850894211305941,0.0189087602512431,0.0056058466925953,5.080853944141193e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.619334686555496,38.57186107850213,16.613431054271395,91.38951100629448,828307984345698.8,15.7258978335283,758.704600057967,1489.33598475951,0.0454033207351,0.0214615260220298,0.629019259525686,38.5714033253491,29.3091581129884,29.295856821153805,0.04540332073505,0.8361907761125335,23.150516760066623,1739520851046164.2,59.06299217140645,21.17938914946157,1322715151760385.0
8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16962,0.8116654,12.407049,205.7208375478123,66099.50181709189,0.3205243292252457,0.9916212355112384,59.49727413067431,71740.46178844474,1882.539808898431,2024-06-07 09:31:00,0.00034891820141,0.4488094387389205,0.1520535425624175,0.4958106177556192,0.707338638373121,0.0163543829260731,0.0014371952777389,0.0003193767283864,8.704056510047716e-05,739062316638235.0,187.95188897880013,73.59812809964413,0.0713967289568091,0.0014570761011593,0.0011899454826134,0.9730412041905946,0.085509201418945,0.0190020447597655,0.0051786763622718,4.397219325267628e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.63867944943565,35.87023089422237,16.354382926073168,87.04056510047717,739062316638235.0,14.7452604510133,752.127090439713,1483.68108745279,0.034891820141,0.0214541243695981,0.590979783655266,35.8697538162887,27.5462085272854,27.536600506163843,0.034891820141,0.8051604550061555,22.017632529235257,1963205201967218.8,57.43480847393613,19.572626692025143,1233594773165395.5
9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31917,1.8419291,14.187235,210.63908350776384,66040.00454296122,0.3233248765796906,0.9674832979916232,58.04899787949739,67537.63995287396,1672.4200519177018,2024-06-07 09:32:00,0.0002727956879266,0.4157548966576384,0.1579571300436461,0.4837416489958116,0.707338638373121,0.0161467735913757,0.0014786618190409,0.0003285915153424,8.371376198910065e-05,670633833751818.8,183.37678430133224,71.80661037693828,0.0696587974553968,0.0014216081113346,0.0011609799575899,0.937304025966498,0.0858348367980028,0.0190744081773339,0.00485949999219,3.8929621993378536e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6588804573547443,33.76881997643698,16.146773591375794,83.71376198910065,670633833751818.8,13.9969611936157,746.674021397992,1479.02113109351,0.0272795687927,0.0214490800319427,0.561862306684684,33.7688734010641,26.1951704151385,26.18802643445187,0.02727956879266,0.7800056001143765,21.11670097310253,2148811925538604.8,56.299855421503445,18.32684677372446,1163609096655680.2
