,climb,cruise,descent,Total
FFM2 Dubois (2006) (Pycontrails),0.4715235175954475,-3.059786373787794,-18.636425839265257,-4.7233956892891324
P3T3 (This Work),0.0,0.0,0.0,0.0
Kaiser (2022),-1.4425455461194976,-21.53064347757124,-54.354173872663814,-21.959746501640886
Kyprianidis (2015),28.540346200280787,4.003552595048261,-20.874275763109228,5.943462466749099
