,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem,ei_nox_kaiser_opt,ei_nox_kypriandis_opt,ei_nox_boer,ei_nox_kaiser,ei_nox_kypriandis,ei_nvpm_number_p3t3,ei_nvpm_number_p3t3_piecewise,ei_nvpm_mass_p3t3
0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.0791,1.2606021,1.7037115,110.41911986560208,66646.07842391136,0.2522997294794344,1.3291428572737305,79.74857143642382,149136.75457227934,2781.242317853452,2024-06-07 09:23:00,0.0086940605178519,0.9404035659516814,0.4051960526589045,0.6645714286368651,1.0,0.0182096012674648,0.0003679609162958,7.980266735140049e-05,3.0839551193717703e-05,1531770294383954.8,251.9257371676628,98.64898286685629,0.0956982857237085,0.0019530262392593,0.0015949714287284,1.4521896875072122,0.0293443574190318,0.0063641487180903,0.0024594101514394,1.2215649274587075e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3206507460676785,74.56837728613968,18.209601267464823,30.839551193717703,1531770294383954.8,30.4402226855969,856.95533934164,1744.72034220146,0.869406051785,0.027762830831815,0.787043527995904,74.5687430032432,28.3488212266159,28.104479183769502,0.86940605178519,1.1042955235020409,19.9900384515494,1064812848440909.1,26.657038895451723,,,20.57310829259137,20.46578405279815,26.431014020583397,23.33066305034775,30.731115255356684,1073338341688631.2,956113655747636.9,30.856331332465167
1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.1539,-12.254487,3.8107622,139.5428945628349,66566.32985247493,0.2804704578064403,1.1933369608304656,71.60021764982794,103447.96368550837,2671.6419100154026,2024-06-07 09:24:00,0.0080546383807015,0.8517839178058632,0.4837089400015892,0.5966684804152328,0.9418300354805904,0.0167915708318968,0.0003850553186321,8.351006898783125e-05,2.801528968914705e-05,1574200756020579.0,226.1850875558065,88.56946923283716,0.0859202611797935,0.0017534747179549,0.0014320043529965,1.20228012624632,0.0275700446212887,0.0059793391154808,0.0020059008392659,1.1271311675559715e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4086492514735346,51.723981842754185,16.79157083189689,28.015289689147053,1574200756020579.0,24.6396791656423,822.824007121522,1648.18133339009,0.80546383807,0.0253188859908394,0.600038937502594,51.7248175660724,23.6992629817794,23.509899244994244,0.8054638380701499,0.9430721123290975,16.843101067312872,1016524010053530.8,21.92667447770555,31.997061597269184,1860494484385016.5,16.04327989888973,16.043119064308687,19.144188886029163,18.193670699638695,23.441059319044367,1013465957864775.0,1119797954455504.1,22.130372942205497
2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.72867,-5.7371736,10.223558,145.63907830634687,66494.72963482511,0.2835861421001885,1.168961409042323,70.13768454253938,108824.79236058882,3005.4719928579057,2024-06-07 09:25:00,0.0056536427838742,0.773723179826334,0.3423094915327815,0.5844807045211615,1.0,0.0181036970007076,0.0004178732896688,9.062756845529366e-05,3.160183637637858e-05,1520318057348993.5,221.56494546988188,86.76031577912121,0.0841652214510472,0.0017176575806336,0.0014027536908507,1.2697513892893522,0.0293086649695437,0.0063564078071747,0.0022164796307313,1.0663158831067e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4275531962324992,54.41239618029441,18.10369700070769,31.60183637637858,1520318057348993.5,25.3892588108886,844.797455086752,1706.39210134652,0.565364278387,0.0266622816628036,0.639130257721055,54.4116045711332,23.9713264530058,23.83656304038019,0.56536427838742,1.0463276836837299,19.153174720841115,879575905356500.2,22.01972783754549,28.990852254186397,1769978257152380.0,19.002496630428947,18.96613259546733,23.712017813522824,21.549531538681432,28.161739656835564,911557756953285.4,876764844956593.1,23.76022191919027
3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.65594,-5.027167,11.661943,152.15103563929642,66424.59195028257,0.2885216717822181,1.1310464534390612,67.86278720634367,98492.0591067128,2287.210523828943,2024-06-07 09:26:00,0.0030542816214399,0.6934403928345334,0.2616115053279639,0.5655232267195306,1.0,0.01862878593587,0.0004356199933874,9.447643998137088e-05,3.3766942614562964e-05,1487790454281846.2,214.37854478483965,83.94626777424712,0.0814353446476124,0.0016619458091349,0.0013572557441268,1.2642013358784756,0.0295623869140791,0.0064114345424686,0.0022915188412609,1.009656070065583e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4514431324406882,49.2460295533564,18.62878593587003,33.766942614562964,1487790454281846.2,23.4611806258874,835.625388003611,1688.78166464496,0.305428162144,0.02623225734156,0.585079718525883,49.2451827427457,22.3038265791536,22.235911842277776,0.30542816214398993,1.0029480475108186,19.07553935373752,847576964461895.2,21.218650903425377,26.234537288261404,1619013540661793.0,18.408666355405824,18.370938976647047,22.723992714769043,20.87610612047912,27.177558120238796,884952870652055.6,901904792430183.1,21.423612120306167
4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.65546,-3.87753,9.268916,166.0471201986012,66356.72916307622,0.2975992970229858,1.1170340020905365,67.02204012543218,92336.5688553566,2094.6824127800937,2024-06-07 09:27:00,0.0021319589428569,0.6368273221635501,0.2686130664519654,0.5585170010452682,1.0,0.0188064902532008,0.0004426726279242,9.600600201626472e-05,3.545190083408647e-05,1462476383691320.2,211.72262475624024,82.90626363515962,0.0804264481505186,0.0016413560847044,0.0013404408025086,1.2604493443685796,0.0296688226311671,0.0064345181194164,0.0023760587202249,9.801815087025662e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4979880645262577,46.16828442767831,18.80649025320089,35.451900834086466,1462476383691320.2,22.8449962223035,832.068919693478,1681.70115707811,0.213195894286,0.0260603343204723,0.567502703009797,46.1684426854377,21.7764935795156,21.73016575829743,0.21319589428569,0.9861556452020342,18.99209744837946,852895623073879.2,20.612112923472917,24.961329213171403,1543934747547453.8,18.18178639336099,18.152744086820196,22.353508968170903,20.618815881587512,26.813147673246647,882029878895791.1,919332278659774.0,20.749684780744133
5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.73248,-3.3809345,8.6471,180.8822615701432,66289.70712295079,0.3012828438804102,1.093112501801174,65.58675010807045,97108.76217640184,2666.167768617944,2024-06-07 09:28:00,0.0013023387647952,0.588129611839903,0.2265838299223821,0.546556250900587,1.0,0.0188973008997947,0.0004524702173944,9.813088468372616e-05,3.628235539e-05,1450000000000000.0,207.1885435913945,81.13080988368316,0.0787041001296845,0.0016062061250956,0.0013117350021614,1.2394125518318535,0.0296760510795952,0.0064360858116354,0.0023796417762961,9.510078765670214e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5473718088144719,48.55438108820092,18.89730089979476,36.28235538999999,1450000000000000.0,24.1974870519387,848.190239983314,1728.44433388041,0.13023387648,0.0272169123014507,0.618387447604354,48.5543067122096,22.7207054479649,22.6911538786508,0.13023387647952,1.062320826786657,20.70383474587659,836586159638122.0,20.94350178956126,24.05637473229162,1487925948139879.2,20.519413017502686,20.452487279269917,26.17152695598779,23.2697706293935,30.61353172134283,862144804193777.2,811669386806255.9,23.095008387397353
6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.2956,-2.7179775,9.725347,192.632960463874,66224.12037284272,0.3136165235175544,1.0546400267211855,63.27840160327113,80384.69682125101,2038.6405323978831,2024-06-07 09:29:00,0.0006416318735281,0.5304583483154943,0.1597770398778528,0.5273200133605928,1.0,0.0187704888334047,0.0004702644623962,0.0001019900668733,3.628235539e-05,1450000000000000.0,199.89647066473347,78.27538278324639,0.0759340819239253,0.0015496751413045,0.0012655680320654,1.1877665306899008,0.0297575835112594,0.0064537684111569,0.002295889455481,9.175368232474314e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5888515233194277,40.19234841062551,18.77048883340473,36.28235538999999,1450000000000000.0,21.2868056980382,827.76057979511,1673.63985036304,0.0641631873528,0.0258606610673625,0.526458067079285,40.1919956245238,20.3574868294339,20.344433192648633,0.06416318735281,0.9660852838822216,18.902823670982777,809409191003895.6,18.566764297021404,22.409981326904585,1393359689731814.5,17.753382386974568,17.744843233284072,21.74653879711742,20.1329899490025,26.167201793310454,823908474575651.1,882424995634653.1,18.721126311654423
7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.36072,-1.3935978,10.899328,201.10255422872055,66160.84197123945,0.3176935267264298,1.0223359024591734,61.3401541475504,77143.72215700426,2170.201654730888,2024-06-07 09:30:00,0.0004540332073505,0.489521716698911,0.1475082932588005,0.5111679512295867,1.0,0.0185311621544399,0.0004859415005118,0.0001053900732392,3.628235539e-05,1450000000000000.0,193.7735469521117,75.87777068051984,0.0736081849770604,0.0015022078566747,0.001226803082951,1.1367043430866008,0.0298077265480863,0.0064646433381143,0.0022255652724588,8.894322351394808e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.619334686555496,38.57186107850213,18.531162154439983,36.28235539,1450000000000000.0,20.712458537641,827.953344367132,1677.60942886014,0.0454033207351,0.0259881672021162,0.514133672618058,38.5717245044235,19.7833755885714,19.774397355516648,0.04540332073505,0.9669821178697184,18.825340001446946,787503882704314.8,18.106958727413115,21.179389149461574,1322715151760385.0,17.63640500095417,17.604194336047833,21.678678145642355,20.00033328191369,26.00316648190959,802214884387975.4,858145953389402.1,18.256529229752328
8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16962,0.8116654,12.407049,205.7208375478123,66099.50181709189,0.3205243292252457,0.9916212355112384,59.49727413067431,71740.46178844474,1882.539808898431,2024-06-07 09:31:00,0.00034891820141,0.4488094387389205,0.1520535425624175,0.4958106177556192,1.0,0.0182422114341604,0.0005034647464494,0.0001091904816645,3.628235539e-05,1450000000000000.0,187.95188897880013,73.59812809964413,0.0713967289568091,0.0014570761011593,0.0011899454826134,1.0853618544479675,0.0299547800346323,0.0064965360200541,0.0021587012447453,8.627104748947774e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.63867944943565,35.87023089422237,18.24221143416048,36.28235539,1450000000000000.0,19.4916220292573,821.483314579463,1665.36033163942,0.034891820141,0.0257437273654657,0.481173385273967,35.8692432067345,18.6908981144449,18.68437879460142,0.034891820141,0.9368432485045728,18.107559195423597,787728835756070.1,16.705383469307968,19.572626692025143,1233594773165395.5,16.679530951921116,16.645983394552076,20.34749900424641,18.915202843570963,24.52499479141932,780580101432434.9,869807127116399.9,16.86187479225576
9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31917,1.8419291,14.187235,210.63908350776384,66040.00454296122,0.3233248765796906,0.9674832979916232,58.04899787949739,67537.63995287396,1672.4200519177018,2024-06-07 09:32:00,0.0002727956879266,0.4157548966576384,0.1579571300436461,0.4837416489958116,1.0,0.0180106372196899,0.0005179909155971,0.000112340889746,3.628235539e-05,1450000000000000.0,183.37678430133224,71.80661037693828,0.0696587974553968,0.0014216081113346,0.0011609799575899,1.0454994417741814,0.0300688535610986,0.0065212760706492,0.0021061543710972,8.417104692527122e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6588804573547443,33.76881997643698,18.010637219689997,36.282355390000006,1450000000000000.0,18.5598366976438,816.107763020188,1656.08734844962,0.0272795687927,0.025573011548483,0.456630118410281,33.7686208107302,17.855938380373,17.851068685810628,0.02727956879266,0.9119939530190067,17.522782502680112,794125638264925.4,15.71357288730597,18.32684677372446,1163609096655680.2,15.930434921566027,15.896969845179376,19.33460118105315,18.065700336316805,23.380861531370847,766395514069305.2,883473242782794.9,15.85374549521187
10,10,-3.935314676036001,37.33163607322563,7399.02,230.471110912,34610D,250.83809,2.6536927,15.691712,215.51720700597323,65981.95554508173,0.3172059728663409,0.946519886619169,56.791193197150136,71609.68934967596,2034.0076702588024,2024-06-07 09:33:00,0.0002212857472595,0.3880546129804407,0.1672995349330073,0.4732599433095845,1.0,0.0178056843127676,0.0005310226432177,0.0001151671861766,3.628235539e-05,1450000000000000.0,179.40337930979726,70.25070598487473,0.0681494318365801,0.0013908047313587,0.001135823863943,1.0112060578138524,0.0301574095230411,0.0065404819201292,0.0020605182546011,8.23472301358677e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6788008772971769,35.80484467483798,17.80568431276764,36.28235538999999,1450000000000000.0,19.2299006835195,828.593996260362,1700.99464585085,0.022128574726,0.0267808381399425,0.488143114842765,35.8046200555542,18.2273277741342,18.223295218634213,0.02212857472595,0.9699575191753534,18.524776155574536,760848472747595.8,17.63121544727517,17.310376934999297,1105935438631031.2,17.247973436624765,17.05721077746008,21.615695554888273,19.559837571853567,25.44584982613766,776977978630154.2,827795493960636.8,17.77370222985453
11,11,-3.8903873524766936,37.45161437988281,7993.38,232.528888688,34610D,245.92854,2.8642442,16.764639,219.72471091310743,65925.16435188458,0.326888470619876,0.9317692811551584,55.90615686930951,61408.67072294817,1480.9545040698365,2024-06-07 09:34:00,0.0002192484047237,0.3563351997673736,0.2483628614240055,0.4658846405775792,1.0,0.0176137780766159,0.0005426989245075,0.0001176995159714,3.628235539e-05,1450000000000000.0,176.60754955014872,69.15591604733586,0.0670873882431714,0.0013691303723096,0.0011181231373861,0.9847186402124932,0.0303402112063262,0.0065801276033428,0.0020284070520213,8.106392746049878e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6989267430458344,30.704335361474083,17.6137780766159,36.28235538999999,1450000000000000.0,17.0966824180447,806.483413024349,1644.2616453886,0.0219248404724,0.0254356443154459,0.420107726035941,30.7052233645722,16.5164963319144,16.512875910213687,0.02192484047237,0.8678019800824631,16.61223726942761,817266183224968.0,14.197989605020219,16.018311568060962,1033321035856101.6,14.683522721775494,14.633595444590776,17.747440302409526,16.651655945311635,21.501570065193064,746336010521082.9,914231571226491.8,14.286867135015909
