,index,longitude,latitude,altitude,groundspeed,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,34610D,295.0791,1.2606021,1.7037115,110.41911986560208,66132.780840435,0.1913807047910589,1.78287900017555,106.972740010533,151370.1875970639,2781.242317853452,2024-06-07 09:23:00,0.0086940605178519,0.9404035659516814,0.4051960526589045,0.891439500087775,0.9488063660477452,0.0217731270564288,0.001050384748927,0.0002334188330948,0.0002405634882995,1537727686689741.5,337.9268856932737,132.32527939302932,0.1283672880126395,0.0026197405716865,0.0021394548002106,2.329131059823668,0.1123625346579999,0.0249694521462222,0.0257337354898967,1.6449494403526003e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.3206507460676785,75.68509379853195,21.77312705642888,240.56348829956968,1537727686689741.5,24.6665006907427,799.131078810289,1537.8386095123,0.869406051785,0.022137655161451,0.995918960008283,75.685249149073,44.9875541354764,44.59980076851083,0.86940605178519,1.0224710117537164,28.064568863955117,1255967776754834.8,79.0794526104896,,
1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,34610D,290.1539,-12.254487,3.8107622,139.5428945628349,66025.80810042447,0.2167128523715874,1.575788065242058,94.54728391452348,105549.02016108856,2671.6419100154026,2024-06-07 09:24:00,0.0080546383807015,0.8517839178058632,0.4837089400015892,0.787894032621029,0.879700083259915,0.0197780715446462,0.0010991825932385,0.0002442627984974,0.0001938320588839,1458808326271178.5,298.67486988597966,116.95499020226556,0.1134567406974281,0.0023154436877026,0.0018909456782904,1.869962945613424,0.1039247287168228,0.0230943841592939,0.0183262947030418,1.379263650008319e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4086492514735346,52.77451008054429,19.77807154464622,193.83205888399624,1458808326271178.5,19.8152530316673,762.10572227208,1456.29179443461,0.80546383807,0.0204495458186436,0.762095492678023,52.7741031801533,37.2671109391207,36.969336304017304,0.8054638380701499,0.8476484962243976,21.86623425483181,1912627684905857.8,68.90974346744957,31.997061597269184,1860494484385016.5
2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,34610D,288.72867,-5.7371736,10.223558,145.63907830634687,65931.26081650995,0.223981479451279,1.5680156100541458,94.08093660324874,110851.11050903828,3005.4719928579057,2024-06-07 09:25:00,0.0056536427838742,0.773723179826334,0.3423094915327815,0.7840078050270729,0.9488063660477452,0.0216464978665827,0.0011928650870604,0.0002650811304578,0.0001990466305626,1229328844861805.2,297.2016787296628,116.3781185782187,0.1128971239238984,0.0023040229372224,0.0018816187320649,2.036522793468326,0.1122258646319585,0.0249390810293241,0.0187264934310506,1.1565640911798851e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4275531962324992,55.42555525451914,21.6464978665827,199.0466305626042,1229328844861805.2,20.2596071853468,783.602814194542,1508.63832250238,0.565364278387,0.0215271739257251,0.805078197817182,55.426044295358,37.3982298185044,37.187982251004165,0.56536427838742,0.9467540159351457,25.841365729291923,1290387818429734.5,65.45278648803628,28.990852254186397,1769978257152380.0
3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,34610D,282.65594,-5.027167,11.661943,152.15103563929642,65837.1798799067,0.2304354868491212,1.5171574364818206,91.02944618890923,100582.15498650224,2287.210523828943,2024-06-07 09:26:00,0.0030542816214399,0.6934403928345334,0.2616115053279639,0.7585787182409103,0.9488063660477456,0.0222743440194603,0.0012435249971329,0.0002763388882517,0.0001880724069047,1054294946915776.8,287.5620205107642,112.60342493568074,0.109235335426691,0.0022292925597283,0.0018205889237781,2.027621200312722,0.1131973918110769,0.0251549759580171,0.0171201270439583,9.597188513750862e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4514431324406882,50.29107749325113,22.27434401946039,188.072406904791,1054294946915776.8,18.6517451106688,774.509752373373,1497.20762634973,0.305428162144,0.0213428801414541,0.738639561002906,50.2907225743444,34.6082420042387,34.50286055136955,0.30542816214399,0.9034745150232906,25.176168461538108,1449334701251341.2,62.92445505366872,26.234537288261404,1619013540661793.0
4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,34610D,276.65546,-3.87753,9.268916,166.0471201986012,65746.15043371779,0.2425491499888623,1.4983614845541933,89.90168907325159,94405.91854131973,2094.6824127800937,2024-06-07 09:27:00,0.0021319589428569,0.6368273221635501,0.2686130664519654,0.7491807422770966,0.9488063660477452,0.0224868241623745,0.0012636575150964,0.0002808127811325,0.0001838571578422,956591229709618.8,283.99943578240175,111.20838938361224,0.1078820268879019,0.0022016740181204,0.001798033781465,2.021603474090678,0.1136049450172817,0.0252455433371737,0.0165290690382286,8.599916730355354e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4979880645262577,47.20295927065986,22.48682416237455,183.85715784228333,956591229709618.8,18.0072577889755,769.692412602032,1493.09534376207,0.213195894286,0.0213198929018901,0.71391350253727,47.2024719865011,33.4857921577072,33.41455370112252,0.21319589428569,0.8815006411764809,24.72197126061383,1552115779106612.2,62.60304165296645,24.961329213171403,1543934747547453.8
5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,34610D,271.73248,-3.3809345,8.6471,180.8822615701432,65656.24874464454,0.254009042508526,1.4662737821035496,87.97642692621298,99091.61320761737,2666.167768617944,2024-06-07 09:28:00,0.0013023387647952,0.588129611839903,0.2265838299223821,0.7331368910517748,0.9488063660477452,0.022595405987826,0.0012916258076515,0.0002870279572559,0.0001780031974428,883202359493770.4,277.9175326599068,108.82684010772546,0.1055717123114555,0.0021545247410501,0.0017595285385242,1.987863083756091,0.1136326234828698,0.0252516941073044,0.0156600852924675,7.770098784106258e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5473718088144719,49.545806603808686,22.59540598782602,178.0031974429,883202359493770.4,18.8698854765372,782.996366591529,1535.78532858191,0.13023387648,0.0223469957885129,0.772328201014771,49.5453116905467,34.5607171686037,34.51576594861223,0.13023387647952,0.943820785129843,27.393329579049784,1308241062750346.2,65.62958991893953,24.05637473229162,1487925948139879.2
6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,34610D,266.2956,-2.7179775,9.725347,192.632960463874,65568.27231771832,0.2647538976545725,1.392026439355283,83.52158636131698,82516.10228958791,2038.6405323978831,2024-06-07 09:29:00,0.0006416318735281,0.5304583483154943,0.1597770398778528,0.6960132196776415,0.9336210092974758,0.0220378676069295,0.0013424214295256,0.0002983158732279,0.0001633868497797,790532788026106.5,263.8446913154003,103.3162023289491,0.1002259036335803,0.0020454266047669,0.0016704317272263,1.8406376625514345,0.1121211673594076,0.0249158149687572,0.0136463288841868,6.602655252657514e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5888515233194277,41.25805114479396,22.037867606929527,163.38684977979742,790532788026106.5,16.5450626024454,763.097567561969,1493.01904385655,0.0641631873528,0.0214659574560235,0.661033171392883,41.2575712317457,30.7944880980556,30.774742042661423,0.06416318735281,0.8520581657909034,23.96466708825225,1645856449315516.8,60.42930347685351,22.409981326904585,1393359689731814.5
7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,34610D,262.36072,-1.3935978,10.899328,201.10255422872055,65484.75073135701,0.2718085045851813,1.3602434743506149,81.6146084610369,79294.22591008461,2170.201654730888,2024-06-07 09:30:00,0.0004540332073505,0.489521716698911,0.1475082932588005,0.6801217371753074,0.9411317402515956,0.021954979961284,0.001387173252384,0.000308260722752,0.0001585635716513,716547498096981.5,257.8205481284155,100.95727066630263,0.0979375301532442,0.0019987251051682,0.0016322921692207,1.791847093310107,0.1132136018609442,0.0251585781913209,0.0129411038165077,5.848074350092073e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.619334686555496,39.64711295504231,21.954979961284028,158.5635716513409,716547498096981.5,16.0338041009847,762.620351631368,1500.54569838442,0.0454033207351,0.0217228390977495,0.646543230471934,39.6468889572428,29.7632932584266,29.74978586773108,0.045403320735050004,0.8499358020047451,23.7686709065445,1643293980974614.8,59.930444362901476,21.179389149461574,1322715151760385.0
8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,34610D,258.16962,0.8116654,12.407049,205.7208375478123,65403.13612289597,0.2761630851784172,1.2768155053924797,76.60893032354878,73925.61534311993,1882.539808898431,2024-06-07 09:31:00,0.00034891820141,0.4488094387389205,0.1520535425624175,0.6384077526962398,0.910772085848266,0.0208256512100408,0.0014371952777389,0.0003193767283864,0.000141815151538,650699676019520.0,242.00761089209055,94.76524681022984,0.0919307163882585,0.0018761370691481,0.0015321786064709,1.5954308624925462,0.1101019928936366,0.0244671095319192,0.0108643070630031,4.984940614173517e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.63867944943565,36.962807671559965,20.825651210040817,141.81515153806458,650699676019520.0,15.0615432871141,756.342607289231,1495.22296489753,0.034891820141,0.0217178387249903,0.608463816455495,36.9623561611176,28.0167757096082,28.00700355630045,0.034891820141,0.8225600699296763,22.6602633414395,1837393657476242.2,58.32116451010272,19.572626692025143,1233594773165395.5
9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,34610D,254.31917,1.8419291,14.187235,210.63908350776384,65326.52719257242,0.280611342062793,1.213982020133007,72.83892120798042,69752.21079368456,1672.4200519177018,2024-06-07 09:32:00,0.0002727956879266,0.4157548966576384,0.1579571300436461,0.6069910100665035,0.8875568094176721,0.0199694113293522,0.0014786618190409,0.0003285915153424,0.0001297574506248,598237669173986.5,230.09815209601007,90.1017455342718,0.0874067054495765,0.0017838103152974,0.0014567784241596,1.454550378388439,0.107704131730374,0.0239342514956386,0.0094513927222106,4.357498644860986e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6588804573547443,34.87610539684228,19.969411329352237,129.7574506248328,598237669173986.5,14.3190386934699,751.202590845922,1491.82324689268,0.0272795687927,0.0217454300560264,0.580024088708136,34.8760600320127,26.6733786001804,26.666104201940307,0.02727956879266,0.8008601609977644,21.78723582477619,1998342714879708.5,57.3363695127631,18.32684677372446,1163609096655680.2
