engine,saf_level,water_injection,fuel_kg_sum_change,energy_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_mass_sum_change,ei_nvpm_num_sum_change
GTF,0,0,-22.5,-22.5,0.0,0.0,2.8,-87.9,-86.4
GTF1990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2000,0,0,0.0,0.0,0.0,0.0,0.1,-72.4,-86.7
GTF2035,0,0,-27.8,-27.8,0.0,0.0,23.3,-88.6,-86.5
GTF2035,20,0,-28.2,-27.8,-2.0,-18.8,23.3,-90.7,-89.1
GTF2035,100,0,-29.6,-27.9,-10.0,-94.0,23.3,-95.3,-94.2
GTF2035_wi,0,15,-35.7,-35.7,-0.3,-0.3,-90.3,-90.9,-89.9
GTF2035_wi,20,15,-36.0,-35.7,-2.3,-19.1,-90.3,-92.6,-91.7
GTF2035_wi,100,15,-37.2,-35.7,-10.3,-94.0,-90.3,-96.1,-95.3
