,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
10,11,-47.446136474609375,-23.4138669806012,9585.96,e80338,SKX5563,216.581110924,0.9045799388913336,34610D,238.63177,30.102457,14.233355,244.05034925403768,71147.37082110839,0.3160420590028336,0.8038945211827306,48.23367127096384,60511.743091773744,1266.6162308549767,2023-11-06 13:11:00,4.440916332084144e-05,0.2815518365974468,0.0854166945847658,0.4019472605913653,1.0,0.016470439121236,0.0006247971650513,0.0001355048270523,3.628235539e-05,1450000000000000.0,152.37016754497475,59.66505136218228,0.0578804055251566,0.0011812327658195,0.0009646734254192,0.7944297462621202,0.0301362610701186,0.0065358952836718,0.0017500312028175,6.993882334289757e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.88532827596589,2.3820937872570704,0.7880839651774851,30.255871545886876,16.47043912123601,36.28235539,1450000000000000.0,21.9478010428383,877.200434118616,1339.56950096339,0.00444091633208,0.021185031380177,0.366974365833866,30.2558132994206,17.3223423297473,17.32157309317883,13.756620204223264,0.9368137355920622,2.2581451685628124,494237519134576.44,10.033256979490595
11,12,-47.56718953450519,-23.376392429157875,9951.72,e80338,SKX5563,219.153333144,0.9054983892432008,34610D,235.61581,30.529034,13.772238,246.722782230954,71099.13714983744,0.3345663774749685,0.794583157291108,47.67498943746648,51465.524252502655,737.651800662641,2023-11-06 13:12:00,3.937859271418428e-05,0.2663187438419942,0.099654095564586,0.397291578645554,1.0,0.0163508800542642,0.0006340889159479,0.0001375200044069,3.628235539e-05,1450000000000000.0,150.6052916329566,58.97396193414604,0.0572099873249597,0.0011675507617338,0.0009534997887493,0.7795280338803292,0.0302301823702335,0.0065562647575435,0.0017297609099846,6.912873468432639e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.5026934533017,2.3247935437437843,0.8017966788200379,25.732762126251327,16.350880054264245,36.28235538999999,1450000000000000.0,19.4570093649293,841.024869332391,1253.37551164228,0.00393785927142,0.0192592262627664,0.303533761555826,25.7337581584784,15.7604338520412,15.759813252773867,14.755340724623267,0.8235493060763555,1.6573196067424285,479741895342902.6,7.465687089850134
12,13,-47.690901322798254,-23.33807373046875,10165.08,e80338,SKX5563,226.35555536,0.906396685624961,34610D,233.88985,30.4747,13.57262,248.0330748157768,71051.46216039997,0.336009341244355,0.788953608835028,47.33721653010168,49726.568854444384,605.327196777165,2023-11-06 13:13:00,3.694654491655083e-05,0.2577456814554064,0.1097180158065275,0.394476804417514,1.0,0.0162773034919778,0.0006398934158255,0.0001387788733584,3.628235539e-05,1450000000000000.0,149.5382670185912,58.55613684773578,0.056804659836122,0.0011592787721657,0.000946744330602,0.770522239925936,0.0302907731811217,0.0065694055779723,0.0017175057133185,6.863896396864743e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.829726213374016,2.5238371317706267,0.8090234823533753,24.86328442722219,16.277303491977857,36.28235539,1450000000000000.0,19.0117039440369,836.620341608763,1219.29195778802,0.00369465449166,0.0188511933668237,0.289385158402859,24.8632682513776,15.3510259415274,15.350458795112036,16.44513894913566,0.8077550340477747,1.3404565920180167,450402104637397.75,6.96004761357032
13,14,-47.818450927734375,-23.298324326337426,10340.34,e80338,SKX5563,231.4999998,0.9072682192941384,34610D,232.49083,30.2282,13.41305,249.1287519612579,71004.12494386986,0.2965518204869848,0.7840879722732397,47.04527833639438,60014.140478329406,1366.796412634468,2023-11-06 13:14:00,3.4911122001358606e-05,0.250871932964566,0.118213118645604,0.3920439861366198,1.0,0.0162147923204694,0.0006448866304017,0.0001398617922886,3.628235539e-05,1450000000000000.0,148.61603426466985,58.19500930211986,0.0564543340036732,0.001152129265381,0.0009409055667278,0.762829417883315,0.0303388710226721,0.0065798369468475,0.0017069135080225,6.821565358777186e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.961519396423906,2.3936706749126104,0.815038587570774,30.0070702391647,16.214792320469442,36.28235538999999,1450000000000000.0,21.6307360985647,894.86317944264,1373.6307106435,0.00349111220014,0.0224050289407972,0.37478793349968,30.0067638737289,16.7278486669228,16.727264699344133,14.313485710459018,0.9874997140760096,2.264966935399165,457761501546045.06,10.628260836905254
14,15,-47.94469197591144,-23.25866181971662,10736.58,e80338,SKX5563,226.35555536,0.9081445779381476,34610D,229.38124,29.558176,13.075179,249.2346780707437,70957.07966553347,0.2997199794244569,0.774442467260746,46.46654803564476,56048.55199622187,1023.0223115843222,2023-11-06 13:15:00,2.7453196623210887e-05,0.235877393998215,0.1251136135621747,0.387221233630373,1.0,0.0160683566709752,0.0006568804060983,0.0001424629796697,3.628235539e-05,1450000000000000.0,146.78782524460178,57.479119920092565,0.0557598576427737,0.0011379562784239,0.0009293309607128,0.7466410671057429,0.0305229649436408,0.0066197628881251,0.0016859158095757,6.73764946516849e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.233665982312823,2.284631684519419,0.8208933611458854,28.024275998110934,16.06835667097522,36.28235539,1450000000000000.0,20.3336349538203,882.286684720385,1350.63344501158,0.00274531966232,0.0218687075972729,0.346761563120987,28.0242415193799,15.8565183414968,15.856083041331393,14.411295518120316,0.9514141780278077,2.0720259504659695,458559807097258.8,9.685054698033873
15,16,-48.06903076171875,-23.219696044921875,11033.76,e80338,SKX5563,223.78333314,0.9090285462666076,34610D,227.05693,28.60334,12.720773,249.3078916534093,70910.61311749782,0.3057225605182507,0.7671529996658925,46.02917997995355,52479.10297235116,782.975549651656,2023-11-06 13:16:00,2.2796150347402107e-05,0.2251153851710997,0.130468048314213,0.3835764998329462,1.0,0.0159574925180448,0.000666157299784,0.0001444749348206,3.628235539e-05,1450000000000000.0,145.40617955667324,56.938095635202544,0.0552350159759442,0.0011272452239988,0.000920583599599,0.7345102951418487,0.0306626742467188,0.0066500627774494,0.0016700470663429,6.674231097093264e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.637853312853712,2.195344310223174,0.8253266619135468,26.23955148617558,15.957492518044852,36.28235538999999,1450000000000000.0,19.203173236823,867.852995767035,1322.39875505653,0.00227961503474,0.0211706817601722,0.320459366313114,26.2393994472838,15.1369412635537,15.136596207430808,14.50583299082898,0.9099087499908989,1.895562785277002,457856611349701.06,8.62144082241176
16,17,-48.19247713955963,-23.18101501464844,11262.36,e80338,SKX5563,223.268888696,0.9099140579681254,34610D,225.29414,27.605772,12.605502,248.22687535200012,70864.58393751786,0.3100304639366815,0.762328484463144,45.739709067788645,49724.49322637252,544.479086634023,2023-11-06 13:17:00,1.9960238167625414e-05,0.2171449573353787,0.1362065756174131,0.381164242231572,1.0,0.0158704354214418,0.0006735583236087,0.0001460800548651,3.628235539e-05,1450000000000000.0,144.49174094514433,56.58002011685456,0.0548876508813463,0.0011201561404356,0.0009147941813557,0.7259090989558774,0.0308083617620494,0.0066816592101364,0.0016595443798327,6.632257814829354e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.452231157732587,2.167546203683926,0.8249565408121614,24.86224661318626,15.87043542144184,36.28235539,1450000000000000.0,18.3029817581317,855.99649465168,1294.02494224842,0.00199602381676,0.0205677591685182,0.299009241181126,24.8613622256826,14.537764601931,14.537474430479012,14.912056323833436,0.8733334386286055,1.6947161566147693,457683427658996.7,7.740171025375584
17,18,-48.31752152876419,-23.14169311523437,11422.38,e80338,SKX5563,224.297777584,0.91078639550739,34610D,224.0826,26.738567,12.645851,247.47736559467492,70818.84422845008,0.304002497803805,0.758788709974458,45.52732259846748,49664.544058100815,490.12632037651485,2023-11-06 13:18:00,1.8260897679504127e-05,0.2117341687225124,0.140829277398876,0.379394354987229,1.0,0.0158080319712772,0.0006789305093742,0.0001472451643498,3.628235539e-05,1450000000000000.0,143.82081208855877,56.317298054304274,0.0546327871181609,0.0011149548391461,0.0009105464519693,0.7196973712032285,0.0309098883222251,0.006703678098421,0.0016518384984727,6.601461776777784e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,13.60193582017856,2.0400419894685284,0.8246860487233264,24.832272029050408,15.80803197127728,36.28235538999999,1450000000000000.0,18.1283316055199,860.451737521616,1318.16943869262,0.00182608976795,0.0210373271579114,0.302168577983047,24.8330313784112,14.3634491071463,14.363186822461383,14.205094589195097,0.8872481232329344,1.8735637703780286,455485302002698.56,8.030592730530879
18,19,-48.44066827947444,-23.102783203125,11567.16,e80338,SKX5563,226.35555536,0.9116665167974732,34610D,223.01578,25.824814,12.684265,247.14822598389884,70773.3169058516,0.3238975409342103,0.7550166948476602,45.301001690859614,44357.1613333266,0.0,2023-11-06 13:19:00,1.6797255733454116e-05,0.2069549618378306,0.1443803620389956,0.3775083474238301,1.0,0.0157489949733132,0.0006840682005346,0.0001483594170883,3.628235539e-05,1450000000000000.0,143.1058643414255,56.03733909159335,0.0543612020290315,0.0011094122863067,0.0009060200338171,0.7134452479154014,0.0309889747090833,0.006720830204373,0.0016436270428707,6.568645245174644e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,13.650461652859429,2.0473399576336515,0.825556735569177,22.1785806666633,15.748994973313213,36.28235539,1450000000000000.0,16.6458533514637,830.026585603767,1241.27993995677,0.00167972557335,0.019289635604729,0.26027906664397,22.1784304764612,13.49320806144,13.492981416380543,15.175049453542966,0.7843528651134896,1.4414514546651147,416498938197853.7,6.364945254451194
19,20,-48.56735229492188,-23.06244413731463,11567.16,e80338,SKX5563,228.92777758,0.912522327425705,34610D,223.01164,25.566183,12.5740795,247.8038865174149,70728.01590416075,0.3235843384095316,0.7545214282437727,45.27128569462636,44537.43347884104,0.0,2023-11-06 13:20:00,1.6852446688145403e-05,0.2069549618378306,0.1449289166616561,0.3772607141218863,1.0,0.0157494606227327,0.0006840263161565,0.0001483503332836,3.628235539e-05,1450000000000000.0,143.01199150932464,56.00058040425281,0.0543255428335516,0.0011086845476235,0.0009054257138925,0.7129983313880003,0.0309667507813642,0.0067160103209765,0.0016425488765346,6.5643364257208216e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,13.727039777766436,2.0588246324589243,0.8277545369965975,22.26871673942052,15.749460622732707,36.28235539,1450000000000000.0,16.7238911618389,831.344253138154,1243.05707123227,0.00168524466881,0.0193407169497645,0.261890897577813,22.2688631834596,13.5409094842786,13.540681290669028,15.206419690916167,0.7890219011956274,1.4451926392429872,418992732537354.75,6.417747273640156
