,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
142,142,144,adbb36,NKS2975,28.493682861328125,-79.23160259540265,222.754444252,10843.26,-0.6718534621588703,34610D,220.78273,35.743206,-23.989475,209.9313323525273,62408.08359489017,0.42479746566462506,0.411012394374446,32.255811590226315,36.6781997070868,25.359504289546862,6.229670593837511e-05,23196.700098968227,0.7932315804324764,0.2687984299185526,0.5892336617294857,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,5.573282321340956,0.8356451510712593,0.7047773325710435,18.33912881308572,11.876404513438382,30.780511769716725,1532657276701657.2,13.1922448808164,753.594547343526,1351.24797231917,0.00622967059384,0.021763843736643,0.205506197187223,18.3390998535434,9.44255066678409,9.441962463625014,8.85656300215035,0.5135420472635128,182931138439479.6,0.4241326066284071,314293136706691.44,0.002503137767664895,1.557353578840455e-06,2.8440000000000003,35.8,2023-05-05 06:24:00,6.229670593837511e-05,0.7932315438266238,0.0,142,231.9670009896824,6.229670593837511e-05,35.743206,-23.989475,0.7932315438266238,1.8138042e-05,7.176188e-10,0.3660189386575277,0.0,13361.22354818986,-0.9874584713694331,-0.15787896414894095,2.024508649992004,233.4228282329689,0.47377825718310856,0.0,1.0,225.7770077680719,28.117254249628648,85.546151082989,0.8014098828458517,221.17343,6.56707741037089e-05,10800.486924458506,0.0,0.001028385762182893,0.002118877,171.092302165978,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,6.335494e-05,4.32196e-08,110602.28,0.75405735,-283.85565,0.0,0.0,1.0,-4.0881187363734765e-13,1.8248192e-12,2.1655885e-16,0.0,0.0,0.0,7.479999999999999e-16,1.9372654620095312e-14,1.416007366846971e-12,1327.9540588638113,8.740905694761229e-14,5.246109592208948e-14,3.497406394805965e-15,0.0,6.335494e-05,4.32196e-08,110602.28,0.75405735,-283.85565,0.0,0.0,1.0,-4.0881187363734765e-13,1.8248192e-12,2.1655885e-16,0.0,0.0,0.0,7.479999999999999e-16,1.9372654620095312e-14,1.416007366846971e-12,1327.9540588638113,8.740905694761229e-14,5.246109592208948e-14,3.497406394805965e-15,0.0
143,143,145,adbb36,NKS2975,28.375032069319385,-79.25316305721509,224.297777584,10850.88,-0.6722320634798029,34610D,220.76488,35.260033,-24.035902,214.3970833384006,62375.827783299945,0.42087396421302936,0.239165753927486,19.63463364039308,20.7052566556814,-1092.7411069146804,6.092637950659823e-05,23168.97086895457,0.776602636179804,0.1636219470032756,0.3605347629944813,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,6.254453966162649,0.9377870336884484,0.7197987195349009,10.35262561819263,9.5338840348117,15.358656022954268,1083658414546320.4,9.19372976498296,697.863879769439,1129.38807333189,0.00609263795066,0.017391130558512,0.119582876963743,10.3526283278407,6.87608413733707,6.875665227948032,13.645311573109913,0.3672873867969191,55602205385263.96,0.4255427616528612,315338097737633.0,0.0009499877378748708,2.127417857703009e-07,2.8440000000000003,35.8,2023-05-05 06:25:00,6.0926379506598225e-05,0.7766024372465676,0.0,143,231.68970868954574,6.0926379506598225e-05,35.260033,-24.035902,0.7766024372465676,8.3895e-06,3.319256e-10,0.36561096045585323,0.0,13411.646489494207,-0.9740763751314849,-0.22621939662793436,2.0083868081924545,233.33742070028762,0.4637652734773927,0.0,1.0,225.64310509474868,28.117254249628648,85.10502031755617,0.7839260835485456,221.15375,6.415814276823135e-05,10808.327489841222,0.0,0.0010237861868097298,0.0020904497,170.21004063511234,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,6.18075e-05,4.3367972e-08,110709.98,0.7389911,-284.653,0.0,0.0,0.9999999999999999,-4.081625014043163e-13,1.827058e-12,2.1653386e-16,0.0,0.0,0.0,7.48e-16,1.9410176034248986e-14,1.4188955516376104e-12,1328.5561364770083,1.9342770118020075e-14,3.052681069913929e-14,2.0351207132759525e-15,0.0,6.18075e-05,4.3367972e-08,110709.98,0.7389911,-284.653,0.0,0.0,0.9999999999999999,-4.081625014043163e-13,1.827058e-12,2.1653386e-16,0.0,0.0,0.0,7.48e-16,1.9410176034248986e-14,1.4188955516376104e-12,1328.5561364770083,1.9342770118020075e-14,3.052681069913929e-14,2.0351207132759525e-15,0.0
144,144,146,adbb36,NKS2975,28.257580773305083,-79.28412942325366,219.153333144,10523.22,-0.6726216631399506,34610D,223.82152,34.482536,-23.09124,218.9756564045641,62356.19314965955,0.400871529066666,0.1663218911017254,14.545753352803764,13.42787307233754,-1582.4081567670205,8.626108683789724e-05,24385.83539984122,0.7911070463641913,0.1212146112733647,0.2681786344628618,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,7.253630601461667,1.0874188841600474,0.7301332808274847,6.714258341439268,8.15801472665457,8.14619701320348,743228510349753.2,7.3547401338738,675.490807048393,991.23531802743,0.00862610868379,0.0150033986422654,0.0831609455508627,6.71393653616877,5.54280716880997,5.542329081479788,19.628877237288904,0.3150450076858181,24522743725082.3,0.4412025561624274,326942407002414.1,0.00046523655323785717,3.4884207811933404e-08,2.8440000000000003,35.8,2023-05-05 06:26:00,8.626108683789724e-05,0.7911076291726726,0.0,144,243.85835399841227,8.626108683789724e-05,34.482536,-23.09124,0.7911076291726726,2.3592485e-05,8.926124e-10,0.3795580843811115,0.0,13176.986290201521,-0.9614115153350272,-0.27511433656065026,2.043341127644512,233.52183695640252,0.48676507879957814,0.0,1.0,225.94102261460736,28.117254249628648,76.14931692327532,0.7940405215965098,224.16486,8.976959541444962e-05,10485.145341538362,0.0,0.0014130526486363238,0.0052079665,152.29863384655064,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,8.624014e-05,-2.1305027e-08,107472.46,0.7577341,-285.4008,0.0,0.0,1.0,-4.271999808654811e-13,1.7710503e-12,2.1549408e-16,0.0,0.0,0.0,7.48e-16,1.843354787151066e-14,1.343850291732336e-12,1329.1521274078239,6.239149385701481e-15,2.1229113288203623e-14,1.4152742192135748e-15,0.0,8.624014e-05,-2.1305027e-08,107472.46,0.7577341,-285.4008,0.0,0.0,1.0,-4.271999808654811e-13,1.7710503e-12,2.1549408e-16,0.0,0.0,0.0,7.48e-16,1.843354787151066e-14,1.343850291732336e-12,1329.1521274078239,6.239149385701481e-15,2.1229113288203623e-14,1.4152742192135748e-15,0.0
145,145,147,adbb36,NKS2975,28.143722534179688,-79.32107778695911,224.812222028,10050.78,-0.6729799115706613,34610D,228.00093,33.04033,-20.358114,222.60508458038288,62341.64739630675,0.4020928824735263,0.1974468060996166,16.935147953406336,15.72859232611852,-1358.4357991375712,0.0001431207722518,26231.013906808847,0.8531911627147736,0.1411262329450528,0.3118905556162894,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,7.065289176406997,1.0587821868179397,0.7354005579208611,7.865178289203453,9.01321994198402,9.669423968971442,815125211034036.8,8.31259369671309,690.383798862753,1046.63244510613,0.0143120772252,0.015789409527301,0.0987234030498083,7.86429616305926,6.25250759878693,6.25161286312614,16.950456557043335,0.3494591974642819,36777764318850.16,0.4632365185073375,343270138073386.0,0.0006203850935733433,1.12297185571467e-07,2.8440000000000003,35.8,2023-05-05 06:27:00,0.00014312077225186407,0.8531917036348544,0.0,145,262.3101390680885,0.00014312077225186407,33.04033,-20.358114,0.8531917036348544,0.0006964922,3.1339095e-08,0.40079372003043856,0.0,13706.237004224686,-0.9615170529775088,-0.2747452580727222,2.202550366149603,234.32803644930294,0.5469630422333845,0.6837310298226181,0.0,227.04441531958733,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.000120412486,-4.2192905e-08,102881.98,0.692055,-285.92984,0.0,0.0,1.0000000000000002,-4.5421626657894874e-13,1.7629212e-12,2.1523846e-16,0.0,0.0,0.0,7.480000000000001e-16,1.797640219577756e-14,1.3087049033985629e-12,1329.719128074669,9.618435724465055e-15,2.5201857598643263e-14,1.6801238399095505e-15,0.0,0.000120412486,-4.2192905e-08,102881.98,0.692055,-285.92984,0.0,0.0,0.7537972186382298,-4.5421626657894874e-13,1.7629212e-12,2.1523846e-16,0.0,0.0,0.0,7.480000000000001e-16,1.797640219577756e-14,1.3087049033985629e-12,1329.719128074669,9.618435724465055e-15,2.5201857598643263e-14,1.6801238399095505e-15,0.0
146,146,148,adbb36,NKS2975,28.02525329589844,-79.35942429762616,233.557777576,9646.92,-0.673383058882195,34610D,231.57578,31.172394,-19.313248,224.5671444212405,62324.71224835335,0.4268336126687563,0.236685422984964,20.663800900501105,19.83957408006138,-1054.822883203977,0.0001975218551154,27896.51621734957,0.8256996898768784,0.1721983408375092,0.3797142978887114,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,9.05900673665304,1.357061658681829,0.7361339884152345,9.92026641327797,9.886859027969184,12.728829179456842,959529917015168.0,9.88134128444166,714.607600555823,1059.4739351285,0.0197521855115,0.0163497019503358,0.118342711492482,9.91978704003069,7.23821827773758,7.236788853778104,18.772014910067185,0.4088895905479886,55644968816834.68,0.4820839346732581,357236154800502.6,0.0005802094721318475,3.0257049528366e-07,2.8440000000000003,35.8,2023-05-05 06:28:00,0.0001975218551154364,0.8256993620525125,0.0,146,278.9651621734957,0.0001975218551154364,31.172394,-19.313248,0.8256993620525125,0.0017845018,3.3470684e-08,0.4196616503663789,0.0,14316.5883438532,-0.9620958786194144,-0.27271142319957403,2.4436225645086997,235.4556688787754,0.5483211455040365,0.9041381907788718,0.0,228.101008040831,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00015201926,-2.8192664e-08,98894.305,0.6069589,-286.45612,0.0,0.0,0.9999999999999999,-4.777014762086108e-13,1.789759e-12,2.1492175e-16,0.0,0.0,0.0,7.480000000000001e-16,1.8019669170451793e-14,1.312057494678702e-12,1330.3082925477338,1.0810864962101949e-14,3.0210224432459394e-14,2.014014962163959e-15,0.0,0.00015201926,-2.8192664e-08,98894.305,0.6069589,-286.45612,0.0,0.0,0.4206967565300863,-4.777014762086108e-13,1.789759e-12,2.1492175e-16,0.0,0.0,0.0,7.480000000000001e-16,1.8019669170451793e-14,1.312057494678702e-12,1330.3082925477338,1.0810864962101949e-14,3.0210224432459394e-14,2.014014962163959e-15,0.0
147,147,149,adbb36,NKS2975,27.90140960176112,-79.3991440993089,238.702222016,9334.5,-0.6738396937982617,34610D,234.52295,29.42371,-19.145885,225.7947159021939,62304.04844745284,0.41316758801503217,0.227133574075986,19.799570299464325,18.32914651235978,-1110.5096077384835,0.0002047425752724,29242.802113830912,0.6425439653354552,0.1649964191622027,0.3641010849935354,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,8.706676611471933,1.3042188643292925,0.7354926455800794,9.164573133583312,9.732783253402369,10.955227725086546,875815476159713.5,9.56954408524833,712.328740865457,1054.32828788696,0.0204742575272,0.0161157555444199,0.113566787037993,9.16457325617989,7.04694153029118,7.045499016678426,18.531850971112554,0.4030064499155861,51028995574921.32,0.4918667933284651,364444066123225.25,0.0005835642717243826,2.666363819381042e-07,2.8440000000000003,35.8,2023-05-05 06:29:00,0.00020474257527248958,0.6425440938689104,0.0,147,292.42802113830913,0.00020474257527248958,29.42371,-19.145885,0.6425440938689104,0.0014675476,1.4304795e-08,0.43438626607287406,0.0,14468.928848280142,-0.9619014277020581,-0.27339649482892464,2.5019145143428023,235.71350054278216,0.4392968952527017,0.9923787775734587,0.0,227.70841180333295,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00017952721,-1.7820616e-08,95678.15,0.5540982,-286.93213,0.0,0.0,1.0000000000000002,-4.966585171127746e-13,1.8108016e-12,2.1412581e-16,0.0,0.0,0.0,7.479999999999999e-16,1.804598653151405e-14,1.3141431324713357e-12,1330.9141959597223,1.0451146841359915e-14,2.899103866408404e-14,1.9327359109389356e-15,0.0,0.00017952721,-1.7820616e-08,95678.15,0.5540982,-286.93213,0.0,0.0,0.1514395772338173,-4.966585171127746e-13,1.8108016e-12,2.1412581e-16,0.0,0.0,0.0,7.479999999999999e-16,1.804598653151405e-14,1.3141431324713357e-12,1330.9141959597223,1.0451146841359915e-14,2.899103866408404e-14,1.9327359109389356e-15,0.0
148,148,150,adbb36,NKS2975,27.776275634765625,-79.43934026754124,238.187777572,9006.84,-0.6742974417281914,34610D,237.65672,27.842175,-18.424633,225.8189127154884,62284.24887715338,0.39641831079161505,0.367553207990654,28.09442890785611,28.4552266707616,-207.09336922215908,0.0001913797980928,30710.79752632247,0.4463102791041578,0.2341202408988009,0.5166670864344017,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.079367031445022,0.4613157260760217,0.7307056646966714,14.22753113323414,11.41617977719587,18.557986175040185,1234667613447186.0,12.2882967859554,741.331289590007,1352.04303753693,0.0191379798093,0.0199523082140568,0.183776603995327,14.2276133353808,9.21079416094089,9.209031738306184,5.028521584788271,0.4799959018392842,130465142348141.62,0.5021245895705561,372004004968706.9,0.004916239675982254,9.987609553999105e-07,2.8440000000000003,35.8,2023-05-05 06:30:00,0.0001913797980928128,0.4463109037075656,0.0,148,307.1079752632248,0.0001913797980928128,27.842175,-18.424633,0.4463109037075656,0.000700629,8.817426e-09,0.45017714710107215,0.0,14160.6532196661,-0.961538181716243,-0.27467130374653514,2.554568824203002,235.9418692414698,0.31474155340331245,inf,0.0,227.29766437937303,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00020114529,8.429946e-09,92367.266,0.4952593,-287.4149,0.0,0.0,1.0,-5.161879174632538e-13,1.8764248e-12,2.141649e-16,0.0,0.0,0.0,7.479999999999997e-16,1.8645245145330058e-14,1.3602369421378475e-12,1331.5238267373547,1.4747522957279035e-13,4.691402099982084e-14,3.1276013999880554e-15,0.0,0.00020114529,8.429946e-09,92367.266,0.4952593,-287.4149,0.0,0.0,0.0,-5.161879174632538e-13,1.8764248e-12,2.141649e-16,0.0,0.0,0.0,7.479999999999997e-16,1.8645245145330058e-14,1.3602369421378475e-12,1331.5238267373547,1.4747522957279035e-13,4.691402099982084e-14,3.1276013999880554e-15,0.0
149,149,151,adbb36,NKS2975,27.653823852539062,-79.47882886202831,236.64444424,8945.880000000001,-0.6747041906678057,34610D,238.25142,27.095566,-17.896055,223.2940277676824,62256.15444824552,0.3922122986712309,0.34353972855883,26.497654153276468,26.6115092373228,-103.60530082396431,0.0001886204847305,30990.3811577411,0.4161050120714504,0.2208137846106372,0.4862304587111682,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.339042716628253,0.5002265956384915,0.7216333323955437,13.305689914513325,11.11708605500074,16.936756927681778,1158145179612520.5,11.7449949761808,733.949058739089,1320.07764585109,0.0188620484731,0.0194116475649506,0.171769864279415,13.3057546186614,8.84880398248935,8.847135231553498,5.67297021508525,0.4595510399086243,112919939277000.92,0.5042480829441566,373580612346697.7,0.004205796809191758,7.992599782033261e-07,2.8440000000000003,35.8,2023-05-05 06:31:00,0.00018862048473054096,0.4161049999078573,0.0,149,309.903811577411,0.00018862048473054096,27.095566,-17.896055,0.4161049999078573,0.0002867281,4.7029864e-09,0.45314153220551445,0.0,14166.798018458256,-0.9616415288600114,-0.27430925972664455,2.5599798424515527,235.96510105952166,0.2951723437781172,inf,0.0,227.2291048445857,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00020259255,1.1119552e-08,91802.47,0.4820771,-287.8172,0.0,0.0,1.0,-5.195404600480394e-13,1.8981967e-12,2.1348235e-16,0.0,0.0,0.0,7.480000000000002e-16,1.888401175107158e-14,1.3786561085345104e-12,1332.1106370682628,1.1951776279621043e-13,4.384897122239653e-14,2.923264748159768e-15,0.0,0.00020259255,1.1119552e-08,91802.47,0.4820771,-287.8172,0.0,0.0,0.0,-5.195404600480394e-13,1.8981967e-12,2.1348235e-16,0.0,0.0,0.0,7.480000000000002e-16,1.888401175107158e-14,1.3786561085345104e-12,1332.1106370682628,1.1951776279621043e-13,4.384897122239653e-14,2.923264748159768e-15,0.0
150,150,152,adbb36,NKS2975,27.53130495750298,-79.51823872647887,236.129999796,8915.400000000001,-0.675095113847997,34610D,238.5419,26.474613,-17.348005,217.8712839345105,62229.65679409225,1.2924559307848911e-05,0.0786181897698266,5.299899,0.0002056777098914,-3071.450833638995,0.0001899370320216,31130.94379047764,0.4078799911575872,0.044165825,0.0967665230895023,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.455729223214816,0.5177030125300944,0.7036794137448443,0.0,4.375234921755828,5.492732157930288,4066495833791551.0,3.75275926842688,611.551051053551,915.250473814493,0.0189937032022,0.012918361346903,0.0393090948849133,0.0001028388549457,3.04288553550464,3.0423076886117686,17.035780482133347,0.1860900640250674,54811827551436.79,0.5056390023003463,374630410083221.94,0.0004580561099265545,5.32079701852464e-08,2.8440000000000003,35.8,2023-05-05 06:32:00,0.00018993703202167431,0.40788008634859574,0.0,150,311.3094379047764,0.00018993703202167431,26.474613,-17.348005,0.40788008634859574,6.573548e-05,9.951578e-10,0.45464253227504636,0.0,14192.201374718234,-0.9621557622989929,-0.2725000716969515,1.5630034232746441,230.69849747340263,0.290170936934313,inf,0.0,222.36657394085483,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0002030738,1.0810009e-08,91533.77,0.47658074,-288.15613,0.0,0.0,1.0,-5.21149029286635e-13,1.9094793e-12,2.1269966e-16,0.0,0.0,0.0,7.48e-16,1.90089925220363e-14,1.3883302200669492e-12,1332.695102918609,2.999754736402265e-15,1.0034725110937762e-14,6.689816740625174e-16,0.0,0.0002030738,1.0810009e-08,91533.77,0.47658074,-288.15613,0.0,0.0,0.0,-5.21149029286635e-13,1.9094793e-12,2.1269966e-16,0.0,0.0,0.0,7.48e-16,1.90089925220363e-14,1.3883302200669492e-12,1332.695102918609,2.999754736402265e-15,1.0034725110937762e-14,6.689816740625174e-16,0.0
151,151,153,adbb36,NKS2975,27.40874726893538,-79.55733666053186,228.92777758,8016.240000000001,-0.6754686856096634,34610D,246.89761,25.770231,-14.509706,214.891095555824,62224.35689509225,-7.070618778120021e-05,0.0902751523117842,5.67027504,-0.0013099528661696,-2096.5089650997,0.0002248525810552,35515.8543504637,0.2301270215883291,0.047252292,0.1028171642807168,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.5474896880859377,0.5313257910002577,0.6822085607392001,0.0,4.418037274408171,5.984797348094396,4433494645762399.0,4.11709379049285,621.632260311204,950.617528010713,0.0224852581055,0.0136672735248686,0.0451375761558921,-0.0006549764330848,3.30260282519122,3.301860393359489,16.11419501266781,0.2023159559910658,62987022926006.42,0.5341222756421167,395623236779816.94,0.0005181888193637465,5.51738754096409e-08,2.8440000000000003,35.8,2023-05-05 06:33:00,0.0002248525810552248,0.23012737313996295,0.0,151,355.158543504637,0.0002248525810552248,25.770231,-14.509706,0.23012737313996295,0.0,0.0,0.5011270307240905,0.0,13170.16214122501,-0.9634673763393252,-0.2678257170807487,1.7830629087910468,232.0754711818877,0.17783617318523756,inf,0.0,223.1718546486943,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00022772627,6.8089705e-08,82317.92,0.22899593,-288.39136,0.0,0.0,1.0,-5.755444771799579e-13,2.2662178e-12,2.1687148e-16,0.0,0.0,0.0,7.48e-16,2.294362472236398e-14,1.690673325977808e-12,1333.2704915184866,4.745338738032951e-15,1.1522604888881178e-14,7.68173659258745e-16,0.0,0.00022772627,6.8089705e-08,82317.92,0.22899593,-288.39136,0.0,0.0,0.0,-5.755444771799579e-13,2.2662178e-12,2.1687148e-16,0.0,0.0,0.0,7.48e-16,2.294362472236398e-14,1.690673325977808e-12,1333.2704915184866,4.745338738032951e-15,1.1522604888881178e-14,7.68173659258745e-16,0.0
152,152,154,adbb36,NKS2975,27.294754028320312,-79.59299339438383,212.465555372,7406.64,-0.6757097200078571,34610D,252.12527,24.27354,-13.924364,209.79337872184868,62218.68662005225,2.315303993971183e-05,0.0968917079321132,5.929455839999999,0.0004715755634242,-1997.174296365944,0.0003449739612599,38763.39764052093,0.2298687009067516,0.049412132,0.1060133779806461,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.5744247464017067,0.5349306284962643,0.6590840325434854,0.0,4.452498940604602,6.232328293297028,4618111571794272.0,4.29085544719964,623.741169076051,969.61145374668,0.034497396126,0.0141581179273674,0.0484458539660566,0.0002357877817121,3.42177217442238,3.420592159195368,15.67303609353378,0.2060919430057333,70399552729578.19,0.5536112959814146,409989173506230.4,0.0005494072949664513,6.03091574825313e-08,2.8440000000000003,35.8,2023-05-05 06:34:00,0.0003449739612599332,0.22986899091761195,0.0,152,387.6339764052093,0.0003449739612599332,24.27354,-13.924364,0.22986899091761195,0.0,0.0,0.5356090527702435,0.0,12571.627987564792,-0.962985599689023,-0.26955284229919113,1.946489135356545,233.00377100404955,0.18706212448367038,inf,0.0,224.05830482966817,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00035406963,1.8507974e-07,76118.234,0.22998746,-288.59256,0.0,0.0,1.0,-6.121726840804322e-13,2.6236088e-12,2.25564e-16,0.0,0.0,0.0,7.479999999999998e-16,2.7122232718587713e-14,2.0114360559373654e-12,1333.8027159546145,6.42448788075959e-15,1.2367133579068775e-14,8.244755719379182e-16,0.0,0.00035406963,1.8507974e-07,76118.234,0.22998746,-288.59256,0.0,0.0,0.0,-6.121726840804322e-13,2.6236088e-12,2.25564e-16,0.0,0.0,0.0,7.479999999999998e-16,2.7122232718587713e-14,2.0114360559373654e-12,1333.8027159546145,6.42448788075959e-15,1.2367133579068775e-14,8.244755719379182e-16,0.0
153,153,155,adbb36,NKS2975,27.185994810977224,-79.62721604567304,203.20555538,6827.52,-0.6758670490586061,34610D,256.3952,23.052385,-12.741074,203.8855594343076,62212.75716421225,-3.7629174514930205e-05,0.1013868110542374,6.181724160000002,-0.0008252169210172,-1841.269031151316,0.0006231054804037,42067.31157843828,0.3001379406108523,0.051514368,0.1078845673037458,descent,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,3.6554843687182825,0.5460449029640637,0.63516819428667,0.0,4.491497844393374,6.4287575638404615,4764615145643292.0,4.4231751862683,623.746356845606,977.74136844452,0.0623105480404,0.0144241772786548,0.0506934055271187,-0.0004126084605086,3.51447465930247,3.512286134563277,15.609019501807303,0.2061012316723655,76834250937232.6,0.5721577353015621,423655604563894.8,0.0005554714746549755,6.581801040155701e-08,2.8440000000000003,35.8,2023-05-05 06:35:00,0.0006231054804037474,0.30013820731271323,0.0,153,420.67311578438284,0.0006231054804037474,23.052385,-12.741074,0.30013820731271323,0.0,0.0,0.5715803848546467,0.0,11944.379128975139,-0.9608777391843569,-0.27697286932109283,2.1127721011663474,233.88001781918544,0.25475695822146927,inf,0.0,225.14000669142763,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0006095284,3.3702102e-07,70175.78,0.27065033,-288.78464,0.0,0.0,0.9999999999999999,-6.47302085405537e-13,3.00861e-12,2.369162e-16,0.0,0.0,0.0,7.479999999999999e-16,3.1681919636861935e-14,2.3613079562762145e-12,1334.3040008675157,7.978975021074889e-15,1.2940882787844714e-14,8.627255191896474e-16,0.0,0.0006095284,3.3702102e-07,70175.78,0.27065033,-288.78464,0.0,0.0,0.0,-6.47302085405537e-13,3.00861e-12,2.369162e-16,0.0,0.0,0.0,7.479999999999999e-16,3.1681919636861935e-14,2.3613079562762145e-12,1334.3040008675157,7.978975021074889e-15,1.2940882787844714e-14,8.627255191896474e-16,0.0
