Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,0.7193043641055188,34610D,289.4875,0.70442194,-0.9608124,104.05614510544012,67500.93306713157,0.2557785541061617,1.1136489941943235,66.8189396516594,118065.81855988366,1682.6387542455514,2023-08-06 14:02:00,0.0082653349943353,0.9318180291069952,0.5700630405429002,0.5568244970971618,0.5546053519423181,0.015485409758243,0.000995388452712,0.000221197433936,0.0001001022658889,1918437248793432.0,211.0810303595921,82.6550283491027,0.0801827275819912,0.0016363821955508,0.0013363787930331,1.0347186601172569,0.0665108009517251,0.0147801779892722,0.0066887272634249,1.2818794275262384e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3050774150453155,59.03290927994183,15.485409758242998,100.10226588890262,1918437248793432.0,,,,,,,,,,,1.0,,,
1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,0.7211901231166822,34610D,285.58487,1.3596722,-2.023584,129.77395187077562,67434.11412747992,0.2577245004661384,1.3908524408884768,83.45114645330861,153320.36049221343,3737.395546282613,2023-08-06 14:03:00,0.0066169092751851,0.8767312586169648,0.5735558387166814,0.6954262204442384,0.706713780918728,0.0190973799503226,0.0010128247808064,0.0002250721735125,0.0001469868189304,1669021616424861.8,263.6221716460019,103.22906816274276,0.1001413757439703,0.0020437015457953,0.0016690229290661,1.5936982511088582,0.0845213891146216,0.0187825309143603,0.0122662185532669,1.39281767346009e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3830691012531422,76.66018024610672,19.097379950322686,146.9868189304017,1669021616424861.8,25.7225170400874,798.963241267805,1548.97947248179,0.661690927519,0.0224681004535792,1.05081231288843,76.659802708578,46.7690766764857,46.46164419209071,0.6616909275185099,1.0,29.56759624790018,867625337692527.5,54.439236874825255
2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,0.7239102554452596,34610D,281.08328,7.5541263,-5.408728,150.7931359075742,67350.6629810266,0.2879893771871997,1.273815112546087,76.42890675276522,108285.15570943843,2534.31526187406,2023-08-06 14:04:00,0.0017709968031985,0.7642053006165694,0.1887676119932994,0.6369075562730435,0.7067137809187282,0.0200410638373785,0.0011056390495506,0.0002456975665668,0.0001282614344985,1415656067289655.5,241.4389164319853,94.54255765317058,0.0917146881033182,0.0018717283286391,0.0015285781350553,1.531716599253218,0.0845027838203259,0.0187783964045168,0.0098028812172644,1.081970455608674e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.448664031937497,54.142577854719214,20.04106383737852,128.26143449853555,1415656067289655.5,23.6233758398987,792.4121520900607,1535.9311168653933,0.4683023282271,0.0221709647322665,0.9588469302117882,67.7593851203813,43.15088466275737,43.074599684417215,0.17709968031985,1.0,30.478659755061468,806488917879351.9,50.6032262198809
3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,0.726781133273103,34610D,278.87814,11.061631,-6.7823296,166.62688492155064,67274.23407427385,0.2944018967779321,0.98413802116009,59.04828126960541,74994.77340702781,1380.1544622492945,2023-08-06 14:05:00,0.0008920795755729,0.6954628509278147,0.102843525590786,0.492069010580045,0.5877122038343406,0.0170667047224888,0.001185988356233,0.0002635529680517,8.341439162768542e-05,1371763944964435.2,186.53352053068343,73.0427239305019,0.0708579375235264,0.0014460803576229,0.0011809656253921,1.0077595807988229,0.0700305740413237,0.0155623497869608,0.0049254764587645,8.100030325776349e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4977313932528202,37.497386703513904,17.066704722488822,83.41439162768542,1371763944964435.5,21.52423463971,785.8610629123164,1522.8827612489968,0.2749137289352,0.0218738290109538,0.8668815475351467,58.85896753218459,39.53269264902903,39.49745777366209,0.08920795755729,0.9738788752323738,29.114730863570042,793395264150087.8,45.142108396666245
4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,0.7298299106024198,34610D,277.1968,11.905259,-6.967727,177.22576732244346,67215.18579300423,0.3027632211267089,1.14207288008071,68.5243728048426,99918.0804382214,2715.760086336312,2023-08-06 14:06:00,0.0008152512964331,0.66042770723412,0.1020038195763403,0.571036440040355,0.7067137809187279,0.0193846599463545,0.0012254945609201,0.0002723321246489,0.0001094965190673,1218003034812067.8,216.46849369049767,84.7646491595903,0.0822292473658111,0.0016781479054247,0.0013704874560968,1.3283216648590976,0.0839762461627987,0.0186613880361775,0.0075031802934051,8.34628940348918e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5309944536006227,49.9590402191107,19.384659946354525,109.49651906737157,1218003034812067.8,19.4250934395213,779.309973734572,1509.8344056326,0.0815251296433,0.0215766932896412,0.774916164858505,49.9585499439879,35.9145006353007,35.88524514267532,0.08152512964331,0.9390160117718707,27.316695123544466,782637726141469.1,39.20681189078477
5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,0.7329640301412936,34610D,272.30234,13.691171,-5.540309,188.1465865170924,67146.6614201994,0.3116145677850792,1.0934127237089444,65.60476342253666,81678.33814509689,1306.7633153070835,2023-08-06 14:07:00,0.0009490075488885,0.5958307384093393,0.1595415476143042,0.5467063618544722,0.706713780918728,0.0188939196397406,0.0012834419464134,0.0002852093214252,0.0001022651004724,1078339391477591.2,207.2454476517933,81.15309235367786,0.0787257161070439,0.0016066472674906,0.0013120952684507,1.2395311280896073,0.0841999052610123,0.0187110900580027,0.0067090777228778,7.074420066708952e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5687584391632008,40.83916907254845,18.89391963974069,102.26510047246316,1078339391477591.2,16.8209405207769,758.182129708561,1464.39947662269,0.0949007548889,0.0206716163554457,0.653434841258494,40.8387926490579,31.6102442122942,31.58027429359361,0.09490075488885,0.8336888735049605,23.34099350564687,883571521187639.9,32.0111188804304
6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,0.7360798746481798,34610D,269.68973,14.680254,-4.9546614,207.30448924053115,67081.05665677685,0.312599201539814,1.063025379043684,63.78152274262105,99581.66532397224,2930.8980029587124,2023-08-06 14:08:00,0.0007752159255918,0.5666510718470681,0.1542271334083541,0.531512689521842,0.706713780918728,0.0187734020261932,0.001308586730358,0.0002907970511906,9.886125655658505e-05,1065033569141520.0,201.48583034393988,78.89774363262225,0.0765378272911452,0.0015619964753294,0.0012756304548524,1.1973961682900107,0.0834636543030218,0.0185474787340048,0.0063055214834279,6.792946281185473e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6297000485774062,49.79083266198612,18.773402026193217,98.86125655658503,1065033569141520.0,19.8470286360704,795.72321076159,1562.32270247128,0.0775215925592,0.022867451889006,0.823541004022192,49.7903620063662,36.0136760326203,35.98577928342496,0.07752159255918,1.0,30.020967296482226,663170539384736.8,41.61070051041486
7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,0.7383117308517537,34610D,264.5974,16.641722,-8.458321,218.52865891096087,67017.27513403424,0.3276029236544488,1.0088309791055785,60.52985874633471,76451.64121307904,2203.391552080627,2023-08-06 14:09:00,0.0002650054803007,0.5054732103053465,0.0729249733891171,0.5044154895527893,0.7067137809187279,0.0184547465155481,0.001380677999134,0.0003068173331409,9.139230485328852e-05,936024233891019.4,191.2138237796713,74.87543526921604,0.0726358304956016,0.0014823638876653,0.0012105971749266,1.1170631997855447,0.0835722442617572,0.018571609835946,0.0055319633032715,5.665741466056957e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6701512545021666,38.22582060653952,18.45474651554819,91.39230485328852,936024233891019.4,16.3661198972337,766.047680833401,1492.8088380137,0.0265005480301,0.0213693636194896,0.650952365083655,38.2259880993079,30.4619443365157,30.45387389303766,0.02650054803007,0.8721267307828489,24.39515827202525,822458368531210.6,32.485894395798105
8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,0.7398398747974724,34610D,260.77216,21.768963,-8.964794,220.90357094985364,66956.7452752879,0.3300232980991773,0.9738224586812728,58.42934752087638,67441.06000829367,2050.048917854207,2023-08-06 14:10:00,0.0002587637964528,0.4631952510881937,0.0917553836870968,0.4869112293406364,0.706713780918728,0.0180820822999567,0.0014385160032092,0.0003196702229353,8.6367875645175e-05,830432611370866.9,184.57830881844845,72.27710288332409,0.0701152170250516,0.0014309227964296,0.0011685869504175,1.0565242706052589,0.0840515514658578,0.0186781225479684,0.0050464186207117,4.8521635642457256e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6823847515368765,33.72053000414684,18.08208229995672,86.367875645175,830432611370866.9,14.7274362869225,752.183768287602,1467.52173961453,0.0258763796453,0.0209214661944059,0.578996107961271,33.7200881671028,27.6747385953325,27.667579227492933,0.02587637964528,0.8054247313993097,22.053696459559994,791431819665433.4,28.213249266468
9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,0.7413524478219633,34610D,257.19986,24.49831,-9.405476,218.4828440702265,66898.31592776702,0.3270578655832072,0.9457528553271078,56.74517131962647,69028.84510581242,2343.284881177009,2023-08-06 14:11:00,0.0002352823712836,0.4265461853884109,0.1066047262259064,0.4728764276635539,0.706713780918728,0.0177447346495158,0.0014950650202602,0.0003322366711689,8.215568342543604e-05,728624088295269.4,179.25799619870003,70.19377692237795,0.0680942055835517,0.0013896776649704,0.0011349034263925,1.00692800770809,0.0848377207086468,0.0188528268241437,0.0046619383308573,4.13458987179217e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6795777739559488,34.51442255290621,17.74473464951587,82.15568342543604,728624088295269.4,14.5279119477766,756.731413940132,1494.5152259583,0.0235282371284,0.0216812949260334,0.58612828597521,34.5139256860385,27.0338228401398,27.027463754377884,0.02352823712836,0.8267779784852234,22.478967847153758,824532864581846.4,29.758129827904426
