,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,time,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
10,10,-71.0350426962209,41.58511404263771,6728.46,adbb36,NKS2975,218.124444256,0.463210421285955,2023-02-06 15:10:00,34610D,242.33917,18.682209,32.184273,242.7082701463452,67098.54322028658,0.3391181660963486,1.1523180182969712,69.13908109781828,74683.86408850447,2206.4160409814185,0.0004930717742308,0.4265461853884109,0.9684808139431872,0.5761590091484856,1.0,0.0196772137473107,0.0004303460643947,9.333264023960716e-05,3.628235539e-05,1450000000000000.0,218.41035718800796,85.52504331800121,0.0829668973173819,0.001693201986069,0.0013827816219563,1.3604644770544243,0.0297537314463142,0.0064529329825996,0.002508528711729,1.002516675918365e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7777319724606532,37.34193204425224,19.677213747310777,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
11,11,-71.1456724654796,41.50187864141949,7406.64,adbb36,NKS2975,214.523333148,0.465127703772675,2023-02-06 15:11:00,34610D,238.03664,18.723032,38.111015,243.3517441191614,67029.40413918876,0.325555562686825,1.1177836570396582,67.06701942237949,78630.45047709005,2556.8009392968083,0.0003678076233689,0.3876339764052093,1.0388398963760683,0.5588918285198291,1.0,0.0193484570414654,0.0004472183604345,9.699187188268044e-05,3.628235539e-05,1450000000000000.0,211.8647143552968,82.96190302548344,0.0804804233068553,0.0016424576185072,0.0013413403884475,1.2976433441930402,0.029993602465312,0.0065049557553686,0.0024333494336308,9.724717816245026e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7868098215874375,39.31522523854503,19.348457041465476,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
12,12,-71.25376614657318,41.420196533203125,8191.5,adbb36,NKS2975,202.691110936,0.4670357199047545,2023-02-06 15:12:00,34610D,233.51898,17.887026,44.209595,244.63606088007128,66962.33711976638,0.3217914619449185,1.0698353543454653,64.19012126072792,72920.66110096147,2140.5217083148195,0.0002517482407678,0.3462416263551337,1.0471273401290175,0.5349176771727326,1.0,0.018893958935271,0.0004710659529952,0.000102163892638,3.628235539e-05,1450000000000000.0,202.77659306263948,79.40317999952045,0.0770281455128735,0.0015720029696504,0.0012838024252145,1.2128055151502626,0.0302377806445661,0.0065579126569049,0.0023289687921089,9.307567582805549e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7985766348568482,36.460330550480734,18.89395893527105,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
13,13,-71.35638427734375,41.348876953125,8846.82,adbb36,NKS2975,187.257777616,0.4688323593566416,2023-02-06 15:13:00,34610D,229.97957,21.856325,51.52708,247.31633787027465,66898.14699850565,0.3394046626435387,0.9991288711004108,59.94773226602465,59137.90890340594,1345.2323432993787,0.0001919545327999,0.3144909782095851,1.0877585372008405,0.4995644355502054,0.974904655303072,0.0179254478626307,0.0004940825365639,0.0001071556857355,3.628235539e-05,1450000000000000.0,189.37488622837185,74.1553448130725,0.0719372787192295,0.0014681077289638,0.0011989546453204,1.0745899492175746,0.0296191276192514,0.0064237403592541,0.0021750449269004,8.692421178573574e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.8135146969418003,29.56895445170297,17.92544786263079,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
14,14,-71.466064453125,41.293650481660485,9258.3,adbb36,NKS2975,187.257777616,0.4703694931160592,2023-02-06 15:14:00,34610D,227.01749,22.127895,55.855824,247.88087040530263,66838.19926623962,0.3380765926154175,0.9695871020058258,58.17522612034955,57034.59709106581,1219.0500964408152,0.0001446344242968,0.2957901497200583,1.092790041388307,0.4847935510029129,0.9597858019968364,0.0174415333155066,0.0005039386364842,0.0001092932580386,3.628235539e-05,1450000000000000.0,183.7755393141842,71.9627547108724,0.0698102713444194,0.0014246994151922,0.0011635045224069,1.0146651445152093,0.0293167441282513,0.0063581599998296,0.0021107342289921,8.435407787450685e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.8206737690607284,28.517298545532903,17.44153331550665,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
15,15,-71.57805009321731,41.23657743809586,9631.68,adbb36,NKS2975,190.858888724,0.4719155836872348,2023-02-06 15:15:00,34610D,224.29489,21.969656,58.340332,248.1814914270869,66780.02404011927,0.3371744240349501,0.9360102925146224,56.16061755087735,54846.04513164653,783.8498202237088,0.0001058563428208,0.2796100192873563,1.0504334486359916,0.4680051462573112,0.9380828753568508,0.016842367951207,0.0005128678552073,0.0001112298101014,3.628235539e-05,1450000000000000.0,177.41139084322154,69.47068391043528,0.0673927410610528,0.0013753620624704,0.0011232123510175,0.9458777851588954,0.0288029754704377,0.0062467348253632,0.0020376394849028,8.143289544877216e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.8266409610875068,27.423022565823267,16.8423679512071,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
16,16,-71.6922607421875,41.178497314453125,9871.71,,,,0.4734599323162812,2023-02-06 15:16:00,34610D,223.14943,23.250057,60.29198,252.78234702034905,66723.86342256839,0.3251269905606749,0.9765856964027708,58.59514178416626,58273.84414259144,1209.573828224927,9.34362232786156e-05,0.269592548871822,1.0290704685422594,0.4882928482013854,1.0,0.018007989169046,0.0005233947710262,0.0001135128676875,3.628235539e-05,1450000000000000.0,185.1020528961812,72.48219038701367,0.0703141701409995,0.001434983064102,0.0011719028356833,1.0551806786079827,0.0306683908173718,0.006651302576477,0.0021259697583405,8.496295558704107e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.8441236635534165,29.13692207129572,18.00798916904603,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
17,17,-71.81088534268468,41.117683022709215,10241.28,adbb36,NKS2975,198.575555384,0.475013770051896,2023-02-06 15:17:00,34610D,221.34084,29.054043,61.46391,262.15703963395833,66665.26828078424,0.3222494652029651,0.9517598505003316,57.1055910300199,55904.95080389392,1025.1883343657487,7.67595749582904e-05,0.2547386021617818,1.0005485455860033,0.4758799252501658,1.0,0.0179166393016622,0.0005398482777857,0.0001170812731038,3.628235539e-05,1450000000000000.0,180.39656206383285,70.63961610413462,0.0685267092360238,0.0013985042701229,0.0011421118206003,1.023140276593108,0.0308283549694954,0.0066859952991405,0.0020719253485071,8.280310699352886e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.8789981475025221,27.95247540194696,17.916639301662286,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
18,18,-71.92901611328125,41.05769348144531,10553.7,adbb36,NKS2975,200.118888716,0.4765566213755105,2023-02-06 15:18:00,34610D,219.87285,33.40049,56.979065,268.6681196794784,66608.16268975422,0.3075542096842956,0.9300219465386182,55.801316792317095,56865.9369619308,1079.0370133814058,5.617722677993007e-05,0.2427050189404938,0.8398424587957494,0.4650109732693091,1.0,0.017679771281194,0.0005548444050294,0.000120333604808,3.628235539e-05,1450000000000000.0,176.2763597469297,69.02622887209625,0.0669615801507805,0.00136656286022,0.0011160263358463,0.986554518077618,0.0309610484154931,0.0067147736026551,0.0020246032070888,8.091190934885979e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.9038316389699836,28.4329684809654,17.679771281194032,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
19,19,-72.03810258345169,40.98407810017214,10881.36,adbb36,NKS2975,209.893333152,0.478330303388334,2023-02-06 15:19:00,34610D,218.74023,34.218784,47.29074,265.9807222747454,66552.3613729619,0.339839939051136,0.7660452866391748,45.96271719835049,45083.9442295882,125.81701752669716,3.387597026904356e-05,0.2305832221844504,0.5561090035315172,0.3830226433195874,0.8671721089432871,0.0145245188811037,0.000574732347679,0.0001246468641822,3.628235539e-05,1450000000000000.0,145.19622362958918,56.85588117435956,0.0551552606380205,0.0011256175640412,0.000919254343967,0.6675863537742733,0.0264162603611143,0.0057291085680714,0.0016676356400806,6.664593993760821e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8971044911133497,22.541972114794103,14.524518881103742,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
