,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.6241975235011388,34610D,276.75574,4.29259,-0.047525562,158.08315494478754,74161.49554958189,0.31255725819590086,1.327470252516538,65.7300546439867,112.9406363156734,2736.5987514805847,0.0003402400278514,62250.43576468452,0.0415681737581389,0.5477504553665559,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4740176203396976,56.47033719858569,19.221803844070006,35.9906229581274,1454382859639129.2,25.5039947498741,847.342373553512,1613.00778933786,0.0340240027851,0.0232075771586861,0.663735126258269,56.4703181578367,28.5999318980976,28.59020436616778,0.03402400278514,1.0077404303860311,1051506457357690.0,0.023925525319418488,2.6323920277299412e-05,3.16,35.8,2023-08-06 13:01:00,0.00034024002785149776,0.041568237106349444,0.0,622.5043576468452,0,0.00034024002785149776,4.29259,-0.047525562,0.041568237106349444,0.0,0.0,0.7835887779269581,825.3724427140445,9537.146941901803,-0.4305476864931945,-0.9025678310550171,4.19354028367758,241.5418899194537,0.043037131758593514,inf,0.0,231.254698267052,0.0,0.0,0.0,0 days,0.00033258088,-2.5606886e-07,41039.617,0.042374566,-293.83325,0.0,0.0,0.9999999999999999,-7.522270965046356e-13,5.8435656e-12,2.3067614e-16,0.0,0.0,0.0,7.479999999999999e-16,6.71660757507305e-14,5.091338431110015e-12,1031.2912026369463,9.702183774453183e-12,1.8826289318809746e-13,0.0,0.00033258088,-2.5606886e-07,41039.617,0.042374566,-293.83325,0.0,0.0,0.0,-7.522270965046356e-13,5.8435656e-12,2.3067614e-16,0.0,0.0,0.0,7.479999999999999e-16,6.71660757507305e-14,5.091338431110015e-12,1031.2912026369463,9.702183774453183e-12,1.8826289318809746e-13,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.625191974890304,34610D,270.70398,4.422705,2.2362144,168.0745975894355,74095.76549493789,0.31790901718426257,1.387281451198816,63.9735016298586,112.913737926007,3099.412106130847,0.0005347652509176,56095.647368712234,0.0967021868611814,0.5331125135821551,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5095795409243177,56.45773229232521,18.835343428236342,36.28235538999999,1450000000000000.0,25.7416967928359,865.518039392512,1664.60925279865,0.0534765250918,0.0244646223383166,0.693640725599408,56.4568689630035,28.3528074133817,28.337653421039583,0.05347652509176,1.075610507608575,992207426968522.0,0.025794323014954504,2.4839399723418865e-05,3.16,35.8,2023-08-06 13:02:00,0.0005347652509176166,0.09670231375859802,0.0,560.9564736871223,1,0.0005347652509176166,4.422705,2.2362144,0.09670231375859802,0.0,0.0,0.721899884191841,826.6875735150427,9596.215333846398,-0.42451417959346743,-0.9054212894139861,3.8092076878032652,240.4307727538289,0.0944259547540722,inf,0.0,230.44894726367596,0.0,0.0,0.0,0 days,0.0005215891,-2.4892955e-07,49211.97,0.096290715,-294.54257,0.0,0.0,0.9999999999999999,-7.126816935293698e-13,4.8434247e-12,2.3012583e-16,0.0,0.0,0.0,7.479999999999999e-16,5.4677783380134193e-14,4.130742888786052e-12,1030.7208682953956,8.868866708625701e-12,1.9674536523417705e-13,0.0,0.0005215891,-2.4892955e-07,49211.97,0.096290715,-294.54257,0.0,0.0,0.0,-7.126816935293698e-13,4.8434247e-12,2.3012583e-16,0.0,0.0,0.0,7.479999999999999e-16,5.4677783380134193e-14,4.130742888786052e-12,1030.7208682953956,8.868866708625701e-12,1.9674536523417705e-13,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.6261765505895402,34610D,264.22025,3.9413521,-2.424166,174.60359772235492,74031.79199330804,0.33444739407499574,1.070390094582464,61.83249897137733,88.2263166959984,1796.570802304431,0.0008548548865481,49718.84686406126,0.2391890948725593,0.5152708247614778,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5358304138556048,44.113231662345925,18.32214214398717,36.28235539,1450000000000000.0,21.186431403046,819.858292979425,1556.52163769929,0.0854854886548,0.022088242160972,0.535195047291232,44.1131583479992,24.229861452573,24.209166128608704,0.08548548865481,0.8910609037011716,1076515669161217.2,0.020252342280087772,2.005159101774393e-05,3.16,35.8,2023-08-06 13:03:00,0.0008548548865481648,0.23918902217829852,0.0,497.18846864061265,2,0.0008548548865481648,3.9413521,-2.424166,0.23918902217829852,0.0,0.0,0.6555372834697597,827.989646305055,9853.913159025033,-0.4250902117609422,-0.9051509884350993,3.4610373754039796,239.33492376036793,0.21924611810364716,inf,0.0,229.96871074988204,0.0,0.0,0.0,0 days,0.000838322,-1.1700232e-07,58454.457,0.22715963,-294.26193,0.0,0.0,1.0,-6.680106338367815e-13,3.906652e-12,2.1995643e-16,0.0,0.0,0.0,7.480000000000001e-16,4.307029285700123e-14,3.2386412635687783e-12,1030.1555875492763,4.2124177632707484e-12,1.5180357952576074e-13,0.0,0.000838322,-1.1700232e-07,58454.457,0.22715963,-294.26193,0.0,0.0,0.0,-6.680106338367815e-13,3.906652e-12,2.1995643e-16,0.0,0.0,0.0,7.480000000000001e-16,4.307029285700123e-14,3.2386412635687783e-12,1030.1555875492763,4.2124177632707484e-12,1.5180357952576074e-13,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.627121519151856,34610D,260.221,5.3827786,-5.3499656,185.4759226329771,73969.95949433667,0.34604639700677825,1.011645074846004,60.50167561724977,81.2187688508938,1674.8811284775277,0.0008017577023123,46295.246647158914,0.2986997662161216,0.504180630143748,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5735530019279313,40.608835168054405,18.1359942767173,36.28235538999999,1450000000000000.0,20.2109987129339,813.242939476828,1541.26135586717,0.0801757702312,0.0217620612507057,0.505822537423002,40.6093844254469,23.2433192607892,23.22469867973884,0.08017577023123,0.8635833514949003,1070531022816022.6,0.019543413701811386,1.835860241304159e-05,3.16,35.8,2023-08-06 13:04:00,0.0008017577023123206,0.2987002191501534,0.0,462.95246647158916,3,0.0008017577023123206,5.3827786,-5.3499656,0.2987002191501534,0.0,0.0,0.619778504246347,829.2393473464596,10648.381250946317,-0.028444387257436043,-0.9995953765567092,3.279723406682658,238.72501715315317,0.2632638970774019,inf,0.0,229.60764946808422,0.0,0.0,0.0,0 days,0.0007835794,-8.165051e-08,63878.246,0.28952545,-293.6846,0.0,0.0,1.0,-6.417783490109637e-13,3.4352436e-12,2.1723139e-16,0.0,0.0,0.0,7.480000000000001e-16,3.7280278755581186e-14,2.7934651814909128e-12,1029.5726011705922,3.3137757073698464e-12,1.4347231383072019e-13,0.0,0.0007835794,-8.165051e-08,63878.246,0.28952545,-293.6846,0.0,0.0,0.0,-6.417783490109637e-13,3.4352436e-12,2.1723139e-16,0.0,0.0,0.0,7.480000000000001e-16,3.7280278755581186e-14,2.7934651814909128e-12,1029.5726011705922,3.3137757073698464e-12,1.4347231383072019e-13,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.6282811055242865,34610D,256.20474,5.0131516,-6.2197466,194.2222310252703,73909.45781871941,0.3538320164929398,1.012811438574104,59.54611601708797,79.3977554657034,1839.6010215065032,0.0006349815336867,43271.52378881695,0.3202748175834963,0.496217633475733,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6052886929861491,39.69823955551409,18.034460975055367,36.28235539,1450000000000000.0,20.0483025104959,816.620305284754,1553.07501591319,0.0634981533687,0.0220586628463448,0.506405719287052,39.6988777328517,22.9572265016493,22.94265833727145,0.06349815336867,0.87755294486671,1043587639252836.2,0.01978180670853236,1.867362231944156e-05,3.16,35.8,2023-08-06 13:05:00,0.0006349815336867567,0.3202751117035748,0.0,432.7152378881695,4,0.0006349815336867567,5.0131516,-6.2197466,0.3202751117035748,0.0,0.0,0.588379424955667,830.7728369309494,11699.443548113244,0.3434220995131197,-0.939181165465961,3.102001985749764,238.09752292672448,0.27133933011140765,inf,0.0,229.07141228817994,0.0,0.0,0.0,0 days,0.0006217731,-1.3950405e-07,68910.49,0.2930708,-293.3294,0.0,0.0,0.9999999999999998,-6.175208957915303e-13,3.0327403e-12,2.2169093e-16,0.0,0.0,0.0,7.480000000000002e-16,3.2367544373950234e-14,2.415219495365345e-12,1029.530945105393,2.903370150489068e-12,1.4363772846773033e-13,0.0,0.0006217731,-1.3950405e-07,68910.49,0.2930708,-293.3294,0.0,0.0,0.0,-6.175208957915303e-13,3.0327403e-12,2.2169093e-16,0.0,0.0,0.0,7.480000000000002e-16,3.2367544373950234e-14,2.415219495365345e-12,1029.530945105393,2.903370150489068e-12,1.4363772846773033e-13,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.6298083091740656,34610D,251.76047,3.3701034,-5.6031094,199.9909165944094,73849.91170270233,0.361152134985262,0.931907812495592,58.67621083269864,72.4159624545144,1696.0676225832158,0.0003566710582769,40127.886851424635,0.2548826869156221,0.488968423605822,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6287438037547894,36.20738810583719,17.956990875765793,36.28235539,1450000000000000.0,18.7331188961016,804.303131156803,1526.50950299719,0.0356671058277,0.0215106852746259,0.465953906247796,36.2079812272572,21.6615091662113,21.653785887483107,0.03566710582769,0.8267206813465034,1032094283465871.6,0.018618006239189144,1.6803453563334797e-05,3.16,35.8,2023-08-06 13:06:00,0.00035667105827692737,0.2548828698731057,0.0,401.2788685142464,5,0.00035667105827692737,3.3701034,-5.6031094,0.2548828698731057,0.0,0.0,0.5552661492810178,832.7924256798228,12108.452584480177,0.3185508831008655,-0.947905762655581,2.9089077585144625,237.37862287452205,0.20667157345362852,inf,0.0,228.13362373038717,0.0,0.0,0.0,0 days,0.00035141048,-2.8087112e-07,74332.484,0.24876574,-293.27173,0.0,0.0,1.0,-5.914486801687571e-13,2.630724e-12,2.3258797e-16,0.0,0.0,0.0,7.480000000000001e-16,2.7491166572228622e-14,2.0392752768799374e-12,1030.0912745312264,2.122918044897379e-12,1.3216391149437489e-13,0.0,0.00035141048,-2.8087112e-07,74332.484,0.24876574,-293.27173,0.0,0.0,0.0,-5.914486801687571e-13,2.630724e-12,2.3258797e-16,0.0,0.0,0.0,7.480000000000001e-16,2.7491166572228622e-14,2.0392752768799374e-12,1030.0912745312264,2.122918044897379e-12,1.3216391149437489e-13,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.6312778966063217,34610D,249.1944,0.7512459,0.06570715,203.04788955648485,73791.23549186962,0.35286838539062,1.045296513719542,56.66623607340985,78.1691178900312,1989.818849635702,9.701373047958318e-05,37395.86563801814,0.0830924942133276,0.472218633945082,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6416327698161168,39.08539584260253,17.70516094806361,36.28235539,1450000000000000.2,19.7380542624749,838.882201719485,1619.84757270982,0.00970137304796,0.0236757033953236,0.522648256859771,39.0845589450156,22.0753000716762,22.07315867220994,0.0097013730479583,0.9718451875323368,875859702670602.5,0.02159048525414202,2.0396868610015212e-05,3.16,35.8,2023-08-06 13:07:00,9.701373047958318e-05,0.0830925778389122,0.0,373.9586563801814,6,9.701373047958318e-05,0.7512459,0.06570715,0.0830925778389122,0.0,0.0,0.5227905890164908,834.7358296255459,12362.382706523455,0.31537134201562644,-0.948968343326195,2.675560848631474,236.45124952973657,0.06568772576823369,inf,0.0,226.73535127731793,0.0,0.0,0.0,0 days,0.00019184794,-3.207121e-07,79527.65,0.14878263,-293.11023,0.0,0.0,1.0,-5.664470328533563e-13,2.4144814e-12,2.3565907e-16,0.0,0.0,0.0,7.48e-16,2.5008106829196988e-14,1.8480344438419407e-12,1030.6293861857162,2.502437370779257e-12,1.4824478781291643e-13,0.0,0.00019184794,-3.207121e-07,79527.65,0.14878263,-293.11023,0.0,0.0,0.0,-5.664470328533563e-13,2.4144814e-12,2.3565907e-16,0.0,0.0,0.0,7.48e-16,2.5008106829196988e-14,1.8480344438419407e-12,1030.6293861857162,2.502437370779257e-12,1.4824478781291643e-13,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.6327278065253386,34610D,246.14526,0.010657249,3.5791883,206.9774173812759,73734.56925579622,0.35486211419124836,0.999713552310276,54.38141136851634,73.7553775294262,1760.3132256493636,5.376623528667144e-05,34394.55476608665,0.0575075746611004,0.4531784280709695,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.658088718833534,36.87705858945154,17.32800739416247,36.28235539,1450000000000000.0,18.7427890187942,840.1555314378,1627.89997220151,0.00537662352867,0.0239138819008407,0.499856776155138,36.8776887647131,20.9023686839218,20.90124490267058,0.0053766235286671,0.977294180916749,822388785754533.1,0.0213732551200522,1.942536326886289e-05,3.16,35.8,2023-08-06 13:08:00,5.3766235286671446e-05,0.0575075972226241,0.0,343.9455476608665,7,5.3766235286671446e-05,0.010657249,3.5791883,0.0575075972226241,0.0,0.0,0.48678889667413444,836.653214902991,12525.288811002994,0.3164648412131288,-0.9486042400685067,2.4683389963569002,235.565649523733,0.04411057055006301,inf,0.0,225.85329471207413,0.0,0.0,0.0,0 days,5.3219053e-05,-3.4848975e-07,85412.16,0.05748504,-293.95126,0.0,0.0,1.0,-5.380997189516313e-13,2.1972433e-12,2.3780026e-16,0.0,0.0,0.0,7.480000000000001e-16,2.255466510450858e-14,1.6591434497294876e-12,1031.1731771188815,2.1270683055270972e-12,1.4178017575948524e-13,0.0,5.3219053e-05,-3.4848975e-07,85412.16,0.05748504,-293.95126,0.0,0.0,0.0,-5.380997189516313e-13,2.1972433e-12,2.3780026e-16,0.0,0.0,0.0,7.480000000000001e-16,2.255466510450858e-14,1.6591434497294876e-12,1031.1731771188815,2.1270683055270972e-12,1.4178017575948524e-13,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.6341682629673775,34610D,243.48206,0.34884724,3.2885988,211.29181976035332,73680.1878444277,0.3549666674329635,0.976788935856702,52.34465760066209,70.6133897835378,1554.0755929107088,4.434346839523103e-05,31913.2970959831,0.0578444929662611,0.4362054800055174,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6754705560026029,35.30670063952048,16.983910411278135,36.28235539,1450000000000000.0,18.0475559386398,845.523337225127,1647.3011788669,0.00443434683952,0.0244270621037335,0.488394467928351,35.3066948917689,19.9939913303657,19.993104766756357,0.0044343468395231,1.0002646056193063,764104799724419.0,0.02154740633366228,1.912896843448028e-05,3.16,35.8,2023-08-06 13:09:00,4.434346839523103e-05,0.057844445391864445,0.0,319.1329709598311,8,4.434346839523103e-05,0.34884724,3.2885988,0.057844445391864445,0.0,0.0,0.4566118273781761,838.5581006970882,12767.491119874136,0.31756288982673087,-0.9482372124130625,2.2906231586561177,234.75211430388026,0.043214246621736306,inf,0.0,225.1115049121297,0.0,0.0,0.0,0 days,4.7259302e-05,-3.5439444e-07,90770.93,0.0636871,-295.18845,0.0,0.0,0.9999999999999999,-5.122677439230992e-13,2.0571028e-12,2.382554e-16,0.0,0.0,0.0,7.48e-16,2.10691100753816e-14,1.544834973927001e-12,1031.7252139766993,1.9508733522800002e-12,1.3852898831434617e-13,0.0,4.7259302e-05,-3.5439444e-07,90770.93,0.0636871,-295.18845,0.0,0.0,0.0,-5.122677439230992e-13,2.0571028e-12,2.382554e-16,0.0,0.0,0.0,7.48e-16,2.10691100753816e-14,1.544834973927001e-12,1031.7252139766993,1.9508733522800002e-12,1.3852898831434617e-13,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.6355959325766289,34610D,240.81728,1.2301964,1.7615767,216.53841372747763,73627.84318682704,0.36273647921110724,0.907405809679128,50.764088384175885,65.4092661511654,1344.5634996277072,4.421297511103392e-05,29850.23293677357,0.0713496469056562,0.4230340698681323,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6960626832383561,32.70422291887272,16.715616267957603,36.28235539,1450000000000000.2,17.0016251349028,835.763281891992,1623.69452170566,0.0044212975111,0.0238947347371555,0.453702904839564,32.7046330755827,18.9875681747607,18.986728714996584,0.0044212975111033,0.9585667303344064,765894900519487.0,0.02043731937961688,1.7222638617528144e-05,3.16,35.8,2023-08-06 13:10:00,4.421297511103392e-05,0.07134971149663252,0.0,298.5023293677357,9,4.421297511103392e-05,1.2301964,1.7615767,0.07134971149663252,0.0,0.0,0.4318197747328226,840.446079316282,12949.242679689742,0.3186547838849259,-0.9478708396755601,2.1686663788947724,234.1608772584591,0.05191550976575808,inf,0.0,224.60523765526742,0.0,0.0,0.0,0 days,4.2618325e-05,-3.221852e-07,95276.74,0.070484094,-296.1301,0.0,0.0,1.0,-4.905339788836013e-13,1.944042e-12,2.3577263e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9879375692593768e-14,1.4535079287803563e-12,1032.2881461128534,1.6173132437396317e-12,1.286890178533417e-13,0.0,4.2618325e-05,-3.221852e-07,95276.74,0.070484094,-296.1301,0.0,0.0,0.0,-4.905339788836013e-13,1.944042e-12,2.3577263e-16,0.0,0.0,0.0,7.480000000000001e-16,1.9879375692593768e-14,1.4535079287803563e-12,1032.2881461128534,1.6173132437396317e-12,1.286890178533417e-13,0.0
