Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
10,12,,,60.88272952023529,23.48045601045186,190.4473331688,6144.0196737357255,-0.7054449266656578,34610D,244.35338,4.617701,7.586435,202.15657351755507,67210.5724923098,0.3241704217388739,0.9659308409200028,57.95585045520018,66805.31391652375,1638.906578548684,2023-11-05 22:12:00,0.0003273003261415,0.4625633548700363,0.5655183735247594,0.4829654204600014,0.5433327938828274,0.0145342079750761,0.0011622991121598,0.000258288691591,7.4945240084665e-05,835694797756665.1,183.0825315879773,71.69138701308263,0.0695470205462402,0.0014193269499232,0.001159117009104,0.8423423838882886,0.0673620335285493,0.014969340784122,0.0043435151266759,4.843340272497404e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6451131771648908,33.40265695826188,14.534207975076107,74.945240084665,835694797756665.1,14.2911335264356,702.802585454474,1372.55643734359,0.0327300326142,0.019202591393335,0.535063117781757,33.4029800860663,27.8641099433836,27.85499299509164,0.03273003261415,0.604372902074903,17.14532675304594,4627198499949370.0,65.64185275970453
11,13,,,60.93156342523944,23.283052117444104,195.2831109424,6652.68264274062,-0.7048389890054195,34610D,239.92259,5.2928,7.5476313,204.60381911099125,67152.6166418546,0.32535469286951,0.967156900735146,58.02941404410876,66331.48686421895,1630.532023170301,2023-11-05 22:13:00,0.0002370312647707,0.4310835455295378,0.6076273414523057,0.4835784503675729,0.5465018417754028,0.014547491052928,0.0011757478296189,0.0002612772954708,7.44054498646648e-05,751351783089063.5,183.3149189653396,71.78238517256254,0.0696352968529305,0.0014211285072026,0.0011605882808821,0.844182381613331,0.0682279576164185,0.0151617683592041,0.0043177046573348,4.360050371365466e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6589241110271203,33.16574343210948,14.547491052928075,74.40544986466479,751351783089063.5,14.0265221947365,700.833498761258,1379.20569448432,0.0237031264771,0.0194656297753009,0.531205659982562,33.1652693532044,27.289415555236,27.282948643412382,0.02370312647707,0.5970889055859423,16.909101864018627,4864921703177575.0,67.53965427590525
12,14,461f63,FIN43D,60.98039733024359,23.085648224436348,200.118888716,7161.345611745513,-0.7042321635042594,34610D,235.41798,6.272762,7.9146914,207.4105041937136,67094.5872278105,0.3261565127419936,0.9578584980589628,57.47150988353777,64964.503336583264,1680.1330868489,2023-11-05 22:14:00,0.0001878299135061,0.4013614045767295,0.7322554607023112,0.4789292490294814,0.5431570801877006,0.0144106419909861,0.0011879455647213,0.0002639879032714,7.254871321083143e-05,678318111774860.6,181.5524997220958,71.09225772593622,0.0689658118602453,0.0014074655481682,0.0011494301976707,0.8282013536130824,0.0682730252639887,0.0151717833919974,0.0041694840883342,3.898396606505158e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6743232735661069,32.48225166829163,14.410641990986107,72.54871321083144,678318111774860.8,13.6568155971958,697.011565276605,1381.64973039273,0.0187829913506,0.0196453719097828,0.521569492684917,32.4818358956735,26.5492297666908,26.544243963643027,0.01878299135061,0.5831859330683447,16.466596335627898,5197405120366032.0,69.28114502669615
13,15,461f63,FIN43D,61.02896118164063,22.88764690530711,201.147777604,7688.580000000001,-0.7036278604243813,34610D,230.58958,6.9170356,8.939016,208.92064432743675,67037.11571792695,0.3304033247924162,0.7458004562931103,44.74802737758662,50870.4003119223,934.4498730651732,2023-11-05 22:15:00,0.0001486593689838,0.3723279427287024,0.9292105582888248,0.3729002281465551,0.4227399095916878,0.0116028653992242,0.0011977299307101,0.0002661622068244,4.825510688448632e-05,669859457128793.2,141.3590184857961,55.353309866074646,0.0536976328531039,0.0010958700582266,0.0008949605475517,0.519205338542938,0.0535960517303741,0.0119102337178609,0.0021593208439753,2.9974889326734548e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6863074850908599,25.435200155961148,11.602865399224225,48.25510688448632,669859457128793.2,12.301664844285147,677.3321938116885,1338.634894942295,0.0149275916921,0.0188120312743091,0.4591042608998575,28.43615947490785,24.3054245536009,24.301710434862983,0.014927591692085,0.5138846274576507,14.503456086636678,6042192860129718.0,66.40450908741502
14,16,461f63,FIN43D,61.07880492129568,22.67664712572855,213.49444426,7983.22,-0.7030081759827045,34610D,228.03194,7.1093054,10.52257,209.12285409299145,66992.36769054936,0.3310715656413186,0.7144239914173435,42.86543948504061,48781.58122977339,827.8559200690529,2023-11-05 22:16:00,0.0001107219203356,0.3568591703192535,0.8946756874920497,0.3572119957086717,0.4054777948454015,0.0111701618530096,0.0012055102624781,0.0002678911694395,4.491167488963165e-05,635299247673870.0,135.4119233332433,53.02454864299524,0.0514385273820487,0.0010497658649397,0.0008573087897008,0.4788138969482926,0.0516747272048535,0.0114832727121896,0.0019251586821533,2.72323814560561e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6908135740989777,24.390790614886694,11.170161853009612,44.911674889631655,635299247673870.0,10.9465140913745,657.652822346772,1295.62005949186,0.0110721920336,0.0179786906388355,0.396639029114798,24.3904830541422,22.061619340511,22.05917690608294,0.01107219203356,0.4379741839914915,12.699965645788362,7365327665355850.0,66.44704841451092
15,17,461f63,FIN43D,61.12884521484375,22.46243068150112,215.552222036,8244.84,-0.7023856728640439,34610D,226.06804,6.958331,12.694169,209.3034333112287,66949.50225106433,0.3311077795840718,0.7761262862430662,46.56757717458397,52954.745270351785,1108.9878208837176,2023-11-05 22:17:00,8.399446123643531e-05,0.3435640694527383,0.8259533840232677,0.3880631431215331,0.4431903285720832,0.0119935192286734,0.0012178489634329,0.000270633102985,5.063794891232924e-05,578096588548774.4,147.10697629451076,57.60409296496038,0.0558810926095007,0.0011404304614183,0.0009313515434916,0.5585091322761091,0.0567122755916491,0.0126027279092553,0.0023580865939375,2.692055750160877e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6944068321072849,26.477372635175893,11.99351922867348,50.63794891232924,578096588548774.4,11.4445244998287,667.457250943863,1328.50840732921,0.00839944612364,0.0187484463866486,0.426465951753256,26.4778565792427,22.7467355405489,22.74482510121861,0.0083994461236435,0.47456148750031496,13.524221245335433,6893821704282033.0,68.29782113876303
16,18,461f63,FIN43D,61.17892456054688,22.246333530970983,213.49444426,8595.36,-0.7017621991393779,34610D,224.1219,6.615612,15.422664,209.48782973585423,66902.93467388974,0.3223707119477945,0.8937226015373689,53.62335609224213,59316.97293453512,1548.8640549508077,2023-11-05 22:18:00,5.48816502286838e-05,0.3263827075323935,0.6492977050873978,0.4468613007686844,0.5203683100224046,0.0135946720932723,0.0012471782826035,0.0002771507294674,6.316572344212951e-05,496340912487017.25,169.39618189539289,66.33209148610352,0.0643480273106905,0.0013132250471569,0.0010724671218448,0.7289919426148079,0.0668778851585606,0.0148617522574579,0.0033871580809613,2.661546549343972e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6980296129393432,29.65848646726756,13.594672093272312,63.16572344212951,496340912487017.25,12.2292846985366,683.566731568788,1381.45785954442,0.00548816502287,0.0199972307127206,0.475340857588459,29.6589689578103,23.7703342236326,23.769029740056133,0.0054881650228683,0.536358125867901,14.931003105328633,6129879782127967.0,71.60664771175169
17,19,461f63,FIN43D,61.2271728515625,22.03582763671875,205.263333156,9083.04,-0.701160159690619,34610D,222.52248,6.468706,17.03621,209.4640717934823,66849.3113177975,0.3318528615451672,0.6912184419243029,41.47310651545818,47231.397974602594,802.7967584289314,2023-11-05 22:19:00,2.746771654476123e-05,0.3036419371406125,0.3682356852084086,0.3456092209621514,0.4212730757973903,0.0110823360228246,0.0013111634590343,0.0002913696575631,4.219936760052444e-05,487131268322154.3,131.01354348233238,51.302232759621766,0.0497677278185498,0.0010156679146642,0.0008294621303091,0.4596189023147076,0.0543780217957081,0.0120840048434907,0.0017501388673815,2.0202846978134944e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7004542938953608,23.615698987301297,11.082336022824691,42.19936760052444,487131268322154.3,10.1963540635128,659.312813569062,1323.97324422199,0.00274677165448,0.0188208655924319,0.382182080173146,23.6152521653524,20.3062966629349,20.30573891065427,0.0027467716544761,0.44389296818996443,12.554281125985492,7225118928242851.0,66.16595426066488
18,20,461f63,FIN43D,61.27381896972656,21.828853062220983,206.292222044,9334.5,-0.7005769297192365,34610D,221.7754,5.894465,16.172718,209.67203891292024,66807.83821128204,0.3326572149382777,0.6489174594977795,38.93504756986677,44404.332520699696,634.6268839685133,2023-11-05 22:20:00,1.906028390623574e-05,0.2924280211383091,0.2700954309094971,0.3244587297488897,0.4056572674413224,0.0105879393966193,0.0013474319881393,0.0002994293306976,3.836633615060013e-05,467340311282282.56,122.99581527320912,48.1626538439252,0.0467220570838401,0.0009535113690579,0.0007787009513973,0.4122419240742421,0.0524623285553668,0.0116582952345259,0.0014937951231051,1.8195917251092016e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7023297106461208,22.20216626034985,10.587939396619385,38.36633615060013,467340311282282.6,9.6669658565698,654.472200784696,1314.88931489392,0.00190602839062,0.0186636472055857,0.360687163026471,22.2017347453199,19.3256526472769,19.325284301871537,0.0019060283906235,0.42678072928529226,12.064889983983639,7353335642418550.0,64.49612629744341
19,21,461f63,FIN43D,61.32101440429688,21.617954799107142,207.835555376,9532.62,-0.6999866636518615,34610D,221.15872,5.065587,15.198734,209.9227068689911,66768.90316371218,0.3333505355134978,0.6039701055199312,36.23820633119588,41365.34402002342,366.95947036025245,2023-11-05 22:21:00,1.4167281464843674e-05,0.2838310764420987,0.2105194123213548,0.3019850527599656,0.3850978935791627,0.0100232836610896,0.0013763672053126,0.0003058593789583,3.44767864765682e-05,455794653208072.1,114.47649380024777,44.8266612316893,0.043485847597435,0.0008874662774986,0.0007247641266239,0.3632258214266725,0.0498770787736122,0.0110837952830249,0.0012493769019744,1.6517180687609988e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7041490179716713,20.68267201001171,10.023283661089687,34.4767864765682,455794653208072.1,9.12414460450601,647.710054903089,1299.93802413627,0.00141672814648,0.01837428009929,0.337521795963035,20.683129235602,18.3692527891788,18.36899255049111,0.0014167281464843,0.40444982353808206,11.461230309217132,7644153943490871.0,63.41947979422901
