,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.485176334813361,34610D,275.8161,13.559059,12.75305,160.39296601491716,69648.93709372853,0.2951472250831294,1.1290099037685195,67.74059422611118,89604.6598764176,1757.52313059406,2023-11-06 01:00:00,0.005115519476511,0.7305820758235784,0.7910877226472297,0.5645049518842599,0.8681378445674948,0.0162191405692819,0.0003809672839441,8.262346375916231e-05,2.8190075985366795e-05,1571574843645128.8,213.9925371602852,83.79511505769955,0.0812887130713334,0.0016589533279863,0.0013548118845222,1.0986942199999878,0.0258069501950818,0.0055969625320652,0.0019096124985279,1.064594137793288e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,24.05728573553548,3.4855273465981984,0.4817621937379387,44.8023299382088,16.21914056928197,28.1900759853668,1571574843645128.8,29.0892543234446,821.996724956822,1220.67884753445,0.511551947651,0.0180553758727902,0.432771569874164,44.8019860678748,23.9691254794845,23.847134995953713,15.127678149769755,0.7555921767094691,1.5128290583007393,599014975470035.9,7.524534139980915
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4863243899448088,34610D,272.4418,15.2548685,14.436587,173.9516170787078,69581.19649950242,0.3037227714661165,1.2635222536281665,75.81133521768999,95357.78035689775,2114.344855429817,2023-11-06 01:01:00,0.0043915516493729,0.6833994069049528,0.8370614793111633,0.6317611268140833,1.0,0.019155502618275,0.0003915800730682,8.492514538521778e-05,3.628235539e-05,1450000000000000.0,239.48800795268264,93.77862166428253,0.0909736022612279,0.0018566041277801,0.0015162267043537,1.452204230257385,0.0296862081839452,0.0064382886652098,0.0027506138069586,1.0992643606565048e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,25.479126076673605,3.709976013354442,0.5257131183382637,47.67889017844888,19.15550261827501,36.28235539,1450000000000000.0,31.2850736580728,841.399121315535,1250.82339515406,0.439155164937,0.0187283412475344,0.475862227112372,47.6787254875684,25.4086691833972,25.297573582406255,15.104498468591618,0.8248951570641077,1.690275536108249,697358259707347.4,9.272694580695326
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4875045174448486,34610D,268.2026,17.123575,16.460327,187.79674627266988,69505.38516428473,0.3079105893524048,1.2237021902836716,73.4221314170203,101262.95703270118,2500.4847561947863,2023-11-06 01:02:00,0.0030681374137576,0.6299442896063308,0.7699737711730957,0.6118510951418358,1.0,0.0193380034507705,0.0004040405717542,8.762755476521007e-05,3.628235539e-05,1450000000000000.0,231.9405131463671,90.82317656285412,0.0881065577004243,0.0017980930142943,0.0014684426283404,1.419837430705266,0.0296655199571464,0.0064338018417233,0.0026639278655636,1.0646209055467942e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,26.66216955039239,3.91752223262935,0.5720233610421264,50.63147851635059,19.338003450770533,36.28235539,1450000000000000.0,33.2787166269247,862.24351156378,1286.09340210772,0.306813741376,0.0196099594173024,0.521037615968301,50.6324677394016,26.5700507013071,26.48877948592157,15.09617855416927,0.8928266394334946,1.921181032057596,738857515290994.0,11.521206779664897
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4886882011196681,34610D,264.16476,19.908968,17.881569,202.12277487156868,69431.9630328677,0.3201093891020263,1.1219373320467212,67.31623992280328,76635.71578346303,1305.7193587881234,2023-11-06 01:03:00,0.0025842722891231,0.5712403748956332,0.8348481252725184,0.5609686660233606,0.9654863028570972,0.0182666990318977,0.0004246363030324,9.20943179981033e-05,3.6071302782545856e-05,1453170761471414.8,212.65200191613556,83.27018878450767,0.0807794879073639,0.0016485609777013,0.001346324798456,1.2296454946288682,0.0285849192548618,0.0061994432058872,0.0024281844724379,9.782199162801248e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,23.039335805878068,3.396360453798777,0.6203474786886829,38.31785789173152,18.26669903189776,36.07130278254585,1453170761471414.8,27.9219010028209,832.577065271929,1223.41706052778,0.258427228912,0.0179852407310586,0.412090358467147,38.3178388972358,22.9126962840987,22.85363626519286,15.119784145542638,0.7933861396867439,1.6326142661472889,550039216002348.8,7.138471376044437
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.4898794348727255,34610D,262.464,21.32804,17.570606,214.61340849012325,69364.6467929449,0.3260841177312318,1.0906843067563214,65.44105840537928,71474.53144310463,1310.0559928084492,2023-11-06 01:04:00,0.00259328123267,0.5424921360051816,0.9251144053347196,0.5453421533781607,0.974418736878684,0.0181753664243919,0.0004381613947213,9.502761429439887e-05,3.620295843823952e-05,1451192824853607.2,206.72830350259312,80.95058924745418,0.0785292700864551,0.0016026381650296,0.0013088211681075,1.189415215717805,0.0286737454229442,0.0062187076571636,0.0023691599176043,9.496759440871226e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.492580113387323,3.315557431125722,0.6608139563169506,35.73726572155231,18.175366424391974,36.20295843823952,1451192824853607.2,27.1929583569652,833.221730460602,1219.05472102222,0.259328123267,0.0178023465043074,0.397992493247651,35.7369523739109,22.3561817062348,22.29835579862283,15.128394977651368,0.7956682151083063,1.623705009815313,515017280944550.44,6.696270571187887
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4910959983002216,34610D,260.72287,22.819613,15.357339,222.35191224656936,69299.20573453953,0.3307246937795616,1.0820150585167938,64.92090351100762,72250.39525834656,1956.41921226326,2023-11-06 01:05:00,0.0025374196660746,0.5149267974234382,1.004703240177138,0.5410075292583969,1.0,0.0184673836429859,0.0004520599545971,9.804190766446008e-05,3.628235539e-05,1450000000000000.0,205.08513419127303,80.30715764311644,0.0779050842132091,0.0015898996778205,0.0012984180702201,1.1989192315870505,0.0293481406935941,0.0063649692275195,0.0023554832934262,9.413531009096106e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.617414912917493,3.335222363541816,0.6869237181435692,36.12519762917328,18.467383642985933,36.28235539,1450000000000000.0,27.5331020435206,841.810135331092,1233.5494349481,0.253741966607,0.0181365202199911,0.407781934178946,36.1251562755559,22.4840228022058,22.427115797527822,15.12512531189461,0.8263748588348527,1.6834694848193452,541281188305707.5,7.205141340307349
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.492720417872883,34610D,257.1068,23.721052,14.207628,222.1857081571461,69234.28483102852,0.3314063070004183,1.0534056389626092,63.20433833775655,68968.83360675715,1519.3438694416593,2023-11-06 01:06:00,0.00223975427654,0.4759628928252322,1.142229249895895,0.5267028194813046,1.0,0.0182575207187042,0.0004677734884187,0.0001014498291499,3.628235539e-05,1450000000000000.0,199.66250480897293,78.18376652380486,0.0758452060053078,0.001547861347047,0.0012640867667551,1.153954516713586,0.0295653138274493,0.0064120693259027,0.0022932022657602,9.1646290589747e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.48981045766142,3.1753396737746304,0.6912203684188937,34.48441680337857,18.25752071870429,36.28235539,1450000000000000.0,26.101909280058,836.84803412324,1228.18380729764,0.223975427654,0.0180729698176139,0.386040225353159,34.4841907278233,21.3600879793936,21.3123535443994,15.123032292300781,0.8085657868849234,1.6370440146097778,503094086347274.1,6.608000531279382
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4949418121781694,34610D,254.02104,24.218765,14.558698,226.2376574503135,69171.08049269076,0.3313597507481223,0.8836681086178964,53.02008651707378,55821.75668432358,772.5054498205002,2023-11-06 01:07:00,0.0017726619884202,0.4473909919617161,1.1363328872024905,0.4418340543089482,0.8564513266440233,0.015172348247263,0.0004788001680352,0.0001038412745629,3.149940535856264e-05,1521856935871682.0,167.49045330743607,65.58584702162027,0.0636241038204885,0.0012984510983773,0.0010604017303414,0.8044392167370608,0.0253860263336208,0.0055056733613712,0.0016701011973473,8.068898640652538e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.066594872085247,2.826190602834433,0.7080880599739752,27.91087834216179,15.172348247263072,31.49940535856264,1521856935871682.0,22.5928595403546,811.400624975789,1177.73966122151,0.177266198842,0.0168341111445897,0.318401989531023,27.9108814417449,18.9140957188794,18.88062674952297,15.145999177506713,0.7186109978770253,1.4332440929898602,365023080919637.06,4.421383993101676
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4972423094923607,34610D,252.53842,25.214813,15.0375805,229.3422742835852,69118.06040617368,0.3177861123712059,1.01856223943577,61.11373436614621,84901.80150003597,2679.721695854688,2023-11-06 01:08:00,0.0015756426575748,0.4334051238880015,1.1279460681837317,0.509281119717885,1.0,0.0181561017404592,0.0004851029921194,0.0001052082191255,3.628235539e-05,1450000000000000.0,193.05828686265585,75.59768941092285,0.0733364812393754,0.0014966628824362,0.0012222746873229,1.1095871788911515,0.0296464554006102,0.0064296671567716,0.0022173502294825,8.8614914830912e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,23.62779545497289,3.5069403558226244,0.7199090064523327,42.45090075001799,18.156101740459253,36.28235538999999,1450000000000000.0,29.9403325060561,884.905945267668,1325.21818234767,0.157564265757,0.0206440645732713,0.484306268957904,42.4513715704036,23.4598311412451,23.422924981479106,15.129820542868986,0.9589405911495896,2.102728460291151,594243355225629.9,11.31214989811128
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4995401016172068,34610D,247.5026,28.6934,13.816006,232.9325379873014,69056.94667180754,0.3255201430029341,0.9781181033019614,58.68708619811768,73414.89569680879,2449.8846557383526,2023-11-06 01:09:00,0.0009829555492455,0.3876339764052093,1.0331216380345438,0.4890590516509807,1.0,0.0179318906789979,0.000508637331196,0.0001103123020579,3.628235539e-05,1450000000000000.0,185.39250529985372,72.59592562707158,0.0704245034377412,0.0014372347640355,0.0011737417239623,1.0523704139735763,0.0298504428994834,0.0064739075795868,0.0021293057182436,8.509627498727064e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.295815769817747,3.173439525186009,0.7385798822670377,36.70744784840439,17.931890678997963,36.28235539,1450000000000000.0,26.5793797101583,864.714112612661,1288.39394377599,0.0982955549246,0.0197462451251498,0.417548290979447,36.7079147957748,21.1457058460009,21.124940968048872,15.120536469044898,0.9005024965659797,1.8839945136467544,541527776004282.56,8.651508829495082
