engine,saf_level,water_injection,fuel_kg_sum_change,energy_sum_change,ei_co2_conservative_sum_change,ei_co2_optimistic_sum_change,ei_nox_sum_change,ei_nvpm_mass_sum_change,ei_nvpm_num_sum_change
GTF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF1990,0,0,27.9,27.9,0.0,0.0,-0.3,655.8,597.9
GTF2000,0,0,27.9,27.9,0.0,0.0,-0.3,123.6,-7.1
GTF2035,0,0,-7.0,-7.0,0.0,0.0,20.9,-5.7,-1.7
GTF2035,20,0,-7.5,-7.0,-2.0,-18.8,20.9,-23.9,-20.7
GTF2035,100,0,-9.3,-7.0,-10.0,-94.0,20.9,-62.8,-59.0
GTF2035_wi,0,15,-17.2,-17.2,-0.4,-0.4,-90.6,-25.5,-28.4
GTF2035_wi,20,15,-17.5,-17.1,-2.4,-19.1,-90.6,-39.4,-41.2
GTF2035_wi,100,15,-19.2,-17.2,-10.4,-94.0,-90.6,-69.4,-67.8
