Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
150,150,151,a35da8,FFT4000,34.518205028469275,-100.01134872436523,247.962222008,10546.08,0.9367884565318272,34610D,231.43356,19.437351,-20.268553,222.5061257530518,62698.59083164443,0.2845768462929127,0.408662825626728,21.893826421958924,22.4907616241442,-1079.282119357162,4.394740898244793e-05,24299.29377393277,0.1626570014812531,0.1824485535163243,0.325029612123497,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7296020134306928,11.24573640278686,8.73735591013158,17.673301511366898,423025372212565.44,5.9864997555407,627.258071441588,1217.55939920286,0.00439474089824,0.016369298743921,0.204331412813364,11.2453808120721,12.4826002634503,12.482051709618878,0.0043947408982447,0.3399028451169762,329689176270012.9,0.0091866728285583,3.944648154735294e-06,3.16,35.8,2023-08-06 19:31:00,4.394740898244792e-05,0.1626571389952116,0.0,242.99293773932772,150,4.394740898244792e-05,19.437351,-20.268553,0.1626571389952116,0.0,0.0,0.3657714167814414,1238.8115268619476,15063.876980068906,-0.4678486914047225,0.8838085776631096,1.572514437515824,230.76146221363612,0.1078640348451334,inf,0.0,221.70519780668545,0.0,0.0,0.0,0 days,4.4594773e-05,1.4232248e-07,110125.1,0.15993828,-309.36374,0.0,0.0,1.0,-4.123455710332819e-13,1.8489344e-12,2.2190819000000002e-16,0.0,0.0,0.0,7.48e-16,1.9645562411147432e-14,1.4365887862357636e-12,1298.1307331462683,15.063876980068908,3.235989515264655e-13,4.4594773e-05,1.4232248e-07,110125.1,0.15993828,-309.36374,0.0,0.0,0.0,-4.123455710332819e-13,1.8489344e-12,2.2190819000000002e-16,0.0,0.0,0.0,7.48e-16,1.9645562411147432e-14,1.4365887862357636e-12,1298.1307331462683,15.063876980068908,0.0
151,151,152,a35da8,FFT4000,34.454754328323624,-99.86618041992188,255.678888668,10233.66,0.9360360497445364,34610D,233.16493,17.190273,-17.350945,227.54947641348457,62676.69700522248,0.2868210702296946,0.421291502023798,22.799068197715663,22.8506916106844,-1103.9041945537767,6.259229032137814e-05,25503.80254566048,0.1995963884699791,0.1899922349809638,0.3330948757712856,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7433638168785773,11.425687354784015,9.01187006311341,18.82660837364843,460032166152110.1,6.23503236670639,630.258661866042,1213.87417578154,0.00625922903214,0.0161790215518806,0.210645751011899,11.4253458053422,13.0196841840175,13.01886930317042,0.0062592290321378,0.3491959015491682,327127630461123.3,0.0094317874142709,4.273813348167566e-06,3.16,35.8,2023-08-06 19:32:00,6.259229032137814e-05,0.1995965598168477,0.0,255.03802545660488,151,6.259229032137814e-05,17.190273,-17.350945,0.1995965598168477,0.0,0.0,0.3810519222081175,1237.8168046216867,15301.673616597547,-0.4707092239438201,0.8822884032413701,1.655683797577013,231.29812538728493,0.1346419366741572,inf,0.0,222.29501628879268,0.0,0.0,0.0,0 days,6.010872e-05,1.3495276e-07,106941.75,0.18387362,-312.6609,0.0,0.0,1.0000000000000002,-4.307228202982174e-13,1.8385742e-12,2.2182059000000002e-16,0.0,0.0,0.0,7.48e-16,1.9271888499425388e-14,1.407851377343744e-12,1298.5780315034142,15.301673616597547,3.3564854036200953e-13,6.010872e-05,1.3495276e-07,106941.75,0.18387362,-312.6609,0.0,0.0,0.0,-4.307228202982174e-13,1.8385742e-12,2.2182059000000002e-16,0.0,0.0,0.0,7.48e-16,1.9271888499425388e-14,1.407851377343744e-12,1298.5780315034142,15.301673616597547,0.0
152,152,153,a35da8,FFT4000,34.38990783691406,-99.71908880739797,254.64999978,9913.62,0.935245626819904,34610D,235.04044,14.960207,-13.955318,232.39006229203423,62653.89793702476,0.2848088227048712,0.418264673378912,22.80858033087585,22.0581207938198,-1024.0301977195957,8.278664036785648e-05,26787.365946901708,0.2246379241688899,0.1900715027572987,0.3283294816063128,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7561421937724098,11.028586511634089,9.014763248041069,18.97168394344285,504070918468480.8,6.29658206117214,627.90722206731,1199.88963356699,0.00827866403679,0.0158157762567072,0.209132336689456,11.0290603969099,13.2230206911764,13.221926092336023,0.0082786640367856,0.3418935045299477,321720568015726.44,0.0093481292385559,3.926751446082346e-06,3.16,35.8,2023-08-06 19:33:00,8.278664036785648e-05,0.2246380212495563,0.0,267.8736594690171,152,8.278664036785648e-05,14.960207,-13.955318,0.2246380212495563,0.0,0.0,0.3970359828083684,1236.7718093027916,15298.663491545183,-0.4692597497275482,0.8830601832749787,1.734148929159104,231.7829692247199,0.1543690580511957,inf,0.0,222.81337517701687,0.0,0.0,0.0,0 days,7.7613135e-05,8.953988e-08,103785.86,0.19504115,-315.23987,0.0,0.0,1.0000000000000002,-4.4895149746398206e-13,1.8599096e-12,2.1897275e-16,0.0,0.0,0.0,7.479999999999999e-16,1.930942739783596e-14,1.4109580501751076e-12,1299.033330059948,15.298663491545184,3.3101010016176644e-13,7.7613135e-05,8.953988e-08,103785.86,0.19504115,-315.23987,0.0,0.0,0.0,-4.4895149746398206e-13,1.8599096e-12,2.1897275e-16,0.0,0.0,0.0,7.479999999999999e-16,1.930942739783596e-14,1.4109580501751076e-12,1299.033330059948,15.298663491545184,0.0
153,153,154,a35da8,FFT4000,34.32527160644531,-99.57200653698982,255.164444224,9616.44,0.93441406231032,34610D,236.91103,13.283308,-11.209977,234.3839373462347,62631.08935669388,0.2783273590392187,0.403713755087018,22.06856586252952,20.629230983389,-1023.6345789695388,0.0001023936608896,28025.608291155702,0.2364095897611786,0.1839047155210793,0.3132564217141491,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7596130768498759,10.314819627242446,8.777528592262986,18.2234014664843,545405294812775.75,6.1997472187248,621.855165625577,1179.46353233005,0.010239366089,0.0153560896472606,0.201856877543509,10.3146154916945,13.1450702737671,13.143724439703991,0.01023936608896,0.3235792423537426,311888990500692.06,0.0090428778462279,3.0805982679163422e-06,3.16,35.8,2023-08-06 19:34:00,0.0001023936608896,0.2364097537750914,0.0,280.256082911557,153,0.0001023936608896,13.283308,-11.209977,0.2364097537750914,0.0,0.0,0.4121091104869747,1235.6724077704707,15048.44121345204,-0.4953780626518987,0.868677486207195,1.7980455116901333,232.163644769889,0.1654921698003963,inf,0.0,223.20465011779524,0.0,0.0,0.0,0 days,9.449071e-05,8.7025185e-08,100740.34,0.2047132,-316.7825,0.0,0.0,1.0,-4.665525343902317e-13,1.881618e-12,2.1864154e-16,0.0,0.0,0.0,7.48e-16,1.9362490012565367e-14,1.4150652664689445e-12,1299.4871523376453,15.04844121345204,3.099616274424789e-13,9.449071e-05,8.7025185e-08,100740.34,0.2047132,-316.7825,0.0,0.0,0.0,-4.665525343902317e-13,1.881618e-12,2.1864154e-16,0.0,0.0,0.0,7.48e-16,1.9362490012565367e-14,1.4150652664689445e-12,1299.4871523376453,15.04844121345204,0.0
154,154,155,a35da8,FFT4000,34.25816345214844,-99.42980085100449,251.563333116,9319.26,0.9335697790695136,34610D,238.91417,12.640053,-10.441106,234.34895431997768,62609.02079083135,0.2639008388211686,0.3512296136153,19.309750432680246,17.01963787329534,-1050.3250597073036,0.0001173002297591,29309.79588495324,0.2278183454127892,0.160914586939002,0.2703366090069688,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7563090160337631,8.510143372780579,7.885940182583949,15.30508098291778,589516131663138.8,5.7267111538294,605.171861835706,1122.51791430769,0.0117300229759,0.0140860299928205,0.17561480680765,8.50981893664767,12.4673032002032,12.46584095419513,0.01173002297591,0.2788605698827388,286322412744777.6,0.0083128599859381,1.865741324670308e-06,3.16,35.8,2023-08-06 19:35:00,0.0001173002297591,0.227818431905376,0.0,293.09795884953246,154,0.0001173002297591,12.640053,-10.441106,0.227818431905376,0.0,0.0,0.4273791532459742,1234.5561864787528,15147.69813724469,-0.5001371205248367,0.8659462227373736,1.8436052174912512,232.42782665975196,0.1626711944605841,inf,0.0,223.43558131454327,0.0,0.0,0.0,0 days,0.00011161633,1.2357907e-07,97579.7,0.21156901,-317.8495,0.0,0.0,1.0,-4.84829358022314e-13,1.9055848e-12,2.2061561000000002e-16,0.0,0.0,0.0,7.48e-16,1.943843673586268e-14,1.420755471083793e-12,1299.95833042483,15.14769813724469,2.488927115564684e-13,0.00011161633,1.2357907e-07,97579.7,0.21156901,-317.8495,0.0,0.0,0.0,-4.84829358022314e-13,1.9055848e-12,2.2061561000000002e-16,0.0,0.0,0.0,7.48e-16,1.943843673586268e-14,1.420755471083793e-12,1299.95833042483,15.14769813724469,0.0
155,155,156,a35da8,FFT4000,34.189965199616,-99.28722381591795,255.164444224,9014.46,0.9326904070215124,34610D,241.22179,12.826927,-11.020147,230.86891728414784,62589.71104039867,0.2544992977287027,0.319747479852672,17.707302201359965,15.16734938645586,-1078.077755610985,0.0001284903162641,30675.99366174696,0.2041538964124646,0.1475608516779997,0.2445864839969709,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7415055682726752,7.583417810438894,7.313123664884917,13.730382592634038,621407229327854.1,5.50587947231787,596.601858093663,1081.07811091015,0.0128490316264,0.0130860503963218,0.159873739926336,7.58367469322793,12.217111739939,12.215542161063386,0.0128490316264099,0.2583034087148519,266622862532527.2,0.0080089476524385,1.751909356465028e-06,3.16,35.8,2023-08-06 19:36:00,0.0001284903162641,0.2041538224188699,0.0,306.75993661746963,155,0.0001284903162641,12.826927,-11.020147,0.2041538224188699,0.0,0.0,0.4430212440646253,1233.3935631380652,15176.55991856786,-0.5015849543326256,0.8651083941259256,1.9052248227178008,232.7760865226713,0.1491427015371912,inf,0.0,223.70209676315244,0.0,0.0,0.0,0 days,0.00012601716,1.9225526e-07,94422.05,0.20027114,-317.96732,0.0,0.0,1.0,-5.03099465562492e-13,1.974937e-12,2.2586104e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0107748587033513e-14,1.471837503538276e-12,1300.4312187353069,15.17655991856786,2.2614849428683718e-13,0.00012601716,1.9225526e-07,94422.05,0.20027114,-317.96732,0.0,0.0,0.0,-5.03099465562492e-13,1.974937e-12,2.2586104e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0107748587033513e-14,1.471837503538276e-12,1300.4312187353069,15.17655991856786,0.0
156,156,157,a35da8,FFT4000,34.1214403055482,-99.1446304321289,247.962222008,8702.04,0.9317730628079184,34610D,243.8004,13.390925,-12.453444,226.2848830247084,62572.00373819732,0.2479791869055848,0.315291457235272,17.39014236094124,14.86802670188786,-1054.194018320963,0.0001404581244395,32129.4059030942,0.1784763919347285,0.1449178530078436,0.2375003004115702,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7229288181186412,7.434010941444998,7.179678917525902,13.468678658271074,650170645999001.1,5.51414640123269,595.409484898068,1070.53591861011,0.014045812444,0.0128087524820239,0.157645728617636,7.43401335094393,12.3076567244842,12.305928256881751,0.01404581244395,0.2554329940314916,259197015410329.2,0.0079847049682495,1.7049737444672156e-06,3.16,35.8,2023-08-06 19:37:00,0.0001404581244395,0.1784763237405374,0.0,321.29405903094204,156,0.0001404581244395,13.390925,-12.453444,0.1784763237405374,0.0,0.0,0.4591036337478825,1232.1807247532658,14595.957912753662,-0.5011086297198594,0.8653843892862205,1.9782126111170029,233.17592567852765,0.1337565218819294,inf,0.0,224.00881443896137,0.0,0.0,0.0,0 days,0.0001379436,1.8414958e-07,91285.1,0.17375778,-317.89117,0.0,0.0,1.0,-5.21260472818535e-13,2.0917e-12,2.2526502e-16,0.0,0.0,0.0,7.480000000000001e-16,2.1388980253813183e-14,1.5704396334137317e-12,1300.9055599194528,14.59595791275366,2.372157796376577e-13,0.0001379436,1.8414958e-07,91285.1,0.17375778,-317.89117,0.0,0.0,0.0,-5.21260472818535e-13,2.0917e-12,2.2526502e-16,0.0,0.0,0.0,7.480000000000001e-16,2.1388980253813183e-14,1.5704396334137317e-12,1300.9055599194528,14.59595791275366,0.0
157,157,158,a35da8,FFT4000,34.05560302734375,-99.00755590322063,243.846666456,8397.24,0.9308213232003776,34610D,246.56288,14.061482,-13.452777,221.57867852535267,62554.61359583637,0.2415537129563675,0.307683676230974,16.93064087871443,14.43349959060256,-1030.97332547726,0.0001548076461726,33600.61550930239,0.1550526539439144,0.1410886739892869,0.2295239891546581,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7039168218014656,7.21697088692288,7.007949949589998,13.071483878180246,678009251274123.9,5.49431654370217,594.017177946714,1057.49695957916,0.0154807646173,0.012465019993503,0.153841838115487,7.21674979530128,12.3418845854778,12.339974263108298,0.01548076461726,0.2521035460523746,247585311518307.84,0.0079443145005716,1.630619721146927e-06,3.16,35.8,2023-08-06 19:38:00,0.0001548076461726,0.1550527696873682,0.0,336.0061550930239,157,0.0001548076461726,14.061482,-13.452777,0.1550527696873682,0.0,0.0,0.4747467360852469,1230.922401231678,14662.97239672068,-0.5025051611989013,0.8645742090581156,2.051293998748644,233.56340560799268,0.1194242169124654,inf,0.0,224.30838084606376,0.0,0.0,0.0,0 days,0.00015029087,1.1952913e-07,88105.414,0.14991985,-317.68417,0.0,0.0,1.0,-5.396784094935298e-13,2.2077184e-12,2.2019012000000001e-16,0.0,0.0,0.0,7.479999999999999e-16,2.2652710043758845e-14,1.6680399941390237e-12,1301.3612969611406,14.66297239672068,2.446350014849124e-13,0.00015029087,1.1952913e-07,88105.414,0.14991985,-317.68417,0.0,0.0,0.0,-5.396784094935298e-13,2.2077184e-12,2.2019012000000001e-16,0.0,0.0,0.0,7.479999999999999e-16,2.2652710043758845e-14,1.6680399941390237e-12,1301.3612969611406,14.66297239672068,0.0
158,158,159,a35da8,FFT4000,33.98927850238347,-98.87008666992188,240.245555348,8100.06,0.92983222551829,34610D,249.43314,14.626334,-13.862691,216.59909809524785,62537.68295495766,0.2336054041993233,0.296250777440922,16.217669313834854,13.74887549215314,-1087.9557331562812,0.0001665915576629,35087.10225624123,0.130750728174479,0.1351472442819571,0.2188051384987621,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.684127056376744,6.874064639914216,6.755451233028926,12.434778931248072,703858308978855.4,5.42700877268771,591.578571925939,1041.24404100406,0.0166591557663,0.01205655218855,0.148125388720461,6.87443774607657,12.285882929378,12.283836545913738,0.01665915576629,0.2463664984706612,234934022577431.6,0.0078604426477779,1.5505376596545031e-06,3.16,35.8,2023-08-06 19:39:00,0.0001665915576629,0.1307506294165765,0.0,350.87102256241235,158,0.0001665915576629,14.626334,-13.862691,0.1307506294165765,0.00078987196,1.726842e-09,0.4900448139084239,1229.6146746810584,14029.862761273174,-0.5039317839406424,0.8637434556246443,2.1198493024204086,233.9159404993177,0.1036075341681277,inf,0.0,224.57067823094383,0.0,0.0,0.0,0 days,0.0001620911,1.3437119e-08,84906.83,0.12877063,-317.3839,0.0,0.0,1.0,-5.582162234166514e-13,2.328251e-12,2.1197328000000002e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3970425779681862e-14,1.7700348079040305e-12,1301.8193439498416,14.029862761273174,2.473087938162071e-13,0.0001620911,1.3437119e-08,84906.83,0.12877063,-317.3839,0.0,0.0,0.0,-5.582162234166514e-13,2.328251e-12,2.1197328000000002e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3970425779681862e-14,1.7700348079040305e-12,1301.8193439498416,14.029862761273174,0.0
159,159,160,a35da8,FFT4000,33.92564392089844,-98.73878323301976,230.471110912,7787.64,0.9288132901455995,34610D,252.6504,14.946573,-13.766197,212.2536366133395,62521.46528564383,0.2415191633952889,0.353567323511682,19.30104039707863,17.31211050191294,-976.912894778002,0.0001719188175505,36706.7842330632,0.1031139009671454,0.1608420033089886,0.2600694185690242,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6661197814272448,8.655862126623626,7.803989324607534,15.574875520069202,737680416154501.5,6.04449045464053,608.985146706795,1098.38409941438,0.0171918817551,0.0132761070829345,0.176783661755841,8.65605525095647,13.31592617109,13.313637306307005,0.01719188175505,0.2883010562982303,246758804849333.3,0.0085358194158184,1.6012549912481088e-06,3.16,35.8,2023-08-06 19:40:00,0.0001719188175505,0.1031140076233902,0.0,367.067842330632,159,0.0001719188175505,14.946573,-13.766197,0.1031140076233902,0.021201741,6.915312e-08,0.5061378286635134,1228.2674900645109,13872.621330990914,-0.5039738429783858,0.8637189158479727,2.240854411780091,234.51428366097133,0.0843482372055355,inf,0.0,225.04428981491083,0.0,0.0,0.0,0 days,0.0001554492,3.1834745e-08,81749.1,0.10322312,-317.07855,0.0,0.0,1.0,-5.765260154089035e-13,2.5455057e-12,2.1339142000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,2.6558126883534623e-14,1.968979650444973e-12,1302.253525225589,13.872621330990915,3.565412786040756e-13,0.0001554492,3.1834745e-08,81749.1,0.10322312,-317.07855,0.0,0.0,0.0,-5.765260154089035e-13,2.5455057e-12,2.1339142000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,2.6558126883534623e-14,1.968979650444973e-12,1302.253525225589,13.872621330990915,0.0
160,160,161,a35da8,FFT4000,33.86271538168697,-98.60904498976102,228.92777758,7508.240000000001,0.9277594085097772,34610D,255.56822,14.967212,-13.493817,210.18401311596065,62502.16424524674,0.2323397683471182,0.331392605834478,18.022562850933017,15.76333571558224,-1025.102848691408,0.0001675791206593,38206.06781647233,0.0792281849549628,0.1501880237577751,0.2430578595089575,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6558483762158573,7.881912019433437,7.391890021984697,14.338532356260398,771322593535937.5,5.88896087807276,604.837784996021,1072.52910505678,0.0167579120659,0.0126254671341219,0.165696302917239,7.88166785779112,13.1239740404871,13.121775104953525,0.0167579120659299,0.2780463502917791,227616462037188.25,0.0083664032282377,1.4837172386501784e-06,3.16,35.8,2023-08-06 19:41:00,0.0001675791206593,0.0792282545122067,0.0,382.0606781647233,160,0.0001675791206593,14.967212,-13.493817,0.0792282545122067,0.15561377,6.559543e-07,0.5207963632365081,1226.8740917527948,13524.80529111321,-0.5088059648604452,0.8608812288129133,2.304483426299836,234.8175346723896,0.0667028569687549,inf,0.0,225.2555376409445,0.0,0.0,0.0,0 days,0.00015078523,4.125011e-08,78824.99,0.07982396,-317.07846,0.0,0.0,1.0,-5.9349230826286e-13,2.7453003e-12,2.141172e-16,0.0,0.0,0.0,7.480000000000001e-16,2.8935620921002725e-14,2.1518079787810264e-12,1302.6828891468745,13.52480529111321,3.5796154180853814e-13,0.00015078523,4.125011e-08,78824.99,0.07982396,-317.07846,0.0,0.0,0.0,-5.9349230826286e-13,2.7453003e-12,2.141172e-16,0.0,0.0,0.0,7.480000000000001e-16,2.8935620921002725e-14,2.1518079787810264e-12,1302.6828891468745,13.52480529111321,0.0
161,161,162,a35da8,FFT4000,33.80078112068823,-98.48307025675872,222.754444252,7216.14,0.926677849709666,34610D,258.50732,15.023314,-12.634706,207.3659705985292,62484.14168239581,0.2281243501879442,0.32251841978727,29.8417556013692,15.267576963724377,-53.58012114278854,0.000151469931754,39826.13217891704,0.056779364730066,0.2486812966780766,0.4019239525429686,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6433662637952864,15.272543374013386,11.010527085902408,28.743404620169937,768284475747581.4,5.8058284598067775,602.191068562396,1062.2656739955,0.016726167268925,0.0123957146110068,0.161259209893635,7.6337884818621875,13.0025174059609,13.00054821381019,0.0151469931754,0.2717114724760773,224316812001421.6,0.0082681299036748,1.4660997437130125e-06,3.16,35.8,2023-08-06 19:42:00,0.000151469931754,0.0567793764892878,0.0,398.2613217891705,161,0.000151469931754,15.023314,-12.634706,0.0567793764892878,0.31265318,1.2721943e-06,0.5367075866552301,1225.4440924144064,13347.248325781977,-0.507622729333681,0.8615794592861556,2.3890489382448594,235.2093053520568,0.049207162680968,inf,0.0,225.54817127990168,0.0,0.0,0.0,0 days,0.00014679786,4.1058335e-08,75665.73,0.055124655,-317.05438,0.0,0.0,1.0000000000000002,-6.118289975332603e-13,2.959746e-12,2.1410241000000003e-16,0.0,0.0,0.0,7.48e-16,3.1485023029295555e-14,2.347916970513494e-12,1303.1054690684418,13.347248325781974,3.756607315400301e-13,0.00014679786,4.1058335e-08,75665.73,0.055124655,-317.05438,0.0,0.0,0.0,-6.118289975332603e-13,2.959746e-12,2.1410241000000003e-16,0.0,0.0,0.0,7.48e-16,3.1485023029295555e-14,2.347916970513494e-12,1303.1054690684418,13.347248325781974,0.0
162,162,163,a35da8,FFT4000,33.73978861146054,-98.3587081286372,223.78333314,7200.900000000001,0.9255617992140912,34610D,258.6365,14.751182,-13.152095,204.91042795745875,62454.29992679444,0.2242741753133834,0.313644233740062,29.511221374002314,14.77181821186651,0.0,0.000153883415778,39912.15966310223,0.0571258138070445,0.2459268447833526,0.3965794594076788,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.63558897158192,15.216151967058543,10.899891398043463,28.228455937302385,766752619627901.0,5.722696041540795,599.5443521287709,1052.00224293422,0.01669442247195,0.0121659620878918,0.156822116870031,7.385909105933255,12.8810607714347,12.879078894782298,0.0153883415778,0.2654892144820537,220844958433626.4,0.0081664262450071,1.447050300745641e-06,3.16,35.8,2023-08-06 19:43:00,0.000153883415778,0.0571258277214107,0.0,399.1215966310223,162,0.000153883415778,14.751182,-13.152095,0.0571258277214107,0.41328555,1.8195818e-06,0.5375982700426029,1223.9684804491,13445.847928198307,-0.5075322758840483,0.8616327459747326,2.382331199195759,235.1786360292351,0.0495703758277442,inf,0.0,225.5216301591855,0.0,0.0,0.0,0 days,0.00014985581,3.5169457e-08,75495.47,0.056128867,-316.6089,0.0,0.0,1.0,-6.128562295797366e-13,2.970008e-12,2.1364848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.160462175307878e-14,2.357151790443924e-12,1303.5206097632956,13.445847928198308,3.622497981642554e-13,0.00014985581,3.5169457e-08,75495.47,0.056128867,-316.6089,0.0,0.0,0.0,-6.128562295797366e-13,2.970008e-12,2.1364848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.160462175307878e-14,2.357151790443924e-12,1303.5206097632956,13.445847928198308,0.0
163,163,164,a35da8,FFT4000,33.67835610599841,-98.2335090637207,226.869999804,7200.900000000001,0.9244087892151824,34610D,258.60757,14.441457,-13.646963,201.83543821392504,62424.78870542044,0.2197111252041072,0.304770047692854,27.334946856844564,14.276059460008645,-214.2765154003893,0.0001568582921262,39912.15966310223,0.058385264653704,0.227791223807038,0.3662985271433839,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.626086026777707,13.96653087263598,10.253235030906856,25.18943289956688,771253133397178.0,5.639563623274813,596.8976356951459,1041.73881187294,0.016662677674975,0.0119362095647767,0.152385023846427,7.138029730004322,12.7596041369085,12.757603001090123,0.0156858292126199,0.2590307205198149,217543612479004.3,0.0080690657473856,1.4290237526292368e-06,3.16,35.8,2023-08-06 19:44:00,0.0001568582921262,0.0583852898912796,0.0,399.1215966310223,163,0.0001568582921262,14.441457,-13.646963,0.0583852898912796,0.47334084,2.1399665e-06,0.5376584102695587,1222.4439923831978,13685.839587938272,-0.5103005843465447,0.8599961125584087,2.3684056447017845,235.11481559079505,0.050648843161114,inf,0.0,225.46755679763743,0.0,0.0,0.0,0 days,0.00015277437,3.1407247e-08,75492.98,0.057844985,-315.7823,0.0,0.0,1.0,-6.129114765270249e-13,2.9684352e-12,2.1335847e-16,0.0,0.0,0.0,7.479999999999999e-16,3.1583166003532223e-14,2.35552365617947e-12,1303.9336681884747,13.685839587938272,3.475635766086477e-13,0.00015277437,3.1407247e-08,75492.98,0.057844985,-315.7823,0.0,0.0,0.0,-6.129114765270249e-13,2.9684352e-12,2.1335847e-16,0.0,0.0,0.0,7.479999999999999e-16,3.1583166003532223e-14,2.35552365617947e-12,1303.9336681884747,13.685839587938272,0.0
164,164,165,a35da8,FFT4000,33.6154862743313,-98.10641152518136,224.812222028,7139.9400000000005,0.9232190027945448,34610D,258.96082,13.874368,-13.865494,199.8607591202748,62397.4537585636,0.216304670679414,0.295895861645646,15.90848002624838,13.78030070815078,-1161.010280128492,0.0001663093287804,40257.77569840504,0.0604460615193126,0.1325706668854031,0.2121022541707861,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6195376751163687,6.890044437764937,6.63890806486183,12.300206230077023,794250454427581.8,5.55643120500883,594.250919261521,1031.47538081166,0.016630932878,0.0117064570416617,0.147947930822823,6.89015035407539,12.6381475023823,12.636046010051928,0.0166309328780399,0.2526624957491087,213882015382602.62,0.0079743398502668,1.4083547940047028e-06,3.16,35.8,2023-08-06 19:45:00,0.0001663093287804,0.0604461232687586,0.0,402.5777569840504,164,0.0001663093287804,13.874368,-13.865494,0.0604461232687586,0.4759247,2.1407593e-06,0.5415744446044962,1220.8708702938986,13320.545474001892,-0.510780933332768,0.8597109038180838,2.378550252214408,235.1613407500599,0.0526191424963032,inf,0.0,225.51690736744183,0.0,0.0,0.0,0 days,0.00016268571,3.7717125e-08,74862.836,0.058652613,-314.62903,0.0,0.0,1.0,-6.166061394961725e-13,3.0073327e-12,2.1384486000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,3.204129062064607e-14,2.390726596973742e-12,1304.3563908735475,13.320545474001891,3.384658022612444e-13,0.00016268571,3.7717125e-08,74862.836,0.058652613,-314.62903,0.0,0.0,0.0,-6.166061394961725e-13,3.0073327e-12,2.1384486000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,3.204129062064607e-14,2.390726596973742e-12,1304.3563908735475,13.320545474001891,0.0
