Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.892704312693709,34610D,254.47546,19.26317,1.1697904,160.09911456534337,70444.71606186748,0.3766504769340877,0.86248698435003,65.23581539349775,87.3139388704032,1619.8693747777083,0.001046946580024,73058.20758235783,1.049557758043218,0.5436317949458146,0.6179258429934869,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.9662241565566,2.9740300533867887,0.5006372602159741,43.65719238275852,16.908559283903905,22.482837870717063,1419921614189324.2,28.9988456075028,783.952517909275,1266.18703560489,0.104694658002,0.021491881353839,0.431243492175015,43.6569694352016,20.065413775327,20.044428329638748,14.941885344998605,0.6210532387693154,958211213050789.2,30.113523097462192,1725957806744261.0,0.0013473496648551,1.3662462998338693e-05,3.16,35.8,2023-02-05 15:00:00,0.0010469473667005,1.049559788633271,1.0,0,730.5820758235783,0.0010469473667005,19.26317,1.1697904,1.049559788633271,2.3904572,5.2066374e-05,1.0001509543453713,0.0,8181.733683333497,-0.4708636641506514,-0.8822059905615143,5.4309638304643215,244.59190150705652,0.8741588847882013,inf,0.0,239.8030019120012,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001003089,2.0307547e-07,25170.092,0.9897202,-199.41849,0.0,0.0,1.0,-7.351379051123281e-13,3.95009e-12,2.2659124e-16,0.0,0.0,0.0,7.48e-16,4.276896832042125e-14,3.214952083864784e-12,694.1498342913482,8.181733683333496,2.241602609424649e-13,0.001003089,2.0307547e-07,25170.092,0.9897202,-199.41849,0.0,0.0,0.0,-7.351379051123281e-13,3.95009e-12,2.2659124e-16,0.0,0.0,0.0,7.48e-16,4.276896832042125e-14,3.214952083864784e-12,694.1498342913482,8.181733683333496,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.8928570849402653,34610D,250.84149,21.204838,1.4314767,173.0853477161916,70379.48024647399,0.3937476372059429,0.965792165624058,74.0562213868779,94.5415618675656,1946.4430043052373,0.0007837934939888,68339.94069049528,1.0432300611541712,0.6171351782239825,0.71665965191972,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.31439763674803,3.1804535593162293,0.5451522734425337,47.26983809652664,17.969278091785906,28.45663182046471,1567570226113488.5,31.4440508470727,801.952583340294,1304.26874257608,0.0783793493989,0.0225746636569667,0.482896082812029,47.2707809337828,21.3910643431892,21.37431129705608,14.958173674066918,0.6834542234536215,1109966712693468.4,29.575829800575672,1667673973826172.5,0.0014388561883508,1.6682375315921547e-05,3.16,35.8,2023-02-05 15:01:00,0.0007837942810091,1.0432327583266243,1.0,1,683.3994069049528,0.0007837942810091,21.204838,1.4314767,1.0432327583266243,1.6779364,5.552222e-05,0.9491124592430288,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.222304402685691,244.1240043852768,0.8382561774724101,inf,0.0,238.8244964981415,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007547051,1.9892838e-07,30025.67,0.9961064,-200.61833,0.0,0.0,1.0000000000000002,-7.177151563250333e-13,3.4090604e-12,2.2627154e-16,0.0,0.0,0.0,7.480000000000001e-16,3.5961759652089935e-14,2.691345238746339e-12,694.856719117452,9.587418296793368,2.2439941944905978e-13,0.0007547051,1.9892838e-07,30025.67,0.9961064,-200.61833,0.0,0.0,0.0,-7.177151563250333e-13,3.4090604e-12,2.2627154e-16,0.0,0.0,0.0,7.480000000000001e-16,3.5961759652089935e-14,2.691345238746339e-12,694.856719117452,9.587418296793368,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.8930668454801742,34610D,246.8699,24.63685,2.0918274,187.64884095824056,70305.42402508711,0.4106459561128567,1.06498678456825,83.66116464034549,100.2876192411412,2301.585390614613,0.0005914034739898,62994.42896063308,1.0765848639780995,0.6971763720028791,0.8362263264251161,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,22.35072240230779,3.339390065471261,0.5957568380443659,50.14418005529092,19.02932879781983,36.28235539,1450000000000000.0,33.5212509060631,820.541568904135,1345.11767220992,0.059140347399,0.0237632477626532,0.532493392284125,50.1438096205706,22.408275064194,22.395030565317565,14.970439779349132,0.7548607716374951,1247973069885138.0,28.895677389619497,1599709042808031.2,0.0015372586597336,1.962378884441809e-05,3.16,35.8,2023-02-05 15:02:00,0.0005914039894717,1.076587280118536,1.0,2,629.9442896063307,0.0005914039894717,24.63685,2.0918274,1.076587280118536,0.78165,3.1975662e-05,0.8889481922855963,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,4.9510222525633285,243.49023865056077,0.8317292056074685,inf,0.0,238.13632496107837,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000561533,2.303301e-07,35868.035,1.0127435,-202.06133,0.0,0.0,1.0000000000000002,-6.967172175067903e-13,2.867059e-12,2.286921e-16,0.0,0.0,0.0,7.48e-16,2.9191134944265043e-14,2.17034175710468e-12,695.6991305840019,9.904532106848183,2.131918231186576e-13,0.000561533,2.303301e-07,35868.035,1.0127435,-202.06133,0.0,0.0,0.0,-6.967172175067903e-13,2.867059e-12,2.286921e-16,0.0,0.0,0.0,7.48e-16,2.9191134944265043e-14,2.17034175710468e-12,695.6991305840019,9.904532106848183,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.8932848587945481,34610D,243.15067,29.481411,0.7601789,202.6449246638375,70221.76286044676,0.4259323351672714,0.849291150018414,66.73374351425366,76.814448632899,1201.7771465713736,0.0004138094217253,57124.037489563314,1.0000835572502202,0.5561145292854471,0.7034782983627863,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.29508117907565,2.886277690476491,0.6482689616981916,38.40762562865792,17.24222237771018,28.56336494236806,1565966714672728.5,28.2192626923031,795.015724929917,1283.56574750514,0.0413809421725,0.0219333152732422,0.424645575009207,38.4072243164495,19.3607564437492,19.352748094251524,14.955426618888705,0.6583478582553849,925842233744746.4,27.84752322648476,1525004309586738.0,0.0013798200628853,1.3647854940686818e-05,3.16,35.8,2023-02-05 15:03:00,0.0004138093452537,1.0000830813891506,1.0,3,571.2403748956332,0.0004138093452537,29.481411,0.7601789,1.0000830813891506,0.17607838,6.637793e-06,0.8184381663526722,0.0,10425.44396869136,-0.4806838213428572,-0.8768939866935046,4.608486446973298,242.6444836342412,0.744691075180494,inf,0.0,236.34341799547337,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00040623514,4.3097336e-07,42774.15,0.97315353,-202.59914,0.0,0.0,1.0,-6.718236475230638e-13,2.406492e-12,2.4415836e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3542848825131352e-14,1.7346684967440714e-12,696.5692546991952,10.42544396869136,1.219682508688393e-13,0.00040623514,4.3097336e-07,42774.15,0.97315353,-202.59914,0.0,0.0,0.0,-6.718236475230638e-13,2.406492e-12,2.4415836e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3542848825131352e-14,1.7346684967440714e-12,696.5692546991952,10.42544396869136,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.8935208791894627,34610D,241.55566,31.569008,-0.866209,215.23955653853267,70155.0291169325,0.435145058803522,0.764075873058234,60.60603823973219,66.4706449863398,1206.56441601735,0.0003313930169576,54249.21360051817,0.8989071507230835,0.505050318664435,0.6636444477982854,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.98435002661926,2.691692615979545,0.6908292188664317,33.234913559921765,16.56737146080468,25.520025257554188,1563277633229453.5,26.0280737272135,786.415403471349,1258.89091352879,0.0331393016958,0.021166838429495,0.382037936529117,33.2353224931699,18.0488899086963,18.0429106141132,14.951423128220393,0.6286552266444637,789642697886474.8,28.10236895110673,1476767804065560.8,0.0013262109083058,1.1341246424915455e-05,3.16,35.8,2023-02-05 15:04:00,0.0003313930169576,0.8989078196985514,0.0,4,542.4921360051817,0.0003313930169576,31.569008,-0.866209,0.8989078196985514,0.03653228,7.974267e-07,0.7823816892180656,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.447624930613821,242.2279066510144,0.6588635642148296,0.9979699634587093,0.0,235.1836356499632,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00032800785,6.6604764e-07,46364.09,0.877444,-203.43336,0.0,0.0,1.0,-6.589609483700405e-13,2.225098e-12,2.6227867000000004e-16,0.0,0.0,0.0,7.48e-16,2.1370058059549053e-14,1.5661368756937085e-12,697.4878586708987,11.784876773848332,9.522041016622941e-14,0.00032800785,6.6604764e-07,46364.09,0.877444,-203.43336,0.0,0.0,0.0,-6.589609483700405e-13,2.225098e-12,2.6227867000000004e-16,0.0,0.0,0.0,7.48e-16,2.1370058059549053e-14,1.5661368756937085e-12,697.4878586708987,11.784876773848332,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.8938107273891708,34610D,240.3006,32.45962,-2.0696774,218.4325250287104,70094.42307869278,0.4386495163725318,0.735971770041106,58.504890016297054,63.5979246421138,1807.384365281177,0.0002018370731228,51492.67974234382,0.5936058863282134,0.4875407501358088,0.6639337567023554,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.34995094212632,2.5989907780019643,0.7029057311982293,31.79796302665078,16.315093379934215,25.7126192314404,1572368117901918.0,25.0982206655156,785.903930192342,1257.66656601796,0.0201837073123,0.0211374532765841,0.367985885020553,31.7989623210569,17.4091873891073,17.405674278755146,14.952042918157192,0.6270422198382131,750934179496947.1,26.83746460539496,1448894866783105.2,0.0013136736596158,1.0768890196200753e-05,3.16,35.8,2023-02-05 15:05:00,0.0002018370731228,0.5936056431075075,0.0,5,514.9267974234381,0.0002018370731228,32.45962,-2.0696774,0.5936056431075075,0.019325865,4.894137e-07,0.7465056296722405,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.247511007721045,241.6906303086392,0.4297155316432675,0.9909722962780404,0.0,233.15479442937743,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00019806207,9.224277e-07,50021.594,0.5590057,-204.44244,0.0,0.0,1.0,-6.458520194524113e-13,2.0962741e-12,2.820413e-16,0.0,0.0,0.0,7.48e-16,1.9885527683895832e-14,1.4504220292005637e-12,698.528666023977,11.776905178293267,8.413840712825274e-14,0.00019806207,9.224277e-07,50021.594,0.5590057,-204.44244,0.0,0.0,0.0,-6.458520194524113e-13,2.0962741e-12,2.820413e-16,0.0,0.0,0.0,7.48e-16,1.9885527683895832e-14,1.4504220292005637e-12,698.528666023977,11.776905178293267,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.8942501981960274,34610D,238.0822,34.77187,-3.9752293,211.5087532343605,70035.91818867649,0.4375029570193959,0.752320600094558,59.65866003938399,66.963329643533,1410.3103343491673,0.0001043866586997,47596.28928252322,0.3602271460001657,0.4971555003281999,0.703347212053074,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.13920707434605,2.5690919565926533,0.683788968696026,33.48161289508515,16.360256351257483,30.200662838643822,1541368671799140.0,25.0220882982464,792.015184774307,1279.96740333955,0.01043866587,0.0218849433518228,0.376160300047279,33.4816648217665,17.1880865305483,17.186292510897655,14.958932967148838,0.6476632324619404,794299565429141.1,23.32361731823232,1420797535492339.2,0.0013293408555077,1.1604535518083045e-05,3.16,35.8,2023-02-05 15:06:00,0.0001043866586997,0.3602270170443892,0.0,6,475.96289282523225,0.0001043866586997,34.77187,-3.9752293,0.3602270170443892,7.838897e-06,5.7721612e-11,0.696447874418533,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.917774833105808,240.75435213510545,0.2551065615572297,0.9630673844211912,0.0,231.41990426266776,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00010133481,9.914344e-07,55483.88,0.33811796,-206.15765,0.0,0.0,1.0,-6.26215138439984e-13,1.9005739e-12,2.8736056000000005e-16,0.0,0.0,0.0,7.48e-16,1.7602023933183526e-14,1.2743587207713524e-12,700.0286647143926,12.351486589520809,7.646844378990139e-14,0.00010133481,9.914344e-07,55483.88,0.33811796,-206.15765,0.0,0.0,0.0,-6.26215138439984e-13,1.9005739e-12,2.8736056000000005e-16,0.0,0.0,0.0,7.48e-16,1.7602023933183526e-14,1.2743587207713524e-12,700.0286647143926,12.351486589520809,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.8948660229373094,34610D,236.36533,37.315983,-5.450317,214.66979929688827,69976.25952863709,0.4379310251435846,0.614537106031088,49.02954480680541,53.9466291791294,719.0624369994422,7.853817010130945e-05,44739.09919617161,0.3073568340821648,0.4085795400567117,0.6003753713507759,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,14.939495697989845,2.23975103404412,0.6965243080835491,26.97267694475546,14.955270501487448,24.03175286434353,1493030796810122.0,21.3529376088052,770.122838926328,1231.08461959422,0.00785381701013,0.0204998993660434,0.307268553015544,26.9733145895647,14.9887834827381,14.987606383558536,14.951874741533048,0.5770320221402298,596779382972704.1,22.14001037446003,1355510520900127.8,0.0012180557088322,8.107760514547729e-06,3.16,35.8,2023-02-05 15:07:00,7.853817010130946e-05,0.307356851824041,0.0,7,447.3909919617161,7.853817010130946e-05,37.315983,-5.450317,0.307356851824041,8.973791e-07,0.0,0.6593953946401336,0.0,12963.734149278178,-0.9351760437679651,-0.3541832395279273,3.685314535387467,240.05138528044435,0.2139983118082918,0.9233402061781216,0.0,230.59760440074749,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,7.659301e-05,8.0976866e-07,59687.0,0.30226582,-208.04153,0.0,0.0,1.0,-6.112104801132116e-13,1.763525e-12,2.7335715000000004e-16,0.0,0.0,0.0,7.48e-16,1.6001445497510727e-14,1.152314487628939e-12,702.1231127495746,12.963734149278178,5.175323894398064e-14,7.659301e-05,8.0976866e-07,59687.0,0.30226582,-208.04153,0.0,0.0,0.0002043933354746,-6.112104801132116e-13,1.763525e-12,2.7335715000000004e-16,0.0,0.0,0.0,7.48e-16,1.6001445497510727e-14,1.152314487628939e-12,702.1231127495746,12.963734149278178,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.8955159384713993,34610D,235.14964,39.075047,-6.111007,216.9463369449932,69927.22998383029,0.4403608380040389,0.977555339426384,80.46938774092409,85.3845234475636,2493.091052715812,8.218169943951904e-05,43340.51238880016,0.356437061818495,0.6705782311743674,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.16890459666025,2.87376035634289,0.705728061856932,42.69318282049392,21.01203839629093,36.28235539,1450000000000000.0,29.3476580376358,838.757572409325,1396.84467169692,0.00821816994395,0.0254583730379626,0.488777669713192,42.6922617237818,19.1990929264939,19.19751524206629,14.977657288011695,0.8302958840265899,1123612855675724.8,21.63368197463356,1326940507108046.2,0.0015598288057015,1.832123487319629e-05,3.16,35.8,2023-02-05 15:08:00,8.218169943951906e-05,0.3564374211037026,0.0,8,433.4051238880015,8.218169943951906e-05,39.075047,-6.111007,0.3564374211037026,1.7944181e-05,0.0,0.6420844791376042,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.585619878304747,239.73781099476108,0.2452049232917086,0.872242642701004,0.0,230.4497187856734,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,8.026796e-05,6.931993e-07,61954.473,0.3606376,-208.96515,0.0,0.0,1.0,-6.032496557336244e-13,1.6910708e-12,2.643716e-16,0.0,0.0,0.0,7.480000000000001e-16,1.5154046947290357e-14,1.0878211793562186e-12,704.3383927191494,12.8771154182302,9.952382271135925e-14,8.026796e-05,6.931993e-07,61954.473,0.3606376,-208.96515,0.0,0.0,0.011328324540661,-6.032496557336244e-13,1.6910708e-12,2.643716e-16,0.0,0.0,0.0,7.480000000000001e-16,1.5154046947290357e-14,1.0878211793562186e-12,704.3383927191494,12.8771154182302,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.8961483511962038,34610D,230.06575,42.65224,-7.7639313,221.9383008568457,69846.76059608937,0.44705953894508,0.90395103223884,76.76749911536687,78.3536898043988,2271.604079206005,8.204199867240185e-05,38763.39764052093,0.5673256377858372,0.639729159294724,0.9884669733799256,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.85375165551688,2.6765979908579127,0.7299001734380552,39.17677408267015,20.29940152627292,36.28235539,1450000000000000.0,27.2311848309432,831.144963287349,1387.50801650032,0.00820419986724,0.0252758378130619,0.45197551611942,39.1768449021994,17.8817224363519,17.88025550445354,14.977777706192342,0.7980222874011914,1040890694999262.8,19.69877979494069,1219602706812273.2,0.0014950610915889,1.67302229931638e-05,3.16,35.8,2023-02-05 15:09:00,8.204199867240185e-05,0.5673261508647555,0.0,9,387.6339764052093,8.204199867240185e-05,42.65224,-7.7639313,0.5673261508647555,4.5138986e-05,5.292539e-10,0.5869651481984688,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.245799706956653,238.6076027710857,0.3711738061296664,0.3810412508093628,0.0,230.01546803625416,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,7.7835386e-05,4.168205e-07,69470.46,0.54017884,-210.79836,0.0,0.0,1.0,-5.759882360235373e-13,1.4016146e-12,2.430674e-16,0.0,0.0,0.0,7.48e-16,1.1724210679593461e-14,8.256264053030828e-13,706.5432714398518,11.709442181463151,6.694816362005964e-14,7.7835386e-05,4.168205e-07,69470.46,0.54017884,-210.79836,0.0,0.0,0.3001906291339272,-5.759882360235373e-13,1.4016146e-12,2.430674e-16,0.0,0.0,0.0,7.48e-16,1.1724210679593461e-14,8.256264053030828e-13,706.5432714398518,11.709442181463151,0.0
