,index,longitude,latitude,altitude,groundspeed,time,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,EI_nox_py,EI_nvpm_mass_py,EI_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,EI_nvpm_number_p3t3,EI_nvpm_mass_p3t3,EI_nvpm_number_p3t3_meem,EI_nvpm_mass_p3t3_meem,EI_mass_meem,EI_number_meem
0,0,-4.458446502685547,36.64544677734375,624.84,100.831111024,2024-06-07 09:23:00,34610D,295.19336,0.96996045,1.6105541,110.572215716343,55375.54435812216,0.2238539902301578,1.177822494887644,70.66934969325864,122072.08580989964,2781.55761468215,0.0082756375501709,0.9404035659516814,0.3826088177977075,0.588911247443822,1.0,0.0195752458375144,1.1685859501754853e-07,1.1685859501754853e-07,9.144753692077405e-06,904964910426648.6,223.244475681004,86.92330012270813,0.0848032196319103,0.0017306779516716,0.0014133869938651,1.3833698934228154,8.258320915958027e-06,8.258320915958027e-06,0.0006462537965241,6.395328171506931e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.3210331919589202,61.036042904949824,19.575245837514466,9.144753692077405,904964910426648.6,33.2412930413668,857.921798319023,1548.87657379955,0.827563755017,0.0209206923573278,0.650777220807116,61.0365489222041,31.1068682475593,30.851551985467317,0.8275637550170901,850472831104884.0,11.257893620700056,839582612010177.4,11.078095275684328,,
1,1,-4.399623870849609,36.604248046875,1440.18,118.32222212,2024-06-07 09:24:00,34610D,290.10602,-12.065596,3.6959515,139.33108068323645,55304.875008428906,0.2445836522423038,1.125311915358587,67.51871492151523,85431.20193236544,2671.4630383454605,0.0078189829079693,0.8517839178058632,0.4711974291771986,0.5626559576792936,1.0,0.0193201416188482,1.2206488821041973e-07,1.2206488821041973e-07,9.475343854161426e-06,899385109015857.4,213.2916204370666,83.04801935346373,0.0810224579058182,0.0016535195490983,0.0013503742984303,1.304471134206317,8.241664389005955e-06,8.241664389005955e-06,0.0006397630404724,6.072532678029757e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.4080626547867353,42.71560096618272,19.320141618848258,9.475343854161425,899385109015857.4,27.0756346303574,824.463959285892,1458.62147277229,0.781898290797,0.0188605263095926,0.494152618047654,42.7151233103523,26.2003620649931,25.9970912528303,0.7818982907969301,490386789254586.7,5.352967235328237,754451502118794.4,6.497391188787194,10.055664652794524,1074063575922562.6
2,2,-4.322477300116361,36.58828993975106,2217.42,135.298888772,2024-06-07 09:25:00,34610D,288.7378,-5.6733317,10.186295,145.58717537578292,55237.356293507386,0.2516792032225986,1.037356666442555,62.2413999865533,89750.84469323972,3005.555785269361,0.0053509477967686,0.773723179826334,0.3237649330788237,0.5186783332212775,1.0,0.0194300457054275,1.3255440893307832e-07,1.3255440893307832e-07,9.581685543496774e-06,897590241605288.4,196.62058255752189,76.55692198346057,0.0746896799838639,0.0015242791833441,0.001244827999731,1.2093532465085275,8.250371986384882e-06,8.250371986384882e-06,0.0005963775224581,5.586727325178178e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.4273940854773426,44.87542234661986,19.43004570542754,9.581685543496771,897590241605288.4,27.8554179443724,845.223545938777,1515.30712315389,0.535094779677,0.0200956990734827,0.530893182447856,44.8746053498676,26.4182490246581,26.277638751476605,0.53509477967686,619765773540613.6,7.625039793983521,741331486946495.4,7.595991387359509,8.82224774176625,1020655224154947.5
3,3,-4.236222936751972,36.61300917803231,3086.1000000000004,152.275555424,2024-06-07 09:26:00,34610D,282.66278,-5.0140047,11.643089,152.16004076680514,55175.11489352083,0.2571066281924883,1.0037076330717594,60.22245798430557,80999.99918215437,2287.214517318119,0.0029210953338867,0.6934403928345334,0.2500719341300094,0.5018538165358797,1.0,0.0199295614724998,1.381804664041189e-07,1.381804664041189e-07,1.0741221350877736e-05,878019243203215.8,190.24274477242128,74.07362332069584,0.0722669495811666,0.001474835705738,0.0012044491596861,1.2002071784232564,8.321567332273796e-06,8.321567332273796e-06,0.0006468627515033,5.287647698321743e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.4514644143803006,40.499999591077184,19.92956147249984,10.741221350877735,878019243203215.8,25.6877538797379,835.53631467328,1500.04268589213,0.292109533389,0.0198125848510853,0.485867547995369,40.5001874825752,24.5231781540486,24.45175225463224,0.29210953338866996,533522458671101.8,6.207565035747155,735785986812084.9,6.359222909134178,7.9934990526921865,926378490391577.4
4,4,-4.184622257313833,36.68991347490731,3749.04,174.91111096,2024-06-07 09:27:00,34610D,276.64957,-3.9257789,9.377092,165.96180560067236,55114.89243553653,0.2671528897712209,0.9914973695417816,59.4898421725069,76198.33770425462,2094.6075759498312,0.0020121669953568,0.6368273221635501,0.2536398118790869,0.4957486847708908,1.0,0.0201160637961178,1.4039652169254538e-07,1.4039652169254538e-07,1.165158698517752e-05,862653814847514.0,187.9284114229493,73.17250587218349,0.0713878106070082,0.0014568940940205,0.0011897968434501,1.1967014603631312,8.352166917058465e-06,8.352166917058465e-06,0.0006931510708074,5.13191392947896e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.4977375294550086,38.09916885212731,20.116063796117853,11.65158698517752,862653814847514.0,25.0475645953523,832.106499726247,1498.60842357587,0.201216699536,0.019842785517444,0.47490115011744,38.0985249531656,23.9331897076623,23.88512883973115,0.20121669953568003,513023141392186.4,5.852226433359833,728096292480239.0,6.2861726530255595,7.6058319676933,881782653320260.5
5,5,-4.146251678466797,36.78662109375,4358.64,191.887777612,2024-06-07 09:28:00,34610D,271.71878,-3.406237,8.695613,180.84474749099616,55055.40259336402,0.2767360418730079,0.9703445029127016,58.22067017476209,80268.64570318969,2666.064328572796,0.0012513568449361,0.588129611839903,0.2179621556171939,0.4851722514563508,1.0,0.0201877593770485,1.4349009143266325e-07,1.4349009143266325e-07,1.2231392508854089e-05,852867680684898.2,183.91909708207345,71.61142431495738,0.0698648042097145,0.0014258123308105,0.0011644134034952,1.1753448802586015,8.354089286647542e-06,8.354089286647542e-06,0.000712119869036,4.965452793986978e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.5472720841957844,40.134322851594845,20.187759377048508,12.23139250885409,852867680684898.2,26.5407072673214,850.128412124192,1553.00633617529,0.125135684494,0.0211243687642214,0.525315532361322,40.1340178767222,24.8677505219022,24.836670983661367,0.12513568449360998,650295363915593.6,8.230030846414998,720359875400613.2,8.176538673572828,7.331928909558509,850017561082576.2
6,6,-4.106899829621,36.88751220703125,5135.88,197.546666496,2024-06-07 09:29:00,34610D,266.28842,-2.7134047,9.770877,192.5884354495601,54997.18192318926,0.2853653030781843,0.936117125183,56.167027510980006,66480.02319157052,2038.5969893301951,0.0006925397341391,0.5304583483154943,0.1725610000874268,0.4680585625915,1.0,0.0200127299617694,1.4914467291749524e-07,1.4914467291749524e-07,1.3052157203078398e-05,839014564276683.6,177.43163990718585,69.08544383850541,0.067400433013176,0.0013755190410852,0.0011233405502196,1.1240555543325208,8.37701294687307e-06,8.37701294687307e-06,0.0007331008727029,4.712495411384139e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.5887233802028466,33.24001159578526,20.01272996176949,13.052157203078398,839014564276683.6,23.3696847356989,828.263421869481,1498.33506157564,0.0692539734139,0.0199140721769409,0.44495211303999,33.2401810185057,22.3436025081407,22.32813938442759,0.06925397341391,470653234310205.0,5.251295531091485,693386566295726.8,5.9791506135797095,6.8338585132487735,792948480588497.5
7,7,-4.066168602476694,36.99110412597656,5730.240000000001,208.864444264,2024-06-07 09:30:00,34610D,262.3566,-1.3909073,10.909297,201.09224888547624,54941.01489567828,0.2911854525431355,0.907383379137654,54.44300274825923,63804.262319738526,2170.147961867792,0.0005054365749048,0.489521716698911,0.1642689318638077,0.4536916895688269,1.0,0.0197570119193229,1.5412237473202857e-07,1.5412237473202857e-07,1.3641463252387816e-05,829068077349801.5,171.98544568175092,66.96489338035886,0.065331603297911,0.0013332980264879,0.0010888600549651,1.0756310542210883,8.39088487110407e-06,8.39088487110407e-06,0.00074268222134,4.513695561364924e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.6193077802943314,31.902131159869263,19.757011919322924,13.641463252387815,829068077349801.5,22.7408189655013,828.965866809447,1505.32232765979,0.0505436574905,0.0201207185612579,0.436365439110676,31.9021006281711,21.6873685590379,21.67641250734396,0.05054365749048,467094998031322.4,5.232735257917042,683135052635108.2,5.8920950518796555,6.462523348884839,750401534522301.9
8,8,-4.023099858710111,37.10087585449219,6362.700000000001,215.037777592,2024-06-07 09:31:00,34610D,258.16083,0.7978851,12.403082,205.72888926879452,54886.57189293002,0.2947253138650427,0.8801696828725811,52.81018097235487,59268.3865142065,1882.4909328180745,0.0003847001148765,0.4488094387389205,0.1677830159633013,0.4400848414362905,1.0,0.0194553094716552,1.5967041926760768e-07,1.5967041926760768e-07,1.400098262e-05,823000000000000.0,166.82736169166904,64.95652259599649,0.0633722171668258,0.001293310554425,0.001056203619447,1.0274384140712811,8.432223737454138e-06,8.432223737454138e-06,0.0007393944259529,4.3462778940248056e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.638715278911193,29.63419325710325,19.45530947165521,14.000982620000002,823000000000000.0,21.3984410958968,822.681375133315,1495.22137281267,0.0384700114877,0.0199616517145467,0.408832452698054,29.6340652114316,20.4808929914414,20.473017019442153,0.038470011487649995,406145291456143.8,4.388091309897389,639239889141204.8,5.501704241907411,5.978165770262592,695198626210941.9
9,9,-3.978862356632306,37.21408081054688,6911.34,222.239999808,2024-06-07 09:32:00,34610D,254.31462,1.843599,14.17466,210.6506190647398,54833.76171195767,0.2983241339915369,0.8586900860921385,51.52140516552831,55888.45195101588,1671.6692660383262,0.0002958787626552,0.4157548966576384,0.1713970553394911,0.4293450430460692,1.0,0.0192124558401457,1.6428610138545467e-07,1.6428610138545467e-07,1.400098262e-05,823000000000000.0,162.7561189179039,63.37132835359981,0.0618256861986339,0.0012617486979313,0.0010304281033105,0.989852721564968,8.46425079254507e-06,8.46425079254507e-06,0.0007213502982805,4.24021164512298e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.6589224532728709,27.94422597550794,19.21245584014572,14.00098262,823000000000000.0,20.4437143901751,818.496307009056,1489.57526484497,0.0295878762655,0.0198913370739142,0.390096395531862,27.9438130990146,19.61137122569,19.60557035379257,0.02958787626552,364311660158722.4,3.8423116881768973,609665178687154.1,5.239066829747343,5.601861007822712,652228367045435.9
10,10,-3.935314676036001,37.33163607322563,7399.02,230.471110912,2024-06-07 09:33:00,34610D,250.61586,2.5261996,15.556497,215.68390190478672,54782.24030679214,0.2995975599230401,0.8426812690055953,50.56087614033572,59018.531916147695,2032.610809262388,0.0002484729124094,0.3880546129804407,0.1919841208383119,0.4213406345027976,1.0,0.0190195820058751,1.679372354294383e-07,1.679372354294383e-07,1.400098262e-05,823000000000000.0,159.7218077273205,62.18987765261293,0.0606730513684028,0.0012382255381306,0.0010112175228067,0.9616467300400106,8.491053759898228e-06,8.491053759898228e-06,0.0007079019480928,4.1611601063496296e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.6796270551109613,29.509265958073847,19.019582005875133,14.000982620000002,823000000000000.0,21.2377119020245,835.609732376887,1541.44297230244,0.0248472912409,0.0211261653416143,0.422247603536777,29.5094462427231,19.9869496763349,19.981984694402158,0.02484729124094,484582690639602.6,5.640534046948814,667911715431519.5,5.772728750423964,5.3004480346722,617741392295677.6
11,11,-3.8903873524766936,37.45161437988281,7993.38,232.528888688,2024-06-07 09:34:00,34610D,245.8096,2.8201377,16.709135,219.7886880621745,54731.679430651806,0.3051027648627968,0.8283806114690959,49.70283668814575,50283.41288825277,1480.4592106045789,0.000220540279663,0.3563351997673736,0.2528690241102914,0.4141903057345479,1.0,0.0188113545233352,1.7185800930538614e-07,1.7185800930538614e-07,1.400098262e-05,823000000000000.0,157.0112610978524,61.13448912641928,0.0596434040257748,0.0012172123270566,0.0009940567337629,0.9349776817561416,8.54183057005544e-06,8.54183057005544e-06,0.0006958885526354,4.090543459434395e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.6992993477110715,25.141706444126388,18.811354523335204,14.000982620000002,823000000000000.0,18.7869345241254,809.284532576188,1478.65038395122,0.0220540279663,0.019788707430538,0.358092380239258,25.1422113737527,18.0957943562625,18.0918043846639,0.0220540279663,276243733008437.1,2.762841758773651,560762898936172.56,4.8020297873695394,4.906442366456971,572756764897146.2
12,12,-3.855126422384501,37.57547669491525,8427.720000000001,239.731110904,2024-06-07 09:35:00,34610D,242.02806,3.766777,17.581902,222.71466212849745,54681.976593963656,0.3074070567740494,0.8091608623098204,48.549651738589226,48170.29992166909,1397.8482331241366,0.0002533216636936,0.3345108555598698,0.4031533700123065,0.4045804311549102,0.9851163137944065,0.01836375105332,1.7415981330069178e-07,1.7415981330069178e-07,1.400098262e-05,823000000000000.0,153.36834984220334,59.71607163846475,0.058259582086307,0.0011889710629858,0.0009709930347717,0.8915537182528414,8.455398282606304e-06,8.455398282606304e-06,0.000679742830199,3.9956363380858936e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7141232549986872,24.085149960834546,18.363751053320087,14.00098262,823000000000000.0,18.1117722543649,804.094149597873,1471.94002457731,0.0253321663694,0.0197143986474086,0.34478602258263,24.0847588413631,17.489045887177,17.484616654996913,0.02533216636936,227462834428119.0,2.207918970928115,541622812768243.6,4.628430933683369,4.633062957339881,541521640917781.2
13,13,-3.8269441024116873,37.705590199616,8839.2,246.418888676,2024-06-07 09:36:00,34610D,238.48488,4.6779366,18.384375,224.9680443379561,54633.426942225065,0.3080903994280313,0.8145274203860028,48.871645223160165,48110.79123960524,1522.7144394201216,0.0003047989924433,0.3148461017336226,0.6660709442901798,0.4072637101930014,0.9997791703045912,0.0185300756255061,1.764615099276088e-07,1.764615099276088e-07,1.400098262e-05,823000000000000.0,154.38552725996294,60.112123624487005,0.0586459742677921,0.00119685661771,0.0009774329044632,0.9055952819280664,8.623964308725253e-06,8.623964308725253e-06,0.0006842510553802,4.022136401866082e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7266873721875181,24.05539561980262,18.530075625506196,14.00098262,823000000000000.0,17.953405341871,807.055850954124,1487.59810225555,0.0304798992443,0.0201462213429312,0.347168957599471,24.0553848583774,17.2324602063048,17.227209370246136,0.030479899244330002,257788579405650.0,2.545359522207951,557081697018637.75,4.766241915045899,4.372514997599521,511767936226085.94
14,14,-3.79852294921875,37.83700716697563,9288.78,250.019999784,2024-06-07 09:37:00,34610D,234.81413,5.644592,18.991163,225.9806730303513,54584.55529700191,0.3060941201766824,0.8060541012651963,48.363246075911775,48418.53913124726,1570.380429749421,0.0003190281114332,0.2944415627541902,0.9758357317495884,0.4030270506325981,1.0,0.0183713932830536,1.795148420818103e-07,1.795148420818103e-07,1.400098262e-05,823000000000000.0,152.7794943538053,59.48679267337148,0.0580358952910941,0.0011844060263488,0.0009672649215182,0.888500214105678,8.681920481881034e-06,8.681920481881034e-06,0.0006771329677556,3.980295152047539e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7356417648185241,24.20926956562363,18.371393283053685,14.00098262,823000000000000.0,17.8537168536352,815.913817587759,1518.45079659648,0.0319028111433,0.0209171452776894,0.354351847891491,24.2084296384868,16.9407365674058,16.93533371987266,0.031902811143320005,332995382165683.7,3.460143231515745,583074477836003.4,5.005780758946837,4.066670619638101,476908306675219.75
15,15,-3.7695377431016936,37.970489501953125,9753.6,250.534444228,2024-06-07 09:38:00,34610D,231.17645,7.1221914,19.23679,227.2232596223916,54536.192050926,0.3046215826327266,0.7950302440329882,47.70181464197929,47214.65567958496,1618.7937738059666,0.0002471423636,0.2744848000248498,1.0642653520583747,0.3975151220164941,1.0,0.018212857945315,1.8315327711771841e-07,1.8315327711771841e-07,1.400098262e-05,823000000000000.0,150.69003245401257,58.673232009634525,0.0572421775703751,0.0011682077055178,0.0009540362928395,0.8687863738081192,8.73674367614047e-06,8.73674367614047e-06,0.0006678722777448,3.925859345034895e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7454837622224634,23.607327839792475,18.21285794531507,14.00098262,822999999999999.9,17.3484986400915,818.930669240715,1533.40856671009,0.02471423636,0.021327914475007,0.349158414678594,23.6071375525471,16.3709590587375,16.366914100901766,0.02471423636,349082785413158.8,3.690924049413698,580142464758497.8,4.986187545324428,3.767883322589529,442824948933126.56
16,16,-3.740903164478027,38.102142333984375,10233.66,247.962222008,2024-06-07 09:39:00,34610D,227.61829,8.715155,19.679028,226.97696059316564,54488.490236284015,0.3094415562318305,0.7064676383957922,42.38805830374753,41540.20076633012,1205.2102226965617,0.0001756395521026,0.2550380254566048,1.0652497481214946,0.3532338191978961,0.9029670189501025,0.0160740466924357,1.8755821334775258e-07,1.8755821334775258e-07,1.400098262e-05,823000000000000.0,133.90387618153844,52.137311713609456,0.050865669964497,0.0010380748972346,0.0008477611660749,0.6813476283761257,7.950228482731253e-06,7.950228482731253e-06,0.0005934744676063,3.4885371983984216e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7504735670920953,20.770100383165055,16.07404669243573,14.000982619999998,823000000000000.0,15.5312386405673,792.537630594946,1472.61351638915,0.0175639552103,0.0200562561548858,0.300655713293257,20.7702625688843,14.9906199328241,14.987987449421563,0.01756395521026,106814815980251.95,0.9700176341696917,486119538235691.5,4.1331890262624835,3.4429807062369897,405815867923892.7
17,17,-3.7118010825299166,38.23480224609375,10591.8,246.418888676,2024-06-07 09:40:00,34610D,224.653,9.326156,20.034838,226.35797366470533,54446.10217798027,0.3109030371036344,0.6520457654272008,39.12274592563205,38626.61972127572,1023.09072596541,0.0001346104297933,0.2412695654698515,1.1033119079238751,0.3260228827136004,0.8388707526153695,0.0147416923754863,1.9007596950852248e-07,1.945715030319908e-07,1.400098262e-05,823000000000000.0,123.58875437907164,48.12097748852742,0.0469472951107584,0.0009581080634848,0.0007824549185126,0.5767354853199783,7.436293861650109e-06,7.612171477488922e-06,0.0005477568857514,3.219801989679518e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7533501589716278,19.313309860637855,14.741692375486316,14.00098262,823000000000000.0,14.5350940481509,778.869124302397,1444.29144583358,0.0134610429793,0.0195104863211031,0.276689164653959,19.3135153251857,14.1815616535752,14.179652924400727,0.01346104297933,-40124185758393.66,-0.33677804234884606,442056361532607.75,3.7322383634516987,3.2073305595162807,378966638416979.8
18,18,-3.68316650390625,38.36472333487818,10896.6,246.418888676,2024-06-07 09:41:00,34610D,222.05438,9.738825,20.33667,225.1962254733112,54406.97943205464,0.3106931609051616,0.4438922336702279,26.63353402021368,26413.59967203081,0.0,0.0001012106376148,0.2300315857671193,1.0895680658755416,0.2219461168351139,0.5731588909156303,0.011774609243911,1.920357874780429e-07,2.5533996249688264e-06,7.531460620796547e-06,877411113507956.6,84.135333969855,32.75924684486282,0.0319602408242564,0.0006522498127399,0.0005326706804042,0.3135994558724272,5.114591678894978e-06,6.800605577880809e-05,0.0002005894126658,2.336855874132773e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7538564256580114,13.206799836015405,11.774609243911042,7.531460620796547,877411113507956.6,11.0158225228897,717.444825023073,1285.32587992652,0.0101210637615,0.0161340680523349,0.185019327176686,13.2061494197049,11.4676178739627,11.466457346503477,0.01012106376148,-480188445407629.06,-2.8288618817362035,213762462987534.1,1.7019959597081031,3.0043411345571847,355849835992684.44
19,19,-3.654148267663061,38.49623107910156,10896.6,246.93333312,2024-06-07 09:42:00,34610D,222.03012,9.948228,20.360191,224.33727118215248,54380.34589803442,0.3108322070566636,0.4488127940943716,26.928767645662298,26820.647979465462,0.0,0.0001014185513579,0.2300315857671193,1.0951140887579538,0.2244063970471858,0.5787777723203107,0.0118433048797139,1.9196653862158013e-07,2.3902346359640696e-06,7.64672344740728e-06,890279356734507.0,85.06797699264719,33.122384204164625,0.0323145211747947,0.0006594800239754,0.0005385753529132,0.3189256052625555,5.169422314282589e-06,6.436607313049064e-05,0.0002059168389658,2.397412593723324e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7510220774168948,13.410323989732731,11.843304879713951,7.646723447407282,890279356734507.0,11.1032946418215,718.629855104573,1289.47174586013,0.0101418551358,0.0162310607996312,0.187275435279942,13.410641994256,11.5380896906133,11.536919632936995,0.010141855135789999,-482772294674363.75,-2.8635736805427863,218927898642668.97,1.7466086096527906,2.989293829795614,354169754875046.75
20,20,-3.625,38.6279296875,10896.6,247.447777564,2024-06-07 09:43:00,34610D,222.00072,10.198532,20.359915,224.00677073620017,54353.41713038876,0.3111999022590828,0.4546233530148228,27.27740118088937,27240.15067278493,-25.537145301313824,0.0001010588765328,0.2300315857671193,1.0952401584846083,0.2273116765074114,0.5857900710476832,0.0119287506136667,1.9188265839181285e-07,2.203139520696803e-06,7.772762526696165e-06,904350688976057.2,86.16931033042951,33.55120345249392,0.0327328814170672,0.0006680179881034,0.0005455480236177,0.3253853160757678,5.234060252609027e-06,6.0095920563519015e-05,0.0002120207617244,2.4668336551413616e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.749965298802182,13.620075336392466,11.928750613666738,7.772762526696165,904350688976057.2,11.2077642200571,720.133070773045,1294.18069273794,0.0101058876533,0.0163371467554142,0.189889086567546,13.6209141650199,11.6231487303385,11.621974226680058,0.010105887653279999,-484070936920757.5,-2.8962590031153073,224964050406370.7,1.7991572199628059,2.9837058731540997,353545837875102.6
21,21,-3.59600830078125,38.75864837129237,10888.98,245.389999788,2024-06-07 09:44:00,34610D,222.03276,10.433799,20.349888,224.5166643498269,54326.13972920787,0.3116251158259996,0.4581045944486747,27.48627566692048,27423.821739985546,-25.5349856959216,0.0001015652037738,0.2303072702383211,1.0976508845974955,0.2290522972243373,0.5901855152102347,0.0119847738065297,1.917396924897584e-07,2.0934521698403058e-06,7.829098046535772e-06,910640133655724.0,86.8291448318018,33.80811907031219,0.0329835308003045,0.0006731332816388,0.0005497255133384,0.3294167966519652,5.270210044064061e-06,5.754120343574348e-05,0.0002151927471304,2.5030105747022536e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7516181847193333,13.711910869992773,11.984773806529772,7.829098046535772,910640133655724.0,11.2766288186562,721.083284759932,1296.39750324111,0.0101565203774,0.0163806243313461,0.191382208578367,13.7119867336138,11.6834501974468,11.682263685954998,0.010156520377380001,-483505128740015.1,-2.9087590154874983,228273556516597.88,1.828289016285092,2.997480402495116,355095064165212.9
22,22,-3.56695556640625,38.88908774165784,10881.36,244.875555344,2024-06-07 09:45:00,34610D,222.06433,10.703032,20.302988,225.1968706773758,54298.65345354095,0.3142702311065092,0.5494662443857732,32.96797466314639,33072.06928597895,357.32423700365604,0.0001019724845439,0.2305832221844504,1.0990379529861147,0.2747331221928866,0.7078972592266246,0.0133185985301283,1.9159550751844137e-07,6.149539647440479e-07,1.2776523020729724e-05,843666801928996.2,104.14583196087943,40.55060883567006,0.0395615695957756,0.0008073789713423,0.0006593594932629,0.4390872188898898,6.31651583744065e-06,2.0273786728683197e-05,0.0004212160872305,2.7813985750132896e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7538417199098006,16.536034642989474,13.318598530128336,12.776523020729725,843666801928996.2,12.8625621973588,748.435450890693,1370.71955805434,0.0101972484544,0.0179797933533181,0.232301110133766,16.5353086074332,12.920121247717,12.918803885187492,0.01019724845439,-362757055355794.5,-2.554945536258446,338571192599977.6,2.797845707878373,3.0143543583926466,356990344926812.4
23,23,-3.54052734375,39.01799088817532,10988.04,244.3611109,2024-06-07 09:46:00,34610D,221.16972,11.262311,20.413324,226.9880136962751,54265.68547887781,0.3104598003343259,0.6362993391752144,38.17796035051286,37535.60149683163,863.1079577900031,8.951240623774207e-05,0.2267441630463499,1.06111904743881,0.3181496695876072,0.8228328017311592,0.0145049716735522,1.923257566305529e-07,2.2419490317297135e-07,1.400098262e-05,823000000000000.0,120.60417674727012,46.95889123113082,0.0458135524206154,0.0009349704575635,0.0007635592070102,0.5537702334381909,7.342605111023635e-06,8.559304124124771e-06,0.0005345289593345,3.1420461368472084e+16,climb,0,GTF1921,0,43031,1.237,3.16,3.16,0,0.7613726670039411,18.767800748415816,14.504971673552271,14.00098262,823000000000000.0,14.0965614919312,777.562427862771,1449.24274845854,0.00895124062377,0.019706628626906,0.270529853542865,18.7676301805127,13.7278607449629,13.726632041099363,0.008951240623774207,-54620416663264.336,-0.45501115445843904,437480416240276.5,3.690852569630308,2.9839855136380526,353442356675060.44
