,index,longitude,latitude,altitude,groundspeed,time,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,EI_nox_py,EI_nvpm_mass_py,EI_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,EI_nox_p3t3,EI_nox_p3t3_xue,EI_nox_boer,EI_nox_kaiser,EI_nox_kypriandis,EI_nvpm_number_p3t3,EI_nvpm_mass_p3t3,EI_nvpm_number_p3t3_meem,EI_nvpm_mass_p3t3_meem,EI_mass_meem,EI_number_meem
50,50,-2.42382670557771,42.56508520094015,11483.34,255.678888668,2024-06-07 10:13:00,34610D,216.46947,20.8751,17.48747,230.5961670351226,64506.126830976034,0.3430564583901989,0.5341536518524745,32.049219111148474,34273.556734148435,0.0,5.5020457284855325e-05,0.2097085643810686,1.1031101332167308,0.2670768259262372,0.6147464272912977,0.011878347638437,0.0006117101910884,0.0001262864541102,3.2822462609617604e-05,1501979906126704.8,101.24348317211802,39.42053950671262,0.0384590629333781,0.000784878835375,0.0006409843822229,0.3806917661426622,0.0196048339467168,0.0040473822385508,0.0010519342959431,4.813728311199698e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7818275054328195,17.136778367074218,11.878347638437056,32.8224626096176,1501979906126704.8,13.0834576203366,741.315575658625,1362.17749889388,0.00550204572849,0.0179062381939095,0.210990784564685,17.1367463027331,11.7830882332644,11.782439958029977,0.005502045728485533,13.930150103969622,13.930150103969622,9.453869363412094,9.142290251399382,10.073825428469465,469817449983445.7,5.083311783360962,572187801049853.0,7.913307597749227,6.240714669151331,494682715431869.94
51,51,-2.340587269176126,42.67121887207031,11483.34,257.222222,2024-06-07 10:14:00,34610D,216.42828,21.439568,17.444298,230.98602021949776,64474.07761186489,0.3436822948470471,0.5268146888873134,31.60888133323881,33807.168417746005,24.96818579456533,5.464080521500576e-05,0.2097085643810686,1.1014351267099094,0.2634073444436567,0.6061268177602712,0.0118075121788755,0.0006113262387525,0.0001259348140238,3.2063425570599195e-05,1513383344481377.8,99.8524561317014,38.87892403988373,0.0379306575998865,0.0007740950530589,0.0006321776266647,0.3732222513028491,0.0193233385366232,0.0039806585922048,0.0010134890139982,4.783635454741194e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7832238437880287,16.903584208873003,11.807512178875548,32.0634255705992,1513383344481377.8,12.9704737427004,739.215156395161,1357.10413012267,0.0054640805215,0.0178022504889349,0.208388462711633,16.902950678135,11.7057370269651,11.705097451015254,0.005464080521500576,13.806226442331683,13.806226442331683,9.305672768480559,9.01258115075206,9.972184866690895,457602731331534.94,4.867532135185957,564267037120064.2,7.742692320985751,6.260183300817922,495622689228053.2
52,52,-2.2364203874454915,42.8035257630429,11490.96,257.736666444,2024-06-07 10:15:00,34610D,216.32033,22.217829,17.41111,230.5820674983781,64442.46873053165,0.3421677288873541,0.5480211343117433,32.8812680587046,35074.402679961844,0.0,5.383116425452057e-05,0.2094567302023603,1.0992826684426318,0.2740105671558716,0.6298567141434115,0.0120143530059732,0.0006110690930763,0.0001266236676747,3.418898002727036e-05,1481449949969437.2,103.87192579744782,40.443959712206656,0.0394575216704455,0.0008052555442948,0.000657625361174,0.3950471617413086,0.0200927266518337,0.0041635467593898,0.0011241770169303,4.871195292049958e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7820491570902914,17.53720133998092,12.014353005973216,34.18898002727036,1481449949969437.2,13.3048356419401,745.019095576833,1370.89703875234,0.00538311642545,0.0180827946610788,0.215902782702739,17.5368390887356,11.9396800521905,11.939037359909337,0.005383116425452057,14.153572698124732,14.153572698124732,9.725946842573489,9.381445834796688,10.26588884262025,492217799629781.75,5.48805180505501,587540566229744.5,8.235178748262385,6.233681341582203,494029718581045.75
53,53,-2.1393319063408285,42.92623901367188,11490.96,258.251110888,2024-06-07 10:16:00,34610D,216.28467,23.036102,17.376564,231.74095804009573,64409.58746247294,0.340501213906619,0.5783326377584591,34.69995826550755,36649.91963805087,-49.92580699942664,5.33017616439744e-05,0.2094567302023603,1.0935846310586657,0.2891663188792295,0.6651112438241078,0.0123134462357651,0.0006107367863031,0.0001276137660618,3.628235539e-05,1450000000000000.0,109.61716816073832,42.68094866657428,0.041639949918609,0.0008497948962981,0.0006939991653101,0.4272760704856215,0.021192540995929,0.0044281923564521,0.0012589962178073,5.031493948498594e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7860445286616163,18.324959819025437,12.313446235765143,36.28235538999999,1450000000000000.0,13.7740930042653,753.352094391062,1389.87032788853,0.0053301761644,0.018461313756883,0.226444699787418,18.3250131149809,12.265903866294,12.2652501068563,0.00533017616439744,14.64948049357294,14.64948049357294,10.353391700084611,9.930011806413527,10.713111217568175,539109037985417.56,6.431098562343641,619720449534554.0,8.932669757337582,6.28946979718711,496723160884770.75
54,54,-2.043522426060292,43.0468077578787,11475.72,258.251110888,2024-06-07 10:17:00,34610D,216.37236,23.851357,17.302465,234.8689365841689,64374.88750420744,0.3462901258683454,0.4698548002439166,28.191288014635,29878.42173848184,0.0,5.3418348625781e-05,0.2099607013452424,1.086031464986159,0.2349274001219583,0.5416785583570274,0.0112416315847386,0.0006100569408806,0.0001235302490406,2.613435100191852e-05,1592273964996011.2,89.05627883823196,34.67528425800105,0.033829545617562,0.0006903988901543,0.0005638257602926,0.316916073759784,0.017198290925694,0.0034824768292249,0.0007367610161706,4.48882539454074e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.796492836910639,14.93921086924092,11.241631584738617,26.13435100191852,1592273964996011.2,12.1219206443114,724.711005547072,1317.72291844837,0.00534183486258,0.0169525419996203,0.188529659555526,14.9393359515311,11.1210259534971,11.120431918388013,0.0053418348625781,13.036225089740785,13.036225089740785,8.287639936581789,8.140206038873357,9.322128049142528,352758686537238.7,3.3359253996173592,484740510808481.44,6.26884704292848,6.458441409663625,505507093085968.06
55,55,-1.947709904160604,43.16665649414063,11475.72,258.251110888,2024-06-07 10:18:00,34610D,216.35303,24.772245,17.124943,230.50124596075685,64346.6962161928,0.3442417312959129,0.506256008477593,30.37536050865558,32609.180807255965,0.0,5.270688574410535e-05,0.2099607013452424,1.0742897324114429,0.2531280042387965,0.5807311956434787,0.0115982699771633,0.0006098772026844,0.0001248162473029,3.000580832866056e-05,1544296080184372.0,95.95576384684296,37.36169342564636,0.0364504326103866,0.0007438863798038,0.0006075072101731,0.3523016318330524,0.018525239897552,0.0037913385091646,0.0009114372453366,4.690855016770398e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7817159752728252,16.304590403627984,11.598269977163325,30.00580832866056,1544296080184372.0,12.6648092540882,733.656855843583,1343.56463461378,0.00527068857441,0.0175243118608749,0.201427258866079,16.3045435751436,11.4941608244138,11.493555034921782,0.0052706885744105356,13.491140988770933,13.491140988770933,8.922866529886956,8.675174629256144,9.709657187626629,422520101216914.2,4.296274595869521,540940940991242.0,7.267292439738755,6.24929096765838,495410718769724.75
56,56,-1.8492161950399577,43.28462219238281,11475.72,259.79444422,2024-06-07 10:19:00,34610D,216.34314,25.683725,16.852982,229.41528986199447,64316.32085568414,0.3416545531681122,0.5460197286892198,32.761183721353184,35071.36319294975,-24.96800267501046,5.198014603280158e-05,0.2099607013452424,1.0608551211808332,0.2730098643446099,0.6255201410156627,0.0119903872715947,0.0006097851576358,0.0001262241176795,3.3970947749238534e-05,1484725570939238.8,103.4925793757547,40.296255977264416,0.0393134204656238,0.00080231470338,0.000655223674427,0.3928192802948905,0.0199772835798622,0.0041352515093662,0.0011129284604012,4.86413672053314e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7780508879426621,17.535681596474873,11.990387271594756,33.97094774923853,1484725570939238.8,13.2706620563269,744.077421705017,1369.35306511281,0.00519801460328,0.0180592427796188,0.215203449693542,17.5353630795311,11.9165267514104,11.915907360805672,0.005198014603280158,14.10423154796804,14.10423154796804,9.670199363157847,9.326725696946161,10.218639418422518,489099385935717.9,5.411797784526287,586678046646803.4,8.195528048237385,6.198382046067654,492952595480612.44
57,57,-1.74542094385896,43.40391540527344,11468.1,258.251110888,2024-06-07 10:20:00,34610D,216.40227,26.625315,16.386232,231.08624603526644,64283.5596719628,0.3389452173557513,0.5916998597631669,35.50199158579001,37431.42295611595,0.0,5.132022512537864e-05,0.210213141458927,1.040534736684346,0.2958499298815834,0.6789186881525207,0.0124390628579162,0.0006095877815224,0.0001277747399316,3.628235539e-05,1450000000000000.0,112.15079141951064,43.66744965052171,0.042602389902948,0.0008694365286315,0.0007100398317158,0.4416115049168557,0.0216415802904112,0.0045362577419314,0.0012880958757684,5.147788779939551e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7836107994294276,18.715711478057976,12.43906285791625,36.28235538999999,1450000000000000.0,13.9714303965889,756.625745134484,1397.76573876318,0.00513202251254,0.018624821084523,0.230988859704475,18.7157109138107,12.4022055651543,12.401569113835471,0.0051320225125378646,14.849929375194678,14.849929375194678,10.621739478566564,10.156981715230273,10.897432119900927,559065755468306.0,6.848584011610217,634826096451427.6,9.243836921456403,6.285948475964736,497495030241179.9
58,58,-1.66806952897889,43.527374267578125,11468.1,255.678888668,2024-06-07 10:21:00,34610D,216.40648,27.557703,15.917678,234.45333484536533,64248.057680377,0.3442958548451686,0.5539211171072157,33.23526702643294,35083.487624761765,0.0,5.0333453853170765e-05,0.210213141458927,1.019963744016743,0.2769605585536078,0.637912075392208,0.012097779063399,0.0006096269006576,0.0001265706814549,3.427278965996088e-05,1480190830939949.2,104.99020853650164,40.87937844251252,0.0398823204317195,0.0008139249067697,0.0006647053405286,0.4020729175988583,0.0202611128298537,0.004206610395873,0.0011390653160895,4.919453751636687e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7950208251952434,17.541743812380883,12.097779063399082,34.27278965996088,1480190830939949.2,13.4589333776951,746.514270971077,1371.62363117208,0.00503334538532,0.0180651260899961,0.218123276358678,17.5424827969415,12.0742736735985,12.073665964289848,0.0050333453853170776,14.265881803075192,14.265881803075192,9.826591976333098,9.49826577657403,10.387158448033821,498300172599401.44,5.623642772633309,590340458637680.0,8.31778652788143,6.44777478439076,505306874661961.44
59,59,-1.6182478084120362,43.66085815429688,11468.1,254.64999978,2024-06-07 10:22:00,34610D,216.40703,28.461529,15.326091,235.0861937171034,64214.82241335057,0.3461882644798617,0.523033243108261,31.38199458649566,33219.56705614099,-24.97479746695509,4.922370601433643e-05,0.210213141458927,0.997403815298152,0.2615166215541305,0.6027580444048218,0.0117957461750813,0.0006096319950253,0.0001254787496021,3.123161104207492e-05,1525880159802557.2,99.1357208987398,38.59985334138966,0.0376583935037947,0.0007685386429345,0.0006276398917299,0.370174042610081,0.019131467967639,0.0039377734407339,0.0009801102486499,4.788516291456498e+16,cruise,0,GTF2035_wi_gass,0,43031,1.237,3.16,3.16,0,0.7971657490487315,16.609783528070498,11.795746175081389,31.231611042074917,1525880159802557.2,12.9850138749418,738.476318033381,1351.91371164396,0.00492237060143,0.0176576585397226,0.207365691712236,16.6106759232574,11.7436686889005,11.743090650458623,0.004922370601433644,13.78199061617426,13.78199061617426,9.234237074977814,8.98321021610819,9.980352016482154,448812873367984.3,4.745515962641912,556018975659570.3,7.608645106311449,6.478616528550014,506795441187663.4
